,title,stars,date,r_title,text
0,A Town Called Panic,8,22 November 2009,Much better than I was expecting,"I just saw this at the WFAC. I must say that I wasn't expecting much out of this film. It's a good thing that I went to see it anyway, because it turned out to be one of the highlights of the festival. The closest equivalent to what ""Sita Sings the Blues"" was last year; though the two films are in many ways quite different, they share between them a wacky sense of humour and a refreshing inventiveness. The story of the film is insane and has to be seen to be believed. This is the kind of story that, as a kid, you wished existed somewhere. It starts out with a cowboy and an Indian accidentally ordering 50 million bricks for the birthday of their roommate, Horse, and goes from there to a visit with the Atlanteans, the centre of the earth, and giant robotic penguins.The animation in the film is just as entertaining. I'm sure that some would call it crude, but the fact remains that it's very expressive and perfectly suited to this story and these characters. The French-language voice acting is also great.The film has no great moral or lesson to teach us, but I think it is no less of an achievement to make something that's genuinely funny. The only thing I thought a bit strange was that it seems to go on for a little longer than it felt the natural ending point of the story should be.This film is in the running for the animated feature Oscar this year, but probably won't be nominated; it's too low-profile and somehow I think that the animation style could offend some of the Academy professionals. But who cares about what the Academy folks think? If you want to watch something fun (even better if it's with friends), I'd highly recommend it."
1,A Town Called Panic,10,7 April 2010,Truly wonderful and delightful,"Saw this on a plane back from Canada and didn't expect much - just struggling to find something to occupy the time.How wrong I was. Hilarious, totally surreal, laugh out loud funny (hate to think what the other passengers thought of me). Other reviews link this with the Wallace and Gromit series and in many ways, the inventiveness and off the wall humour are along similar lines. The gloriously cheap stop motion animation is a world away, however - Cowboy and Indian, for instance, even have the little flat stand to hold them up like regular children's toys.Don't take that as a criticism, however- it just makes the whole thing more endearing. This isn't Avatar - this is more like Morph: forget the budget, it's all in the skill of the film maker to tell a great story that's a laugh a minute and keeps you watching. You may struggle to understand what's going on at times, but who cares?"
2,A Town Called Panic,8,13 September 2010,"quirky, different and a lot of fun.","Imagine a world not unlike Terry Gilliam's Monty Python animations mixed with a dash of Robot Chicken, The Mighty Boosh and finish with the wonder of the mind of a child at its most innocent imaginative play and you are close to the beauty that is 'A Town Called Panic'. Made using stop/start animation using only existing toys it mixes humour and surrealist notions in equal measure. In this world talking horses play piano and fall in love, pigs swim underwater with octopuses and scientists are mental and super strong. The main story centres on the characters Indian, Cowboy and Horse who share not just a house but adventure and after a simple present buying goes bizarrely wrong they embark on a multicoloured toy road trip that will see them visit the centre of the earth, the depths of the ocean and the icy cold of the tundra. Along the way they will meet all manner of beings and get into all manner of situations that are as funny as they are weird. Like a strange mix of Morph, South Park (although for kids it is a PG) and Laurel and Hardy its appeal should reach all age levels and keep young and old thoroughly amused and entertained throughout. An animated classic that's bold, different and magical 'A Town Called Panic' is one crazy place to visit just remember to leave the serious you at the door."
3,A Town Called Panic,10,24 January 2010,Fun frenzy in classic style.,"Well deserved award-winning directors Stéphane Aubier & Vincent Patar are to be forever commended for ingeniously and painstakingly creating what can easily be considered one of the top animation films of all time. An adventure/comedy/romance/drama with simple yet detailed & inspired stop-motion animation much like Gumby, Pingu or Henry Selick's work for Burton. So much spirit, charm, wit & creativity culminate into a unique explosion of joy that overwhelms the senses. Every frame is a roller-coaster of activity so packed with inspiration that I wonder what was left out to meet the time limit and when it ended I wanted more. This is destined to become a cult classic for all ages and I eagerly await the multi-talented, award-winning team's next project. HIGHLY RECOMMENDED!"
4,A Town Called Panic,7,19 September 2009,"Horse, Cowboy, Indian, Seamonster and Farmer: The Holy Story Pentangle","A Town Called Panic is the anarchic, frenetic feature film version of the popular Belgian cartoon of the same name. Technically crude but all the better for it, the film like the cartoon is stop-motion animated using what look like (and in some cases are) the cheap plastic toy figurines that came by the dozens in bags, complete with plastic bases affixed to their feet. It stars Indian and Cowboy, two best-friend trouble making goofs sharing a room in a house with the older, more serious Horse. They live in a small village with an angry farmer, his patient wife, their legion of pigs, chickens and cows (who take music lessons from Madame Longrée, the red-maned object of Horse's nervous affection) and a policeman in charge of keeping the peace.After a birthday celebration goes awry, Horse, Cowboy and Indian are left with a mystery that leads them on an adventure that takes them in 20 minutes from the centre of the earth to the north pole in a battle with bizarre terrorist scientists, to the bottom of the ocean and back. It's riotously creative and thoroughly enjoyable, a kids movie that doesn't pander or play down, with enough solid character-based humour to sustain itself with older audiences over the long haul. It suffers from being a little one-note, especially at an hour plus, that's a small complaint. It doesn't drag at all.It's also a great example of how creativity, real creativity and a solid, technically sound script can eclipse the need for effects, giant lighting kits, lingering close-ups on beautiful emoting womens' faces and all of the other expensive cinematic ""fundamentals"" that can stand in the way of a dude with an idea and a hundred bucks and a finished movie. A Town Called Panic is inspirationally small-scale  unless I'm desperately stupid, the total cost for everything that makes it on screen couldn't be more than a couple thousand bucks  but manages to convey a convincing, charming sense of adventure using only wit and effort. It's d.i.y. to the core, and it's inspirational."
5,A Town Called Panic,10,23 January 2010,Great fun for the young and young at heart,"In a cinematic world to often populated by cynicism and anti-heroes, it's good to see that some things can just be fun and good natured for the sake of entertainment. In an age where comedy is declared funny by how much a person yells or acts like a petulant child; and the idea of a solid script and story are thrown out in favor of improvisation, it's refreshing to see a movie that's crafted with care from beginning to end. Trying to explain the plot of this film would only take away from the fun of seeing it unfold before your very eyes. The crudely animated adventures of Horse, Cowboy, Indian and the rest of the town of Panic are full of life and excitement, much more than many of the so called animated masterworks that come out of the USA. It's nearly impossible to view this movie without a smile on your face. Taking elements from classic comedy entertainment such as Bugs Bunny and Warner Bros. cartoons, the Marx Brothers, and a little Three Stooges thrown in for good measure, A Town Called Panic should be viewed and enjoyed by the whole family. Do yourself a favor and see it for yourself."
6,A Town Called Panic,9,8 July 2010,A Great Work of Art. A Must See For Any Visionaries,"I do remember a while back reading an article somewhere about this film, and then I ended up seeing it this week. After watching it, I can tell you that this film is a fantastic piece of art. The stop motion is incredible, and displays a professional and unique quality throughout. The character development is surprisingly great. Horse serves as your typical father/leader figure, while Cowboy and Indian are his somewhat cocky sidekicks, which leads to a great plot. Steven is especially my favorite secondary character for his often times violent and hilarious outbursts, which is great comic relief. Sure, there are some plot holes here and there, but this movie isn't very plot based. However, it is a great slapstick comedy in every way. I've never seen anything quite like it before. And to also note, this movie is perfect in French. I had no problem at all reading the subtitles, and made the movie seem that much more sophisticated. Dubbing this film in English would really destroy most of the dialog, which is also great. In a nutshell, this was a pleasant surprise, and I would recommend it to anyone who basks in the strange and ordinary."
7,A Town Called Panic,10,3 August 2010,An Amazing Work of Art in a Hilarious Film,"In some ways I dislike giving a film a 10 star rating because that implies that I'm an expert in the cinema and have compared the film in question to the greats of all time finding the film in question to be their equal.Here I can't possibly compare this outing to any other because it breaks the mold with huge creativity. What interested me wasn't as much that it showed incredibly clever for the first few minutes, but that it not only sustained that level of amazement but increased it as the drama / comedy / farce continued. So I am going for a 10 here because in its category of 1, it's a 10. Nothing else in my experience comes close.If you've seen some of The Simpsons more far flung tales, then you have a slight idea of what you are in for here, but this one exceeds the excellent Simpsons in range by a good margin. Remember, the subjects are plastic toys and look like plastic toys, but their story, their setting and their emotions work at many levels. Besides the farcical bizarre adventure, we're treated to a wholly new world which hangs together rather well. If you were a horse living in a normal house what would your shower be like? This and similar questions, with the answer, abound in a constantly amusing barrage of delight.So let me pose a teaser. If you were a thieving merman who wished to attack a horse, Indian and cowboy come to retrieve their possessions, what weapons would you use? Answer about 3/4 through the movie. Here's another - if you were two fat bald scientist practical jokers who could beat up Jet Li, how would you handle a marauding mammoth? Answer at about 65%.See this delight or you are missing one of the great ones."
8,A Town Called Panic,7,18 November 2009,Revels in simplicity and jerkiness of  stop-motion,"(In French, 75 min.) This feature-length stop-motion animation that appeared at Cannes is based on the Belgian TV series by Stephane Auber and Vincent Patar. It's a film all made up using tiny figurines to tell the story of a journey to the center of the earth whre a parallel society of pointy-headed and dishonest creatures reigns. Voices of French actors Jeanne Balibar (The Duchess of Langeais) and Benoît Poelvoorde (of Man Bites Dog) are heard. The filmmakers revel in the jerkiness of the figures in (stop) motion.You might not know this is the same stop-motion technique used in Wes Anderson's Fantastic Mr. Fox. Auber and Patar have collaborated ( and voice two main characters) in a film that's not only simpler and more primitive in effect (figures even have little stands on the bottom like plaster toys) but more truly uniquely for children. Clearly this cast and crew had more modest means and objectives and motives. They didn't get glamorous superstars to voice the parts and they worked visibly from scratch, bringing to life recreations of kids' little Plasticine toys, a typically mismatched collection including a horse, an Indian, a cowboy, mechanical tractors, a piano lesson, and moving them around on surfaces that could be a village, or could be a train set or a display under a Christmas tree.These are actually spin-offs from a TV series that Belgian, French, and maybe French Canadian kids would know. They were featured in five-minute films on the arty but widely watched French TV outlet Canal Plus and later dubbed by ""Wallace and Gromit"" producer Aardman Animations for export to other outlets such as Nicktoons in the U.S.; they can be found on YouTube.The Town Called Panic effect is much more boldly artificial and crude than the stuffed but charming furry creatures in Wes Anderson's film. This is a thing of slapstick and chases, upended figures and screeches and scrambles. ""An antic little joy ride,"" the Variety reviewer has called it, and that's about right. Shown November 13 at the San Francisco Film Society's 4th Annual Animation Festivial as one of three animated features (the others: Wes Anderson's Fantastic Mr. Fox and Tarik Saleh's Metropia), it enjoyed a preview at Film Forum in New York the following week, and begins a limited US theatrical release at Film Forum December 16. The feature is not dubbed like the Aardman Animations shorts, which is better to capture the flavor of the original, of course."
9,A Town Called Panic,,29 July 2010,A hilarious and very entertaining film!,"A Town Called Panic is simply brilliant! It is very simple, and the film consists of Indian, Cowboy, and Horse's misadventures, but the screenplay is clever and very funny. The biggest worry one has when watching a film like this is that maybe after a while the animation style or loose story- telling technique may get one overwhelmed, I know that was my biggest worry. But There was no need! This film was entertaining from the first second to the last, and it is a very energetic film that never once stops. It the equivalent of a child bouncing up and down because he is on a sugar high. If you expect a theme or very story oriented animated film, look elsewhere. This film is all about the one-liners and the wacky situations, but it was still really amazing for a film like this to be this entertaining. Brilliantly well done, and I think it is better than two other similar animated films, Coraline and Fantastic Mr. Fox."
