,title,stars,date,r_title,text
0,Alice,10,6 June 2003,Imagery that Bores Inside,"This movie may be labeled frustratingly plotless by some, and that's fair, but the imagery in this strange combination of stop-motion animation and live footage is so hauntingly rich and evocative that you get the feeling that someone has secretly filmed your own childhood dreams and translated them into Czech - perhaps for the viewing pleasure of the former commissars. The basic idea is that all of ALICE IN WONDERLAND is occurring in Alice's house, and a staggering variety of household items are animated into jerky sort of life, while all the character voices - Mad Hatter, Queen of Hearts, White Rabbit - are spoken by Alice. Alice's house, however, is a Czech house, and the items are old even by Soviet bloc standards. It's as if an antique rummage sale suddenly sprang to life to act out a monstrous little comedy for one girl. And the architecture is simultaneously comforting and frightening. Windows, for example, merely open onto other rooms, all lit by bare light bulbs. What keeps the thing tied to Lewis Carroll is the performance of the little girl playing Alice. She appears to be about six or seven, and despite the disturbing events going on around her, she never appears frightened, and always investigates events as they grow curiouser and curiouser with a determined pluck. This little girl is always in control. What this adaptation lacks in forward momentum or narrative drive it makes up for with a surreal poetry of the domestic space as dreamed by a child."
1,Alice,8,13 August 2001,Watch your socks,"Watched this last night - one of my favorites, especially as and ex-art student. He animated everything from socks to lumps of meat. Very dark, and would have been darker yet without the little girls voice over. My favorite scene, I think, is when the water rat sets up camp on her head. There is a lot to watch out for in this film, a hundred little touches, and references. Follows the book to a certain extent, but goes its own lunatic-asylum way. If you have very vivid dreams and wake up in the morning wondering 'what the heck was that all about?', it is a bit like watching this film:)"
2,Alice,,22 August 1999,Visually stunning - and intense. Not for little kiddies!,"A mix of live action and stop-action, this arthouse flick is intriguing but bizarre.  But if I was a little kid I'd be scared out of my wits by The White Rabbit with bulging glass eyeballs & long, hamster-like fangs.  Socks become wood-eating worms, Alice starts eating marmalade full of tacks, a tiny mouse lands on her head, punctures it & starts a fire, the rabbit hole she falls down starts as a desk drawer that grabs her & draws her in.  The Alice doll she becomes when she's shrunk is sweet but sad.  I have to admit it's fascinating and 180 degrees from the saccharine sweetness of the Disney film.  See it on video to experience something completely different, and probably more towards the way Lewis Carroll intended the story to be..."
3,Alice,,25 June 2002,Close your Eyes,"The Alice books are one of the two richest works of literature yet produced. Of the best literature, Alice lends itself to cinematic reinterpretation. And this filmmaker has vision.But Alice is a coherent work, following the 'apprentice' novel and having kabbalistic structure. This film is episodic, each episode conceived as a different world, connected only by doors. The stories establish an abstract world, a world of logic so pure that the weaknesses of logic are apparent. That's only in part attempted here.Though in Czech, there is some dainty wordplay: Alice is messing about in her drawers. Initially, these contain drawing equipment, later scissors. The filmmakers' signature 'large person in small room' image is used here in the episode where 'Maryanne' (Alice plus her 'house) is attempted entry by Bill the lizard, Dodgson's image of sperm. Bill is mirrored later in the frog-footman, heavily phallic as is an introduced sequence where the feet themselves become penile, then advisory.Svenkmajer understands the cards as Tarot, a seldom understood insight and adds a vignette of the March Hare and Hatter playing cards (almost certainly a nod to 'Seventh Seal'). There's some very good visual handling of inside/outside ambiguities, and stage/reality shifting -- this alone makes this project worth sharing. But aside from that, it seems that the magic of Alice's world has yet to be tapped by a filmmaker.Note: in Carroll's vision, innocence trumps all: logic is seen as manmade and fallible. In this world confabulated reasoning threatens but no one really loses their head. Not so in Svenkmajer's bleak world. Heads really are lost. Innocence is at least dumbfounded and possibly unreal (those socks). Many heads are already decayed with only the skull remaining. Some beings are composed of empty skulls alone or with some ambulatory object. This is not a happy man, nor a world with any sunshine. I would not give these images to any child."
4,Alice,9,8 May 2000,"Through the Looking Glass, Darkly","Animation legend Jan Svankmajer applies his distinctive style to Lewis Carroll's most famous creation, crafting one of the most original and unforgettable takes on Alice's adventures ever put to film. Having previously adapted Carroll in his 1971 short film, ""Jabberwocky,"" Svankmajer returns to the author's work with this amazing feature-length film. Employing a magnificent blend of live action and stop-motion animation, he uses many of Carroll's ideas as jumping-off points. Many of the characters are reconstructed as nightmarish abstracts of the way they have usually been depicted in previous adaptions. The white rabbit is a stuffed real rabbit who keeps his watch tucked in a sawdust-leaking gap in his chest. The Dormouse has been reduced to a creepy crawling foxlike hide, and the Caterpillar is a sock with eyeballs and teeth that sews its eyes shut when it sleeps. Although familiar characters such as the Mock Turtle and the Cheshire Cat are left out, Svankmajer's film is incredibly faithful to the book's sense of fantasy and absurdity. The minimal dialogue and pronounced sound effects also add to the overall unsettling mood. The key to truly appreciating this version is to forget the common associated imagery from other adaptions, and treat this as its own entity. Just as a dream makes a totally different impression on you than a person you describe it to (regardless of how well you describe it), this film is one man's surreal interpretation of another man's surreal description. The skull-headed birds, walking dolls, and broken-down furniture of Svankmajer's world make this a pretty disturbing telling of Alice's journey, but a masterful, enthralling, and undeniably unique one as well."
5,Alice,,22 September 2004,Looking Glass shows Nightmare!,"We have all be introduced by either the written form or the theatrical form of the story of ""Alice in Wonderland"". Unfortunately, I feel that most of us have been introduced to this story through the film version instead of the written word. Sad as it may seem, we have all been sucked into either the Disney version, the Care Bear's version, or better yet even the recent made-for-TV version that was on ABC. So, with that being said, we all then know the story of Alice's journey through Wonderland. For all of you who have perhaps missed out on this fabled children's tale, let me recap for you quickly:White Rabbit, Small and Big, Caterpillar, Tweetlede & Tweetledum, the Walrus, the pig baby, the Queen of Hearts, the Mad Hatter, ""Off with their heads!!!"", the Cheshire cat, and the Alice dream. Although that may seem like a jumbled line of words and phrases, that actually accurately sums up the entire plot of the children's story. What surprises me is that over time the film versions of this story have not changed. They have continued to show this innocent child being swept up in this imaginary and beautiful ""Neverland"" where she finds herself being the center of attention. I am not sure if studios are afraid to topple the Disney version, or if there is no creativity running through the minds of writers to make a fresh new story of this old tale, but something needed to be done. It was a tired story, that needed a modern day face-lift. With this said, let me introduce you to the Czech version of this fairy tale. While I applaud it for taking a much darker twist to this story, I do denounce it's use of stop motion animation to create the impossible.Lewis Carroll, the author of the story, really intended ""Alice in Wonderland"" to be a very scary and dark story for children, and until Disney put their hands on it...it was. What Czech director Jan Svankmajer has done brought back the darkness to Alice. Almost taken from a page out the directing book by David Lynch, it abruptly begins with Alice announcing that she is going to watch a movie...this movie to be exact. She then proceed to play in her room. The movie does follow the actual story of Alice, but it takes a nightmarish version of the favorite characters. For example, the White Rabbit constantly looses his stuffing, only to pull his watch out of his stomach to proclaim that ""He is very late for a date"". He refills himself by eating wood chips that immediately fall back out of him. At the Mad Hatter party, a wind-up March Hare sits during the entire scene and butters watches to make sure that the gears get oiled. The lady who was watching the baby who is actually a pig is portrayed in this film as a frog footman who battles flies with a very lifelike tongue. Even the smallest of characters are evil. There is a scene with a door mouse that crawls up Alice's head when she is sitting in a pool of her own tears, and proceeds to set up camp in her hair. For children...I think not...original...I think YES! While it even ends the same as the other versions of ""Alice"", the feeling that it leaves in your mind and stomach afterwards will be remembered further more than the cutesy animated version.I tried hard to like this movie. It was art, it was foreign, it was from my native country...but I just couldn't connect with the stop-motion animation.I don't want to stray you the wrong way, if you enjoy this style of animation, then I really recommend this film to you. I guarantee that you will never think of ""Alice in Wonderland"" in the same way. The symbolism was very strong and very poignant. I enjoyed how the feeling of Wonderland actually being a part of the house. I loved how the director used household items to create this normally ""pretty or cuddly"" characters. I also enjoyed the darkness to this film. When I think about it, I don't think of ""Alice in Wonderland"" as a children's story. A young girl follows a rabbit through an uncharted area (not worried that she is not home) and creates havoc all throughout this peaceful town. When she is finally caught, her punishment handed down by the elected Queen is not fulfilled...instead she awakens only to discover that it was a nightmare. I was always curious why there were so many cute characters in a nightmare. I think Svankmajer saw the darkness in the story and brought it out in this version. Overall, I enjoy seeing another side of a story that our society loves so much. I love seeing artists take a vision that we have all seen before and turn it into their own design. I think this was done with this film. I applaud my Czech friend for all of the work on this film, and I suggest tackling yet another children's classic soon!!Grade: *** out of *****"
6,Alice,,8 August 1999,"Fascinating, horrific - just like the book","How best to interpret such a well-known classic in movie terms? Well, Jan Svankmajer, clearly an artist himself (a Czech version of Peter Greenaway) does it by extracting the essence of the book; the black humour and droll critique of Victorian society, investing it with his own rich surrealistic imagery. (Disney is not in the picture!)Alice, played by a beautiful, doll-like girl, is energetic, brave and simple-minded, while her surroundings gradually go bonkers in ritual displays of nonsensical social custom. Svankmajer's celebrated mastery of dolls is on superb display, and dead objects, mostly worn, tattered and grotesquely animated, take on nightmarish properties. Foodstuffs certainly look repellent when sliding noisily across the kitchen-table!The start of the movie is classic Svankmajer: Alice lies on the floor of her room, idly throwing pebbles into a half-empty tea-cup. (seen as a series of hypnotically repeated actions). The White Rabbit, here a stuffed specimen inside a glass display-cage, suddenly comes to life, puts on clothing hidden under the floor of his cage, cuts the wires that fasten his feet to the floor, breaks the glass, and he's off!Svankmajer's ""Alice"" is the only version that comes close to rendering what Lewis Carroll's book is all about. It's a top notch art-movie for discerning audiences."
7,Alice,10,24 February 2001,"Beautiful, disturbing, creepy, bizarre.","There is simply nothing i can say derogatory about this movie. Jan Svankmajer is a genius in his mixture of live footage and animation. His work is at once beautiful and disturbing, yet hypnotic in its use of visual style. there are very few animators with his unique style and flair. carrolls Alice was quite adult in tone, something that previous cinematic versions failed to bring across, possibly seeing the childrens market that could be capitalised upon. I would urge anyone who has seen Alice in Wonderland or has read the books to watch this if they can, and marvel at his unusual take on the story. Full of dreamlike and creep imagery, this is one movie that will stay with you for a while...."
8,Alice,9,5 December 2001,Wanna give your kiddies nightmares for the rest of their lives?,"About five years ago, when I had just graduated from high school, a friend of mine who had been to college introduced me to the works of Jan Svankmajer. He had checked out a VHS copy of three short films, Darkness/Light/Darkness, Male Games, and The Death of Stalinism in Bohemia. All three of them were works of great genius, and I immediately stored Svankmajer's name in my vault. So it's sad that it took me all five of these years to see another one of his works. I had thought about buying his Faust back when DVDs were dirt-cheap (do you remember those happy days?), but had passed over it for something else. Now I finally found another one of his films, Alice, this one a feature, his adaptation of Lewis Carrol's Alice's Adventures of Wonderland. And, wow, this is one frightening little film, a mix of live-action (well, one little girl) and stop-motion animation of characters like the White Rabbit, the Mad Hatter, and the Queen of Hearts. Stop-motion animation has always looked creepy, and Sankmajer knows it. He also knows that dead animals are scary, and he incorporates their bones into his animation. It makes the whole film more visceral and surreal.
There are two parts of this film that deserve particular attention. 1) the soundtrack. There is no musical score, and the only music at all is the tiny piece that plays over the closing credits. No, by soundtrack I am referring to the sound effects, and they are absolutely amazing. 2) the setting.The original novel and the Disney film set the story in a bizarre forest. Sankmajer sets the story in a delapidated house, with rotting and filthy wooden beams everywhere, creaky doors, and old cabinets. The setting is what makes the film particularly creepy.As for standout scenes, the caterpillar is pretty awesome. The very best scene, though, is definitely the tea party, with the Mad Hatter and March Hare. Svankmajer's conception of those two characters and of the tea party is truly inspired, and ranks among the best scenes in cinema, in my opinion.So is it perfect? No. The idea to have Alice speak all the lines, and then show her lips speaking such words as: ""The Mad Hatter said"" every two minutes grows annoying quickly, and the film would perhaps have been a masterpiece had this flaw been avoided. It seems to be in there for adding time, and it's truly unfortunate. I also wish that Svankmajer would have hurried up the beginning of the film, so as to get to other great scenes in the novel. It takes a half hour before Alice gets into Wonderland, and that's the only time the film grows boring. Whatever. This is still a great film. 9/10."
9,Alice,6,8 December 2007,Terrifying nightmare explores the reverse of the classic Alice story,"This film mixes the live action of just one actress - Alice - with a ghoulish array of stop-motion animated characters and objects. Whereas Lewis Carroll's original ""Alice in Wonderland"" story is a celebration of childhood innocence, fantasy, and magical belief, Svankmajer's ""Alice"" tells the reverse - the loss of childhood innocence through the pain of coming to terms with a less-than magical world. Inspired by the original tale, Svankmajer uses Carroll's idea of a childishly implausible and wild dream to symbolise an escape from a tormented childhood, rather than a daydreaming fantasy in the sun.With very little dialogue at all, Alice's job as an actress is restricted entirely to responding appropriately to the puppets - which involves no more than recoiling or widening her eyes. This takes nothing away from the film, however; Alice's muteness is a reflection of the classic ""children should be seen and not heard"" oppressive school of parenting. Indeed, Alice is seen throughout the film to, despite the hellish surroundings, still wipe her feet on doormats, remove her shoes before entering rooms, and do as she is told. She has been brought up through a harsh discipline that keeps her mute, polite, under control and unquestioning - indeed the very first scene of the film shows her older sister wordlessly slap her for being curious as to the contents of a book. This oppressive discipline is part of what makes up Alice's dismal reality, and hence is part of what she is both trying to escape and rebel from by dreaming.The sad result is that even Alice's dreams are tormented. Children can only dream about the things presented to them in reality. In the first scenes of the film, the camera pans across Alice's room and displays all the junk carelessly surrounding her - a keen viewer will notice that these are the very same objects that Svankmajer later animates inside Alice's dream. It is precisely because Alice's real world is so abysmal that her dream reflects it. Her house seems devoid of life - we never see any parents, and the sister is still out by the riverside - and the house itself is claustrophobic, dark and utterly unfit for human habitation. The ornaments are stuffed bugs, the only visible food is being pickled in tightly clasped jars, and every single surface is smothered in brown grime. The lack of any other life in the house and the lack of any form of homely care, all depict a tragedy of childhood neglect - Svankmajer blames the nightmare entirely on the parents.Within her dream, Alice suddenly finds that her room expands outwards into an endless muddy plain. This expanse, a dream of freedom, is tragically desolate and uninviting. Nevertheless, she follows one of her now-animated ""toys"" (the white rabbit) out into the field. Over the course of the film she will meet with a sailing rat, a truly insane depiction of the Mad Hatter and March Hare, and the murderous Queen of Hearts. But ultimately these are only the dream-animated versions of toys Alice detests. The truly sinister characters in her dream are those that come directly from her house, her life. The pickled jars of food turn out to be mixed with drawing pins, the ""Drink Me"" and ""Eat Me"" potions and cakes are bottles of ink and nondescript tarts, a mousetrap spells the demise of the sailing rat; when left on her own in a room, its contents attack her - slabs of meat slither around, bread turns to a porcupine of nails, food cans turn out to contain the stuffed beetles used as ornaments in her house (now living).It is in this scene that Alice first starts to experience some symbolic victory. Throughout the film we see Alice begin to show more curiosity, begin to learn, begin to rebel against what she is told to do, and begin - most importantly - to come to terms with her surroundings. She is ultimately locked away in a dark room - the culmination of all the negative forces around her - trapped inside a doll of herself. Nothing could be more symbolic of the repressive upbringing that has spawned this twisted dream. She has realised that she's been made into a doll - inhuman. It is with this realisation that Alice achieves her first rebellion, tearing her way out of the doll and - through unhindered curiosity - discovers the key to leave the room by.We are constantly reminded that the dream is a learning process for Alice. Every single time there is dialogue within the film, we immediately see Alice's lips say the words ""...the March Hare said"", or ""...Alice thought to herself"". These metatextual scenes suggest Alice is fully aware that this is all a story of her own imaginings. At bare minimum, it suggests that Alice has a level of awareness that oversees the story as a whole - she is looking upon these events with some purpose.Alice wakes from her dream a changed person. She has grown up the hard way - her last vain attempt at a childish fantasy built from her sordid life has led her to come to terms with how reality really is. She has learnt that we cannot be mute and polite little girls - the world will attack us, and we must defend ourselves. It's a sorry world-view she ends up with, but one necessary for her to be able to live in the neglected environment she's been brought up in. Thus the film ends with her own decision and dialogue - ""the rabbit is late again"" - she snaps a pair of scissors - ""perhaps I'll cut his head off"".Svankmajer's ""Alice"" is a masterpiece of stop-motion animation. Puppets come terrifyingly to life, and the surreal dream Alice undergoes is an intensely striking barrage of disturbing images. It is no film for children."
