,title,stars,date,r_title,text
0,Anomalisa,6,31 January 2016,Abstract Anomaly that Doesn't Quite Cut it,"Reviewed by: Dare Devil Kid (DDK)Rating: 2.5/5 stars'm a bit mystified by the accolades of ""masterpiece"" that are being heaped upon ""Anomalisa"", a stop-motion animation drama co-directed by Charlie Kaufman and Duke Johnson. It's a unique film, no doubt, and one that takes a lot of risks and has a number of scenes that work quite beautifully. It has the mordant, awkward bits of humor and wry observation we have come to expect from Kaufman, but not the insight; it's all surface, which is inadvertently personified by the artifice of the stop-motion animation. The film is supposed to tell us something about human relationships and the conflict between our ideals and our reality, but it's all muddled, which is what makes its near universal praise by critics so bewildering. Kaufman has certainly earned his share of deserved praise for his inimitable, boundary-pushing screenplays for Spike Jonze's ""Being John Malkovich"" and ""Adaptation"", and Michel Gondry's ""Eternal Sunshine of the Spotless Mind"". But, he's also hit a few critical bumps along the way, including an earlier collaboration with Gondry, ""Human Nature"", and his directorial debut, the unmitigated mess ""Synecdoche, New York"". ""Anomalisa"", while not quite like the latter, isn't also anywhere near to the quality of the former.The majority of the film takes place in a nondescript upscale hotel in Cincinnati, where Michael Stone (voiced by David Thewlis), a published customer service guru on the lecture circuit, has just arrived. Though a conventionally handsome man in his early 50s who is clearly successful professionally and financially, Michael joins the ranks of miserable Kaufman protagonists whose lives are constantly running aground on their own ennui. Potential redemption arrives in the form of Lisa Hesselman (Jennifer Jason Leigh), a conference attendee he meets at the hotel and to whom he is instantly drawn. Severely lacking in self-esteem and poignantly awkward, Lisa is not the conventional object of male desire, but that is precisely what makes her so fascinating (and Michael's attention so surprising to her).The film is irrefutably a technical marvel, spectacularly illustrating how stop-motion animation can be just as physically and emotionally convincing as any other medium of human expression or technical wizardry. The puppets, which were individually designed and printed using 3D printers, are amazingly lifelike - almost, but not quite, to the point of being uncanny. They stay just this side of the uncanny valley, never venturing toward that precipitous drop- off where animation that is too lifelike becomes weird.The problems with ""Anomalisa"" stem from the two main characters, starting with Michael, who is such a miserable, self-absorbed mope that it's virtually impossible to sympathize with him. Michael's physical mundanity belies the intensity of his narcissism, which keeps him from connecting with anyone and ensures that he remains miserable and alone, even when surrounded by others. Early on in the film, we become aware that all the other characters  from a chatty cab driver, to the hotel bellhop, to Michael's wife and son and ex-girlfriend - all have the exact same voice (Tom Noonan's voice, to be exact). It's a clever, albeit potentially confusing, means of conveying the sameness with which Michael views everyone around him, which is heightened by the fact that all the faces on the puppets playing the other characters are oddly similar, as well. The key is the name of the name of hotel where Michael stays: the Hotel Fregoli, a reference to the real- life, but extremely rare Fregoli delusion, a psychological disorder in which a person comes to believe that different people around him are actually the same person in disguise. We aren't meant to think that Michael actually suffers from this disorder (although he says several times that he feels like something is wrong with him psychologically); rather, it plays as a kind of metaphor for Michael's interpersonal isolation, which renders everyone around him a single, undifferentiated mass to whom he cannot connect.Except Lisa. When he hears Lisa's voice, he recognizes her as fundamentally distinct from all the others and immediately seeks her out. Jennifer Jason Leigh does a fantastic job voicing Lisa, and she makes her the most interesting character on-screen (which she is clearly meant to be - a lovable oddball). But, the film stalls emotionally because there is never any depth or meaning to Michael's intense attraction to her. The film is resolutely concrete in depicting his depressive moroseness, but then it gets all abstract when it comes to his propensity for love, which throws everything off-balance. Thus, even the film's most touching sequence - a rather graphic sex scene that plays fair with the inherent awkwardness of two people who barely know each other suddenly getting intimate - doesn't ultimately work because it has nothing emotional to connect to except an idea. Thus, it works in isolation, but not in concert with the rest of the film.The fundamental problem with ""Anomalisa"" is that it's little more than the story of an unsympathetic narcissist assigning his piece of mind to a good-hearted oddball. As a romance, it doesn't work because we just want Lisa to get away from Michael lest he drag her into his sad- sack pit of despair. As an interpersonal cautionary tale it doesn't work because the film's attitude toward Michael is so vague. Had it been more clear about what we were supposed to make of his relationship with Lisa - is it a genuine spark of compatible souls meeting at the wrong time or is Michael just a myopic, misguided jerk with no idea of what he wants - then ""Anomalisa"" might have registered as something more, even if it were just an indictment of its protagonist. Alas, it ends up as a stew of potentially interesting ideas brought to life with amazing artistry that can't quite hide its hollow core."
1,Anomalisa,4,7 January 2016,One good metaphor does not stretch to 90 minutes,"This padded-out feature would have made a very good short. There are good scenes, and ideas worth considering, but absolutely not enough of them for a feature. The stop-motion and design are great, but it has problems on the story/art/intellect side because of stretching the run time past what the story/themes can bear.Too many of the scenes (whether attempts at exploring the humdrum, or attempts at absurdist conflict) subtract more than they add to the whole. The main metaphor of a Fregoli delusion well-represents a kind of mid-life crisis, but it also loses quite a bit in flattening out the mid-life crisis into a general alienation (granted, with a mix of older existentialism issues, and newer ones such as 'personhood as illusory'). In a short film, this bare-bones metaphor would have enough of a poetic quality to work. But here, when the story is stretched out, we are constantly reminded of the lack of particulars. And at some point, not telling us more about the main character and his problems is just coy or frigid on Kaufman's part.I should note that I have no problem with the main character being unsympathetic, nor the attempt at exploring the humdrum side of life in many scenes, nor the film's plot/conclusions being flat/troubling/puzzling, nor scenes that aren't always ""entertaining"". But those scenes have to do something besides show you that dull dialogue imitates dull talk in life. And if Kaufman was interested in tone/lyricism, theme, and irony OVER human particulars (and therefore other things that art can do), he was obliged to take careful, un-self-indulgent account of what the story could sustain. For the second film in a row, he hasn't.I see why, on the the business side, this CAN'T be a $3M short when you can make a $10M feature instead. But this has no bearing on whether the feature has problems. And I understand why a lack of human particulars is fitting for puppets (and how from an ironic, existentialist and behaviorist point-of-view, we might be more puppets than we care to admit), but a few modern ideas don't automatically make 90 minutes worth of story."
2,Anomalisa,8,15 July 2016,Kaufman's Bleak Outlook on Life and Human Relationships,"Every time I see a Charlie Kaufman film I'm reminded how fearless he is at examining the human condition and why I need to put a lot of time in between watching his movies.In ""Anomalisa,"" his Academy-Award nominated animated film, David Thewlis and especially Jennifer Jason Leigh do tremendous voice work as an emotionally ill minor celebrity and the shy, awkward woman with whom he enjoys a one-night stand while at a conference at which he is the speaker. The film is an examination of middle-aged male discontent and loneliness, a subject a younger version of me was always impatient with and which the 41-year-old version of me now finds hits uncomfortably close to home. Kaufman creates a sad character who has many unpleasant tendencies but isn't necessarily a completely unpleasant man, and allows us to see how this one night in the man's life and his approach to human relationships is a stand-in for his entire adult life and the driving force behind his depression.As in his masterpiece, ""Synecdoche, New York,"" Kaufman refuses to give in to the convention of happy, or at least hopeful, endings, and suggests that it is possible to live an entire life being utterly miserable if you don't possess the resources to do otherwise, a terrifying idea to anyone who has struggled with depression, anxiety, or even just prolonged bouts of general malaise. In so many Hollywood movies about unhappy people, the unhappy people just need the emotional connection to that one special person that shakes them out of their funk and changes everything around for them. One of the things I liked best about ""Anomalisa"" is its suggestion that, while those special people really do exist, happiness in any one person is something that has to come from inside and isn't going to be imposed on one by another. It isn't comfortable to think about the possibility of life being a long series of missed opportunities, but it feels honest.Grade: A-"
3,Anomalisa,9,7 August 2016,Offers a real insight into the human soul,"It's been 8 years since Charlie Kaufman's directorial debut, Synedoche, New York - that great but under-appreciated little film about a man (the late Philip Seymour Hoffman) who dreamed of building a scale model of New York in a warehouse. The critics seemed to like it but didn't voice their approval very loudly, and chances are many won't remember its existence. Funded by a Kickstarter campaign, Kaufman's latest is a stop-motion collaboration with Duke Johnson, an animator probably most famous for his Adult Swim works.Beginning with mundane chatter in mundane locations, Anomalisa is in no rush to hit you with any visual splendour, which tends to be the norm for animated films. Instead, we follow our miserable protagonist Michael Stone (David Thewlis), a British motivational speaker whose book on customer service is the handbook for those unfortunate enough to be in the business, as he lands in Cincinnati. He grabs a cab ride with an annoying driver who seems to be completely unaware of Michael's depressed, frustrated state, and insists he visit the zoo and tries to Cincinnati's famous chilli. He arrives at his hotel, the Fregoli, where he is unnecessarily escorted to his room by an over-friendly bell boy who informs him of the delights of his standard, mediocre room.It's probably at this point that you'll realise you haven't been imagining that all the characters look and sound alike, and instead that this is a deliberate tactic key to understanding the mindset of Michael and the themes of the film. The name of the hotel is a clue, as the Fregoli delusion is a condition that causes a person to imagine everyone else to be the same entity in disguise with the sole purpose of inflicting torment on the sufferer. Here, everyone has the face of an adult white male (even the women and children) and has been blessed with the soothing, distinctive voice of Tom Noonan. It is only when Michael stumbles upon two women in his hotel who are there to see his speech the following day that this spell is broken. One of the two women, Lisa, has a barely noticeable facial disfigurement and sounds like Jennifer Jason Leigh, and Michael is enamoured.Michael's relationship with Lisa, who be dubs 'Anomalisa', gives the film a much-needed heart, as this may have otherwise been an exercise in misanthropy. There's no fantasy romance here, but a dinner date where everyone involved drinks too much, Michael's awkward invitation for Lisa to accompany him back to his room, and a sex scene which is, ironically, the most realistic I've ever seen on film. Michael accidentally rolls onto her hair, she bangs her head, he asks her the awkward question of whether she's cool with oral sex - there's certainly no pan to a roaring fireplace,You would think that the heightened sense of realism would make the choice to film this in stop-motion slightly redundant, but oddly, it makes the film even more human. It also allows Kaufman and Johnson to show much more of life's ugliness - we are treated to Michael's middle-aged stark naked body jumping out of the shower and the sight of a random man across the way getting ready to masturbate in front of his computer. It's often difficult to sit through. I work in customer services myself and can empathise with Michael's internal struggle of feeling trapped within himself and that others are barely distinguishable from one another. Don't expect any tidy resolutions either, Kaufman is intelligent enough to realise that the excitement of meeting an interesting girl is only temporary, and life will still go on. It's upsetting, certainly, but Anomalisa offers a real insight into the human soul and makes a lasting impression."
4,Anomalisa,5,21 March 2016,Puzzled by The Acclaim,"This is a small film  by which I mean it's not a great one. This is, of course, in contrast to all the critical praise which has been heaped on it. The word ""masterpiece"" has featured in many reviews, but I can't agree. I'd stress that I'm a huge Charlie Kaufman fan and my anticipation on going to see the film was equally as big as my disappointment after I'd done so. So what's the problem? I think it's the smallness of the story;yes it's about alienation,yes it's clever, yes the sex scene is achingly real and uncomfortable, but this movie has only a few points to make  mostly about alienation and the ""otherness"" of people  and while it makes them well, they don't amount to a decent movie. Thinking about it afterwards  and puzzled by the praise it has received and disconcerted by my own disappointment  I realised that if this movie has been made with human actors it simply wouldn't get the same sort of critical acclaim, in fact, it would be deemed dull, dull, dull. The thing which lifts it out of the ordinary  but not into the extraordinary  is the fact that it's told via animation. I urge anyone who loves the movie to try and imagine sitting through the same script acted by real people  it would be achingly boring."
5,Anomalisa,4,4 December 2016,"An oddball that did not work for me, personally","Anomalisa is a strange film about a man, Michael Stone, struggling with paranoia, mid-life crisis, and ageing. He has travelled to Cincinnati for a conference on customer service, but is also pursuing an old flame, struggling with his marriage and child, and lonely and confused. He is also suffering from a neurotic disorder, which I will discuss later.So that innovative part of the film is its use of character models. The film is shot with dolls, and all the actors are voiced by the same person. This is in reference to Michael's paranoia, something called a Fergoli delusion, where he believes all people are in fact the same, and believes he is being watched or in danger. The film uses this as its plot point, where Michael is struggling to cope with life, but also begins having neurotic episodes. He pursues an extra marital affair, drinks heavily, and his depression and anxiety are evident.Frankly, this film didn't mesh with me well. I enjoyed the innovative style of the film, with the dolls, and appreciated the attempt to make the audience feel the same strangeness associated with Michael's delusions. All the people look the same, and sound the same, and Michael and the audience struggle to recognize characters. The build up of this paranoia is also interesting. The audience may also empathize with Michael's mid-life issues, and depression.However, I felt the story did not hold up well as time went on. The metaphor works well in brief, but aside for some humorous and interesting moments and conversations, the film feels like it goes nowhere. Maybe that is the point of the film, but it did little to make me feel like the experience was worth viewing. I do not mind a good slow burning film, or one that is supposed to represent reality, and Anomalisa is one of those films. However, the formula did not work for me in this case. The story fell flat, I struggled to empathize with Michael's character, and much of the film was a bit on the dull side unfortunately.All in all, an innovative style and some good humour and poignant moments on mental health and depression do not carry this film above the mark in my opinion. The film is a tad dull, the story stretches, and Michael's character did not elicit any empathy from me. Although I felt bad about his situation in life, the way he treated others did little to his credit. Frankly, I wish I felt more about this film, but I viewed it, and have little else to say. It was innovative, and interesting and very artistic. However, it left behind little for me, and I am sure I will soon forget it. A bold attempt, and I hope to view more life it in the future, but not a film for me, I believe."
6,Anomalisa,8,1 January 2016,The Voice of a Songbird,"Greetings again from the darkness. Seeing Charlie Kaufman's work described as ""strange"", ""weird"" or ""bizarre"" makes me cringe a little because most of his films hit my sweet spot of curiosity, insight and expression. I easily relate to his creative vision and commentary in films like Being John Malkovich, Adaptation, Eternal Sunshine of the Spotless Mind, and Synecdoche, New York. His characters are always searching for something and trying to discern the meaning of life  or at least of their own life. This latest has Kaufman adapting his own stage production, and collaborating with co-director Duke Johnson for what is likely (for the vast majority of us) our most startling existential stop-action animated puppet cinematic experience.The unusual opening of the film is a black screen with only background noise and voices, and the first chuckle occurred within about a minute thanks to one of my favorite cultural references of the year: ""Kojak, not Kolchak"". Slowly the screen evolves to show clouds in the sky, and soon an airplane appears and our first peek at Michael occurs  he's a passenger on a flight. The vast majority of the rest of the film takes place inside the Fregoli Hotel  aptly named because Michael seems to suffer from a twist on Fregoli Delusion (a person believes those around him are all the same person in disguise).We soon notice that Michael appears beaten down, even exasperated with life. He is an author in town to give a presentation on his specialty  Customer Service. The story continues along familiar lines of a business traveler in the midst of a mid-life crisis, until things change for him when he stumbles on a couple of his fans who are in town for his presentation. One of them is Lisa, whom Michael is attracted to thanks to her innocent energy and wonderful voice. What makes her voice so wonderful? Well, it turns out that Michael is voiced by British actor David Thewlis, Lisa is voiced by Jennifer Jason Leigh, and EVERY other character in the film (male or female) is voiced by Tom Noonan. Lisa and her voice are the anomaly that makes up the film's title  Michael is smitten with her because her voice is not like all the others - providing a spark of hope.Mr. Kaufman seems intent on making us realize how easily we can slip into a rut and simply go through the motions in life  every day and every person being pretty much like the rest. Michael has learned to wear his Customer Service mask  one who pretends to care about the issues of others. It's a terrific metaphor for someone refusing to face the responsibility for their own happiness. His awakening occurs at the hands (and in bed) with Lisa. Yes, you should be prepared for the uncommon and slightly unsettling site of Puppet Private Parts. The clumsy passion of the first encounter between Michael and Lisa does wonders for each of them  restoring her self-esteem and awakening him from his daily slumber of hopelessness.While the story itself is quite simple, the use of puppets prevents us from getting overly personal or judgmental with the characters, and forces us to deal with the emotional and mental aspects of what keeps so many from leading happy lives. Lisa's acapella version of ""Girls Just Want to Have Fun"" ignites the fuse in Michael, and just like that, both he and Lisa are jolted from their own self-imposed limitations. No longer able to just go through the motions, Michael's overreactions at breakfast and during his presentation are all part of his re-awakening  the most profound puppet awakening since Pinocchio. Perhaps Mr. Kaufman thought we might be more receptive to his message and observations if delivered by a non-threatening puppet, and perhaps he's correct. The message is delivered loudly and clearly  though I will probably hear Tom Noonan's voice in my nightmares. The look of the movie and the puppets is fantastic, and Carter Burwell provides yet another spot-on score."
7,Anomalisa,8,10 October 2015,"Poignant, poetic, and heartfelt.","""Anomalisa"" is in my opinion one of this year's most important films. The film centres on Michael Stone, a depressed customer service guru who struggles to connect with others, finally meeting someone he can truly connect with - a woman named Lisa.Anyone familiar with Kaufman's work knows that he has a tendency to write incredibly deep and complex stories embedded with a plethora of themes. ""Anomalisa"" might just be the one exception (or anomaly) to that fact. The story is surprisingly simple; most of it takes place over the course of 24 hours. The messages behind it, fortunately, will still require multiple viewings and further analysis in order to be fully grasped. The final synthesis is elegantly woven to near perfection and is at times humorous and even thrilling. Running at only 90 minutes, the film never feels slow nor bloated. I believe ""Anomalisa"" is a good starting point for those just starting to get into Kaufman's filmography.The stop-motion animation is some of the best that I have ever seen on the big screen. For a project that was funded on Kickstarter, I have to say that the quality of the animation is the equivalent to what you would see in an Aardman Animations or Laika production - if not better. There were certain shots that made me stop and really appreciate the efforts that the team went through just to make all of their characters' movements flow realistically. Kudos to them!The reasons why I think ""Anomalisa"" is one of this year's most important films not only have to do with the way the film was financed and produced, but that it also opens up a dialogue on isolation and social disillusionment - they are usually seen as flaws inherent only within the individual, despite the fact that everyone plays some part in furthering it.""Anomalisa"" is a true work of art on many levels. It is a simple story that touches on a wide range of emotions, riddled with the complexities of our perceptions on relationships. Do not be surprised if this film makes you laugh more than cry. Do not be surprised if this film makes you cry more than laugh - for that is the true beauty of this anomaly of a film."
8,Anomalisa,7,19 March 2016,Irrational Man,"(RATING: ☆☆☆½ out of 5) THIS FILM IS RECOMMENDED. IN BRIEF: A serious treatise on loneliness that, while making some intriguing insights, does ramble on and on.GRADE: B-SYNOPSIS: On a business trip, a lonely man searches for love among the ruins of his ordinary life.￼I begin this review with a quote from Immanuel Kant: ""Happiness is not an ideal of reason, but of imagination"". This sums up the film, Anomalisa very succinctly. The film is an imaginative journey into the mind of a sad man who has lost all reason, living in a world where everyone is uniformly the same, in voice and appearance.Nominated for a 2015 Oscar for Best Animated Film (and finally receiving wider distribution nearly 4 months later), Charlie Kauffman's stop-motion film has an odd yet intoxicating allure. It is a character study of a lonely man content to live within his own illusions, with reality just outside his grasp.David Thewlis voices the character of Michael Stone, a man unable to connect with others. Michael settles for his cloistered existence. His responsibilities to his family and his job ties him down. He is a successful author and keynote speaker, discussing self-help techniques to the masses without the ability to help himself in his private life. On a business trip, he meets various strangers (all voiced by Tom Noonan). A feeling of hopelessness overpowers him. But it isn't until he finally hears a different voice in the form of Lisa Hesselman (Jennifer Jason Leigh) that he finally awakens to life and all of its wondrous possibilities. He nicknames her Anomalisa (a cross between an anomaly and Lisa herself). Their encounter becomes the crux of the film as MIchael's sanity slowly becomes unhinged, in the most literal sense.￼Writer / director Charlie Kauffman creates a dreamlike film that is visually captivating but leaves many questions unanswered. (Sharing directing credit is also Duke Johnson.) With its deep philosophical bent, Mr. Kauffman's screenplay allows for too much intellectualizing and grand- standing of the human condition, interfering with the beauty of his simple tale. The film is beautifully staged with wonderful detailed sets by the production team of John Joyce and Huy Vu and a haunting score by the reliable Carter Burwell that adds to the melancholia. The film's initial premise is intriguing, like experiencing a profound lecture or reading a compelling essay or poem, yet the level of satisfaction will differ with each viewer. Does one like metaphysical debates about the importance of life, happiness, and the general state of the human condition? Is it time well spent or wasted on thought-provoking meaningless observations? Is the glass half-empty, half-full, or not really there at all? Was I caught in a freshman class of Philosophy 101? (As you might tell, my feelings were decidedly mixed.)￼While I enjoyed the film's animation and the atmospheric toll on the characters, this wisp of a plot edged on monotony, even though the film dealt with some provocative concepts. Technically, the stop-motion aspects are quite effective and achieve a graceful elegance. (Midway, the film takes on a more surreal quality which I personally found more compelling before it reverses itself once again.) But the overall script needed more risks into a wider range of bizarre and weird images that are capable within this animated genre. Instead, Kauffman and Co. settle for a tame strangeness as it trips over in its own wordiness and drawn-out ramblings.No doubt this film is a labor of love and, on that, it should be commended. Anomalisa is the type of film project that one can greatly admire, but love never became part of the equation for this reviewer. Like the character of Michael, I just could not connect emotionally. I remained an avid observer and outsider throughout this movie-going experience, with true happiness just out of my grasp as well.Visit my blog at: www.dearmoviegoer.comANY COMMENTS: Please contact me at: jadepietro@rcn.com"
9,Anomalisa,7,3 January 2016,Brave & Depressing!,"There's no other to say it: 'Anomalisa' is beyond the ordinary, its something like you've never seen before (well, almost). Oscar-Winner Charlie Kaufman Writes & Directs this unusual story, with sensitivity, although the final-act turns up bland. More on that later...'Anomalisa' Synopis: A man crippled by the Mundanity of his life experiences something out of the ordinary.'Anomalisa' is a story about a man stuck in monotony & depression. Kaufman along-with Co-Director Duke Johnson, delivers a sad story about facing repetition in life. And they begin the story beautifully & it remains great even after its protagonist forms a relationship with a ""different soul"". BUT, the final-act is a downer. The narrative falls apart & even though Kaufman's message comes across, it doesn't leave an impact. The open-ending also doesn't work. In short, 'Anomalisa' works wonders, until it falls apart in its penultimate moments.Kaufman's Writing is truly terrific in the first-hour, but as mentioned prominently before, this story deserved a better end! Kaufman & Duke Johnson's Direction is skilled, as the stop-motion adult animation, is brilliantly done.David Thewlis, Jennifer Jason Leigh & Tom Noonan deliver mesmerizing vocal performances. Leigh, especially, is magnificent. After 'The Hateful Eight', Leigh triumphs once again with a super act in 'Anomalisa'.On the whole, Despite some faults, 'Anomalisa' deserves a watch for its brave approach & its perfectly done depressing setting."
