,title,stars,date,r_title,text
0,BPM (Beats Per Minute),9,16 August 2017,Highly Recommended - One of the best films of the year,"TThis is one of the best films of the year. 120 Beats Per Minute dramatises a dramatic few (early) years of ACT UP Paris, a direct action AIDS advocacy group. The film opens by initially presenting many different participants in meetings and demonstrations to give an understanding of the diversity of the people affected by AIDS and the group itself. It then hones in on two main protagonists  Sean and Nathan. Sean is HIV positive yet starting to develop AIDS. His fiercely political and personal fight against AIDS, ignorance, fear and the lack of interest from Government, pharmaceutical companies and the general public to their personal plight is heightened by the growing number of deaths decimating the gay community around him and the little time he may have to live. Nathan is a new member to ACT UP, HIV negative, yet quickly learning about HIV, AIDS, drug interactions, scientific analysis, and the political and social landscape of AIDS. He eventually falls in love with Sean, and will eventually have to take care of him much earlier than expected. Both men are in their early 20's when we meet them and this is probably the most heartbreaking and devastating aspect of the film and its story- that this disease claimed so many young lives within a society that for the most part did not care about their plight and stigmatised them because they were gay, had AIDS, and / or did not like their sexual practices. The film follows ACT UP meetings, protest rallys and demonstrations (which are both shocking and humorously presented); alongside Sean and Nathan's growing relationship. One scene in particular I will never forget - when they gate crash a class at a high school to inform the students about safe sex, as nobody was informing them because of the sexual nature, and the camera keeps on returning to one young student mesmerised by the groups actions; showing how they did have an impact through their presence. All the performances are beautifully rendered, and while the running time may seem long it is understandable when seen in context with the emotionally powerful last quarter of the film. This film was an experience that haunted me for days afterward. HIGHLY RECOMMENDED."
1,BPM (Beats Per Minute),8,7 September 2017,Sobering look at the AIDS epidemic,"""BPM"" (2017 release from France; 140 min.; original title ""120 battements par minute"" or ""120 beats per minute"") brings the story of a group of activists in Paris, France who are trying to raise awareness as to the deadly epidemic going through the gay community in the early 90s. As the movie opens, the Paris branch of ACT UP is welcoming 4 new members to its ranks. We witness the meeting where there is strong debate as to what action to take. Along the way, the movie focuses on one particular guy, Sean, as he struggles, health and otherwise. To tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the latest movie of French director Robin Campillo, who previously gave us the excellent ""Eastern Boys"". Here he goes a very different direction, looking back at the dark days when AIDS was raging and little or certainly not enough was done by the government (with multiple stabs at then-president Mitterand) and the pharmaceutical industry. One of the strengths of the movie is that Campillo on multiple occasions lets the scenes play out without hurrying. There is little or no music to speak off in the movie, and again that only results in the film being ever more impactful (the last 40 min. pack an emotional wallop). Even though the Sean character is central, the movie comes across as an ensemble piece, with lots of stellar performances. Last but certainly not least, when watching this, I couldn't help but think back to that other AIDS movie from 2 decades ago, the Tom Hanks-starring ""Philadelphia"", in the ""Hollywood version"" of what AIDS was about. ""BPM"" easily blows ""Philadelphia"" out of the water. Bottom line: regardless of how you personally feel about the AIDS epidemic in the early 90s, ""BPM"" brings a sobering look and is nothing short of a masterful movie.""BPM"" premiered at this year's Cannes Film Festival, where it was met with immediate critical acclaim (winning, among others, the ""Grand Prix"" award--in essence the silver medal as compared to the ""Palm d'Or"" gold medal). I happen to catch this movie during a recent family visit in Belgium. The early evening screening where I saw this at in Antwerp, Belgium, was attended very nicely, somewhat to my surprise. I would think this will eventually make it to US theaters, although given the nature of the film, this certainly cannot be taken for granted. If you have a chance to check it out, I'd encourage you to do so."
2,BPM (Beats Per Minute),,9 October 2017,"Intelligent and brilliantly unsentimental, but loses its way a little","An intelligent yet visceral film about the gay community in '80s Paris, which starts brilliantly  focusing on the protests and meetings of Act Up, a group of guerrilla AIDS activists  before turning into a film about a man dying of the illness.No matter how compassionately, credibly and intimately it does that, segueing from a film about ideas to one about the individual, contrasting the character's dynamism and beauty with his pain- ravaged impotence, and showing the body  not the city  as the battleground, it's ground we've covered countless times before, and (at the risk of sounding awful) it made the movie increasingly tedious.At its best, this confrontational, unsentimental but humanistic film has unexpected echoes of Melville's Army in the Shadows, which looked at action, division and necessity within the French Resistance, and I understand why it included so many sequences of illness and sex, but those elements don't seem as interesting as the story it started to tell. When it returns to it in those final moments, loaded with the suffering and sadness of what's gone before, the results are admittedly astounding.Nahuel Pérez Biscayart is absolutely terrific as Sean, a founding member, Mesut Őzil-alike and all-round complex human being, first introduced to us justifying the fact that he and his mates have handcuffed a government official to a post during his team's PowerPoint presentation."
3,BPM (Beats Per Minute),9,22 August 2017,outstanding !,"(120) Beats per minute is a great french movie which deals with the AIDS epidemic, set in France in 90s. A must-see film. I think probably one of the best movie of the year. Awards : ""Grand prix"" and Queer palm of Cannes film festival 2017. So, talk about it with your (girs/boy)friend(s),parents and even pets. Enjoy this movie ; )"
4,BPM (Beats Per Minute),3,14 January 2018,Politics in film awards ?,"Repetitive. Did not go anywhere. Characters are ""pretty"", but mundane. Sensationalism, i.e lots of sex. Writing is fair at best. Need to cut about 40 minutes out of the movie. Do we really need to go through every step of dressing a dead man. Obviously politics in ""film awards""."
5,BPM (Beats Per Minute),3,28 August 2017,Lengthy French aids drama,"'120 Battements par minute' is about the protest movement Act Up Paris, which tried to put aids on the map as a major problem. The film is set about thirty years ago, when there was no efficient treatment yet against aids. There is at least one other film about this era and about this theme: 'Dallas Buyers Club'. Both films show how desperate aids patients were to get their hands on promising new medication. Both films show what the disease can do to a human being. Both films show the ignorance and prejudice of that period.The American film is a clever, well-made and well-written film in which the development of the lead character is central. But the French movie is slow-moving, lacks any suspense and doesn't seem to have any central focal point.It starts by showing, in excruciating length, the weekly meetings of the Act Up members, who more often than not embark on endless discussions about something as mundane as the slogan for a campaign poster. They also try to disturb official meetings, and invade a pharmaceutical company which refuses to release the test results of a certain kind of drug.This last story element offers some dramatic possibilities, but the film makers don't elaborate on it. This becomes clear when, in one scene, the managers of the pharmaceutical company are invited to explain their policy to the Act Up members. Instead of showing this exchange of differing opinions, and thus creating some much-needed dramatic development, the story moves away from the pharmaceutical company to the experiences of one individual Act Up member. Suddenly, he becomes the protagonist, and we see him struggling with the disease.Throughout the whole film, I kept on thinking: what's the point? Where is this story heading? Why is the first half of the film about a group of people fighting for a cause, and the second half about one individual fighting against a disease? The problem is also that the urgency is gone. Most of the things Act Up is angry about, are solved now. Very few people in the western world die of aids anymore, and everyone is aware of what the risk factors are. The makers of 'Dallas Buyers Club' knew this. That film was not so much about aids, it was about how one particular man handled aids. In '120 Battements par minute', the disease is still very much the lead character."
6,BPM (Beats Per Minute),8,13 December 2017,A film that will probably stay on your mind for a long time,"""120 battements par minute"" or ""120 Beats Per Minute"" or ""BPM (Beats Per Minute)"" is a new French 2017 movie that runs for a massive 2 hours and 20 minutes. This one was written and directed by Moroccan filmmaker Robin Campillo and it may be his biggest success so far looking at the movie's awards recognition. It is also France's official Oscar submission and we will see how far it gets there. The subject sure deserves to make an impact as this is about the group ACT UP in France over 2 decades ago who were fighting for a better life for H.I.V. patients at that time and opposing those standing in its way like political institutions struggling to inform students properly on the subject of sex education or medical companies most of all, who put their financial interest over those suffering from this horrible illness. I personally think that this is a subject that really deserves the attention and also one that has not got it yet to the extent it should. Normally you find H.I.V. plots and references only in side stories in films. It's good this one was made. It is important. The cast includes mostly up-and-coming young actors that I as a German audience member must say I did not know before watching this one. Maybe Frenchies will know them. The one exception here would be Adele Haenel, who also probably gave my favorite female performance. As for the males, I quite liked Reinartz and of course Nahuel Pérez Biscayart, who eventually probably turns into the movie's MVP, something I did not expect early on. Admittedly, he also has great material, but he also made the most of it.Impressively, the film never really drags despite running for almost 150 minutes, at least not to me. I personally enjoyed the moments involving the group (also the introduction to the group early on during which the camera basically treats us like an actually new member, very well done) more than those focusing on the members' individual lives, like especially the love relationship between the new member and old member, but this also got a lot more interesting the longer it went when things take a turn for the worse sadly. And eventually, there is this coming together between the group element and the individual member element and I quite liked that too. The most powerful moment was probably the graveyard reenactment with the crosses, I'm sure ou know what I mean, that was truly touching. Another thing I liked was that they did not show the group as a mass of everybody thinking the same and agreeing on everything with each other. Discussion and conflict were vital in making the right decisions and moving closer to finding common goals and reaching them. Watching this show will in fact make you want to be a part of this movement and wants you to join the group in one way or the other as they all seemed friends sticking together closely, even if their opinions may differ frequently. As for the very ending, we got the evidence that a life may have been lost, but the movement only gets stronger and everybody sticks even closer together with each other. Plus the way they went from loud to completely silent the moment the credits roll in was a smart decision as the film offers really a lot to think about.Honestly, I must say I am not too sure if the Oscars will go for this one here due to the subject and running time, but I will cheer for them for sure and would be happy to see them nominated. The win is a long shot though with Sweden perhaps being in the best spot at this point. But at least 120 BPM did not go comnpletely overlooked this season. It is one of the best 10, maybe even 5, films I have seen all year and I highly recommend checking it out. Combining the general movement with individual stories may certainly have been a good decision here and the execution is close to flawless also in terms of the technical production values. These also added to this being an unapologetically bold, radical movie full of energy, full of emotion and full of grief. But most of all full of progress about a group that shaped the way for generations to come. H.I.V. may not be one of the most controversial topics in the western world these days, but we should not take that for granted and thank those who were blazing the trail. So get a good set of subtitles (unless you are fluent in French) and watch this one on the next occasion you get. Highly highly recommended, it's rare to see a touching political movie these days, but this really works so well from start to finish in that department that you really don't want to miss out. No excuses. See it."
7,BPM (Beats Per Minute),2,8 October 2017,Does not deserve the grand prix,"Disappointing (though not surprising) that this propaganda film won the Grand Prix at Cannes - as well as the 'Queer Palme' (the fact that such an award exists... no comment...). I went in hoping for the best, hoping for something better than a message film. The dynamics of the militant group Act Up were initially, marginally engaging, but halfway through the film changes gears, focusing on one activist who ends up dying. The emotional payoff is, alas, not even close to worth the two and a half hour running time - I didn't care enough about the character who ended up dying, and the activist thing didn't really go anywhere. None of the characters were very appealing. The powers that be (pharmaceutical executives and high school teachers) were painted as hard-hearted cold fish villains. Suffice to say - about an hour and a half in I'm literally hoping the main character will die already so the film will end... I contemplated leaving early.The critic from Le Monde baffling claimed that the film whitewashes sexual minorities; on the contrary, be warned: there is graphic gay sex in the film, which I really could have done without."
8,BPM (Beats Per Minute),7,22 November 2017,Ashes are Edible,"A story with a particular historical moment in mind has been rendered timeless. A random first generation Gameboy generates a temporal whiplash, as the film's events are portrayed as contemporary catastrophes. Silence equates to death, and the team meeting in a college lecture hall has dwindling numbers, yet deafening shouts.A prejudicial plague scorches France, bringing an already tight-knit community into a blood brotherhood. ACT UP is a guerrilla group full of eventual corpses. The HIV epidemic has threatened their love and survival. Pharmaceutical companies have cubical indifference as antidotes are sluggishly distributed by financial logistics. As the non-violent vigilantes face just as many internal conflicts as press-generated woes, their operations grow in scale and creativity. Their weekly conferences have an intentional cadence complete with respectful snaps, hisses, and hand signals designed to facilitate the mutual understanding that has gone extinct beyond the university walls.Sean is one of he founding members, and has some of the worst test results. He is the loudest in any given demonstration, and celebrates harder than all his peers. ACT UP is Sean's final lifeline, and his involvement resounds as a funeral dirge among a thunderous parade.Campillo has delivered another dialogue driven barrage of human desperation. The sprinkling of establishing shots offer a reprieve from the claustrophobic disputes between the positives and the businessmen impartial to death. An important angle to an understated tragedy that shaped legislation in the most vital ways."
9,BPM (Beats Per Minute),7,7 January 2018,The love story outshines the activist story,"N Paris in the 1990s, a group of AIDS activists (the Paris chapter of ACT UP) plans regular meetings to set up demonstrations and protests - mainly against drug companies. Two members of the group become involved in a romance: Sean (Nahual Perez Biscayart), a long-time activist who is HIV-positive; and Nathan (Arnaud Valois), an activist newcomer who is HIV-negative.""BPM"" lacks a full historical context as to why ACT UP is so angry against the drug companies among other institutions and individuals. While the urgency is understandable for those living with AIDS, there is no perspective given to drug companies on why they and their representatives are so despised. They (of the drug companies) are given too little exposure for the viewer to understand their perspective. Perhaps a scenario of annoying bureaucracy would have been helpful. During that tragic time period, there was a lot of indifference, denial, and prejudice about AIDS. This is not reflected well enough in the film. Instead, the drug company reps look innocent while some of the ACT UP activists come off as violent and harsh. This should not have been the case.But the movie truly shines in the relationship between Sean and Nathan. Both actors do a great job especially Perez Biscayart who shows a strong range as Sean's physical condition gradually deteriorates. The film also excels in a particularly moving death scene. It is very realistic as those grieving share a collective silence and awkwardness among each other. This scene easily reminds viewers of the various losses in our own pasts. Despite the film's flaws, its assets make it a touching experience."
