,title,stars,date,r_title,text
0,Balance,10,22 March 2000,Winner of the Oscar for Best Animated Short,"It's been several years since I saw this, but it sticks in my mind like I saw it recently.  This short does one of the best jobs I've ever seen of making a point in minimal screen time.I won't go into the plot of the moral; part of the joy of this film is figuring it out.  When I saw it, you could watch the audience members individually recognize what was happening over the time of the film.  It's under 10 minutes long (I believe), and it would be a shame to spoil it for someone.The film is not something children would enjoy.  While there's nothing objectionable about the film, it's not typical colorful, pretty animation. One thing that struck me is that the animation style is very Eastern European, while the plot is rather Asian (group dynamics).The bottom line is that this is well worth seeing -- and it won't even take that much time out of your schedule!"
1,Balance,,3 January 2000,First-rate animation short,"This short film was completely absorbing and finely worked out.  It held my attention from the moment it began until the conundrum of an  ending, which earned it a round of applause at the 19th Street Theatre in Allentown, PA, where I saw it.  The film illustrates the need for humankind to cooperate and shows what happens when one doesn't do so, when he puts his selfish interest above the good of the group, even to sending others to their death. One's selfish pursuit cannot be justified, the film implies, even in the pursuit of art (after all, it was music in the box and the man wanted that music for himself or wanted to explore the interior of the box, i.e., the music, in greater depth).  Film has many implications, would repay several viewings and stimulate much discussion."
2,Balance,10,9 December 2007,A Stunning Work from Germany's Communist Collapse,"A platform floats in a neutral space. Strange men, identical except for the numbers on their back, appearing as though out of some dystopian future, must work in concert to prevent the platform from tipping. The emergence of a strange box, a new development in this closed and sterile space, disrupts the tedium but also the teamwork, as each man wants to individually inspect and enjoy the boxthreatening them all as the platform becomes increasingly unbalanced.Add though a context. A time and place to the film's creation. Germany, 1989. The fact that the men are identical but for their numbers, is this not a oft-used symbol for the anonymity desired of those in a Communist society? That they are all the same and thus interchangeable? The cooperation they display at first is perhaps indicative of Socialism, and the box, what is the meaning of the music it plays, the dancing it inspired? Radio Free Europe used to broadcast American music, such as the jazz heard coming out of the box, into Communist countries throughout the Cold War. Perhaps the box is a symbol of possibility, of what is outside the closed system, which inevitably undermines said system.And so a parable about selfishness becomes an allegory about German society and Soviet Communism at its fall. The sad and ironic ending of Balance, who is at fault? The men that fail to do what is best for them? Or the system that fails to acknowledge this human quality?Read the full review at ShortoftheWeek.com"
3,Balance,9,3 August 2006,Astounding Short,"Balance is a excellent short which revolves around a square board hanging in the air. This board represents the world. On this board are five men, all fishing over the side. There obviously represent the people of the world. These five men must cooperate with each other in order to keep the board balanced so that it doesn't tip. One man then reels up a musical box from the side of the board. This man wants to keep this box all to himself. However if he does this the board will become unbalanced and will effect others. But if this man were to put the musical box in the centre of the board and share it so that everybody could enjoy it together, then peace and calm would still exist on the board. This is obviously referring to people's possessions and resources, and how if one part of the world takes too much power over resources, then other parts of the world will be effected, yet if we shared all resources, all countries would be balanced and we would have no need for concern and worry. The short is simple and creepy, yet this emphasises even more about how the shorts message need to be taken into account and have something done about it, because it's message is simple and the ideas of what could happen if the world went into conflict over resources is an unsettling feeling. The end consequences of the short are amusing, but hint what could happen in reality. This short is very clever and well-made, and has messages and meaning. A short I could view many times and have very good conversation and debate over. A really interesting film to seek out."
4,Balance,10,13 December 2001,One of the most disturbing shorts I've ever seen.  This is excellent!,"This short won an Oscar for Animated Short and was most deserving of the honor.  This has got to be the most disturbing and thought-provoking animated short I've ever seen in all of my life.  I kept thinking about the ending for several days.  It reminds me of a three part Chinese curse: 1) May you live in interesting times 2) May people in high places take notice of you and 3) May you get everything you wish for.  A sad commentary on human nature.  This is in print on The World's Greatest Animation and is worth getting, not just for Balance, but for practically everything on it, as it's all worth seeing and most is outstanding!  Most highly recommended."
5,Balance,10,21 February 2000,A perfect film,"I second the view of the Canadian commentator, who said this was the greatest animated short every made. It is perfect in a way only Chris Marker's ""La Jetee"" is--pure and simply, one of the best films ever made. Go out of your way to find it on video--it should be on one of the ""International Tournee of Animation"" videos or the video pictured above. 6 men. 1 platform. And a strange object."
6,Balance,,28 January 2002,Mindblowing,"Sometimes the visuals in our heads can only be realized through animation,because it is not bound by flesh,gravity or reality. BALANCE is twisted and surreal,an interesting look at men who risk falling into nothingness for the chance to hear music. The equivalent of a Kathe Koja story set to film,BALANCE is unforgettable right up to its ironic, haunting final image."
7,Balance,10,22 November 2001,A masterpiece,"By far the greatest short I have ever seen. The style of animation in this short is very interesting and a little dark, but appropriate for the story. The moral of the short, the need for cooperation in society and what could happen without it, comes through clearly and is well done. It won the Oscar for Best Short Film in 1990, and it certainly deserved it. Check this out!10/10"
8,Balance,10,24 April 2001,The most profound short that I have ever seen.,"Balance stresses the need for Cooperation in society when, in our present times, Individuality is paramount.  In this film, the whole world is a raft in space, containing only four men, who are fishing.  They must always work as a team, spreading out around the raft (world), to keep it in balance, or else they will all fall off into the void.  To be together, they must all be in the middle, to keep the raft from tipping over.  One man pulls up a chest that plays music very quietly.  He desires to keep the chest for himself, so he does not move it to the middle of the raft, where all could enjoy it. The desire of all to be close to that chest undermines their teamwork, with dire results.  It is fascinating to watch how, in their desire for the chest, they begin to test the limits of their environment, just as man is currently doing with pollution. This film stresses that when you finally do find out what the environmental limits are, the damage is already done:  it is too late; disaster will ensue. It should be a requirement that all students study this film in class, every few years--since their understanding of it will grow as they do.  This visual impression could have a profound impact on the environmental thinking of future generations, if we allow them to exist.  Balance is the best allegory and the best short that I have ever seen.  If you like Balance, then I would suggest that you watch Neighbours (1952) by the great Canadian animator Norman McLaren."
9,Balance,,14 January 2000,Impressive...Very...,"I think I have not seen any German animation except this one. This is one of my favorite short films, and if you have a chance to see it, you will find out how brilliant the Director is.On a flat (in this world, there is only one small flat and five men on it), the five men had to make a balance not to be slipped. When one man wants to go fishing, the other four men also have to do the same thing.  It can be total-socialism or other else...like a physically balanced world.  When one man picked up a music box, and all of the five men want to hear the music without order, it became unbalanced.  They fought each other and one man won by dropping all the other four men under the flat world.  But, the survived winner had to stay at the corner of the flat while the music box stayed at the opposite corner, which means the remaining man could not hear the music anymore because he had to make a balance with that box on the flat.It's thrill to me to see this short but great movie.You can buy this with other Oscar nominated or winning short animations by DVD."
10,Balance,10,25 March 2000,WOW!,"By far one of the most amazing shorts ever put on film.  It may be difficult to find this short, but if you do, it is definitely worth the effort.  The concept is pure genius and I guarantee you will never forget the experience."
11,Balance,4,26 March 2015,Cooperation vs. greed,"""Balance"" is a 1989 Academy award winning animated short film by the Lauenstein twins when they were in their 20s. We witness a group of men with numbers on their backs standing on a platform, which is apparently hanging in the air. They all have fishing rods with them and end up with a chest, possibly a treasure. Early on, they cooperate nicely and get closer to finding out about the contents. However, they have to be careful to keep the platform in balance as the chest and one person needs to be on one side and the other fishermen on the other side in order to attain balance.However, their greed to be the only one to get the treasure becomes bigger and bigger, so one after the other keeps falling / is pushed down from the platform until only one is left. However, his fate now is not only that he cannot get to the chest, but that he basically cannot move or leave his side at all as it would instantly mean the treasure falling down and him right afterward possibly. Decent little final twist, but apart from that a forgettable short film with mediocre animation. Not too surprised to see the Lauensteins did not have a great career in the last 25 years."
12,Balance,8,13 June 2007,A balancing act,"'Balance,' the Academy Award-winning animated short from German twin brothers Wolfgang and Christoph Lauenstein, is a fascinating film. Five identical men (differentiated only by the numbers written on their backs) stand together on a mysterious unstable platform which balances precariously in space. When one man changes his position, the other four must also do so to maintain the intricate balance that is keeping them all alive. However, when one man recovers a cryptic musical chest from below, each person desires to examine it, their selfish wants eventually destroying the teamwork that is sustaining them.Running for just seven minutes, 'Balance' is of a perfect length. Despite the entire film taking place in exactly the same setting, with the same thing essentially happening over and over (the platform becoming unbalanced and then balancing again), it is a credit to the filmmakers that the film never becomes dull. The sound effects  of the platform creaking quietly beneath their feet  does a very good job at maintaining the suspense, and, believe it or not, I was actually on the edge of my seat for the entire seven minutes. The animation itself, though perhaps minimalist in style, is perfect for the mood of the film. The five characters are tall, straight and virtually identical, each with gaunt white, Nosferatu-like faces. Despite the deceptively simple style of animation, it is amazing how the characters' faces are able to convey emotion and intelligence; in their bid to outsmart each other and claim the mysterious chest, they are always thinking of more devious means to achieve their ends.The final image of the film is poignant and haunting, as a single remaining individual (notably #23, the only prime number of the group), stands precariously on the perfectly-balanced platform, the chest unreachable on the far side. Thanks to his own selfishness, #23 now finds himself unable to move even an inch, lest the perfect equilibrium be broken. It is a worrying, and all-too-accurate, allegory for the human condition"
13,Balance,10,19 January 1999,The best short that I've even seen,"As a Canadian, I have been fortunate to have many chances to see a large sampling of my country's animated shorts, which are consistently among the best in the world.  But this German short film manages to be better than anything ever produced in my country, and that says A LOT.  Even though it lasts only a matter of minutes, this short is hugely entertaining and memorable.  I've only seen this film once, and it was about seven years ago, but the feeling of how much I immensely enjoyed this short has not dimmed a bit.  It deservedly won an Oscar, and I can't urge you strongly enough to take a few minutes to watch this great piece of work should you ever get the opportunity."
14,Balance,,27 January 2017,cold,"definition of a well known state. men, numbers, a musical box. and the forms of solidarity. or power. this is all. nothing more. nothing less. a political animation , so simple than becomes cold , cruel, maybe ironic.or just a story of Franz Kafka. the message is so powerful than after the second view you discover its beauty. because, certainly, precise verdict. about relations and desire and selfishness and need to possessed, it is a simple story presented with beautiful grace and precision. so strange than it becomes slice of reality. or short history lesson of humanity. long time after its end, remains the images in memory. like a self exam. and this is the explanation for its special value because it reminds more than propose a story."
