,title,stars,date,r_title,text
0,Bambi,8,21 September 2004,A Disney film with a lot of heart,"If you talk to anyone about what film messed them up mentally as a child, Bambi is a guarantee to be in that list. Who hasn't named this film as one of the saddest movies of all time? The funny thing is, this is a children's movie! It's made by Disney! I'm convinced that Disney had to tear us down just so they could build us back up, my goodness, we are Disney Marines! Bambi is one of the training videos to make us tough, because if you can make it through this film without crying that proves that you have no heart and are dead inside. Bambi despite being one of the saddest movies of all time still has a lot of heart and is one of the best in the Disney classics. With it's beautiful animation, charming characters and breathtaking story this is a movie that no one should miss.In a forest thicket, a doe gives birth to a fawn whom she names Bambi. After he learns to walk, Bambi befriends Thumper, a young rabbit; then, while learning to talk, Bambi meets a young skunk whom he calls ""Flower"". After Bambi has completely learned how to talk, his mother takes him to the meadow, a place that is both wonderful and frightening. Bambi's mother warns him that deer are unprotected in the meadow as there are no trees or bushes to hide them, so they must take great care for their own safety. Bambi and his mother go to the meadow and discover a patch of new grass, as they eat, his mother senses a hunter and orders Bambi to flee. As they run, gun shots ring out. When Bambi arrives at their thicket, he discovers his mother is no longer with him. He grows up and learns the way of surviving being an adult deer.I do have one small problem with the film, after the tragic scene where Bambi's father tells him that his mother can no longer be with him indicating that she's dead, you're tearing up painfully and then all of a sudden it cuts to this wonderful magical music with birds and flowers! What kind of a mind screw is that?! ""Be sad, be painfully sad, you are so sad that you want to fill an ocean with your tears of sadnessNOW BE HAPPY"", I just don't get that part. However all that aside, Bambi is still a good Disney film, but it is a hard one to watch. I still think kids are a lot stronger than adults give them credit for, like I said, this movie may be a tear jerker, but it's a wonderful story of friendship and coming of age. Disney doesn't hold back when it comes to delivering a good message, bad things do happen, but we can still be a good person and live life like it was meant too. I recommend Bambi to anyone, it's a good movie with a lot of heart, just have a box of tissues ready when you watch it.8/10"
1,Bambi,10,18 July 1999,The last of its kind,"Walt Disney didn't make another full-length animated film until 1950, by which time his golden age had well and truly passed.  Was `Bambi' a quiet, gentle farewell, then?  If you haven't seen it you could be forgiven for thinking so; and the slightly over-sugared opening scenes might confirm this view.  But prepare to be jolted out of your seat.  The forest contains darkness as well as light.  The gunshots that ring out across the silences are truly alarming (and there are many ways Disney and Hand make them more alarming: consider the scene where a flock of birds are cowering in the grass, until one decides to fly into the air and risk death rather than put up with the suspense).  Also worth noting about `Bambi' is its use of psychological colour.  In at least three key scenes, the colour scheme shifts wildly, not because the sun has set or anything of that kind, but in order to illustrate Bambi's psychological state.  Particularly fine is the scene where he is running away from the clearing in fear and the world turns into just a few pale and dirty shades of yellow.The greatest thing is the way Disney manages to convince us that there is nothing else in the world, outside the forest.  Not once do we see a horizon.  Nor do we sense one.  By some standards not much happens in the forest - a few deaths, a few births, what else is new?  But when the forest is the whole world they matter a good deal."
2,Bambi,9,18 March 2001,Disney's Truest Masterpiece--Man Is In The Forest!,"From the opening scene where the multiplane camera glides through a quiet forest until the stirring forest fire climax, a viewer has to be aware he is watching one of the all-time great films. So much of the cycle of life is covered that it's hard to realize the film is a mere 69 minutes. In a book called 'The Making of Bambi', Ollie Johnston reveals that originally there was much more footage that Disney eventually trimmed, cutting out whole sequences before the film previewed. Obviously, he made a wide decision. There is no extraneous scene here, it moves seamlessly through its cycle of life story with the charming animal creatures carrying the story to its logical conclusion. The background music complements all of the drama and comedy. The storm sequence is the most beautiful blend of music and drawings ever achieved by the Disney artists. The naturally drawn deer are the result of months of careful preparation and study, giving the entire film the feel of a nature study as well as giving the audience great entertainment. The choral work is extremely effective, particularly on songs like 'Love Is A Song' (Oscar nominated), 'I Bring You A Song' and 'Little April Shower'. The impressionistic forest glows with a life of its own and is the real star of the film, thanks to the influence of Japanese artist Tyrus Wong. No wonder this was Disney's favorite film. It will stay fresh and young forever. An awesome achievement!In conclusion, having done some choral work myself as a glee club singer, I especially appreciated the great contribution made by the mixed chorus (male/female) that does such a wonderful job on all of the choruses that blend so seamlessly with the rich background score. Truly exceptional choral vocals conducted by Charles Henderson."
3,Bambi,,5 August 2000,Not at all like its sentimental reputation,"I was staying over at the home of my three-year old niece; after everyone had gone to bed, I found and popped this title in the VCR.   I had only a rough familiarity with the plot (like everyone, I knew Bambi's mother gets killed) and was also aware that ""Bambism"" has been used as describing a overly sentimental love of wildlife.   Oh wow.  I found that while this movie certainly has a heart for its characters, it is not at all sugarcoated about the realities of animal life. Consider the following points it makes:   1) Animals do not live in nuclear families.   Bambi lives with his mother only, his presumptive father is off in the background.   2).  Animals often go hungry in the winter.   3).  Male animals must be prepared to fight rivals as a prelude to mating.   4).  Man (here assisted by canine lackeys) is easily the most dangerous threat creatures face.    Rather than putting a Hollywood gloss on animal life, ""Bambi"" if anything is better than what would be made today.  Remember that the same studio recently put Hercules into a doting nuclear family, the actual circumstances of the hero's birth apparently thought too scandalous for contemporary children to be exposed to (though one presumes ancient Greek children handled them well enough).     Plus when you consider that a large sector of the populace takes a ""humanity couldn't possibly be at fault"" attitude toward the decimation of animal populations, you know that Point 4). above would today be softpedaled if not entirely neutralized by the addition of sympathetic human characters. Look what happened with the otherwise excellent TBS production of ""Animal Farm.""      And the animation!!  The gorgeous, pencil-drawn Impressionistic renditions of the rhythms of the woodlands makes you wonder if modern animators haven't been spoiled by computer graphics.   I'm only sorry I probably won't ever see this film in a theatre, as it was meant to be seen.   As cliche as it may sound, this is a timeless film for all ages.  I cannot praise it highly enough."
4,Bambi,8,24 November 2002,What animation can evoke when it's done just right,"Blissful, playful, moving and inspiring, Walt Disney's ""Bambi"" is a precious jewel that will last longer than most of us will. Indeed, it has a timeless quality, matched with a charming music score and wonderful character voices. Pauline Kael of The New Yorker poked fun at the voice-changes when the infant animals grow up over winter (sort of a puberty-in-the-thicket), but what other way was there to show the passage of time and how it changes everything, even the woodland creatures we take for granted? It's an amazing achievement. The song score never elicited a hit the size of, say, ""When You Wish Upon a Star"", but it does feature the sprightly ""Little April Showers"", which underscores the very best sequence. ***1/2 from ****"
5,Bambi,10,22 September 2000,Excellent Disney classic,"This is one awesome animated movie. If there are people out there who don't love this movie, they either have hearts of stone or bricks for brains. This is a simple, charming and heartwarming tale of innocence and the joys of youth. It doesn't need slam bang violent action or hokey bad humor. This movie, instead, flows naturally. The songs are also great, not the big, overblown affairs that modern Disney likes to do nowadays. They are charming, well sung and well scored, and more than one is about love. The movie itself seems to glow with a light so pure, it's almost angelic. The characters are also great. Bambi, Thumper, and Flower are adorable and well developed characters. The things they do and say will melt your heart. And not a stupid sidekick in sight. While this movie might not be as popular or as grand as Snow White or Pinocchio, grandness isn't usually such a good thing. Both of those movies don't have quite Bambi's charm or innocence, and both stop just short of being rather sadistic, Snow White especially. This is my second favorite animated movie, with only The Fox and the Hound topping it in my heart. I recommend Bambi to any Disney lover. They don't make them like this anymore. This is a perfect family movie. Modern Disney can never touch this. 10/10"
6,Bambi,10,3 January 2003,A classic that will never be forgotten,"BAMBIA Helpless little deer is born by the name of Bambi. He is born among the forest to a grateful Mother. Bambi meets some animal friends for himself, A rabbit named Thumper and a skunk named Flower. Bambi falls in love while he grows up along side his friends. The troubles of the wild life strike when a hunter kills Bambi's mother.The troubles of the emotional for every animal in the forest. A beautiful ending concludes this masterpiece.This Disney movie has been passed from from one generation at a time. ""Bambi"" captures your heart and it's one of those movies you can't wait for your own children to see, and then they pass it down to their children and so on. ""Bambi"" is one of Disney's best and an American treasure.
I give it ***** stars out of *****."
7,Bambi,10,9 March 2012,A Timeless Masterpice ...,"Hard to believe that ""Bambi"" is already 70 years old and yet no other pieces of animation ever came close to it. You can mention ""Beauty and the Beast"" and ""The Lion King"", any Disney's acclaimed masterpiece, still, nothing can beat the good old animation drawn by hand and on that level, watching ""Bambi"" is like admiring the 'Mona Lisa' of Animation. The American Film Institute recognized ""Bambi"" as number three in its Top Ten Animated films right after ""Pinocchio"" and ""Snow White and the Seven Dwarfs"". I guess, the pioneer deserved the top spot if only because without ""Snow White"", there wouldn't have been ""Bambi"".And the progresses made between the two films are tremendous; look closer to the animal designs, in the former they look like animated creatures from short cartoons, while ""Bambi"" doesn't focus only on aesthetics but also on scientific exactitude. The film doesn't forget to be simply Animation, but the realism of the landscape, the drawing, everything makes it hard to believe that it was made only five years after ""Snow White"". ""Bambi"" is a tribute for the inspiring level of perfectionism that elevated its animated movies at the same level of Hollywood's greatest masterpieces, it's a tribute to Disney's ambitions as a true film-maker, as he never took anything for granted. Every successful film was an encouragement for making a better one and after ""Bambi"", it was naturally impossible to make something better. It's not surprising that the film closes what we refer now as Disney's Golden Age.I don't want to make ""Bambi"" sound only like a technical achievement, after all, even as a kid, my eyes and my heart were grabbed by the story. But now, as a grown-up, more familiar with today's animated films, I see ""Bambi"" with constant marveled eyes, I can turn off the sound and never cease to be amazed by how it look, or I could close my eyes and simply let myself transported by the music. ""Bambi"" would never work today, because animated films are marketed for a different audience, eager to see fast-paced action, hilarious sidekicks, lager- than-life villains and catchy songs. These are the must of Animated films and it's interesting to note that ""Bambi"" handle these elements with a sober maturity that would put most kids to sleep now. I can't believe I'm saying this, me who is 40 years younger than the film. ""Bambi"" was made in a time where people had a reason to see movies that was beyond the idea of entertainment. Audiences wanted to be transported in another dimension and to be emotionally engaged, their eyes marveled by a dreamlike world that transcends the banality of their life. Just look at the beginning of ""Bambi"", certainly the most haunting of all Disney overtures. From the first frames, it feels like a camera is filming a forest, it's a long traveling shot in a foggy, misty, dark setting we would never leave until the end. The audience is respectfully invited to penetrate the world of Bambi, quietly discreetly, until the first animals wake up to see the New Prince, then we follow them with excitement. ""Bambi""'s opening sequence echoes the beginning of ""The Lion King"" in a much more intimate way, and when we discover the newborn Bambi sleeping beneath his Mother, we share the same impression than the animals.In many ways, ""Bambi"" reminds of ""The Lion King"" and vice versa, but while ""The Lion King"" was a sort of Disney take on typical Shakespearian themes, ""Bambi"" doesn't embarrass itself with a specific plot, but for me, what has often been pointed out as a flaw happens to be the film's most defining force. ""Bambi"" doesn't tell a story because ""Bambi""s main protagonist is not Bambi, but Time, Time is as present as Man although both can't be seen, and the whole film consist for us to witness the passing of time in Bambi's. Bambi is the central character but not the core of the film, which helped to deal with a story without needing pointless foils. His best friends, Thumper and Flower are real friends not supporting sidekicks. ""Bambi"" is a movie about time, inviting us to contemplate time's effect on animals, nature. The way each season is portrayed through music and colors is simply magical.And ""Bambi"" ends just like it started, it's indeed the 'circle of life' with a scope so large that we can't even talk of a coming-of-age story: from the beginning, Bambi learns how to walk, to talk, he discovers this strange feeling we call love. And the toughest lesson the Prince of the Forest had to face is the one forever engraved in the traumatized minds of generations of children and adults. ""Bambi"" doesn't have a plot, which makes every piece of action absolutely powerful. After the first entrance of Man that interrupted the deer's ballet, there is one 'bang' that warns us about his presence. And when the Mother, who tutored Bambi for the two thirds of the film, feels Man's presence, she immediately covers her son by running behind him. The last shot of Bambi jumping followed by the fatal sound is one of the most brutal, shocking and admirably powerful displays of violence in a film, and the sadness that comes after the beautiful sacrifice is impossible to describe.This is the most disturbing death in a Disney film, and probably in any film, a necessary pivotal device in 'coming-of-age' stories but never equaled with this intensity. Disney created a villain even scarier because he was off-screen and his presence only identifiable with an ominous theme, doesn't that ring a bell to you, cinematic fans? Well, I guess no one can review ""Bambi"" without evoking the most characteristic and memorable part of the film, but needless to say that ""Bambi"" is more than that, a unique experience to be enjoyed because there would never be another film like it..."
8,Bambi,10,6 September 2013,The last film of Disney's Golden Age,"Bambi (1942) is often sneered at by contemporary film goers my age. In their minds, outside of the death of Bambi's mother, the film is a cutesy little joy ride about a happy little deer and his happy little forest friends frolicking about grassy meadows. They also find it much too slow and lacking in plot for their interests, instead switching on the film's spiritual successor The Lion King (1994), which most of my generation holds up as the greatest animated film of all time.No offense to The Lion King, but it doesn't even come close to touching the greatness of Bambi. Outside of a few whimsical moments, this is a dark film about the cycle of death and life. It's more of a meditative piece than a traditional narrative, which will not appeal to those who absolutely require a detailed plot. The animation and backgrounds are breathtaking. Like the other early Disney features, there's strong traces of German expressionism in there (ex. the fight between Bambi and a rival deer is mostly shown in silhouette and violent colors, Bambi and Faline's dreamlike run through the meadow, etc.).The atmosphere is not as cutesy as people recall. There is an undercurrent of dread to the whole thing, a sense of danger. As beautiful and enchanting as the forest can be, it is also dangerous. The way man is handled in the film is surprisingly mature: instead of putting the main characters against a laughable caricature, mankind's presence is unseen and feels more like a natural disaster than a living entity. In fact, Bambi might be one of the most adult films in the Disney animated canon. Ignore its saccharine reputation and give it another look."
9,Bambi,10,22 September 2000,An enduring classic,Bambi is one of Disney's greatest...About the life of a young newborn deer and the triumphs and tragedies it endures from birth until adulthood..Quintessential Disney that is a must see..Released in 1942 so there are some WW 2 metaphors if you read between the lines  (or it may just be me) One of the greatest family films of all time..on a scale of one to ten...10
