,title,stars,date,r_title,text
0,Battle of the Sexes,,19 December 2017,A Simple Feel-good Story with some Subtlety Issues,"A light, fluffy, sweet treat, Battle of the Sexes is assuredly a crowd-pleasing movie. But much like cotton candy-the movie offers very little to digest. 
 Overall, the movie will win over most viewers with its familiar feel-good true story angle. If you liked 2016's Hidden Figures, chances are that this is a movie for you.  It strives for and ultimately achieves the classic feel-good movie moments. Hero activist beats chauvinist pig. Good triumphs over evil. Or something like that. There is no deeper exploration. There is no hard-hitting, brutal honesty. The examinations are superficial and dive no deeper than the surface. Basically, movie is too simple. But sexism and the problems that it causes are complicated. In the movie, everything is spelled out in a painfully obvious way. It condescends to make sure that everyone understands. The sexist characters come out in shameless and laughably overt ways. The good person defeats the bad person and everyone cheers. It's a fairy tale ending, hooray! But none of that is realistic. Sexist and discriminatory people in power don't publicly profess their feelings in such blunt ways. So, when the movie scenes portray characters as loud and proud sexists, I can only roll my eyes. I know the movie uses these exaggerated characters and moments to make the situation abundantly clear to the audience. I just prefer a bit of subtlety.  Instead, the movie handles the delicate, nuanced topics of sexism and repression of homosexuality with the blunt force of a lumberjack with a giant axe. Wrong professional and wrong tool. We needed a surgeon with medical instruments.  The movie still has its upside. Steve Carell and Emma Stone are charming and wonderful, which is an amazing feat considering the character that Carell plays. Bobby Riggs (Carell) flaunts his chauvinism in such a flamboyant manner that showmanship is clearly his primary focus. This is one detail that the movie gets right, thanks largely to Carell. Riggs doesn't actually believe the gross, archaic things he says about women. It's an act. He says them to attract interest in the upcoming Man vs. Woman tennis match with Billie Jean King (Stone).  The storytelling is clear, even if not always smooth. The combination of King's life-changing romance along with the battle of the sexes tennis match fit awkwardly. Though, I'm sure those two things also fit awkwardly in King's life at the time, so I accept the somewhat clumsy clash of the two storylines.
 
 Again, if you liked Hidden Figures, you will like Battle of the Sexes. It's uplifting and sends a valuable and inspiring message to young girls everywhere. On that basis, I applaud the movie. Despite its flaws, it's still a story worthy of knowing."
1,Battle of the Sexes,5,27 November 2017,Not the great tennis breakthrough movie it might have been.,"Whilst Emma Stone puts down her marker for a possible third Oscar nomination the film as a whole left me slightly cold.  But then, when did you last see a GREAT tennis movie.  That's right.  You didn't.But this potentially offered more because it appeared multi layered and could have been more nuanced than it is.It tackles two themes simultaneously.  First, Billie Jean King's lesbian relationship with her hairdresser Marilyn Barnett (Andrea Riseborough) that eventually ended in controversy as she was publicly outed by her lover when they split in 1981.  Throughout King remained married to her first love Larry (played sympathetically but a little limply by Austin Stowell).  This is handled very tastefully and, for me, was the better part of the whole.Second, and the source of the title, the movie explores sexism in the women's tennis game that led to her breaking away from the WTA and its sexist president, Jack Kramer (in an unconvincing performance by Bill Pullman), and taking on a challenge billed as THE BATTLE OF THE SEXES with 55 year old ex tennis champion and self proclaimed Male Chauvinist, Bobby Riggs (Steve Carrell).  I disliked Carell's part greatly, not because he didn't perform it well but that it is written to make him out to be a complete idiot (which no doubt he was).  He becomes a character of himself quickly and I neither liked nor disliked him (I was annoyed by him though).  It all makes for a strange mix of comedy, politics, sexuality and revolt.And the revolt was all too gentlemanly for me - despite the subject matter and the ire it must have stirred nobody really ever loses the plot and so the film lacks edge and dramatic tension.What's more, it's 30 minutes too long and the overwrought soundtrack (Nicholas Britell - it really is a shocker) is over-pervasive and just plain annoying.Emma Stone rarely puts a foot wrong in my view and at times you really do think BJK is on screen.  That part, and the general 70's styling of the movie, is excellent but it's ponderously directed and although the final shoot out between BJK and Riggs has an element of tension we all know the outcome and Britell's pomp and circumstance was gradually doing my nut in.Just because you loved Little Miss Sunshine it does not follow that you will love this."
2,Battle of the Sexes,4,28 November 2017,"The looks may be fine, but the message is very deceiving","""Battle of the Sexes"" (what the hell is up with the German title, they cannot be serious, that is really more sexist than anything or anybody in this film) is a British/American film from 2017, a very recent release, that runs for pretty much exactly 2 hours. Director are the duo from Little Miss Sunshine, the writer is an Oscar winner from Slumdog Millionaire, so quite an illustrious team. Same goes for the cast. Emma Stone is fresh off her first Oscar win while Steve Carell managed a transition from small screen to big screen in the last decade that is among the best there is. And film buffs will find many other known faces in the supporting cast too, even if you could argue that Carell is supporting too. It's too close to call for him. Shue, Armisen, Riseborough, Pullman, Silverman... and fans of Scrubs and The Good Wife will also be happy to see some stars from their shows here, even if I must say the latter, i.e. Alan Cumming is very weak sadly in here, basically a poor man's Stanley Tucci once again. And Silverman was really the worst playing a character whose in-your-face feminist approach really hurts her cause more than it helps. At least there were ideas and imagination in Stone's character, but Silverman's was really so shallow and annoying that it got unbearable to watch, even if it is probably rather the writer's fault than the actor's. The makeup/costume fit nicely there too, in a bad way that is.Now about the film itself: We have a year that gave us surprisingly 2 tennis-themed movies while other years have 0. But here it is true again too that the men provided the far better entertainment. The Shia Labeouf film about the McEnroe/Borg rivalry was on a truly high level that gave us gritty entertaining drama that was as good as it gets. This one here is the exact opposite. The tennis parts are mediocre and it's sometimes even clearly visible that the ones we see on court are not Stone and Carell. And the feminism/sexism parts that actually are at the very center of the film feel included in a way that lacks zero subtlety and shoves the message right in our faces. The way in which Margaret Court, a real champion of the sport, is depicted is something everybody working on this project should be ashamed of. The fact that she has a family and may be more conservative than the other female players was used so shamelessly against her and there is that one scene when she sees the real reason behind King's companion and ruthlessly uses it in her favor. Oh yeah, Court only won the tournament because King was struggling in her private life discovering her homosexuality and risking her marriage. But of course, Stone's character is so likable, so worth cheering for, so headstrong. Who cares she just can't be faithful to her man or at least get a divorce before having an affair. Real charmer, isn't she? I am a bit disappointed in Emma lending her name to this project. I also think her performance was nothing special at all and it was all about the looks and similarity this character offered to the real BJK that makes it memorable perhaps. The MVP is clearly Steve Carell, giving a performance that easily could have turned ridiculously bad, but did not thanks to S.C. hitting all the right notes, especially in the second hour. This is even more admirable as the character was not written too well built up as a main antagonist and then finally turned into a miserable weirdo. So Carell somewhat saved the film. The outcome eventually can be smelled from afar already and the crying scene in the dressing room afterward felt really cringeworthy as if they were trying to give the film more dramatic relevance than they had any right to. It works well together with King having egoistically sacked a commentator before the battle begins instead of showing him how it's done too with her performance. And back to the tears: If that commentator was really the bad guy and not Carell for whom it is just one big show, then why the emotional outburst? Because of the many people watching only? Hmmm I'm not buying it. But I guess, the film is easy to appreciate for those screaming sexism at Donald Trump day in and day out and those unleashing on Weinstein these days or on quality actors like Spacey, Tambor and Louis C.K. I thought the rule is innocent until proved guilty? Yep I am talking about you guys ready to give this review a thumbs-down now for saying things the way they are.Finally, my take on equal pay that plays a big role here. Have women play as much as men and they get the same amount I'd say. Which means yes for smaller tournaments where all is best-of-3, but nay for Grand Slams. Female marathon runners won't stop after 25 kilometers either. Or swim less at the Olympics. Or run 600 instead of 800 m. Enough said. Back to this movie, it is a major disappointment. Carell can only save so much here sadly. It's a shoddy, generic and stereotypical take on female's rights and an even worse take on the wonderful sport of tennis. Go for Borg/McEnroe all along. Or go for all these wonderful films about Tilden vs. Lenglen, Renshaw vs. Dodd, Connors vs. Navratilova or (the best) Braasch vs. the Williams Sisters as I truly hope these will be getting attention as well to move things in order again. This one we have here gets a thumbs-down from me, partially also for the incompetently rushed-in same-sex marriage statement at the very end between the two gay characters. Why not make it even more political if they cannot deliver in any other field at all. Not recommended."
3,Battle of the Sexes,6,22 October 2017,"Emma Stone and Steve Carell carry an uplifting, but overlong sports film","Battle of the Sexes is a an enjoyable retelling of the famous 1973 tennis match between 29-year-old Billie Jean King and 55-year-old Bobby Riggs. It was the match that sparked the women's movement in sport and planted King's status as the greatest tennis player in the world. We witness the personal journey she went though as she fought for equal rights in sports and society. Emma Stone portrays Billie Jean King as a shy and reserved opportunist who's looking to make the best of her current situation. She's a true trailblazer that's pushing for equal rights for women in sports. Steve Carell as Bobby Riggs could not be more opposite from King. He's a retired tennis champion who can't stop gambling, which frustrates his wife to the point of no return. He's also a male chauvinist who believes in the superiority of men and how women should stay in the kitchen. It couldn't be a better battle between polar opposite personalities and motives. The film follows the parallel journeys King and Riggs go through to get to their famous match. King struggles to gain equal pay for women tennis players, which eventually leads to the creation of her own women's tennis league. While traveling for matches, she discovers her homosexuality with her hairdresser, Marilyn. She's torn between her new desires and the life she already has with her husband, Larry. Riggs meanwhile is stuck in a midlife crisis and feels that his life has been missing something since he retired. He's passing his time through gambling and wants to plan a major comeback in the tennis world. Eventually their paths cross and results in one of the biggest and important sporting events in history.Clocking in at 121 minutes, the film takes its sweet time to build up King and Riggs' story. While it's interesting to see their stories unfold, it goes on for too long and drags in the middle parts just before the climactic match. The sharing of screen time is also very lopsided towards King while Riggs is treated almost like a supporting character for the first hour. Directors Jonathan Dayton and Valerie Faris use their skills from Little Miss Sunshine to create a personal and emotional film. The tone of the film is pretty lighthearted and never gets too serious about the whole situation of equal rights among genders. It allows for a more feel-good sports film that is enjoyable to watch.Shot in 70's style makes the film feel closer to a television documentary than a Hollywood production. There's a grab bag of awkward close-ups, grainy images, and off-balance shots that make the film feel more authentic and grounded in reality. The famous match is recreated with stunning detail and the biggest highlight of the film. The acting is the saving grace of the film as Stone and Carell do an exceptional job portraying the real players. Golden Globe nominations will come for each of them and maybe even an Academy Award nomination for Stone. Sarah Silverman also shines as the rough and confident manager, Gladys. She plays well off Stone in the small amount of time she gets. Andrea Riseborough is solid as King's lover, Marilyn, who opens up King's hidden secrets and is the leading contributor to the emotional arc. Bill Pullman is the only person who doesn't pull of their role, as his sexist boss character is very one dimensional and almost cartoonish by the end. Battle of the Sexes is a well acted and uplifting sports film that suffers from being too slow and too long. It doesn't run as smoothly as it should, but is enjoyable enough to rank among the better sports films out there, and definitely the best tennis film."
4,Battle of the Sexes,5,5 October 2017,It Thinks It Means Well But It Really Doesn't,"A man and a woman take the stage here in 1972; the first, Billie Jean King, wins a tennis championship after a blurry match opens the titles; the second, Bobby Riggs, abandons his own family to gamble, often through his own tennis rounds. Right away, the men state how women are less publicly prevalent in tennis as men, meaning they get paid less as well. Sound familiar?Battle of the Sexes follows much truer to history than you may think allowing the real Billie Jean to oversee the production process proves the clear effort made to create a strong 21st century female role model. In the end, a fair point comes across: we need to reconsider our gamble in life.The screenwriter, Simon Beaufoy (127 Hours, Slumdog Millionaire) still has potential for another future masterpiece based on his new display of well-crafted dialogue, as his style here enables each individual to realistically talk around their lies in a clever fashion. You can sense the depth behind these conflicted words, as only whatever matters to everyone's true values gets talked about.The cast too expresses a strong desire to communicate the message about women empowerment, as most of them put in the best they could give. Oscar winner Emma Stone (Birdman, La La Land) portrays Billie Jean King with confidence to match her preparation for the role. Steve Carell (The 40-Year-Old Virgin, Foxcatcher) portrays Billie Jean's ultimate rival with a considerable hardness that proves the comedian's effectiveness at drama. But I most enjoyed one of the smaller roles, Natalie Morales, who plays Billie Jean's stuck-up authoritative agent. Unfortunately, some of the male actors destroyed the perfect performance streak, particularly Austin Stowell, who plays Billie Jean's husband, and Alan Cumming, who plays a stereotypical British assistant thrown in mostly for comic relief. So sadly, not everyone in the cast and crew was truly passionate about its message of gender superiority.In fact, almost nobody of redeemable quality supports the message's potential positive value. In essence, we don't even meet Billie Jean's husband until the midway point, which ends up feeling extremely joyless since beforehand, we see her sexual attraction toward her lesbian hairdresser come out in a moment of embracing and unzipping in a dark, steamy motel room. At this rate, why would I want to see an unfaithful wife succeed in her desire for fame and fortune?As for Bobby, he appears to be nothing besides a depiction of the era's public mindsetan unmotivated woman hater. The balance in telling his story all throughout the feature is barely even there, as editor Pamela Martin (The Fighter, Little Miss Sunshine) leaves too long stretches of time away from Bobby's subplot. Even his climactic tennis match against the famed female star lacks any tension on his behalf, since no details are learned about what tennis means to either combatant.The directorial appearance in particular lacks any artistic quality, from Emma Stone's fake black wig to needing to play ""Where's Waldo"" on the screen. What do I mean by that? Well, the two directors Jonathan Dayton and Valerie Faris (Little Miss Sunshine) unintentionally make you search harder than necessary to find the character talking. Their lack of screen control plays its greatest toll in the end, when the legendary match is viewed from far away into the audience bleachers, consequently ruining the intimacy of tennis. The cinematographer, Linus Sandgren, just won the Oscar last year for his colorful live action daydream, La La Land, but now his Steadicam work takes a massive step back into dull indie movie mode.In the long run, the extreme preachiness may turn you off the most, since it forcefully tells you to accept its worldview on gender superiority. Similar to various feminist propaganda such as Thelma & Louise, Erin Brockovich, Frozen, Wonder Woman, and countless others, men are painted to look like the predators responsible for women's problems, which in this circumstance devalues heterosexual relationships and diminishes love to impulsive selfishness. Why do so many message films have to force such one-sided, surfacey conclusions? These events may have actually happened, yet the depiction of her affair straight up degrades straight married people. Bobby's marriage appears problematic until his wife decides to change in a submissive fashion, while Billie Jean's sole roadblock in her newfound love is her current husband? Give me a break.Although my parents and I felt disappointed after walking out of the theater together, it led us into a rather in-depth discussion about our current treatment towards the LGBTQ community. Therefore, we as viewers ought to talk about these crucial ideas more, as listening to one another will help us realize the true blinded difference between the sexes."
5,Battle of the Sexes,6,7 October 2017,Losing The Forest For The Trees,"There is no doubt that the event on which ""Battle of the Sexes"" is based on was a monumental moment in sports and cultural history. The exhibition tennis match between Bobby Riggs & Billie Jean King was in part a circus, but also (in large part) a key moment in the taking of women athletes seriously on the national stage. While this film eventually arrives at that point, I felt like it took far too long for it to ""get to the point"", so to speak.For a basic plot summary, this film tells the story of the run-up to the Battle of the Sexes match. Riggs (Steve Carell) is a male chauvinist through and through (or at least plays the role of one), while King (Emma Stone) is perhaps the premiere women's tennis player of her era. While King struggles with her confusing sexuality and Riggs falls on hard times with his own wife, this sets the wheels in motion for a match that will be more than just an exhibition, as it seemingly carries with it the weight of the Women's Liberation movement of the 1970s.Let me be clear about one thing: This isn't a ""bad"" movie by any stretch. Great acting performances are given, and the final 30 minutes are fully riveting. I completely understood and appreciated the message that was being conveyed.That being said, the entire film is predicated on the notion that the setup (e.g. the first 70-80 minutes or so) of both lead figures will lead to more dramatic payoff in the end. For me, that didn't happen (in fact, it actually had the opposite effect). I'm not sure that King's sexual leanings needed to be a focal point of the story, and in Riggs' case his relationship with his wife (played by Elisabeth Shue) should have been developed even more. Because neither of these things really get on track, at least the first half of the film felt slow and stodgy to me.Once the match is set and the buildup/execution of it begins, though, the film really shines. I only have video footage to go on here (I was not alive for the real thing), but Stone is sometimes a dead-ringer for King on the court. Carell's antics as Riggs were also accurate from what I have read/heard.So, while being a solid film, I cannot give ""Battle of the Sexes"" more than just above-average marks for the lackluster opening acts. I felt like a different lens was needed (or the execution of the chosen lens needed to be better) in order to make the movie truly riveting in the end instead of ""just"" somewhat inspirational. It never got to that ""next level"" for me (aside from the material about the actual match itself)."
6,Battle of the Sexes,1,11 October 2017,"Not the worst movie, but close.","This was an awful movie with gross items and topics that overplayed the tennis match climax into an LGBTQ movie that if known at the time 0 people would have been watching this match in support of King. This was written mostly from King's view and simply is not accurate. This movie is about how the rich and the famous hide behind their fame and in truth showed Larry (King's wife) not divorcing his wife just for the fame and money when he found she was unfaithful. President Obama bless his heart awarded King for her being LGBTQ, and not for the actual winning of a man that was out of shape and just putting on a show. Warning.. Don't let your kids watch this or you can say goodbye to their values."
7,Battle of the Sexes,1,2 October 2017,Absolute Liberal Feminist Trash,"You will want to hurt yourself if you watch this movie. It is so untrue and suggests ridiculous things about the human race that separates us instead of uniting. This actually made me lose some hope in all of us. This movie had very little character development aside from describing Billie Jean King in a strong liberal political view. The entire movie suggests it is a true story, but it makes up many ridiculously exaggerated events and quotes."
8,Battle of the Sexes,6,10 October 2017,"Battle of the Sexes may have scored some points, but it hogs it's own ball by focusing too much on Billie Jean King","In the sporting world, most women unfortunately get the short end of the deal. Women have shown that they are just as athletic and strong as any man. It all comes down to biology and that whoever posses the greater ability is going to triumph. It can be men, but women just have enough chance. Sports in no different, but that environment has been a male dominated area for a long time. From the early days of the Ancient Greek Olympic games to the modern NFL, the doors were open to all men, but women have always been led to their own segregated event, or even told not to try.The second half of the twentieth century gave in to the rise of feminism as society further accepted the role the women would play. The workforce, science, and even politics would see their fair share of women pioneers, but when it came to sports, this was still seen as a mans game. In the 1970s, a group of women athletes tried to change things by not only starting their own tennis organization, but helped set up a match to prove their ability to equal the men. This is all done in Battle of the Sexes. Tennis star Billie Jean King (played by Emma Stone) has made a big name for herself, having won the Grand Slam Championships along with the US Open and Wimbledon, and all by the age of twenty-nine. Though despite her name, she finds out that she and every other female tennis athlete were making thousands less the men, all because of their gender. She asks for an equal pay from the executive director of the Association of Tennis Professionals Jack Kramer (played by Bill Pullman) but is denied. In defiance, she and several other women tennis players quit the circuit to start their own series of tournaments.Meanwhile, former tennis star Bobby Riggs (played by Steve Carell) is dealing with his compulsive gambling and still seeks attention from the media. To boast his image and the sport of tennis, he pitches to Billie Jean King an exhibition match where the two would play, and ""show why men are better athletes"". Though aware it's a publicity stunt, Billie turns him down. In 1973, Billie is again pitched, but this time accepts for the sake of her fellow athletes. At the same time however, she is going through personal troubles as she begins an affair with her hairdresser Marilyn (played by Andrea Riseborough).Given a lot of the controversial political trouble that the U.S. has been going through, Battle of the Sexes seems to be made at the right time. A tennis match between two different ideologies seems to summarize a lot of the thoughts and concerns people are having with the future. I'd say that overall, not all of the game was played right. What I mean is that while the movie as a whole promises a fair share, the story seems to be one sided with Billie Jean King.Both Emma Stone and Steve Carell play their characters fine enough. I can see why Emma Stone would be attracted to this part after winning her Oscar for La La Land; it shows how much a personal issue could affect an athlete's mental game. She is interesting and you do want her to see her prevail her cause. Steve Carell may seem to going back to comedic roots that could be seen as hammy, but understand that Bobby Riggs had a large personality that would require a Steve Carrel. I just wished the movie would have given us more time to explore that part of his character.Like the title of this movie, everything leads up to the match. The problem is that while I like the events that lead us there, the movie doesn't seem to be interested in the Bobby Riggs side. I wonder if the original script was originally a Billie Jean Kings biopic that was rewritten to be about this match and the controversies surrounding this. This leads into a movie that means well, but is structurally uneven with its tone. This will surely be a movie that will be championed for it's positive look on female athletes, but for those that want to look into the history of The Battle of the Sexes, there must be some books about it that tell the story better.I'll give it six tennis balls out of ten. I cannot dismiss the movie completely as when it tells Billie Jean King's story, I liked it. I just wish that Bobby Riggs had gotten a fairer portrayal. I'd say if your going to see this, look into the facts and people behind the actual Battle of the Sexes first. Do all of that, and see if the balls in your court."
9,Battle of the Sexes,1,17 September 2017,When Billie Beat Bobby was much better and 30 minutes shorter,"The only thing that this film has that the television didn't is a bigger budget and not hiding Billie's sexuality. The screenplay is mediocre and doesn't really capture the 1970's. The television film also has much better actors and better screenplay. Both films deal with the sexism the was women had to endure more in the 1970's. However this film does show that women were getting 1/2 the money men were getting playing the same sport. Emma Stone is fine in the role of Billie. Steve Carell has makes a caricature out of Bobby Riggs and not really show his ""human side"". Yes Bobby was a real life cartoon but for a film that runs 30 minutes longer than its television counterpart it could of done a better job. If you are looking for a good film to watch KEEP LOOKING"
