,title,stars,date,r_title,text
0,Bee Movie,7,4 November 2007,Lighthearted Humor - Fun Movie,"This is a silly movie. It's goal is to make you laugh, and little beyond that. Indeed I laughed for most of the movie. It is hard for me to find much fault when I am laughing that much. That the last act had fewer jokes was a minor misstep. The characters were cute and the story didn't get in the way of the humor. And I kind of enjoyed the story, it was a little odd and funny.It is unusual among animated movies in that its focus is jokes, kind of like a stand-up act. There are a lot of these jokes and they are quite funny! Does anything feel better than laughing? (OK, well very few things.) The story is mainly there as a vehicle for the jokes. So perhaps slightly different expectations will serve you well with this movie.Don't go to this for a serious story! It is light humor, and at that game a great success. If you recognize that that is what the filmmakers are going for, then you will enjoy it. If you are expecting an incredible story or thrilling action or amazing animated beauty, then you might be disappointed.As lighthearted humor with playful animation, and a great ending song, the film is a success."
1,Bee Movie,6,1 December 2007,"[ Insert ""bee"" pun here ]","Bee Movie has its moments of brilliance, but they are few and far between, and I think what weakens this movie the most is the fact that most other movies have already beaten it to its punches. There's nothing too original here. Most notably, it bears many similarities to the 1998 animated film, Antz, starring Woody Allen as the insect living in a perfectly functioning society who begins to question his importance in the greater scheme of things. And much like DreamWorks' previous animated film, Sharktale, featured many fish-themed puns, Bee Movie tries the same thing, except with bee puns, and you'll learn fairly quickly that there's not a lot to work with in that area. And, let's face it: Larry King has appeared as himself in so many movies that the gimmick itself has become an irritating cliché. Here he is, in complete bee form. I think they've taken him as far as he can go.Altogether, though, Bee Movie is not without its charms. It does eventually find itself in some odd, uncharted territories (could a bee really fall in love with a human?), there are plenty of funny moments, and yes, even some of those puns work. Jerry Seinfeld, who has taken a lot of pride in writing, producing, acting in, and promoting the movie, does do a very good job voicing the main character. You sometimes feel like these actors doing voices for cartoons are just phoning it in, but Seinfeld gives a surprisingly energetic performance. I could picture him mimicking Barry B. Benson's movements in a recording booth as I heard his voice; it's obvious he was passionate about every aspect to the movie. The rest of the cast does a good job, too: Renee Zellwegger, Matthew Broderick, Patrick Warburton, as well as John Goodman in a brief role, who once again proves what an amazingly talented voice actor he is. Whenever there's a need for a big, burly character, John Goodman is the go-to guy, because, well, he IS a big, burly character. Ray Liotta's cameo was also a highlight, and much more inspired than King's cameo.It may not be a perfect movie, or the most original, and for a 90-minute run-time, it kind of drags on a bit, but for all that it is, I can't say that it wasn't entertaining. It won't go down in the history of greatest animated films, but it may be a decent way to spend a rainy day, when you can't go out and fly.My rating: 6/10 P.S.If you're knowledgeable about your animated films, you may remember the slight controversy surrounding Finding Nemo, which inspired a few children to flush their fishes down the toilet so they could ""free"" them into the ocean. Bee Movie just may plant some worse ideas in kids' heads. Keep an eye out for news stories about children getting stung by bees after trying to make friends with them once they see the movie. Maybe Larry King could do a special about it."
2,Bee Movie,8,4 November 2007,Ignore the critics.  We had a great time.,"Is the Bee Movie the best animated movie we've ever seen? No. But, defying the critics, I took my 11 year old daughter (who didn't really want to go) and my 5 year old son to see the movie and we all really enjoyed it. Most importantly, the story and humor of the movie operates at multiple levels, so it appealed to all of us at our individual age level. What is beyond dispute is that the visual feel of the movie is incredible. Some of the bee hive interior and flight scenes were just breathtaking. My kids were spellbound.To me the best judge of a movie is how fast it moves along. This one kept us all entertained throughout and its 90 minute running time felt like half that. So, ignore the critics, and take your kids. They'll have a great time, and even if you're not a Seinfeld fan, so will you."
3,Bee Movie,10,30 March 2017,Give me that Beehind,FUD move wed watch pretty FUD bet er lyric's awesome grate memes dank lit EEO epee epee ewe ewe epee ER epee e e'er ewe ER ewe ewe EEO applies ER EEO e'er e ER e e'er ewe ewe e'er EEO e ewe epee e'er renew wwwrewiquqfowwwwwww whew WNW whew WSW WSW www WSW www WSW WNW whewWSW WSW whew www WNW WNW whew WNW WWI whew whew WWW's
4,Bee Movie,6,11 November 2007,This is a movie about nothing. Seinfeld's quick-paced and witty humor flies past the kids and stings the adults,"A professor in the University of Central Florida that taught me very well about cinema, submitted a wonderful script to different movie studios about two kids over the summer living with their father inside a boat, as they sail the western hemisphere for multiple reasons. But, despite the good script, had a major issue that did not allow for it to ever be filmed: it did not figure out its audience and failed to reach a demographic to aim for. The script was much too mature for kids to watch; yet the piece was about kids, which wouldn't interest the adults. It was a coming-of-age story that would have issues entertaining anybody, despite the rich material. This is the biggest issue of Bee Movie.Bee Movie tries to entertain kids and adults yet has very little humor for the children, nevertheless a plethora of jokes for the adultsbut the cutesy factor becomes a turn-off for the parents. As a matter of fact, Bee Movie could have definitely benefited from edgier material and aiming the film towards an older audience. Jerry Seinfeld has a wonderful story to tell, but the kids would definitely not be interested. Bee Movie involves a major lawsuit, celebrity cameos, hidden humor about actors, and the typical Seinfeld humor that made the comedian a household name back in the 90s. The movie does have its laughs, does indeed contain its moments, but it could have been much better if it didn't try so hard to appeal to the kids.In this movie, we follow a recently graduated bee by the name of Barry B. Benson (Jerry Seinfeld) that decides to fly away from the hive to see the world prior to picking the one job he'll work for the rest of his life, whatever that may be. After an incident involving a tennis ball, a spunky florist Vanessa (Renee Zellweger) saves him. As his relationship with humans, especially Vanessa, improves, he learns that humans eat honey and decides to sue the entire human race. About a dozen of well-known actors and actresses are sprinkled in this movie, ranging from Oprah Winfrey to Ray Liotta to Chris Rock to even Sting (okay, so he doesn't act). The best vocal performances in this movie however come from Matthew Broderick (Ferris Bueller, adult Simba) and of course, Patrick Warburton (Kronk in Emperor's New Groove, The Tick, and Joe from Family Guy).Unfortunately for Dreamworks, Pixar is once again raising the bar in animation with the incredible Ratatouille earlier this summer. So, with such competition, the animation department suffers a lot. Whenever the action slows down (the flying sequences, albeit not enough of them, were good) the lack of detail becomes obvious; the trees look the same, the buildings look the same, and some of the voices doesn't match the faces. For example, when Ken (Warburton again) screams and rants, his face does not match the explosion of rage. Even older flicks like Madagascar, Over the Hedge, and Ice Age looked better. Seinfeld's vision of the bee world was unveiled, but not with a rather lack of detail.Where the movie scores its biggest points lies in the fast-paced, unpredictable humor of Jerry Seinfeld. This is a well-written story with an original plot and plenty of jokes to throw at everybody. The slapstick and physical humor rather misses more than hits, but the Seinfeld-humor (you whether understand this very well, or not at all) delivers most definitely. Whether it's the sidesplitting one-liners, subtle pop culture gags, or the hilarious cameos (Ray Liotta's scene was comic gold), the Master of Nothing still has the jokebug in his blood. The performances do indeed enhance the experience, but some are underused; best example is Chris Rock. The slow moments come whenever slapstick replaces dialogue, and it happens several times.Bottom Line: Bee Movie is a decent flick for adults, but not that great for kids. Finding the balance between material for kids and material for adults is not easy yet in this film it becomes so one-sided, you wind up laughing a lot but feeling sorry for the kids watching at the same exact time. The story and dialogue are unique and refreshing, but at the same time it almost feels wasted because half the audience will get a kick out of it. Jerry Seinfeld once again delivers, but should probably try to stay away from making substance for kids, and remain with the witty adults. Animation isn't a big deal either, so the visuals will not astound you that much either. Instead, come in for the great dialogue and a potential step towards making more computer-animated flicks for just teenagers and adults---even though this genre is almost always marketed towards the ""rugrats."""
5,Bee Movie,5,6 November 2007,"Nowhere close to ""Toy Story""","For the first 30 minutes I thought that Bee Movie had a chance to become a classic like ""Toy Story"" but as the minutes ticked away, I realized it wasn't going to happen. Unlike Toy Story, Bee Movie does not have a central antagonist. Remember ""Sid"", the psycho kid who terrorizes the toys in Toy Story? What a marvelous creepy kid! Bee Movie offers up a number of limp opponents to Seinfeld's Barry B. Benson. There's the completely unfunny macho tennis player boyfriend in the beginning who is constantly trying to smash Barry to a pulp and an odious obese attorney who ends up having an allergy attack after he's stung by Barry's sidekick, Adam (couldn't understand why Adam was still alive after he stung the attorney--wasn't it established early on that bees die right away after they sting their target?).Ultimately it's Barry's own misguided idealism which becomes the ""villain"" after he successfully sues humankind for stealing the bees' honey. It's good for an exploration of Barry's 'inner journey' but a movie still needs an actual real world antagonist to root against. In Ratatouille, a rat speaks to a cook in a restaurant but he's the only one who can hear the rat. And there's a purpose to the relationshipthe rat helps the cook to become a great chef. In Bee Story, there are awkward romantic suggestions between Vanessa (Rene Zelwegger) and Barry and obviously that's an idea that doesn't work since it cannot be put into practice. It would have been much better if Vanessa is the only human who can hear Barry. And perhaps the character could have been some kind of 'pet psychic' now branching off into the insect world.I felt there could have been much more done within the 'hive' itself. A great opportunity was lost when nothing was done with the idea of a QUEEN BEE character (there was one lame joke about a cross-dressing 'queen bee' halfway through the movie). And Chris Rock's Mosquito should have been Barry's sidekick throughout most of the movie (not Adam!).In Toy Story, the toys leave the 'ordinary world' of a child's playroom and end up in the dangerous real world. The scenes where Barry leaves the hive and must confront all the dangers of the NATURAL WORLD was the best part of the movie (most people have alluded to the tennis ball scene as a particularly strong visual scene). The writers should have kept Barry outside the hive for most of the movie but should NOT have pitted him mainly against human characters. A threat from the insect world (such as a king of the roaches modeled on some kind of contemporary madman like the Iranian president) would have been a much better threat to the bee world then the idea that their honey was being taken away from them by humans. That idea doesn't really make sense since in reality bees continue to make honey despite human encroachment. I'm not suggesting that the whole lawsuit idea had to be jettisoned but it should have been a minor story line. I also found the climax of the movie to be unsatisfyingthe bees guiding a jetliner to the ground seemed ludicrous. What's more, with great sentimentality, all the bees seemed to be elevated to a saintly status at the end of the movie.The writers should have emulated Pixar who know how to successfully anthropomorphize their non-human characters (displaying the gamut of human foibles). There were many witty lines in Bee Movie and you can thank Jerry Seinfeld for his clever humor. If only more thought was put into the overall plot, then this could have been a classic!"
6,Bee Movie,9,5 November 2007,Take flight and shake off the blues with yellow!!!,"I must admit, my first impression was it would be just for kids. I was pleasantly surprised just how much of a kid I still am! The Bee Movie was an adventure in honey heaven. The cheerful animation and very funny script kept me flying high to the very end! I loved this movie. It lifted my spirit and helped me to relate to my own dull working world experience. I see so much potential in this film for sequels and spin-offs. A clever script and comic timing that only Jerry Seinfeld has mastered, this film is sure to take you on a journey. It blends fantasy and reality so delicately they are both interchangeable. Seinfeld was at his best. I also have a new respect for the little buggers (bees)! I recommend this movie to anyone who feels trapped in their routine... set yourself free and see the Bees!"
7,Bee Movie,2,11 November 2007,Bee Flat,"This is a mediocre and uninspired script packaged in cutesy computer animated figures (soon headed for your nearest toy store shelves). This film is an easily forgettable loser in trying to entertain children. It doesn't entertain adults much either because it lacks the playfully devilish double entendre humor you find in animated cartoons like ""Shrek"" or ""The Simspons Movie."" The only side-splitting humor is in a mosquito character voiced by Chris Rock - and that lasts just a few precious screen minutes. He would have made a great sidekick to the Seinfeld bee character, but alas, I guess Jerry didn't want to be upstaged by another comedian.Instead, Bee Movie is low-calorie on energy, excitement, slapstick and the tickle-your-funnybone fun-loving momentum that propelled classic animated cartoons like ""Cars,"" ""Toy Story,"" ""Robots,"" and ""Over the Hedge."" The laughs are few and far between. I watched this in a theater with lots of families and I can count on one hand the number of times children giggled with delight.So, this movie met my worst apprehension: a television sitcom comic tries to make a children's cartoon with a lot of clever dialog but little action.For example, the parody on using outside personalities like CNN's Larry King,the rock star Sting, and Ray Liotta is completely lost on young viewers (but it did guarantee a promotional spot for Jerry Seinfeld on the real Larry King Live broadcast). Also, I can't think of anything more boring in a children's film than having courtroom scenes, of all things. The worst and scariest bad guy the cartoon has to offer is a lawyer in a three-piece suit. Nyuk! nyuk! yet *another* lawyer caricature.Bee Movie tries to work in a gratuitous environmentalism statement in the final 15 minutes. But by the time that rolls in you've already looked at your watch a few times wondering where you parked the car.There's nothing honey sweet about this film, it's purely Saccharine: no nutritional value and bad aftertaste."
8,Bee Movie,,24 December 2007,enjoyable as can bee,"Sharp, funny animated feature about a beemused young bee and recent college graduate who learns that he's destined to work a routine colony job for the rest of his life. Although his natural instinct is to beeware of humans, his life takes a turn for the better when he meets a saintly florist who not only beefriends him, but helps him quickly file a lawsuit beefore humans can take all the credit for mass production of honey! Occasionally too silly for words, probably by intention, but lots to take in with superb animation, good gags, and quirky, memorable characters. Comedy is uneven at times, but still serves as acceptable entertainment for kids and adults alike. ***"
9,Bee Movie,1,4 January 2008,The worst thing to happen since I crapped myself.,"This film is awful. Horrible. Not good. Even for kids. Even for adults. It is just bad.The intro is horribly written, imagine you and a work friend are walking to work, and your mate turns to you and says ""We are going to work, at the factory, where we make pies, to sell to people. That is my lot in life"". Would that not strike you as a little strange? Yes it would, somebody stating the obvious to me like that would result in me hurting them in the face. The dialogue in this opening section is this bad.The film then decides to start off about 7000 plot lines (""I Don't WANT TO WORK FOREVER IN THE SAME JOB!"" ""HUMANS STEAL MY HONEY!"" "" I WANT TO HAVE SEX WITH A HUMAN!"" ""IM GOING TO COURT!"" ""THE WORLD IS DYING!"") each of which is either stolen from Antz, or just stupid (how would the Bee have sexual intercourse with a human woman? You could'nt even do it carefully).The graphics look like a bus drivers face, average and yet longing for something more, and Patrick Warburton turns up again playing a muscle bound moron. His mother must cry at night. Yet again he is the best thing in this horribly written movie.Events happen, with seemingly no logic, or sense, or even meaning. Jerry just wrote this, after watching loads, and loads of other animated animal movies, over a weekend, whilst he was having sex with a shoe. Rubbish.This film came about because over dinner Jerry Seinfeld told an awful joke (Bee movie, B movie, gettit? I just wet myself...and you) and it shows.Jerry, give Larry David a phone call.Overall..screw summing up, just avoid this film, stick on Curb and bask in the glory of David. And if your a child, just vomit or something. it will be more fun."
