,title,stars,date,r_title,text
0,Boy and the World,9,24 February 2015,Quite special,"Sweet, beautiful, wordless animated film, telling the charming, endearing and sometimes sad story of a young boy from the country going in search of his father who has moved to the city to earn money for the family. The film seems an attempt to see through a child's eyes, and it succeeds, leading to images that are surreal, wondrous and odd, and that don't always make literal sense. Imagine how the high tech modern world would seem to a small boy of say 5, wandering in alone from the countryside. The film captures that feelingDone in a simple, colorful, handmade style that's the opposite of most computer animation we see these days, recalling artists like Joan Miro, there's a heartfelt quality that goes with the handcrafted nature of its slightly surreal and beautiful images. Truly universal, there's not a single word of real dialogue, just some occasional gibberish-speak. There's also great Brazilian music that changes personality with the boy's adventures, along with a nice lesson for kids about the loss of the beauty of nature in the industrial world. Quite special."
1,Boy and the World,10,8 May 2015,One of My Best Discoveries of Late,"The Boy and The World has been one of my best discoveries in recent times. A movie that tells its story not through words but music, colours and the eyes of a young boy with a sense of wonder and innocence. The two dimensional animation did nothing if not alleviate the visual thrill that the movie was. A boy's imaginations were carefully captured that went apace with his emotions.The story is about our young boy who sets out to seek his father who had to leave to work in the city. But on his journey, the boy finds many more facets of life that he had never experienced. He sees life as it could never have been in his imaginations. It is his survival through all the changes, which he never welcomed or run away from, that meets him in his lifelong quest for his father. It maybe a poignant piece for many viewers, but it is the 'hope' of the better world, which is born anew every time it is vanquished, made the movie marvellous.Ale Abreu has not only produced a masterpiece, but also, I am sure, has given us that long overdue movie which vibrates in me as a symphony of life."
2,Boy and the World,9,6 October 2014,Eco-kitsch or a masterpiece,"(No plot spoilers, but thematic spoilers.)Yes, this film is, though you may not suspect it at first, about our broken relationship with nature. The city is the bad place, technology is bad, and nature is good and pure. And you can be sure that this message is not handled with any subtlety - at all.But, I loved this film. And not just because of its magnificent images or because of its brilliantly cute character design.The message of the film may be an old one and one we have heard many times before. But the way it is shown is unique and utterly impressive. I sat in the cinema today and cried, which I did not do for a very long time. Yes, it is very emotional and extremely passionate, and also relentlessly honest. I was ashamed and deeply sad when I left the theater. And because of its honesty I love it. And because there is truth in this message, there is no way around it. We hurt and destroy our world. And how can we bear seeing this cute boy watching all these grown-ups acting like this, destroying this wonderful, wonderful nature? We can't. And there is a reason why we can't. I think it is because we know that it is wrong.Well, you'll have to experience it for yourself. Please do. I can promise you that you have never seen anything like it before."
3,Boy and the World,,18 December 2015,Quite possibly one of the best animated films ever made,"It's such a lovely film. Both visually and emotionally rich, one of the most colorful and imaginative animated films I've ever seen. Nearly dialogue-free, one of those films that best portrays the power of the relationship between image and sound. Quite literally perfect, not a thing I would change about it. I don't think it's a stretch to call it perhaps one of the best animated films ever made, surely one of the best I've ever seen. I really hope it gets seen by more people because it would be a shame if it went unnoticed as a whole, truly. Just wonderful in every way. The score deserves even more mentions as well, together with its sound editing."
4,Boy and the World,9,8 March 2016,The Full Spectrum of Human Emotion,"Decades behind a computer, toiling and tinkering with the programming and software has given us the near-photographic realism of CGI animation. The culmination of which is the film Inside Out (2015) which won the Best Animated Feature Oscar this past year. Yet as anyone who truly loves animation will know, it's not about who has the most detailed techniques or the most expensive equipment. With great ideas and simple yet sublime stories, something as lo-fi as Boy and the World can move its audience to the core.The story begins with a young boy (Garcia) who lives in a rural abode near the jungle. His father (Campos), a mustached man sporting a straw hat and a flute, grabs a suitcase and heads to the city. the boy is heartbroken by his father's sudden absence and decides to head to the city to find him. On his odyssey he meets a host of colorful characters and comes face to face with the seductiveness, absurdity and danger of modern life.The animation is reminiscent of the work of Don Hertzfeldt. Everything is cobbled together with simple geometric shapes and seemingly done in charcoal and crayon. Yet unlike Hertzfeldt's work there isn't a sense of ruing existential doom; at its heart it is innately humanistic. Its simplicity and kaleidoscopic vision immediately strikes you with a sense of childlike wonder and as things in the story become more complex it washes over you in a flood of emotion and awe. The color palette in this film is so effective in rendering the wonder of the jungle, the bustling of the city and the rainbow-tinged weaving's of the Mestizo people that parade down the streets.It's important to note that the movie is largely non-verbal. What is uttered is dubbed in backward Portuguese and the only guiding light you're given are the visuals and the soundtrack. And what a neat soundtrack it is! Grupo Experimental de Musica (GEM), Emicida, Nana Vasconcelos and the Bushdancers all somewhat obscure Brazilian bands that help the story gently flow through you. Not since the early work of Hayao Miyazaki has there been a more genuine work of youthful artistic expression and such a full spectrum of unfettered emotion.A movie so deceptively simple and yet so emotionally complex comes around only once every few years, and an animation of this caliber comes round perhaps once in a generation. Some may not be hard won by it's environmental overtones and be contrarian to its thoughts on consumerism yet there's no denying that a story this human deserves attention and praise. Blink and you'll miss this little gem but if you can find it in theaters or (hopefully soon) on Netflix, I highly recommend it."
5,Boy and the World,7,11 February 2016,Through the eyes of a child,"Greetings again from the darkness. It may not be Pixar, but this wonderful film from Ale Abreu is absolutely worthy of its Oscar nomination for Best Animated Feature, though it's heavier on message than story. It's a wonderful reminder that one of the best features of animation is that the look can be unconventional and still be effective.The stick figure boy is on a mission to re-connect with his father, who left the family's country home to find work in the big city. For Abreu's film, the boy's real purpose is to be our tour guide through this exploration of the state of the ""civilized"" world. It's an adventure that provides the boy (and us) insight into cities, the sea, the countryside and agricultural life. It's also an examination of the loss of childhood innocence as we are exposed to reality.A rare hand-drawn presentation is also mixed-media, as it utilizes a few real news clips to emphasize the cluttered, damaged world. It's a different approach in making the arguments regarding climate change, carbon footprints and socioeconomic imbalance. The hand-drawn core here is more complex than what we initially believe. Colors explode onto the screen, and the visuals often carry multiple meanings in depicting the intended message.Dialogue is minimal and often garbled in a manner that reminds of any adult in the Charlie Brown comics  but we are never confused on what is being conveyed. In addition to the visuals, sound effects play a huge role, as does the music from composers Ruben Feffer and Gustavo Kuriat, and Brazilian jazz favorite Nana Vasconcelos. It's a unique approach to reminding us that our harsh treatment of the planet could play like a horror story or dangerous adventure to the innocent eyes of a child."
6,Boy and the World,9,23 July 2016,"Strikingly Colorful and Quite Gorgeous, Boy & the World Spins a Simple, Effective Yarn","Wonderfully playful animation from Brazil in which a small boy experiences the dueling wonders and terrors of big city life for the first time. The artwork, clearly on showcase opposite a rather modest storyline, varies from light and expressive to rich and densely textured. It can be a real wonder to behold, especially during moments when the child's imagination takes over and the mechanical guts of an industrial zone become huge, towering, ignorant beasts. Virtually language-free (characters speak a made-up dialect once or twice), it's more universal for that decision and really doesn't need the crutch. Though it gets heavy-handed with environmental messaging late in the journey, the film rebounds nicely with an unexpected twist and brings a little mist to the eye for the final scene. An ambitious, often stunning peek at modern life, as seen through the disbelieving eyes we all shared at one time or another, and well worthy of the Oscar attention it received."
7,Boy and the World,10,29 February 2016,A Beautiful Experience Like No Other,"Boy & The World is a film about a young boy who goes on a journey to find his father in the big city. Along the way, he sees many things, and meets many people. This is the most basic description of what I consider to be one of the best animated films ever made. Let's dig in.First of all, for a film marketed towards children, it can be quite challenging in different ways. One way is in what it is as a film. The fact that it has absolutely no dialogue and is driven by music and visuals alone is very daring. Another way is in some of the subjects it tackles. This includes things such as the negative influence of industry, the oppression of art and creativity, and the underwhelming reality of adulthood. I mentioned that the film ditches all talking, instead going for visual and musical storytelling. So does it achieve this goal? Yes. Oh my god yes. Every image that this film throws at you is absolutely gorgeous and full of things to look at. The music is absolutely beautiful, and I'm not lying when I say that I found myself getting chills well an often due to the music. These two factors are what propels the movie and turns it into the great experience it is.Now let's talk about the overall effect. It was unbelievably effective for me. This is the only film that ever made me weep. I urge any movie fan, or any fan of animated films, to watch this. It is a brilliant experience, and it touches on every emotion I can think of. Happiness, sadness, humor, love, and many more that aren't coming to mind. Go. GO. WATCH IT NOW."
8,Boy and the World,10,26 January 2016,An animation masterpiece!,"This is an amazing animation film! There are many reasons to say that and I will list just a few of them: 1) the film is really touching, captivating, and clever 2) it was able to, more then just telling a story, showing the feelings and impressions of a child, 3) animation is extremely beautiful and innovative at once, as it mixes different techniques and clearly deviates from the styles commonly used (it is also impressive how, with simple lines, we can recognize facial expressions), 4) editing and animating is impressive, showing details and angles which surprise spectator (I loved the scenes of movement showing its impact on environment and what the character sees or thinks and not the boy or the train), 5) it is a brutal representation of social problems and inequalities and the outcomes of capitalism, 6) the metaphors for regional or class contrasts are great, 7) the fantastic use of music throughout the movie is really important for the story, 8) the graphic representation of each part of cotton production is awesome, 9) the journey of the leading character seeking his father and making a living is an unconventional road movie that shows an awesome variety of places (countryside, crowded big city, factory, slum, beach...), particularly if you consider the stylised kind of draw, 10) the not obvious alternations between reality and imagination, past and present, is quite sophisticated, 11) the film mocks about all the vices of advertising and television, 12) there is no need of dialogs or texts and it motivates a joke that is repeated along the film: the advertisements have meaningless texts and the dialogs, although in Portuguese, are backwards, not being understandable for both Brazilians or non-Portuguese speakers, 13) important sociological processes are competently shown in the film, such as migrations between city and countryside, and the effects of both Fordism and automation. To resume: just watch it, and will never forget."
9,Boy and the World,7,28 December 2017,unique animation,"The boy is sadden when his father leaves on the train to find work in the big city. He goes off into the big world in search for his father.This is a Brazilian animation nominated for an Oscar in 2015. The animation style is colorful stick figures. It has a very unique look. It doubles down by having limited rudimentary dialogue done in gibberish. I do wonder if this would function better as a short, maybe half hour. The theme does get deeper as it delves into globalization and modernization. It's a slow turn into this darker material that is most disconcerting. There is a reveal at the end about the boy and the father which is probably confused especially without dialogue. It could have been done straight forward."
