,title,stars,date,r_title,text
0,Call Me by Your Name,10,23 January 2017,"""Call Me By Your Name"" perfectly adapted to film.","If you've read the book, you will not be disappointed. If you've not read the book, you must. They fit together as a beautiful work together. Companions in art. One without the other, and you just aren't as fulfilled. I cannot wait to reread the book.Timothée's performance is one for the history books. The Adele Excharpolous à la Blue is the Warmest Color of the year. His eyes are so expressive and every emotion and action is so deeply felt by this poor tortured soul that by the ending you cannot help but weep and feel at the absolute lowest you've ever been.Armie is portrayed to perfection, as well. His ""later"" and other phrases stand out so sharply in a world of prompt and prim dialect that it makes us feel engaged in a way that I've never felt by a movie. He was such an outsider and yet we were assimilating to his was as opposed to the way it should be. He, a guest, in Italy, for 6 weeks, leaves just as American as the day he arrived.Luca's obsession with men dancing and swimming pools and beautifully choreographed sex, is perfect for this story. I cannot think of a better match. Luca said in the Q&A afterward that he decided to change a few things from the book because not everything written in prose works on screen in a cinematic way, and if you've read the book, you will agree. He also said the author, who makes a small cameo in the film, thinks Luca's changes are better than the original form. So, that's affirming.Peach scene? Devastating. Sufjan's new songs? Devastating.This was a very sad movie but I loved every second. Let's hope Suspiria is even better. Luca G. might be the most exciting director working today. It was a privilege to watch this with him and the amazing cast and crew INCLUDING Sufjan. I hope Sony Pictures Classics doesn't mess up the distribution/awards campaign. This deserves praise.Also, 10/10 opening credits/font. Luca can do no wrong."
1,Call Me by Your Name,,2 February 2017,A Cinematic Classic,"How can any review rightfully describe Call Me By Your Name? I had the immense privilege of seeing it at Sundance before 99.99% of the world, so now I am one of the select few in charge of p(r)eaching the gospel that is Call Me By Your Name. This film is simply a masterpiece, possibly the best romance film of all time, and one of the best films of all time as well.The plot is basic, but it is how the story is told through the actors, the imagery, and the music where the film shines. The son of an academic (Elio, played by Timothee Chalamet) falls in love, perhaps hopelessly, with a visiting student (Oliver, played by Armie Hammer) who is staying with his family ""somewhere in northern Italy."" Almost all reviewers will describe it as a gay romance, some will say it's just about two people falling in love (and they will get criticized for trying to downplay the sexuality of the characters), but at its core it is about two people who fall in love with one another but have difficulty realizing that the other feels the same way. It is a universal film about love, sensuality, longing, and being true to oneself.While most romance films are unrealistic, melodramatic, or otherwise uninspired, Call Me By Your Name is anything but. The first hour is tension-filled with innuendo in the actions between the main characters and the other people in the story that realistically captures the delicate dance involved in flirting. The passion that develops is palpable, with some of the best love scenes to grace the cinema - complete with the awkwardness involved. The ending may be predictable, but how everything plays out is a masterclass of film-making. The final monologue between father and son towards the end will be the highlight for most people. Michael Stahlbarg gives a breathtaking performance as he calmly provides his son comfort, but most importantly, acceptance. However, the emotional peak of the film truly comes at its end, with a haunting final shot that will stay with me forever. Timothee Chalamet is a revelation and is destined to become one of modern cinema's finest actors. Armie Hammer finally has a role that allows him to shine. While many will be surprised at the casting on paper, it is a testament to the actors that you can truly feel the passion between their characters so much that the pairing feels like destiny. Call Me By Your Name is a moving film that stays with you, leaving a dark depression for days that arises not from what happens in the movie, but how it is shown. It is so beautiful, but heart-wrenching at the same time, that it reminds us how amazing life is despite that our desires are not always, if ever, truly fulfilled. The film teaches the viewer important life lessons that have already deeply impacted me as a person and how I intend to live my life. The central question it asks is best summarized through a question asked by a character in the film: ""Is it better to speak, or to die?"" After the film, one can only leave with one logical conclusion: To speak, because to die, is to die without ever knowing the answer. And for Elio, regardless of how the relationship ends up (see the film!), at least he knows the answer."
2,Call Me by Your Name,10,12 December 2017,It happens when you least expect it,"Beauty in the midst of all the ugliness we're living in, it's like a shock. I wept like I hadn't wept in a movie since I was very young. It made me think and remember summers of my own life. It made remember sounds and smells. I was transported. The smartness, candor and gentleness of this unexpected love story goes beyond anything I've ever seen. Luca Guadagnino is rapidly becoming one my favorite directors working today. Armie Hammer completely demolished my preconceptions with a performance that is total perfection and I haven't mention Timothee Chalamet yet. No I need to dedicate the lasts paragraphs to him because his performance goes beyond perfection. I didn't know him at all. Now I' a fan. It reminded me of the first time I saw Daniel Day Lewis playing a gay punk in ""My Beautiful Launderette"" An explosion of beauty when you least expected. Thank you for that."
3,Call Me by Your Name,10,14 December 2017,Timothee Chalamet,"I cried my eyes out. It was cleansing and reinvigorating. Timothee Chalamet is the living image of a friend from my childhood. He had a similar experience but a very different outcome and it made me think with a broken heart that if my friend had had a father like Elio's father he could have had a real chance at a happy, constructive life, instead of the agonizing pain that he went through. I hadn't though about him for years and Timothee brought him back to me with enormous power. What a beautiful, beautiful performance. Armie Hammer is a total revelation, the perfect foil for a first love. Michael Stuhlbarg introduces us to a character I had never seen on the screen before. He moved me no end, Then, of course, Luca Guadagnino. My hat to you sir. This is a film I will see many times."
4,Call Me by Your Name,10,27 August 2017,"Deeply moving, arousing, heartbreaking","*****This review may contain spoilers!!!!*****I have just finished reading the book. It is deeply moving. I am still in a daze. Heartbreaking and inspiring at the same time. The film adaptation is erotic, cinematic, well acted, and painfully beautiful, as Luca Guadagnino's other film, I Am Love (starring the luminous Tilda Swinton). What makes the theme universal? To my eyes, it has to do with the complex issue of love and loss. The film and the book deal with love/loss not in the simple sense of losing the person we love, but in the sense of deliberately losing the person we love so we can sustain loving and desiring the person. ""I can't love you unless I give you up"" could be the line (not from the book or film) that captures the relation between Elio and Oliver. Both Elio and Oliver maintain the minimal distance between them instead of fully committing to their desire 'til the end. Which makes their love the sad kind. As Elio said, ""Time makes us sentimental."" The right time never arrives for Elio and Oliver. They relate to each other from the lenses of the past (""pluperfect"" love, to borrow Elio's wording) and the future. It is never now. The thematic is appealing because it speaks to many of us who have loved and continue to love on the basis of the fundamental loss at the heart of desire. Is there a way out of this spiral? Is there another way of approaching love? These are questions the book and the movie leave the reader/viewer to answer. The ending is unhappy yet ""satisfying"", precisely because this satisfaction involves a mix of hope and agony. It keeps the movement of desire in motion, for both Elio and Oliver, and for the reader/viewer. PS: I can't help but reflect on this great film vis-à-vis Guadagnino's another great film, I Am Love, where the two protagonists literally leave their respective worlds behind to be in a world that they both share."
5,Call Me by Your Name,10,25 August 2017,Sensual Italian summer,"This film is pure sensuality and emotion. You can see through the character's eyes, taste through their mouths but most importantly you feel, by God how you feel. Luca Guadagnino manages to extract the very best out of his actors: Armie Hammer's performance shows unprecedented depth and Timothee Chalamet is the essence of awe inspiring acting, this film will land him an Oscar nomination at the very least."
6,Call Me by Your Name,10,5 October 2017,A masterpiece that will stay with you long after the credits,"Call Me By Your Name is the kind of movie that makes you sit through the credits with tears rolling down your face, staring blankly at the screen with a lump in your throat and tightness in your chest. Call Me By Your Name is not a tragic movie. It's not a sad movie. It's not a pretentious movie. It's a movie about love, and love, and love. A beautiful love that will leave you longing to find your own love and drown in it. Timothée Chalamet is an absolute force of nature. Elio will make you want to love, and hurt, and piece yourself back together with absolutely no regrets whatsoever. Elio will make you want to live your life to the fullest. Elio will make you want to break your own damn heart. It's so rare that a performance truly shows the depth of longing, and despair, and passion a character conveys through written words without the internal monologue. Timothée is truly a revelation and his last scene during the credits will have a lasting impact on everyone.Armie Hammer is absolutely brilliant in the way he humanizes Oliver who is somewhat glorified through Elio's lens in the first part of the book. In the movie, Oliver is endearing and human and sexy and caring. He cares for Elio, and his love for him is so tender and so touchingMichael Stuhlbarg's monologue delivered nearing the end of the film is a complete masterpiece, and without a doubt that monologue with be taught and quoted for many years to come. A raw and beautiful scene.Watch this movie. Watch it, and love it, and don't let it fall victim to over-hype. Watch this movie. Fall in love in two hours and twelve minutes, then question every single time you didn't allow yourself to feel just because you were afraid of getting hurt. Was avoiding a possible heartbreak that might have shattered you worth never getting a taste of the heavens? Was killing the potential pain and heartache worth it? Was it worth it?"
7,Call Me by Your Name,10,23 October 2017,"It is about compassion, trust, and wisdom","Chiron, in Barry Jenkins' Oscar-winning film ""Moonlight,"" in addition to being gay and black, has to deal with drug abuse, bullying, and the lack of a supportive home environment. In contrast, in Luca Guadagnino's (""A Bigger Splash"") achingly beautiful Call Me by Your Name, 17-year-old Elio's (Timothée Chalamet, ""Love the Coopers"") life is safe, comfortable, and surrounded by love though, like Chiron, he must come to terms with his true identity. Written by three-time Oscar nominee James Ivory and adapted from the 2007 novel by Andre Aciman, Call Me by Your Name is set in the summer of 1983 where Oliver (Armie Hammer, ""Free Fire"") is an American research assistant studying with art history Professor Perlman (Michael Stuhlbarg, ""Steve Jobs"") at Perlman's gorgeous villa in Northern Italy.Oliver arrives at this idyllic setting with its gardens, peach trees, and lakes to greet the professor, his wife Annella (Amira Casar, ""Planetarium"") a lover of German poetry, and his teenage son Elio who speaks several languages and transcribes piano scores for the guitar. Shot by Thai cinematographer Sayombhu Mukdeeprom (""Uncle Boonmee Who Can Recall His Past Lives"") and buoyed by new songs from Sufjan Stevens, it is easy to feel yourself present in the languid summer afternoon, as Aciman expresses it, ""with the scent of rosemary, the heat, the birds, the cicadas, the sway of palm fronds, the silence that falls like a light linen shawl on an appallingly sunny day."" With Oliver's arrival, Elio now has to shift his focus from pursuing his French girlfriend Marzia (Esther Garrel, ""Daydreams"") to show the American student around town and give him bike tours of the area. Soon, however, he becomes annoyed by the American's brusque manner and his abrupt ""later"" whenever he's leaving. When Elio, who is Jewish, sees Oliver wearing a Star of David on a chain around his neck, however, he finds a common bond, jokingly telling him that his mother considers their family to be ""Jews in discretion."" Sharing the same bathroom, their friendship begins to expand when they engage in conversation and go swimming together. Although Oliver gives Elio a neck massage during a volley ball game, the boy seems unable or unwilling to process the feelings that it brings up in him.When Oliver causally tells Elio that he seems to know everything, the teenager confesses that he knows everything except ""what really matters."" Even when physical intimacy is established, there is the sense that they hold back from fully expressing their feelings and even prefer not to talk about them. Chalamet, in his first leading role, is a revelation, delivering a deeply affecting performance that shows great promise. Hammer's performance is restrained, but also fully believable, making sure that the age difference does not get in the way of the honest and genuine relationship they have established. As they strengthen their friendship, like lovers, their identities blend into each other and they express it verbally by taking each other's name. Call Me by Your Name is not an ""us versus them"" movie. There are no antagonists in the film. It is a celebration of love in all its wonder and mystery.There is gay sex in the movie but, like ""Moonlight,"" it is about more than sex. As Guadagnino says, ""it is about compassion, trust, and wisdom."" All three of these values are expressed in the conversation between Elio and his dad, an interchange that is moving and wise. Though the film is ""gay-themed,"" Guadagnino does not pigeonhole the characters into familiar categories and his refusal to deal in stereotypes or manufactured emotion gives the film the space to breathe and reach the place where tension can grow. Like ""Moonlight,"" Call Me by Your Name has a universal appeal and can touch anyone, gay or straight, who has ever felt the confused and conflicting longings of first love, or who knows from experience that, in the words of the song ""Plaisir d'amour,"" ""The joy of love is but a moment long. The pain of love endures the whole life long."""
8,Call Me by Your Name,10,5 October 2017,"An Extraordinary, Extraordinarily Unforgettable Masterwork of Filmmaking","I loved ""A Bigger Splash"" (the previous film by Luca Guadagnino,) and was in awe by the trailer and stunning reviews for this film. Needless to say, my expectations were utterly shattered by this powerful, emotional, and gorgeous drama. It's one of the best films of the decade, and clearly the best film of the year so far.While this isn't the type of film with too many spoilers, I still don't want to give too much away. It's better to go into such a sublime film like this knowing less rather than more. What I will say is that the main plot concerns an adolescent man who is spending a summer in the 1980's with family in Lombardy, Italy. He begins having a relationship with an older man invited as a guest by the family played by Armie Hammer. The film's pacing is superb and lets the viewer genuinely meet these characters, who are bonded by both friendship and physical affection. This is clearly shown throughout the movie, as the chemistry between the two leads is excellent.But what makes ""Call Me By Your Name"" such a phenomenal film is its gripping sense of feeling. Viewers truly feel that they are away from where they are viewing the film, and truly feel like they have been transported to 1980's Italy. Guadagnino is a masterpiece at eliciting senses, and the audience's sense of senses are used to full effect to simulate the true feelings of being in Italy. From luscious depictions of peaches and apricots grown in the countryside, to the streets in gorgeous Italian towns and the steamy espresso, every sight and sound in the film feels truly authentic and impactful on the viewer. I have not seen such an effective use of reflecting on audiences' senses to create a more immersive viewing experience in a film in years. The film's score is exceptional as well. It feels authentically Italian and beautifully emotional, especially when paired with the film's script in many scenes. The writing feels both authentic and intelligent at all times, and the film doesn't even manage to let its guard down in a single scene by failing to grip the viewer with its beautiful script. A late-film monologue by Michael Stuhlbarg is a particular highlight.As one can see from reading this review, this film is truly unforgettable and a brilliant trip to Italy. Its immersion in its setting and characters remind us of the focal point of cinema: to expose the viewer to unique settings and opportunities and to transport them to these opportunities through the language of film. Recommended to the highest degree. 10/10"
9,Call Me by Your Name,5,18 November 2017,Disappointing,"I really wanted to like this film. I read the book when it came out; I am a gay man; I love films about love relationships between beautiful men; I love films with bits of European languages and lovely European settings; I am 'pro' art house films which are all about characters and take their time. But this didn't work. Firstly, it was really too long. But my main problem was that the relationship between Elio and Oliver just didn't ring true. OK, a few small things happened between them which could have been seen as sexual (e.g. the shoulder massage), but they were both busy doing things with women a lot. Nothing wrong with being bi! And Elio is meant to be young, finding himself etc. But one day, he suddenly says to Oliver that he needs to tell him something, and Oliver says he knows what it is - but there really hasn't been enough evidence of that building up. I do realise that reading an article about Hammer which said that he had a clause added to his contract restricting the amount of sex and nudity he would be expected to do - well that made me struggle to see sincerity in his acting. Chalumet on the other hand is a great discovery. The way he holds a close-up all through the closing titles, showing a range of emotions, is very impressive indeed. I can remember so clearly what it was like at 17 (OK yes, 50 years ago) to kind of enjoy feeling sad and then elated about love and sex, and Chalumet shows that brilliantly. But he is not enough to save this film, and nor is the man playing his father, who does such an excellent job of channelling Robin Williams."
