,title,stars,date,r_title,text
0,Cars 3,1,15 August 2017,Pixar 1995-2017 ?,"The Good:The graphics looked absolutely amazing. Best animation visuals I've ever seen. That's about it...The Bad:The trailer for the movie was *completely* misleading.Doc hudson died without any explanation. Cars that trained him ( older ) are still alive which makes you think something unexpected must of happened? I'm guessing this is because of the voice actor passing away, but some kind of explanation would of been nice.A lot of bad messages for kids. Aging is something to be made fun of ( excessively in the movie ). Once you're older there's no way you can possibly win. If you're not winning at something, give up and circumvent the rules so you can basically cheat to win ( because that's all that matters ). If someone says you can't do something ( Cruz not able to be a racer ) stop trying completely and wait until you're grown and someone comes along and fixes the situation for you.The interactions between 'Mater and Lighting were the highlight of Cars 1. Funny jokes, fun times, laughing and friends. Mater and most of Radiator Springs were left out of this one. The movie was very serious and the jokes that were said were untasteful ( mostly about his age ). I'm not sure I even laughed once during the movie.The level of propaganda was impossible to look past. Cars 2, and especially Cars 1 cultivated a following of mostly young boys that are into cars/racing/trucks etc. They wait until Cars 3 to turn the entire franchise into a story about equal opportunity and equality. The main reporter in the movie is suddenly female, the famous demolition derby star is female, and the new hero/racer of the Cars franchise is female. She has no experience as a racer, drives on the beach once ( never practices once on asphalt ) and then goes to win the race with Jackson Storm who has set all kinds of new records? After she wins the race the camera cuts to every one of the female characters going ""whooo"". I don't understand why a kids movie has to push politics and ideology. IT'S A KIDS MOVIE. Also, I can't see my 4 nieces hanging up their Frozen outfits to get some Cruz toys.All in all it left a really bad taste in my mouth not only about Cars but Pixar/Disney as a whole. Are there going to be any more innocent kids movies with humor for the adults as well, or just neutered stories for the sake of PC."
1,Cars 3,1,22 June 2017,Please don't watch the movie if you liked cars 1,In which movie does the main protagonist chickens out before the final showdown (boss fight or the race in this case) and says to his trainer that you have been training with me so you can go and win it for me.The whole point of the movie is that Mcqueen gets to decide when he should retire and so he trains hard to beat the rookie and just before the final race he turns to his trainer asks her to race in his place.F**kers i went to watch the movie expecting that it will be about a comeback story of Mcqueen and not how he is forced to retire.
2,Cars 3,1,27 June 2017,How awful this was,"When Cars the original came out I was seven years old I followed the ""trilogy"" to where I am now 18 and let me tell you something... this was not how I wanted lightning to end his career I mean Jesus was this movie awful. I would rather have watched the big bang theory on repeat for the rest of my life."
3,Cars 3,1,16 June 2017,Disappointed,"There are so many disappointments with this film, I don't know where to begin. So I'll start herefirst, the tag-line that, ""you can't turn back time, but you can wind it up again"" is not mentioned at all by any character in this film. As it turns out, Lightning can't wind it up again. **SPOILER ALERT** In fact, he is too old to finish the race and needs a young girl car to do it for him. Did Disney not learn anything from The Simpsons?? You don't have to age animated characters. From the previews, I was led to believe that Lightning would wreck, overcome his impediments to win the race and show us all that we can do anything we put our minds to. Instead, Disney, was so busy being PC by making a girl win that they actually WERE being ageist. When you pay to see Lightning win, and he doesn't cross that finish line, you have failed as writers. I will now move on to the poor characterization of Cruz. From the color chosen for her, her dialogue, her lack of humor or connection-she was flat. Doesn't Disney have ENOUGH female heroes-heroines?? Did they have to retire one of the very FEW males-Lightning?? This was a colossally stupid decision.I guess Disney did not consult any child psychologists-or anyone with children-to find out that boys like cars more than girls. They have effectively ended their franchise. I feel the fizzle out coming. So much for the next generation of Lightning McQueen fans-I doubt many girls are going to be asking for race tracks with Cruz for Christmas."
4,Cars 3,1,23 September 2017,Not nice at all... Disappointment,We all expect our lead character McQueen to win or do something interesting every time but this movie is all opposite.... It's just about his retirement..... It talks about new generation racers who are better than the old ones.... Everything McQueen had is hopelessness... He loses all hope and hands over his career to a girl racer making himself retired..... he declares himself shower than the others and takes up a blue paint in memory of Hudson hornet and becomes a crew chief... Cars has always been my favourite Disney movies since my childhood but thus movie made me real upset...I was really not expecting this...... It is surely the worst Disney movie ever....
5,Cars 3,2,29 June 2017,Why,"Even my son was asking throughout then entire 1 hour middle portion of the movie , ""why aren't they racing, is he gonna race Jackson storm ..."". I just kept saying yeah son eventually. Then it's the female that ends up racing in the end and my 5 year old son experience his first episode of disappointment and fraud. How do you explain to a 5 year old that it's politics and the moral of the story is no longer innocent heroic comebacks but now it's about equal opportunity and forcing ideas on young minds. Kids just want to see a good , animated race movie AS ADVERTISED!!! Instead it's 10 minutes of racing, and an hour and a half of training and build up that leaves you asking yourself... did this have to be nearly two hours long?! Garbage"
6,Cars 3,1,16 June 2017,Not what I was expecting,"Not what I was expecting, *spoiler alert* franchise killed lightning McQueen, he never recovers to race again. Huge disappointment for my son, it was literally the death of lightning McQueen.Lightning McQueen then goes on to become the youngest trainer in history bringing to an end his career as lightning McQueen. McQueen gives his position to a trainer that is older than the newer model Jackson Storm, she happens to be a girl. So my son is waiting for hero to pull through and then gets shot down by McQueen giving up. The spot McQueen gives up is won by a trick and not by speed. My son is not going to cheer for a new when the old is no more. Definitely early death of number 95. Very depressing movie. The trailer was definitely misleading."
7,Cars 3,1,2 January 2018,"WORST CLIMAX, FALSE ADVERTISING,","Film makers say that a bad movie clearly falls apart. You can easily break it down for analysis, unlike a good one. ITS CRYSTAL CLEAR THAT THE TERRIBLE CLIMAX OF THIS MOVIE WAS WRITTEN FIRST AND THE REST OF IT WAS JUST MADE UP ARTIFICIALLY FOR IT. Trailer advertised something else. Think of a Batman movie where Batman is having a nice time in Hawaii beach and some unknown guy does all the ninja stuff to defeat the villain. Enough said."
8,Cars 3,3,30 November 2017,it was disappointing just like my grammar skills,!!!!SPOILERS!!!!I got that some people see it as inspiring and they can relate to Cruz but the fact that they made McQueen start the rice and then they just throw Cruz in and then she does what McQueen cant and wins the race against Jackon storm that was just disappointing.Will I give it a 3/10 and I think that's being generous.
9,Cars 3,6,19 November 2017,"Better than reviews say it is, worse than I expected to be","First of all, let me get this out of my system: I've seen many 1-2 stars reviews out there. While I understand why those people are upset I think 1/10 is way too low. The movie isn't inherently bad, it's not a disastrous mess of burning oil like some reviewers make it to look. But it's not great either.The movie is lighthearted, easy to chew and fun for the most part. I wouldn't expect more from a cartoons movie. But this is Pixar so of course I expected more.I've got three major problems with this movie. First, the new characters are extremely flat and one-dimensional. The ""new"" younger cars are just jerks (all of them), there's no reason for them to behave like they behave but because they're the ""antagonists"" of the movie we need to feel mad at them I guess. So they're flat-out pretentious with zero background. The new sidekick of Lightning is also a completely basic character with an extremely contrived background story. Second, the third act feels forced and unbelievably illogical (and yes I know I'm talking about a movie with talking cars). I can't really explain this point without spoiling anything but let's say the end isn't loyal to the movie's protagonist and the end is wrapped up in a very forced manner.Third, the Mary Sue of the movie. I really don't care about overpowered female characters, I didn't even care about Rey in Star Wars. I don't care! But this new female sidekick of Lightning McQueen is just too Mary Sue to be true. Again I don't want to give away anything but I'm tired of that ""you got something that you didn't know and now you're a hero"", that's BS.So, it's a fun flick but many levels below the old good Pixar."
