,title,stars,date,r_title,text
0,Dumbo,10,8 July 2004,Short and sweet.,"All the other elephants shun Dumbo for his gigantic ears, and his mother has been locked up for protecting him, so he's all alone in the world... until Timothy Q Mouse shows up.A beautiful piece of work. At just 60 mins, it is short and sweet. But it also contains some of Disney's best visual poetry. Dumbo's not saying a single word means his entire character is created through the physical. The entire opening sequence, till the gossipy elephants start talking, plays out without words, and its like the best silent movies. Simply beautiful.Mrs Jumbo rearing up and destroying the big top to protect Dumbo from taunting kids is an incredible scene. Dumbo's mother spends the movie imprisoned in a carriage labelled ""mad elephant"" - and surely one of the most beautiful, heartbreaking scenes i've ever seen plays out when Dumbo and his mother have contact only by touching trunks, through the bars in the window of her cell. A beautiful sequence begins: the beautiful song ""Baby Mine"" plays as she cradles him in her trunk, and when Dumbo leaves she can't see him, and she stretches her trunk as far as she can out the window to try and reach him, and... oh, its too much!The pink elephants sequence is as close to trippy Disney ever got - and its brilliant. One of the best, most inventive sequences in animation history. Great song, too.Some terrific songs: Look Out for Mr Stork, Casey Junior (the train song), Pink Elephants, When I see an elephant fly and Baby Mine.10/10. Timothy Q Mouse is a great character, the animation is so concise and perfect, great songs, the message that if you believe you can overcome your handicaps you will so inspiring and beautiful, and the movie so short and sweet it will forever retain its appeal."
1,Dumbo,10,29 December 2003,A perfect film,"A perfect film.  The design is beautiful and deceptive in its simplicity. While it may lack the overstuffed quality of `Pinocchio' or the abstract one of `Fantasia,' the style of `Dumbo' is elegant, vivid, and occasionally grotesque in ways that recall not only classic circus posters but also Paul Cadmus paintings and vintage `New Yorker' cover art.  In fact, the entire production has a hint of nostalgia about it; for all its dark story elements, the film presents a rosy-hued portrait of old America (with Casey Junior cheerfully pulling his traveling circus through green open fields) that must have seemed very comforting as audiences prepared for the unforeseeable terrors of another World War.  (A `Dumbombers for Defense' poster in the film's epilogue is the one joking reference to an increasingly unsteady world situation.)  In the midst of this cozy landscape, we find a simple, tender story about acceptance and mother love, with the characters of both Dumbo and Mrs. Jumbo finding a wonderful eloquence in their muteness.  These performances are true triumphs of animation.  The other characters, both good and bad, are painted with broad, memorable strokes. It's become fashionable to look rather harshly upon the Jim Crow sequence and all its uncomfortable associations, and it can be difficult for a modern audience to watch it without cringing slightly.  But it should be pointed out that the crows are not only the film's cleverest characters (both in terms of thought and language), they are also the only ones except Timothy to show any sympathy whatsoever to the little elephant; after all, they are outsiders themselves.  The sequence is a play on a stereotype, that can't be denied, but I would argue that it is an attempt to revise that stereotype into something positive and sympathetic.  The songs and score are flawless, and the show-stopping, nightmarish pink elephant sequence keeps things from getting too artistically conservative--and, just like the rest of the film, it still thrills us no matter how many times we have seen it.  10 out of 10."
2,Dumbo,10,26 July 1999,"Short, sweet, and a few pink elephants","Disney had spent vastly more money than he'd planned on ""Pinnochio"" and ""Fantasia"", and got little of it back.  ""Dumbo"", next off the rank, was made cheaply, quickly, without fuss.  The result is simple but handsome. However handsome ""Dumbo"" looks, the animation is not very detailed, character design is hardly adventurous, the colours are few but bright, and in an hour it's over.  It needn't be more than this, though: the story is far from complicated.  It is, I'll admit, a story that has made me cry more than once; and in this instance I don't feel that I've been cheated into crying, because there really is something poignant and heartbreaking about this ugly duckling variant.Like Hans Andersen, Disney has to pad the outfit a bit to make it fill the space available; yet, with the exception of the introductory bit with the storks, it doesn't feel like padding.  In fact the most gratuitous piece of padding is the most necessary.  I refer to the pink elephants sequence: a masterpiece of extended unreality (caused by such a tiny quantity of champagne!) which dazzles and sizzles and all but soars out of the screen. It's the sting in Dumbo's tail, and nothing produced since can match its verve."
3,Dumbo,10,23 September 2000,Disney's endearing classic,"One of Disney's best known and loved films. About a baby elephant born in the tough world of the circus who is ridiculed and shut out because of his large ears. Comforted by his mother until she attacks a trainer and is penned up in a jaillike wagon, Dumbo eventually learns that he can fly and becomes a star. A great film that deals with discrimination, self esteem, the importance of family and friendship. Features a great score which it won an oscar for and a nomination for song, the beautiful ""Baby Mine"" . The pink elephants scene is a classic. Wonderfully done, arguably Disney's best on a scale of one to ten...10"
4,Dumbo,10,22 February 2009,7.4????? Are you people insane???,"This is clearly one of the great animated features of all time. How it squeaks by with a mere 7.4 voter average while all sorts of contemporary crap does far better is a mystery and a tribute to the downward spiral in cinematic taste. DUMBO is my favorite of all the classic Disney films (a group which ends with JUNGLE BOOK, completed after Walt's death). Nothing since then has been able to recapture the magic. Walt may have been, according to some people, a fascist and an anti-Semite, but he was also a genius.Things that make this movie great: The animation (I used to work at a zoo, and while the real elephants did little talking or singing the animators captured their body language incredibly well.)""Pink Elephants on Parade"".Effective but not over-the-top heartstring tugging.The musical crow number (""When I See an Elephant Fly""). I'm disappointed to discover the voice actors (Including Cliff Edwards, ""Ukelele Ike"" and the voice of Jiminy Cricket) were white guys playing black --- I was hoping they were some cool unknown black combo --- but it's a terrific number anyway.The 64 minute running time. It starts, tells it's simple story, then knows when the hell to get off the stage. I wish more film makers had that ability."
5,Dumbo,9,23 November 2001,A wonderful film from Disney's classic era,"As a kid, I would watch over and over several Disney features: Pinnochio, Peter Pan, Bambi, Alice in Wonderland, Lady and the Tramp, and Dumbo. When I come back to those films now, I recognize that they are all marvelous films and gave Walt Disney much deserved success. It's truly sad how far Disney has fallen. All kids' flicks now are awful. I revisited Dumbo, by the way, on the same night that I first watched Harry Potter and the Sorcerer's Stone, destined to be one of the most successful films of all time. It is execrable, and it is simply pathetic how bad films like it are nowadays. I say, bring your kids back to Dumbo, Pinnochio, Bambi, and the like. They may not be as harmless as the kind of movie Disney and others shove out today. You shouldn't be afraid of your children showing emotion. I can remember more than anything being profoundly affected by the ""Baby Mine"" number from Dumbo, where he visits his imprisoned mother. Films like these will mould your children's emotional stability instead of keeping them at a safe distance and selling them toys."
6,Dumbo,10,27 May 2011,Timeless classic,"This is easily one of the most touching and entertaining films I've ever watched. From the heartwarming deliverance scene at the beginning, when the stork brings the newborn babies to all the animals in the circus, through the hilarious and trippy Pink Elephants on Parade sequence (which still holds well to this very day), to the heartbreaking scene when Dumbo's mother is in chains and she rocks him with her trunk from beyond the bars.True, I've seen it first at the tender age of 4 or 5, so maybe the nostalgia factor has it's weight on my affection for this film - but I still think it's one of the most sweet and sentimental films ever made (even at the ""old"" age of 30)."
7,Dumbo,10,12 October 2007,"Ahhh, good memories!","I used to have this on video along with ""Alice in Wonderland"" (both of them were taped off TV and were on the same video) and I remember watching them all the time with absolute and unshakable content and happiness. Peolpe have written reviews saying that it's pretty dark and creepy, especially the ""Pink Elelphants"" sequence but I never was (and I'm NOT lying!). I remember the ONLY thing that got to me a LITTLE BIT was when the clowns were chatting after the ""Dumbo the Clown"" act; the clowns with the high and squeaky voice (some of the clowns have the same voices) creeped me out a little 'cause I thought they sounded evil (Ha! For people who have watched the movie it's the voice that says ""This one's on Dumbo!"", ""We really rolled them in the aisles!"" and ""Let's make it eighty feet!""). As for the ""Pink Elephants"" sequence, I found it really funny and I still do. So anyways, absolutely no family should be without this movie 'cause it's a very sweet film with a really important message."
8,Dumbo,8,3 April 2006,The One...The Only...The FABULOUS...,"I first watched ''Dumbo'' when I was very young,and I always remembered of it being a beautiful and sad movie. ''Dumbo'' in a way,is about the rejection of being different from the others and how this can hurt so much the people who are victims of people's prejudice. The main character Dumbo,does not speak a single word and even this way, you can know all the feelings he is passing through. The illustrators did a great job showing all animal's emotions in this way.A funny thing is that since I was a kid, I always found the scenes were the pink elephants were shown a little bit of creepy. They look like the clowns who were mocking Dumbo, maybe that's why I never felt a good vibe coming from this part of the movie.This movie is a classic from Disney and everybody should watch, including adults!"
9,Dumbo,10,12 April 2001,"Excellent, but a little dark","I used to LOVE this film when I was little and then, like most other kids' films I forgot about it. However, the other night I was babysitting until 3.30am and to keep awake I invaded the family's video collection. On watching Dumbo, I was as moved as ever, but also reminded of what a scary and shadowy film it is. My brother had to be guided out of the cinema, crying with his hands over his eyes, when he saw it, and that says a lot for a kids' film. The use of shadows and silhouettes is widespread and the weather is largely rainy and stormy. I can remember being scared during the scene when the train is travelling through the stormy night and particularly when the men (all black, I notice) are building the Big Top. The Pink Elephants sequence is imaginative and impressive for adults but imagine watching it as a kid - it's pretty scary. It's strange to have a film where the main character, title character even, doesn't actually talk, but I suppose there's nothing for him to say, his actions and expressions say it all. The treatment of Dumbo's mother always gets me, particularly the beautiful and haunting ""Baby Mine"" scene. However, through all the sadness and sinisterness, the heart of the film shines through, and it's a beautiful one with a wonderful message."
