,title,stars,date,r_title,text
0,El Topo,10,12 November 1998,"Unique, brutal, fascinating, allegory of many religions..","It's a violent, brutal, to some confusing, but fascinating and ultimately a brilliant allegorical film. It was the first of the midnight cult films.Unrelenting at times.  There are several characters and situations the protagonist experiences. Each of these characters and situations have a connection to various (mostly Eastern) religions.  The feel of the first part is almost like a mid-period Fellini spaghetti western (had Fellini made a spaghetti western--which he did not).  The second half of the film has an entirely different feel, message and pacing.  The second half of the film is an allegory of the New Testament.  Eventually it does all tie together however.There seems to be a scene missing at about the mid-point of the film, and a characters motivation suddenly changes.   Jodorowsky explained it was mostly intentional, but, two shots were ruined and never re-shot which would have helped set up a more discernible meaning to the scene in question.  It occurs between the women in the desert.Jodorowsky will not explain in detail all that he was going for in the film.  He considers the film an Eastern.... he agrees that my interpretation of various characters embodying Eastern religion and philosophy is correct.   He also was creating a film of emotions, violence, salvation, and redemption---so he intentionally did not follow the expected structure of most films regarding first, second and third acts and when major conflicts occur.He flippantly agreed with some New York critics years ago who described the film as one which seemed to be a filmed version of a very strange L.S.D. trip.  He had a lengthy conversation which was published and used as liner notes in the El TOPO soundtrack album which talked about the film in terms of it being something akin to a LSD trip.   But Jodorowsky said, you certainly don't need LSD to enjoy it, it's already been done for you.This was not something he was serious about it.  But being 1969,  and after having trouble getting a distributor for the film in the first place, and now watching the film having moderate success as a midnight cult film and amongst college students he decided it was good for the film to agree that the N.Y. critics were partially correct.It is at times an extremely disturbing film. I thought I detected more than a little of misogyny in the film-- --however, as Jodorowsky essentially told me--none has been intended, except that the world now, like in the past, has always brutalized women and men have insisted on brutalizing themselves.Seeing it with an audience in a theater also means you can discuss it with people of all types.  Reactions to the film are all over the map.  Most agree it is art---- many don't like the film---many find it too disturbing, too violent, too sacrilegious, too scattered. Others disagree over the various messages and meanings they receive from the film. Others just 'enjoy' it as a wild, weird, disturbing film.Usually video copies of the film are from Japanese laserdiscs which fog all pubic hair.  It looks strange if you are not familiar with this.It is a film akin to an Opera.  Although it was extremely low-budget, the film is an epic and has, if not a big budget feel to it,  an impressive grandeur and sweep that few films achieve.Filmed over a course of nearly three years, the filmmakers twice were stranded for weeks without supplies and without money.  This film was started in 1964/65, completed and originally set for release in 1967/68, it predates The Wild Bunch, Easy Rider and other 60's landmarks....     It was a true labor of love to finish the film.  And then the film was banned in several countries.It is not in general release.  For many years from the late 70's to the mid 90's it was rarely if ever shown.A few years ago I revisited the film in a theatre and had the opportunity to discuss it as an audience member and later on one with Jodorowsky.   His other film Sante Sangre is also quite good in my opinion, but I am not a fan of his Holy Mountain. Other films he has been involved with are of lesser value. He was a good friend of Fellini's and may someday direct Fellini's script of Don Quixote.  He is working on Son of El Topo, but not sure when it will be released and who will distribute it.El Topo began a nearly 5 year run as a midnight film and often sold out. It started in a small Greenwich Village theatre in New York City. After a few years of success in NYC, other prints were distributed to college campuses and for midnight shows in other cities.  It became a modest hit!"
1,El Topo,,24 January 2002,Easily one of the strangest movies ever made!,"I have seen three movies by Alejandro Jodorowsky - 'El Topo', 'The Holy Mountain' and 'Santa Sangre' - each are amazing, but 'El Topo' to me is the most successful. I was almost going to say ""most accessible"" but that would be misleading! It's still a difficult movie, steeped in religious and occult symbolism and allegory. I doubt whether anyone but Jodorowsky himself truly ""gets it"", but it is still the most watchable and entertaining of the three, and the best introduction to his work.Jodorowsky not only writes and directs he plays the title role (translates as ""The Mole""), a mysterious black-clad gunfighter who claims to be God. I won't bore with a detailed retelling of the plot, but it initially involves El Topo's quest to find and fight the four masters of the desert, and ends up with him becoming part of strange community of outcasts who live underground. But there's much more to than that, just watch it for yourself.
'El Topo' was a cult favourite thirty years ago, and still stands as one of the most extraordinary movies ever made. Nobody but Jodorowsky has even come close to repeating it. Currently difficult to find, but persevere, it's worth looking for. A truly unique piece of cinema that no-one who watches will ever forget!"
2,El Topo,8,5 November 2006,The Weird Weird West,"So far I had only seen Jodorowsky's ""Santa Sangre"", but that one happens to be my all-time favorite film! One thing's for sure with this director whenever you check out one of his films for the first time: you should expect the unexpected and prepare yourself for not believing what your own eyes are observing most of the time. Just in case you really have to label ""El Topo"" with a genre, it would presumably be Western, but that still doesn't give you any idea of the film's content whatsoever. Within the first ten minutes alone, things occur that are already too weird to mention (like grown men shooting at women's shoes and bandits dancing and caressing monks!!) and these sequences aren't relevant to the actual plot yet! Well, I'd love to summarize the main story lines, but the truth is that I didn't understand one iota of it all. The pivot character El Topo, portrayed by the director himself, rides through the desert with a 7-year-old naked kid in tow. He exchanges the kid for a beautiful woman after defeating a gang of thugs and goes on a quest to visit four ""masters"" of the desert. Subsequently, he joins a community of mountain people and fervently helps them coming out of their dark habitat and into the open world. Yes, it's a very vague description, but that's because I didn't know what was going on anyway. Most likely, you won't either and that's not an insult to your personal intellect! It's just a messed up movie that you mainly just need to watch for its visual brilliance, symbolism and extremely stylish choreography. Every single character that walks through the screen is a demented & complex individual, and the protagonist is the absolute biggest weirdo of them all. He actually claims to be God himself  and really believes it, too  and does the most unpredictable things imaginable. Admittedly, this film isn't suitable for entertainment purposes. It's an intense and demanding experience that you should approach with an open state of mind and loads of patience. Purely elite cinema that can't be compared to anything else ever made."
3,El Topo,,10 May 2004,incredible stuff,"Truly astonishing film from writer/director/composer Alejandro Jodorowsky. This is one of the most hypnotic films you'll ever see and is one that stays in the mind for days afterwards. Think Leone, Fellini and Peckinpah joining forces to make a mystical, existential and spiritual western and you're someway close to Jodorowsky's masterpiece. There are so many things to like and admire in this film from the sometimes purposely jarring editing and the beautiful music to the gorgeous vistas inhabited by a plethora of interesting and unusual characters. Track down a copy (Italy's Raro video currently has a decent dvd on release. I got mine from xploitedcinema) and you will not regret it.  Be warned though - some of the images are pretty extreme, especially for 1971. A stunner and a definite must have for any serious film collector."
4,El Topo,7,17 August 2008,Not for the weak of heart,"""El Topo"" was one of the first midnight-movie cult hits because of its visually stunning, mentally exciting indulgence in gratuitous sex and exaggerated violence Avenging angel El Topomeant to be wise and mysticalrides into a town whose population has just been massacred He guns down some of the cruel and perverse bandits responsible and brutally punishes their leader He leaves his seven-year-old son with some monks and goes away with the gang leader's woman, Mara In the desert sands, El Topo and Mara make love, and she quickly falls in love with him After their frantic love-making, she tells him that he can prove that he's the 'best' by killing the Four Masters For no apparent reason other than to please Mara, El Topo begins his mission, defeating and killing each of the Four Masters The film has been quite controversial It lacks clarity and has painful emotions that make it quite compelling"
5,El Topo,,30 April 2006,El Topo as a spiritual metaphor & journey.,"I saw this movie about a dozen times from the early to mid '70's. It was labeled ""a cult movie."" While I never joined a cult, I was moved to see it a many times as I did because it was a metaphor that spoke strongly to my own spiritual searches at the time. The western motif and travels of our hero/anti hero spoke eloquently of the ""mole's search for the light."" While the violence was overwhelming at times, I didn't think is redundant or too much. Western society, perhaps all great civilizations, was built on a tremendous amount of violence. The scenes in the mountain with those marginalized from society and their subsequent ""liberation"" out of the mountain and into the light was an awesome scene. The violence that took place after wards and our own here's self immolation was very poignant. I continue to look for the movie today and hope that whatever is preventing it from being available in North America will be resolved soon. I am very curious to observe my own responses to this film today. I have seen other movies by Jordorowsky and none equaled the impact that El Topo had upon me."
6,El Topo,10,12 July 2005,A religious allegorical western of redemption with surrealist imagery.,"""El Topo"", is probably Jodorowsky's most talked about film next to ""Santa Sangre"". Like all his films it is bizarre and full of symbolism. El Topo is a cowboy dressed in black. He is out for vengeance, kind of like the Biblical God of the old testament. Him and his son ride through a town of massacred civilians. He wants justice and to win the heart of a girl, Mara. He gives up his only son, in an act that could be looked at like God, or even Abraham. He has to kill seven master gunfighters. After all the violence and carnage, he is injured and taken under the care of cripples, dwarfs and other various misfits. He is reborn, almost like a Bhuddist monk. He becomes like the new testament God, Jesus Christ. El Topo is now like a savior to the oppressed. He vows to dig a tunnel out of the cave so the cripples can live among the villagers. The town is taken over by religious fanatics. Poor villagers are branded with the religious icon by force. An upper class of elitists now dominate the town. ""El Topo"" is beautiful, and chocked full of violent and disturbing imagery. The film became a popular cult sensation in the early 70's. It was embraced by the likes of John Lennon, Dennis Hopper, Jack Nicholson, Peter Gabriel and Pink Floyd. More recently celebrities like Marilyn Manson and the Coen Brothers have talked about being strongly influenced by Jodorowsky's work. ""El Topo"" is important, because it was the first midnight movie. If people could forget about ""the Rocky Horror Picture Show"" just for a second, they'd realize that this is one of the most important cult films. A bizarre and surreal western that can never be imitated. The only 3 surreal westerns I can think of to pre-date ""El Topo"" that have many similarities are Brazilian director Glauber Rocha's ""Black God, White Devil"" (1964) and his follow up ""Antonio Das Mortes"" (1969) and the Italian Spaghetti western ""Django, Kill if you Live, Shoot"" (1967)."
7,El Topo,8,2 April 2002,"Bizarre,surreal and amazingly violent.","This is my first venture into Jodorowsky's territory and I can safely say that I'm highly impressed.""El Topo"" is one of the most bizarre and impressive movies you'll ever see.It features plenty of interesting,weird characters,lots of religious symbolism and extremely violent gun-fight scenes.One of the producers of this one is Mexican horror veteran Juan Lopez Moctezuma(""Alucarda"",""Mary,Mary,Bloody Mary"").I urge you to see this masterpiece right now.Simply breathtaking!"
8,El Topo,10,29 October 1999,An obscure western with a difference,"This was Alexandro Jodorowsky's first recognised cult movie in the early seventies. Shot in Mexico, El Topo (or the mole in English) is a gunslinger (played by Jodorowsky), who, dressed completely in black leather, rides on his horse with his seven-year-old son through the desert; until they come across a massacre of people. One of the survivors tells El Topo who the culprits are, and he then takes on the guise of God and seeks revenge. There is a lot of surrealistic imagery from then on as Jodorowsky explores violence, racism and religious themes, but it is absorbing and the ending is very obscure. An easy candidate for a cult movie."
9,El Topo,1,3 August 2010,Ludicrous and Nonsensical,"I usually love the avant-garde, the offbeat, the strange and the surreal. Being a fan of David Lynch, Takashi Miike and Terry Gilliam, bring me the weird and bizarre  but do not bring me ""El Topo"". This midnite movie cult classic is one of those films I had been told was a ""must see"", though I knew it was not that easy. Most viewers either love or hate the movie with no in between. Jodorowsky delivered as writer/director/actor/composer a mixed bag of metaphor, allegory, imagery, spaghetti western, fantasy, horror and utter gore, weighed down with Buddhism and Christianity, and just about anything else from the philosophical and metaphysical kitchen sink. The aforementioned is fine, but when the final destination for the audience is nowhere, I can understand the passionate hatred from those who despise the film. Of its lovers, many told me it was ""trippy"" and they simply liked it because of that.The narrative, however, is all over the place as El Topo (The Mole) travels the Mexican desert to face and kill The Four Masters of the Desert. Do they represent the Four Horsemen, the Four Winds, the Four Elements? It is anybody's guess. The movie is so loaded with imagery upon imagery it is as if Jodorowsky was purposefully stirring the pot just to keep people guessing. Maybe as lovers of the film try to decipher the layers of meaning, Jodorowsky is laughing somewhere. This film did not satisfy me on any level because the result was a pile of primordial ooze that did not have time to gel into something coherent. Granted, I was intrigued by Topo's Zen-like transformation, especially when he worked so diligently to save the deformed cripples, but this was not enough to justify what came beforehand.The movie is a circus sideshow with bits and pieces that are at times amusing while disgusting on other occasions. In this vein, Jodorowsky delivered the grotesque on a tortilla. At times both ridiculous and frightening, he shocks the audience with a stream of phantasmagorical scenes that lead only to the end credits and nothing more. Whatever Jodorowsky was searching for, it was for him and him alone. The movie was self- indulgent and left me amazingly disappointed.I can sit and discuss Lynch's disturbing ""Eraserhead"", Miike's over-the-top ""Visitor Q"" and Gilliam's Orwellian ""Brasil"", but Jodorowsky's work leads to a dead end because it is utterly nonsensical."
10,El Topo,1,20 July 2002,A major disappointment...,"***SPOILERS***   ***SPOILERS*** I was perusing the Foreign section of the local video store of rare and hard to find films when I saw ""El Topo"" sitting plainly on the shelf.  My heart rose, as I had heard much about the film and wanted to see it very much -- plus it is so hard to find and JESUS CHRIST it was sitting right there!I took it home and watched it right away.  I was extremely disappointed. Folks, there is a reason why this movie is so hard to find, let me tell you...(SPOILERS)The first half of this movie has the main character El Topo with his young son riding through the desert where they encounter various violent wierdnesses.  The first is a barn in the middle of nowhere with mutilated human and cattle all over the place.  Only one man is left - he is lying on the ground, wounded, and begging for El Topo to put him out of his misery. El Topo gives his gun to the seven-year-old boy, who kills the man.  Nice, right?  This is just one of the many pointless situations they get themselves into.  After this, they arrive somewhere else, and then somewhere else, again and again, just for more unexplained violence, without any other plot, explanation, or transition between these episodes.The second half begins after El Topo is shot dead.  We are taken to yet another remote village in the desert (again, without any explanation or reason whatsoever).  A few scenes stand out in my head:1.) A man is slaving over a group of women in some sort of salon.  They all seem to be hitting on him, wanting him to fool around with them. Eventually, one of the women drops something, and when he bends over to pick it up for her, she pulls him to her inner thigh and then starts screaming out that he is advancing on her without her consent.  The other women rush over and start hitting him, then sexually abusing HIM, all the while shouting at him to stop raping them.  He is dragged outside by the town's men where he is hung and shot.2.) In some sort of room, a bunch of townspeople are passing around a gun loaded with one blank bullit (which they pretend is real) and pretend to play Russian roulette.  Everyone misses the blank bullit, and shouting out that they are holy for being so lucky.  The son of El Topo (who has found his way to this village and now grown into a man) takes the gun, removes the blank and replaces it with a real bullit.  He then does a round of roulette on himself and survives.  The people love it.  They pass around the gun, pulling the trigger on themselves, surviving.  Each time, they shout out praises to God and what not.  In all the excitement, a young child grabs the gun and shoots himself in the head and dies.If these scenes are supposed to mean something, I sure as hell missed the point.(END OF SPOILERS)It's not that I don't like Jodorowsky's work, or am weak-stomached.  I adore SANTA SANGRE and would recommend it to anyone.  It's just that the film seems to exploit unpleasantness as if it were a valuable asset in a film. It does so without entertainment, shock-value, or any other form of success and just comes off as a waste of the little time and money it might have cost to make it.  It is offensive for that reason - offensively bad.Anyone who is on this website must appreciate good films.  I know I do. There is so much else to apply your mind to, ladies and gentlemen.  Go out and rent something worth your while.  Don't rent this crap just because it's rare and ""notorious"".  That's why I rented it, but that's not why I didn't like it.  Even for those who pursue hard-to-find videos, like me: beware. This is pretty lousy film-making."
