,title,stars,date,r_title,text
0,Ernest & Celestine,10,19 November 2013,Absolutely sublime,"Anybody who loves animation and just want to see one that warms your heart and moves, charms and entertains you, you have met your match with Ernest and Celestine. With me, out of all the films, animated and otherwise, viewed recently Ernest and Celestine stood out as one of the most beautiful. The animation, with its water-colour/ story-book look, is just lovely to look at and is imaginative while keeping things simple. The is sensitively orchestrated and unobtrusive, one of those music scores that you can listen to more than once and still find it memorable and appealing. You can't argue with the way Ernest and Celestine is written, it has a poetic simplicity that children and adults alike can understand with no problem. The unlikely friendship angle is a familiar one but that doesn't matter when Ermest and Celestine deals with it with so much warmth and heart. You can genuinely feel the relationship/friendship between the characters, and throughout the simple but never too simplistic story is both charming and touching, cute as well(I admit it that I did feel a lot of emotion watching). The characters are just as engaging as the writing, you can identify with them and their friendship and situation and it is easy to like them. They are nimbly voiced too. Overall, a sublime animated film that takes a familiar concept and does it with simplicity and doesn't rely on fart jokes, profanities, slapstick or crude toilet humour, instead allowing the story and friendship between the titular characters to come through and come through they do, and marvellously. 10/10 Bethany Cox"
1,Ernest & Celestine,10,23 March 2013,Superior Kiddie toon.,"Genuinely charming cartoon feature from the PANIQUE AU VILLAGE lot.While rummaging through the town's dust bins, Ernest the bear finds sleeping mouse Ernestine and is dissuaded from eating her - whether it's Tom's Jerry, the King Sized Canary or Br'er Rabbit, they never get eaten.The pair are our introduction to the parallel surface world of the bears and the underground world of the mice, both of which prove hostile, though mouse world is one of those appealing fantasy communities, like Santa city in POLAR EXPRESS or the bath house in SPIRITED AWAY. The lead duo are among the most engaging of cartoon characters and their seclusion seems a nice outcome. It would be interesting to see if their appeal survives English language dubbing.The watercolour texture is unfamiliar and imaginative. The music is effectively unobtrusive. It would be hard to fault this one. Why try?"
2,Ernest & Celestine,7,26 October 2013,Film Review: Ernest & Celestine (★★★½),"When we all think of animation and the journey it has walked through, naturally we all go to a big studio like Disney to offer up lots of the credit. Rightfully so, the studio paved the way for companies like Dreamworks and Sony Pictures to dip their feet into the animation arena. One of the quiet and brilliant studios that isn't on the lips of everyone yet is the impressive GKIDS. They made heads turn in the 2009- 2010 awards season when they pushed The Secret of Kells and managed a surprise nomination for Best Animated Feature. In 2011-2012, they pulled a one-two punch with Chico & Rita and A Cat in Paris, snagging nominations as well. For my money, they produced the best animated film of last year with Jean-François Laguionie's The Painting and found no wiggle room to get in over Brave and Wreck-It Ralph.This year, the animation studio is at it again with their captivating French film Ernest & Celestine. Touching all the sweet parts of my cinematic heart, the Daniel Pennac written film tells the story of an unlikely friendship between a grumpy bear and a young mouse. Encompassing the powerful elements of honesty, truth, and acceptance, Pennac's screenplay, once again, fixates on the small details that bring our story full circle and unimaginably to life. It's one of the great surprises of the film year. Pennac is quickly becoming one of my favorite animated film writers working today.One of the qualities that have made other animation studios so successful over the years is easy application of the child-like story that is being told, into the moment of the now and even the adult world. As life above ground includes Ernest, and a race of bears, they are the dominant power on the Earth. Down below, lives a race of mice, fending for survival, and only going to the world above to collect teeth in preparation to become dentists, which all rodents hold. Celestine lives in an orphanage, with a zeal and talent for drawing, she yearns for a world outside though stories are constantly told about the evil world of bears above. Ernest is down on his luck. When Celestine gets chased by a bear family after attempting to take one of the cubs' tooth, she hides in a trash can. When a hungry and desperate Ernest finds Celestine and tries to eat her, the two find an understanding and affection for one another that is both poetic and moving.As we continue to live in a world that is dominated by the Pixar-3D mediums, that are only told in our native language, general audiences and industry people need to branch out their scope in the genre and discover these little diamonds that are found in the nooks and crannies of the movie world. Lambert Wilson voices the gentle bear Ernest, who you might remember from The Matrix Reloaded as The Merovingian or more recently from Of Gods and Men where he played the lead Christian. He plays particularly well off his co-star Pauline Brunner, who's innocent ticks and beats in her voice, shine brightly through the naïve and sweet Celestine.The animation is simply stunning, reminiscing a storybook you would read to your youngest love, everything flows magically from page to screen, and inevitably into your heart. Directors Stéphane Aubier, Vincent Patar, and Benjamin Renner know, with great confidence, what kind of story they want to be told. Inserting the humor at the appropriate times before hitting the right emotional chords with the viewer by film's end. A tender yet bombastic composition by musical composer Vincent Courtois is the film's secret weapon. Capturing the moment and executing the ambiance with absolute precision. I was completely smitten with everything about Ernest & Celestine.By any means possible, seek out this French animated film from GKIDS. A sensational welcome to the animated genre that will be cherished for years. Ernest & Celestine is proof that hand-drawn animation should and still lives well in the medium. Its clever and fresh nature is purely magnetic and is something that should be considered for the Academy Awards.The film is scheduled for a limited release December 6."
3,Ernest & Celestine,8,22 November 2013,A sweet and touching independent animated film,"I first heard of this film when I was looking up rare animated films right here on IMDb (e.g. 'The Illusionist,' 'My Dog Tulip' and 'The Plague Dogs') and thought the original poster of the titular characters looked sweet so I was pleased when I found that I could watch it instantly online. When I finished watching it, I found it touching yet adorable despite the story having some predictable moments.The animation style is similar to that of 'My Dog Tulip' (i.e. jerky and flickery in places but still having subtle colours) albeit with characters that are not as sketchy, are well-shaded, have a more detailed watercolour look and are more neatly drawn - likewise with the backgrounds. While the incidental music is rarely used, it has an authentic old-fashioned feel and I liked how parts of Celestine's blue outline winter painting appeared in time with the music. I found the use of subtitles helpful since the dialogue is in French and found some snippets of it hard to decipher but I picked up a few words that I'd remembered from studying the language at school. This film reminded me of other films and TV shows I'd seen such as the original 1990s Madeline series (Celestine's orphanage) 'The BFG (again Celestine's orphanage being reminiscent of Sophie's and Celestine begging Ernest not to eat her being similar to Sophie doing the same to the BFG),' 'Flushed Away' (the underground mouse village) and 'Willy Wonka and the Chocolate Factory' (the young mice going to the sweet shop after school). I found certain parts of the story predictable such as the rain washing the camouflage paint design off the van, thus leaving a trail of paint for the police to follow when it rolls backwards, and Ernest falling down the cellar during his unicycle juggling trick. I still found the latter predictable part funny as well as Ernest's 'one bear band' songs earlier in the film. There was even a twist on a cliché with a female bear being afraid of Celestine rather than a human woman or an elephant being scared of her and there were some cleverly executed ideas such as Celestine attending the bears' court and Ernest attending the mice court and the fire in the mice court spreading towards the bears' court. I was especially touched when Ernest and Celestine said they wanted to be with each other forever and I liked the happier version of their story at the end. While Celestine is a talented artist who is mostly sweet-natured and innocent throughout, I liked it when Ernest became more caring towards her despite his unfriendly and selfish attitude in the first half.All in all 'Ernest and Celestine' is yet another rare, independent animated film that was worth the watch and I would love to continue my search for films like this one. 8/10."
4,Ernest & Celestine,9,18 March 2014,The French are so good at animation.,"I really enjoyed watching this movie. I went into the film thinking it was more for adults, but discovered it has a story that anyone and any age can enjoy, and that's always a sign of a great movie.The movie is based on a children's book that I never herd of in which a Bear who's down on his luck befriends a mouse who's an artist at heart, beating all odds in a world where these two species are separated by fear and miscommunication.I love the animation style which I'm guessing is greatly inspired by the children's book it's based on. I especially loved the design of the mouse, Celestine. Her animation was very cute and they did a good job of making her very mouse-like with her movement and attitude while still making her relatable to humans. This was added by the voice over talent by Mackenzie Foy.I opted to watch the English dubbed version as I feel the authenticity of the dub matters less with animation. Some of you might disagree and I'm sure Lambert Wilson was great as Ernest, but hearing Forest Whitaker bring the poor reclusive bear whom Celestine befriends to life was a highlight.If you need a movie to take your kids to see, you gotta pick this one. It's a film that will put a smile on all of your faces."
5,Ernest & Celestine,10,25 February 2014,Very beautiful movie,"In a time when most of the movies aimed at kids seemed to be shallow and noisy CGI spectacles with annoying characters and sometimes questionable morals, is a relief having the chance to see a film just as charming and honest like this one.Besides of its beautiful animation (Which shows some slight resemblance with the Studio Ghibli films, particularly ""My Neighbors the Yamadas"") ""Ernest & Celestine"" is one of the most heartwarming stories about an odd friendship that I have seen in the recent years, being cute and endearing without turning corny or emotionally manipulative.It is definitely a work worth of admiration, which shows that kid's movies doesn't have to be condescending as many people seems to believe. Some kid's movies (like this one) are perfectly able to capture the heart of any viewer, disregard of their age.On an unrelated note, I don't know why this movie was rated ""PG"" since it didn't have any kind of objectionable content. The supposedly ""scary"" moments were no worse than the ""scary"" moments from ""The Princess and the Frog""(Which was rated G) Then again, I think ""Frozen"" should have been rated G too (Since its ""action"" and ""mild rude humor"" were on par with the Disney Renaissance classics as ""The Little Mermaid"" or ""Beauty & the Beast"", but for some reason almost all the recent family movies are rated PG.)"
6,Ernest & Celestine,8,16 February 2014,European Animation at its Finest,"Reviewed by: Dare Devil Kid (DDK) Rating:3.8/5 starsSimplistic, sublime, superlative. Classic hand-drawn animation set against a picturesque Parisian background that is filled with an ambiance of great human divide and strong social references. At the heart of this wonderful tale is an endearing story of true friendship that withstands all odds to not only emerge triumphant but also infuse others around them and even the cynics who watch the film to have a change of heart. This soaring tale of friendship also brings forth a profound social commentary told with subtle metaphorical actions, which resonate brilliantly with our own state of human affairs."
7,Ernest & Celestine,10,21 May 2014,Looking for a quiet alternative to the CGI Hollywood movies? Ernest and Celestine is a sweet and gentle story about friendship.,"It's interesting how studios and creative people would assume they know what people want. Disney knows that people want to see fairy tale stories and grand animation making the way for memorable characters and catchy songs. Warner Brothers knows that people want to see really fast animation alongside some good visual gags as perpetrated by unique charters with a lot of heart. Most other studios seem to copy either formula in their own projects. It's not too bad of an idea as long they can make their movies just as original and unique (projects like Despicable Me or Cloudy With a Chance of Meatballs).But I'm surprised with how these two formulas are the only ones that studios want to take a chance on. I've already talked about how I miss traditional hand drawn animation in movies today. You could say that children don't watch those kinds of movies anymore. But I ask of you ""Why are classics like Snow White, The Looney Toons and Popeye still being watched by modern kids?"". It's because they too has great legacies of good characters and memorable situations. There is always room for other options in animation that want something different. That would be one of this years Oscar nominated movies, Ernest and Celestine.In a lot of ways, this is nothing like modern Disney, Pixar, or the other big names. This tells a simpler story about friendship; a bear and a mouse. So in a world where mice live underground while bears walk and talk, living how we would, both sides agree that each species is evil and shouldn't we interacted with. At an orphanage, a young mouse Celestine is more curious about why the mice and rats are afraid of bears. She has a job of collecting bear teeth so that mice dentists can file them down for their fellow rodents to wear.She gets stuck in a garbage can where she is discovered by a starving musician bear, Ernest (played by Forest Whitaker). His first instinct is to eat Celestine, but she quickly scolds him for wanting to do so, confusing him. They make a deal to help each other, but the plan goes amiss and the two hide from the law in Ernest's home in the woods. Most of time is shown them interacting with each other and their skills; Celestine with her obsession with nature and art and Ernest and his spark for music and clowning.As I've said, this is a different offering from most of the other animated movies out. Ernest and Celestine is a much quieter movie about friendship. Though there's the principle tone about prejudice, the situation is simple at best. There's no villain or threatening force looking to destroy them. It's just this bear and mouse interacting and becoming friends. And you know what? That's all you really need with this kind of story. This is a very sweet and likable story that benefits from some really nice animation and two leads that both kids and adults would really like.Celestine may just be a young girl whose no higher then a few inches, but she still manages to be very spunky without being too annoying. It's her curiosity that rubs onto me that makes me want to learn about this world more. Ernest is a grouchy loner, but has plenty of heart that allows himself to absorb a lot of new ideas from this little mouse. The movie looks like one large watercolor painting, really letting the art taking control of the design and story. It looks beautiful. It feels more like something I would get from Winnie the Pooh; is simple but it works really well.I'll give this ten watercolor kits out of ten. Ernest and Celestine isn't exactly the most original story around, but it wins my heart with a very unique look and a gentle tone that anyone can enjoy. It's good old fashioned story telling at it's best. This is an absolute must with families."
8,Ernest & Celestine,,23 December 2013,water colors,"a splendid link between use of water colors and the story. a delicate manner to use a book adaptation for remind, in a precise, gentle, lovely style importance of relationship. a film who must see it not only for its message but for the fascinating art to resurrect the childhood flavor in old fashion manner. a movie about friendship , meeting between humor and drama, a form of fable and a lesson about image of the other. a small gem because the voices, the images, the story are not more important/beautiful/realistic but only part of an unique state of soul. an isle in middle of 3D waves, it is honest and warm and nice. but, more important, it is a kind of travel out of reality pressure as a reading fairy stories book in evening. in fact, a remember about small details who defines humanity."
9,Ernest & Celestine,9,3 February 2014,A true friendship can break all the barriers.,"An Oscar nominee in the category of best animation feature. The cutest animation which gave the experience of seeing a Japanese anime similar to from the Ghibli studio. The characters are very adorable, especially both the Ernest and Celestine. After praising the technicians I mean the illustrator I must compliment the voice renders. Whenever I hear Celestine saying 'Ernest, Ernest' I just fall in love because it was sexy. I know French language itself a seductive.No age group limited to enjoy this animation. From 6 year-old kid to 60 year-old and beyond that can have a great time with it. A simple animation with a good message story. Probably you will come to know what kinda movie is this if you have seen 'Stormy Night' and 'Ratatouille'. A tale about the unlikely friendship between two different living creatures.It all begins with a young little mouse who got a different opinion on the creatures that live above their world. The earth's surface was ruled by the big bad bears and that is what beneather believe. Between these two world a new friendship bloom from nowhere. But both the societies denies it so the two must protect each other and run for their life. Instead, they need to prove it can be possible and harmless. So they have to take the advantage of the such circumstances and how it can be done is the rest.The character Ernest was lazy, but tough and Celestine is very active, but sensitive in matters. The friendship between them was very well told, in an enchanting way. I liked the replacement of bear in the place of humans. Otherwise, our people think they are genius to find similarity between this and 'Ratatouille'.Earlier I was very, very disappointed for ditching 'Monsters University' over crap movie 'Despicable Me 2'. I will be so happy if 'The Wind Rises' or this movie wins the Oscar. But Americas own 'Frozen' will be a strong contender for the honour.Finally, I retire for now by saying it is a must see movie, especially if you are an animation movie fan. I truly wanted it not to end, in the world at certain point everything must end and so it is against my will."
