,title,stars,date,r_title,text
0,Fantastic Planet,9,12 April 2001,Brings back great memories,"What a great movie!  I had completely forgotten about this film -in fact, I hadn't seen it in over 20 years.  Well, I rented 'The Cell' and while I was watching the scene where Jennifer Lopez is in her house with the television on, I noticed those blue aliens and the memories came rushing back!  Of course, I came to IMDB to figure out what the title of the film was (it was in the trivia section of 'The Cell' review), and I was pleasantly surprised to find the title.  I went and bought the DVD, which is truly outstanding! The basic premise of the movie is that a race of aliens keeps domesticated humans as pets, while eliminating their feral brethren in the wild.  The story centers around Terr, who is rescued from a pack of cruel alien children by the daughter of a high-ranking official.  Eventually he runs away and ends up meeting the humans living in the wild.  They become tired of the treatment they suffer at the hands of the alien race, and seek to exact revenge on their captors.This movie was made nearly 30 years ago, so the animation is not really comparable to modern-day animation, but the story and the plot transcend time.  The premise of the film is as valid today as it was in the 70s.The DVD edition of the movie comes with three additional animated shorts by Rene Laloux, and they are just as entertaining.  This is a real gem of a movie...truly beautiful.  My kids love it as well.  A true masterpiece.9/10."
1,Fantastic Planet,10,8 October 2005,A masterpiece... still up-to-date,"In the world of the animation business there is a recent trends towards super- realism where computer graphics are being increasingly used. Although I appreciate animations like Finding Nemo or the Incredibles for they represent a renewal of the genre (in the same way the Disney movie did in the 50's), the artistic style of La Planete Sauvage is unmistakable and accords perfectly with the dark atmosphere of the movie. This animation is based on the book Oms (a deformation of the french word homme, man) from the French SciFi writer Stephan Wul who should also be credited for being the writer of The Time Masters (another SciFi animation worth your time). Wul's real name is still a mystery. The rare things we know about his life are that he wrote his 10 (or so) only books when he was studying dentistry at the University. He apparently graduated and became too busy to continue his writing activity. What a pity. I've read most of Wul's book and they are all unique and beautiful. The animation sticks true to Wul's vision. The art by the Czech master Topor is dark and oppressing, despite the bright color of the 60-70's-influenced graphism, adding to the uncomfort of seeing human beings treated as pets or pests by giant extraterrestrials. However, the roles are interchangeable and humans do behave too often in the way the extraterrestrials do in the movie with other living creatures on Earth. Hard to find but worth the search."
2,Fantastic Planet,9,8 January 2003,"Cult movie in France, not about future ... but about past ...","This is the masterpiece of René Laloux. Was an almost big success in France, was shown only 2 or 3 times in the past 20 years and is now a kind of ""Cult"" movie for sci fi addicts. This sci-fi movie is far much better than the two other from the same director: ""Gandahar"" and ""Les maitres du temps"" (Time Masters). René Laloux always works with great and original comics artists. He worked with ""Moebius"" Aka Jean Giraud on ""Les maitres du temps"". This artist is also credited on ""Alien"" , he created the space suits. He worked with ""Caza"" an other great comics artist for ""Gandahar""He worked wit ""Topor"" on ""La planète sauvage"". Roland Topor is a french artist with a great sense of fantasy. He designed most of all you can see on the screen. The animation was produced in Czechoslovakia because there always have been excellent animation studios in this country, and also because producing in France was far too expensive. This story takes place in the past. It is a metaphor of the man's history. The small characters are called ""Oms"". This word is pronounced like the french word ""Hommes"" that means ""man"". It tell us when man had to leave the original heaven. Man had to fight against his old masters to be independent and free, then he had to find his place in the universe. This is the universal story ... and that's why this movie is timeless (despite the 70s Wha Wha guitars ... ;o)"
3,Fantastic Planet,10,8 February 2000,Excellent sci-fi movie.,"La Planète sauvage is a fantastic sci-fi movie. The story is great. Its about a planet called Ygam, where human-like creatures called Oms live as pets for a race of blue giants known as the Traags. An Om steals a Traag knowledge device and helps the other Oms revolt. This is just the beginning of this fantastic tale. Even tough the animation is only okay, the fantastic drawings are perfectly suited to this exceptional movie. They are beautiful are alone worth the price(and time) that will give you the chance to see this extraordinary film, but the story is also exceptional. Its hard to find but its worth it.10 out of 10. An animation masterpiece."
4,Fantastic Planet,,16 October 2003,It's about using your noodle.,"I saw this movie a few years ago on the Sci-Fi channel during a movie marathon they were having.  Loved it so much I bought the DVD.Based on a brilliant piece of science fiction (""Oms En Serie"" by Stefan Wul).  The artwork is stunning, and the story line an original masterpiece.The plotline of this story is simple.You enslave a race of beings and take them for granted, one of them eventually learns your language, and unites all his fellow slaves in an organized attack.Suddenly you've been conquered.This story line was later ripped off by L. Ron Hubbard and his group of wackos.  You might have read the book, or seen the atrocity of a film ""Battlefield Earth""."
5,Fantastic Planet,10,3 August 1999,Fascinating...,"This film is an absolute marvel. I saw this film as a child, and was instantly mesmerized with the entire concept. Fans of dark animation will hopefully love it as did I. Eerie settings, strange creatures, and an equally hypnotic score all lend themselves to the masterpiece that is La Planete Sauvage."
6,Fantastic Planet,8,26 August 2014,Truly Bizarre,"Made in 1973, Fantastic Planet predates most mature animation. I think the only piece I've loved before this is Fantasia, three decades prior. But Fantastic Planet isn't just adult. Its also ambitious because of its surreal style. Fantastic Planet is one-of-a-kind, and freaking weird.We are in a sci-fi world. But nothing meets expectations. Humans are dominated by giant blue aliens, kept as pets. These Draags are more advanced than us, but their devices are strange, stuff that'd never be useful in real life. There's hardly a regular moment in the film. Funny clothing, strange customs, nefarious devices, disturbing flora and fauna. In terms of creativity, I believe this is #1.The other elements also compliment the style perfectly. The animation uses both traditional and stop-motion animation, giving the film a jerky pace. The soundtrack is pure 70s psychedelic. An appropriate tune for something impossible to fully comprehend. You get immersed in the experience.However, a fair warning - this movie is the epitome of style-over-substience. The characters are weak, and the message is ancillary at best. If the unusual style doesn't appeal to you, then move on. But for those who love the animated art, its something you need to see at least once."
7,Fantastic Planet,9,17 May 2009,""" It was possible to learn, the problem was,  did I want to ? ""","If when you view this film, you are expecting a simple cartoon, you are in for a surprise and an educational treat as well. The film is called "" Fantastic Planet "" and is perhaps one of the finest examples of creative journalism ever. It tells the story of Terr (Eric Baugin and Jean Valmont) who's life literally begins on the run. His mother, Indeed, the entire race of fleeing Humans are not the dominate species on the planet. Hardly, the Humans are tiny when compared with the giant size Draags who rule the world. On this Alien sphere, the Draags consider the little humans, whom they call Oms, both charming play toys and at the same time, a pesky, intrusive and troubling nuisance. After losing his mother, Terr is adopted and accepted as a household pet by a female Draag. Despite being little more than a toy, Terr is nevertheless able to learn enough to escape and eventually mature into an adult Om. Later he meets other Oms, one of which is called Tiwa (Jennifer Drake). As time passes, the Oms become so dangerous to the Draags, that they decide to eradicate the entire race of humans. However, the Oms, having become aware of the plan, hurry to find and exploit the Draags' one main weakness. Failure means extinction, success promises to change the world of both. The film is certainly unique and its moral offering is not lost on the thinking and compassionate viewer. Subtitles make for a hindrance, but it's importance message allows it to stand on its own laurels as an all time Classic. ****"
8,Fantastic Planet,,6 May 2006,A great adult animation,"I first saw this movie in back the '70s after cracking my ribs and having to take an enforced break from work. One afternoon I wandered into a movie theater and sat down to one of the most absorbing, memorable animations that I have ever seen. With the dawn of the internet, this was one of the first movies I looked up, to see if I could buy it.The philosophy may be shallow; downtrodden rise to overcome oppressors, but getting there is full of memorable tidbits. I loved the innocent child carelessly playing with the little Omm, I loved the society of the superior people with it's focus on intellectual pursuit, yet it's vulnerability to the oppressed little people that they generally underestimate and ignore. The fact that this was done as a cartoon helps not hinders. I have always remembered the blue people, and the music is well scored.This movie is for adults, who like the off-beat, and enjoy a little thought provoking entertainment."
9,Fantastic Planet,10,15 November 2004,"A race of superior beings who master knowledge through the use of technology , work is carried out by an inferior race of tiny slaves. Surrealistic scenarios and an excellent music","This sci-fi movie, has a curious and very strange plot that strikes you from the very beginning. You have a race of superior beings (Draags) who master all branches of knowledge through the use of technology which liberates them from work, work which is carried out by an inferior race of tiny human-like slaves (Oms). This exquisite story is backed up by extremely surrealistic scenarios and an excellent music. Animated characters representing this ruling race are well-conceived and far apart from stereotypes. You enter a weird world with a fantastic atmosphere which satisfies the most demanding whims of this genre's fans. Though the plots looks simple in appearance it is a clever political satire."
