,title,stars,date,r_title,text
0,Harvie Krumpet,,8 March 2004,He stays with you.,"This little Australian claymation production was an unlikely winner for best animated short at the Oscar ceremony for 2003, beating a pixar production and other anime-bigwigs. Which is ironic, because Adam Elliot's twenty minute short is about an underdog. Elliot has appealed to a popular Australian myth, that of the Aussie battler, and the underdog (who we Australians inevitably root for), as a way to make an Australian audience sympathise with a migrant from poland, and recognise a similarity between themselves an him. What makes this short clever is that it uses the form of a children's story, a fairy tale, to communicate a moving story of hardships and not seem to bash the audience over the head with them. It has the appeal of the wonderful Aussie film The Castle, where great profundity can be found through a story told very simply, about simple people, whose outlook on life is so admirable. The story Harvie Crumpet tells, and the character of Harvey, are, of course, very different. Harvie suffers so much, and so many terrible things happen to him, that you have to wonder what is the redeeming thing about this story that makes it worth watching (leaving to the side its marvellous presentation in the guise of a children's fairy tale, or claymation television program perhaps, which creates, as mentioned, a juxtaposition with its content which is effective in lending it a genuine feel, making the audience want to be touched by Harvie). And, of course, the thing that makes Harvie remarkable is that he survives. He doubts himself, like all of us, and at times wants to give up the game, but at the end of the day, he seizes what precious moments he has.Geoffery Rush as narrator rivals Anthony Hopkins for his fairy tale narration in The Grinch. Reveals what a wonderful, Australian storytelling voice he has. He should do more work in this vein, not to undermine his appearances onscreen, which are also marvellous (particularly Shakespeare in Love and Shine, but like Cate Blanchett, and unlike every other actor in the Hollywood past and present, he is just fantastic in every role).In just twenty three minutes we are told, with the help of Rush, the life story of Harvie Krumpet - and at the end, even though he's only made of clay, we really feel like we know him. And he's a little fella that stays with you."
1,Harvie Krumpet,,1 March 2004,Deserving of wider recognition,"I came upon this film by accident--the Australian production company approached my company to license music for ""Harvie Krumpet"", and after looking at Adam's earlier films we agreed. When I received a VHS tape of Harvie, I was thrilled, not just because of our music, (we got paid whether it was good or not) but because I felt a sense of discovery for a very unique talent and world view. Harvie's world of deadly boredom mixed with equal parts of magic and joy sets this film apart. It seems that Adam Elliot has a great mix of talent--an eye for clever animation with a mind for the daily collision of ordinary and extraordinary.Geoffrey Rush is understated yet still expressive in his narration. But the film belongs to Adam Elliott with his sight gags and ""what really is the difference between tragedy and comedy"" mindset."
2,Harvie Krumpet,,8 March 2004,Dark Humour at its best!,"Harvie Krumpet is one excellent story. Very dark at times but also a reflection of life. As Harvie's life unfolds you can't help but think, yep life is like that. It's very funny, very sad and also very true.
My family sat down tonight to watch Harvie on SBS (Australian TV station) and we all fell in love with Harvie. Our ages ranging from 29 through to 85, we all all found something we could relate to in Harvie. Excellent storytelling, plenty of dark humour and a character you can't but help love.
The story and the humanity we see in Harvie is what makes Harvie Crumpet so appealing. There is also excellent Claymation that adds many dimensions to the characters. The expressions upon the characters faces truly add to the story that is being told. Each character is expressive and unforgettable. An excellent example of great story telling.Go Harvie!!!!"
3,Harvie Krumpet,10,10 September 2004,Incredible,"I rented the DVD out last week to watch the film that made Australia proud by winning that shiny gold Oscar. This movie was short, it was only twenty minutes, but in that twenty minutes you become part of the little soul that is Harvie Krumpet, the animation was done by stop motion/claymation (which is tedious, trust me I study animation). The story is funny and sad at the same time and I promise you, once you watch it they'll be only 'one song' you'll be singing!And you feel engaged in the film thanks to the great narration done by Geoffrey Rush, he has one of those powerful voices.I rate this movie 10/10 and recommend it to everyone and anyone studying animation.Thank you."
4,Harvie Krumpet,10,9 March 2004,Surprisingly humorous tragedy,"When I saw this short animation on the Monday night in question, I was surprised to see how such a sad story about a 'retarded migrant' could be so humorous. His story from a lumberjack's son to an animal- liberationist to an alzheimers patient is a well written and an entertaining one. I won't give away too much, but you will be pleased at just how entertaining this film is.It definitely deserved the Oscar. I was quite surprised that it won, but then I saw the film and understood why.If you every get a chance to watch it, take advantage of it.I especially enjoyed the minor story about Harvie's doctor. Very clever."
5,Harvie Krumpet,10,27 March 2005,Fantastic,"I have always been a fan of stop-motion animation, but i stumbled upon this by accident. I was in Portugal and my family and i went back to the villa by myself early. I was flipping through the channels and I landed on Harvie Krumpet (Which I only found the title lately) with Portugese subtitles. So I stuck with it. I watched every minute of it. This was one of the most cruel, dark animations I've ever seen but I like that genre but through Harvies bad luck came good humour and I laughed the whole way through. Harvie's book of 'Fakts' gave us fantastic quotes like 'A cigarette is a substitute from your mothers bousm.' That was 7 months ago and while I was browsing through www.play.com today and said 'OMG it's him. Its released on DVD next month and I can't wait. If you ever get the opportunity to see this film SEE IT! This is the best clay-mation sort film I've seen since the 'Wallice & Gromit' series"
6,Harvie Krumpet,,18 March 2004,A Gamut of Emotions,"What a fantastic 20 minutes!! I watched this on SBS the other night, and I was utterly charmed.  Its funny, poignant, touching, sad and has a few life lessons we could all take on board. Adam Elliot deservedly won the Oscar for this one.  Its charmingly narrated by Geoffrey Rush who has such a wonderful voice, it shows the entire lifetime of a Polish boy who moves to Australia to start a new life when his parents are killed in a tragic accident.Bad luck seems to plague the lovable character, he lives alone, endures illness, falls in love, has a family and ends up realising some truths about life. I saw an interview with Elliot on Andrew Denton's Enough Rope programme and he is as utterly charming and humble as his little character, everything from his mum knitting Harvie's costumes to being awestruck at the Oscars. He is destined for big things. Dont miss it!"
7,Harvie Krumpet,10,18 May 2009,Simply Wonderful,"I first saw Harvie Krumpet in my high school science class. That class is amazing at being loud and obnoxious. People are regularly yelling across the room, throwing stuff, blaring music at full blast, and generally making the teacher's job very difficult. In fact, earlier in the class, two students had got into a verbal fight, yelling obscenities at each other for what seemed like ages. So when the teacher told us he was going to show a little animated film that I had heard of, one called Harvie Krumpet, I was a bit weary.Harvie Krumpet it a claymation short running in at about 20 minutes, that details the life of an extremely unlucky man. The animation is crude yet not without its charm, the music is sparse but quite appropriate, and the story is flat out bizarre. In short, it was something I assumed my class would talk through. But I was wrong.In the beginning, everybody was a bit weirded out by the style, and didn't really grasp it. They quickly adapted however and were soon laughing out loud at almost every joke the movie flung. People went 'awww' at the cute moments, said 'poor Harvie' at the bad, and as said before, laughed at the funny. But the moment I knew there was something special in this short was near the end. The was a moment of uncertainty where there was complete silence. Not a soul was speaking, or even breathing. For the first time ever in that class, everybody was quiet. You could literally feel different emotions coming from everyone. And when it was all over, as everybody was walking out of class, I didn't hear one person who didn't have something positive to say about Harvie Krumpet.And I think that's what makes Harvie Krumpet so great; it can invoke feelings in everyone, from all walks of life. Despite being so different from the norm, everybody could appreciate the simple life that Harvie lead. Never before have I seen a movie with such an ability as that. And I'm unsure if I ever will again."
8,Harvie Krumpet,,6 November 2011,Fakts,"I saw this when it was coming out. I remember it stroke me as incredibly fresh and imaginative. Part of this might be because i was at quite a different stage in my life through films. But now, 7 years later, this still retains a lot of its appeal. It's not been so long, but this still works on all its purposes, humor and visuals. The skill in the making of this is top notch in every respect, of course. The characters, and such a film is absolutely all about characters are great in how the specificities of clay are used to convey absolutely every emotional nuance. The story is a good piece of writing, using the always powerful combination of tragedy and comedy, something Chaplin understood so well. I think we cry deeper when we feel we shouldn't be laughing. It's the contrast that creates the power. By taking you to extremes of fun, enabling you to laugh, and suddenly pulling the rug out of your feet, writers leave you in a state of inner shame, which we interpret with uneasiness. Or it's the simple overlapping of comedy bits over a tragic environment. But i go with the first possibility.Geoffrey Rush is great as an actor, and he brings that subtlety to his voice over.But what probably caught my mind and makes this last is the clever framing they use. The ""Fakts"" as they're spelled in the film. Harvie spends his live registering unusual bizarre views of the world, in little sentences he calls (taught by his mother) fakts. These thoughts mirror what goes on happening to him throughout his life, filtered through Harvie's crippled yet beautiful mind. The fun is in how each fakt never reproduces correctly what really happens, and so it becomes a kind of a comment on the story itself. Born from it, but exterior to it, a separate element, clearly represented by the book Harvie carries strapped around his neck always, even when he's naked. Great stuff.My opinion: 4/5http://www.7eyes.wordpress.com"
9,Harvie Krumpet,9,11 December 2005,"Manage to stay funny, yet serious","Harvie Krumpet is a strange little man and life has never been on his side. This film tells his story and takes you on the journey.The story is very well written and it mix drama and comedy very good. It is very funny, but still serious. The story is unique and original for a short film and it turns out quite good on the screen. The characters are charming and good. You really have sympathy for them and you get to know them. Especially Harvie. The animation is very good. It's stop motion clay animation in the best Nick Park style. It's very impressive. The narration by Geoffrey Rush is very good. I was skeptical when I saw that this film lasted for 20 minutes, but 20 minutes later I wondered where the time went. The film thrilled me and got me hooked and I was never bored. It turned and twisted and kept the audience interested.All together a very good and very charming little short film about the outsiders in society. A movie well worth to watch."
