,title,stars,date,r_title,text
0,Home,6,4 April 2015,"OK, but disappointed","Took my 8-year-old girls. It was cute. They enjoyed it well enough.But on the car ride home, when I asked about their favorite part, the best they could come up with was the cow joke (I won't repeat it).After all the great animated kid's movies of the last 10 years (Nemo, Shrek, Cars, Frozen, etc), this one is completely forgettable. In a month or two, my girls won't even remember it. Can't imagine they'll ever ask to get a DVD or watch it at home.I'm not sorry I took them, nor was it a waste of money. But we are so spoiled by such great animated movies that a mediocre one like this becomes disappointing."
1,Home,7,19 July 2015,Clever and above average..!,"This is not the kind of movie that will stay with you forever. I have seen better animated movies in the past. BUT it's a movie that you will definitely have a good time watching, laughing and laughing again. I loved the way this little alien was depicted, using Jim Parsons' ticks and facial expressions! The concept of the aliens taking different colors based on their mood was just to die for!The story was OK and the time it lasted was sufficient (I always root for longer movies instead of shorter). Overall, it was a cute cute movie in the end! We laughed a lot, and although we are genre-fanatics (being in our 30s watching these movies without kids), I think that the average movie fan will also like it. It was time well-spent on a movie and I sincerely recommend it!"
2,Home,5,6 June 2015,Forgettable music video,"As a fan of animated films and Jim Parsons, Home felt like something I would enjoy. When the first Rihanna song started playing, I grew skeptical. When the next one started, I got tired of it. There's actually 5 Rihanna songs in the film. 5. Five. Along with Rihanna playing one of the lead roles. And I should mention that her character is not singing these songs. She's just listening and dancing to Rihanna. Sorry, but nope. Home started feeling like a commercial for some Rihanna album or a very long music video. I don't think I will remember this film, but if I do it would be for exactly that, and I would forget the story. However, if you're not like me and don't care about such things, the movie itself is pretty cute."
3,Home,5,10 August 2015,Weak - Dreamworks can do better than this!,"Oh dear... if you can get past the first half of the film then you may just enjoy the second half.Story (concept) was good but scripts were weak.Graphics were great.Humour was desperate.OK, I love animation movies with my kids, but hey, at 11 and 9, they were really disappointed and had look forward to this for a while.As for Rhianna, well, one kinda considered she funded the movie because her voice over is a leading part (which was good) but the 5 Rhianna tracks during the film.... a tad OTT!"
4,Home,10,21 March 2015,An Excellent Adventure with some good lessons to learn,"I had not really high expectations on an animated movie, my son would probably enjoy something like this way more than me I thought. Huge Fail. The movie was from the beginning great and not only for kids. It is a feel-good movie for all ages. It is about family , friendship and that being different or just being yourself is not a bad thing at all. I found the movie throughout entertaining and very often funny.The Boov's are just too funny in particular Steve Martin as the voice of Captain Smek, whose firm leadership of the Boov people is undermined by his ridiculous fascination with human artifacts such as bubble wrap . He reminded me partially on King Julien from the Penguins of Madagascar.But even if you are not touched by the great story you will certainly love the Soundtrack. The whole movie was perfectly set and is for me the best Dreamworks movie since a long time. Take your kids and watch it on the big screen, they will love it! and you too, guaranteed.Verdict: A great story meets perfect cast and nothing can go wrong on this alien/ human road trip movie."
5,Home,4,10 June 2015,As a friend of animation - this made me yawn,"I'm 30 years old, but I still enjoy watching animation films very much. As I heard that there was coming a movie with Jim Parsons & Steve Martin I knew I had to see it - specially when it was a film from Dreamworks.From seeing the trailer I already knew I didn't like the animation style too much, but I didn't let that bother me watching the movie. Sadly, B class style was one of the lesser flaws of the film.Jokes are outdated, movie is full of bubblegum pop music, the characters are far from interesting and you can't really build a connection to them. Also, the plot... oh phew. Way too easy. I mean, in most cases of animation films the plot is more or less predictable - after all, we're talking about western animations. They have a prodigy, who doesn't fit in, misses his/her parents and gets a happy ending. But Home just made my jaws sore from yawning.It wasn't _all_ bad, I'm sure that many kids will enjoy this, but for me this was one of Dreamworks' biggest flops. The only actual fun I had thinking about Jim Parsons and how literally every one of his lines could've been said in The Big Bang Theory."
6,Home,10,31 March 2015,"Great Animation, adventure and comedy .","Assalum Alaykum.This is a great animation,adventure and comedy movie. I am not surprised it is number 1 in most countries around the world.Escaping from their enemy the Gorgs, the Boov have found a new planet to call home, Earth. Guided by Captain Smek (Steve Martin), they start their friendly invasion of the planet, relocating the humans to other parts of the planet while the Boov inhabit their homes.In this movie the series of incidents are great from the beginning to the very end and believe me all the scenes are wonderful,the adventure is pleasing and the comedy is totally entertaining.The lovely surprise is that the great singer Rihanna acts in it."
7,Home,10,20 March 2015,Great family movie,"I saw this movie today with the kiddies. I would say it is a really solid movie. It is the story of an unlikely friendship that forms when an outcast alien meets a sassy little girl on a mission to find her mom. I think the story is well thought out and there are many hidden life ""gems"" noted within. The theme of judging others sticks out as well as themes of ""being yourself"" and learning from your mistakes. It is a little predictable but I think all adults feel that way about children's movies. The acting was good and surprisingly Rihanna did very good (I had my doubts about that). The kids loved it and laughed a lot. They also enjoyed the music a lot and that is really what it is all about. I would recommend it for families."
8,Home,10,19 March 2015,Exceeded my Expectations by a Mile!!!,"I think everyone with a family and even adults need to get up and see this movie. In my opinion, this puts Frozen in a corner forever. Seeing as the lead character is a hero with black descent, supporting this movie would majorly encourage more animation companies such as Disney, Pixar etc. to follow in their footsteps. There were so many laugh out loud moments and the message with this was so beautiful. Always stand what for what you believe in and stand by your friends. Even though this was an animation film involving aliens, It felt so realistic especially with the character Tip. Tip is a normal teenager with ""not-so-perfect"" hair, a tomboy lookalike, sassy and that's what makes her relatable. Not some fake or over-enthusiastic girly-girl that wants to find prince charming BS. To add to that, The music team did an amazing job. If you don't like animations, definitely go for the soundtrack or even better, purchase it. You wont be disappointed. Good on you Dreamworks, your hard work deserves to pay off."
9,Home,6,22 May 2015,The movie is a 6/10 at best. IMDb is infested by phony reviewers.,"This is less of a review of the movie Home than it is a review of what IMDb has become...infested by fake reviews from fake movie makers. But hey, we are talking about the movie industry here...why would anyone involved actually be ""real"" right? Home is exactly what the less-than- 7 reviews say it is. IMDb still has it's uses but it's rating/review section is virtually useless now. Some movies entertain both the children and the adults...this one will entertain ONLY the children. The plot is predictable the acting is OK, the animation is excellent, soft and candy-like...etc. But unfortunately, it's not very funny at all. Steve Martin's talent is wasted on the character Captain Smek, Rihanna's character is straight serious and Jim Parsons' voice, while inherently funny, simply isn't enough to pull off the very unfunny jokes. The kids might laugh at the Saturday Morning slapstick but that's about it. There is simply no way that any of these glowing 10-star reviews can be genuine. It's shameful...I'm not sure how much longer I'll be coming to IMDb."
10,Home,10,19 March 2015,Great movie!,What a lovely movie! Great for both kids and adults. Rihanna and Jim parsons do a wonderful job as the leads with also Jennifer Lopez and Steve Martin playing great supporting characters. All and all it's a good movie to see with the whole family. Also it's amazing to finally see a woman of color be the lead character in a dream works movie. Please don't give this movie a pass for it tells a great story of how two completely different characters from two different worlds seem to not fit in where they are from but somehow they both find friendship with each other. It's a great story about trying to find your place and somewhere where you feel at home. Hope everyone watches it and enjoys it as much as I did! (:
11,Home,1,12 June 2015,Such a bad movie that the review doesn't deserve a clever title,"What baffles me more than the movie itself is the fact that there are so many ten star reviews of it on this website. Do you people like watching crap? Do you enjoy having your soul ripped from your body, mangled, then shoved back in? Are you all mad?This movie isn't the kind of blatantly bad movie that you walk out of snickering to your friends about. This is a new kind of bad; one that I have never encountered before. There is something so sinister, so manipulative about the way this story was executed that I left the theater confused and horrified.The movie starts of with our main character, Sheldon from the Big Bang Theory, talking in stupid grammar. Then he meets Rihanna, who is even worse at voice acting than he is. Badger from Breaking Bad is also in there somewhere. Steve Martin also joins this baffling cast, sporting a disturbing mustache. While the latter two did a good job with the awful lines they had to read, our two main protagonists, Sheldon and Rihanna, could not read lines naturally to save their lives.The plot was really strange; easy to follow, but strange. There was definitely something wrong with the editing, and I wouldn't be surprised if the editor wasn't even fully conscious when he was cutting and pasting the scenes together. The pacing was all over the place. The movie felt like it ended three times before it actually ended. The action scenes had no tension. The emotional scenes came out of nowhere and confused me with their weight. The jokes were forced and felt flat on their faces.The biggest and most glaring problem with this movie is the music. When they weren't playing EVERY RIHANNA SONG EVER, the movie treats us to the worst orchestral score I have ever heard in my life. Every time a song played, it felt inappropriate. The action scenes were either accompanied by bafflingly quiet Dubstep, or strangely quiet orchestral music. Every time an action scene started, the music got quieter. You don't DO that! Did the aliens IN the movie make this movie??There are so many things I want to say about the movie, so many questions about WHO made these creative decisions and WHY they are still allowed to roam freely on this earth. This was just abysmal! It's terrible! There are very small fleeting moments of genuine emotional weight, and there are a few slightly clever lines, but it's all wrapped up in a flurry of terrible jokes, and terrible music, and terrible voice acting that it's CONFUSINGLY bad. I wanted to like the main characters, I really did! And there were moments when I did feel genuine sympathy for them, only for all that sympathy to fly out the window and into space because the editor quickly cuts to a completely different scene with a very different emotional feel to it. Or a terrible Rihanna song starts playing and ruins the mood. The one good thing about the movie is the animation. I enjoyed the effect of the aliens' skin color changing based on their emotions. I liked the design of the ""evil"" aliens, for the most part. The main character girl's hair was very well rendered. The movie looked beautiful, just like a turd looks beautiful when you polish it.Overall, this movie is an absolute train wreck. It's kind of funny how Rihanna voices one of the main characters, and most of her music is featured in--WAIT A SECOND. BACK UP. BEEP BEEP BEEPRihanna plays one of the main characters and her music is featured prominently in the movie. HMMMMMMMMMMM SEEMS A BIT OF A STRANGE COINCIDENCE, DOESN'T IT???!!I digress. This is a bad movie. One out of ten, would never watch it again."
12,Home,6,27 March 2015,Generic and Uninspired. HOME delivers a haunting message but falls short of Contagious Humor,"There are several lingering messages that HOME intends to deliver, and the speakers are aimed toward the younger ears: conquer your fears, be yourself, and as the soundtrack says ""Feel the light"" and bring it all back, pertaining to the lost glory waiting to be reclaimed, and the HOME they eventually, should be going back to.It will be difficult to dismiss HOME's charm, specifically the colorful bubbly aliens called Boov, and equally endearing human characters, most of which voiced by popular actors like Jim Parsons, Rihanna and Jennifer Lopez. However, I'll be frankthere's really nothing else so special about the movie. The plot is generic, I mean we've seen these alien-invades-earth, extraterrestrial befriends-human formula, over and over again, and it's kind of tiring already. I almost don't care about the plot anymore. Worse, in HOME, the humour didn't feel natural, either. I had these many moments when I needed to pause and ask myself ""was that supposed to be funny?"" while realizing the confused laughter gathering volume around me inside the theater. I just find everything the writers seemingly thought to be funny, aren't really as funny as they seem to imply. HOME is a colorful movie, I mean literally colorful, and you may find some of the characters lovable, but that's all. In general, HOME is a generic movie with flawed storyline, just another version of what we've already seen from its genre, only forced and unnatural and yields a mostly unpleasant outcome, bereft of contagious humor it utterly needs to overshadow its overly familiar material.If it's any consolation, the movie has beaufiful soundtrack.Anyway, you wouldn't blame the kids for finding this wonderful movie, it's for them after all. And this will serve as a reminder about how they should be and should act like while growing up."
13,Home,3,18 June 2015,Daft storyline,"Dear, oh dear. I was expecting more from the studio which has brought us fantastic and hilarious films like Madagascar, Kung Fu Panda and How to Train Your Dragon. This film ain't in the same ballpark.The storyline is plain silly. Aliens who invade Earth and relocate all the humans to a new city (which the aliens build) so that the aliens can live in the humans' old cities? A largely unseen villain driving a planet crunching machine, who, it turns out, is a puffy starfish who just wants his babies back? Earth's famous landmarks floating in bubbles ... why? Transporter bubbles which make holes in buildings?The script is lazy, too: I really dislike having a narrated segment at the start of a movie ... can you imagine a 007 film starting that way? The characters are weak, there are too few of them, and they are just not funny ... the visual 'humour' consists mostly of chameleon- like skin colour changes.However, the kids seemed to like it, and the themes were okay. A few memorable jokes and lines saved it from being a total loss."
14,Home,10,19 March 2015,Amazing!!,"I was fortunate enough to see a early screening of ""Home"" and I was completely shocked. GREAT MOVIE WITH A GREAT MESSAGE!! Take your kids to go see it and even adults could enjoy it. Rihanna's debut in a children's movie was amazing and will shock viewers, along with Jim Parsons. They are two truly amazing actors along with Jennifer Lopez and Steve Martin. They couldn't have picked a better cast,message, plot, everything was just perfect. ""Home""comes out worldwide everywhere on March 27th. Once again, this movie is perfect for not just kids but for all ages. Some of Dreamworks best work, not to mention this is their first movie with an African American lead character. GO SEE HOME MARCH 27TH EVERYWHERE!!!!!"
15,Home,10,19 March 2015,Brilliant!,"I went to see a preview of Home at the weekend and it was excellent!Dreamworks' casting of Jim Parsons and Rihanna worked exceptionally well. The two roles they played had a great chemistry, proving how well both stars worked within their roles.The film exposed how well Rihanna coped with voice acting. Not only was she able to carry the humour contained throughout the movie, but she was also able to convey emotion through a particular vulnerability in her voice, which made Home even more of a pleasure to go and see. She also contributed to the movie's soundtrack, with many of her songs playing during the film.As expected from Parsons' character, he was as funny as expected and really brought forward the quirkiness of the alien species invading Earth.Full of laughter, Home had elements of a lot of genres, including sci-fi, action, adventure and, of course, comedy.I recommend Home to anyone who wants to go out and have a great time."
16,Home,2,14 June 2015,Remind me again why this film was so great?,"I didn't like this movie at all. The music selection was complete junk, seriously its like they took someone's album and just used all the songs on it. Some of the songs don't even seem to fit together with the scenes. Also this is supposed to be a kids movie but I can remember a scene where they say ""Jokingly"" say the internet never lies. If your a child, your gonna believe that unless a parent steps in and says hey thats not true. But lets be honest here, 95% of parents are junk these days. Most people with children had them young and are really the type of people who never should have kids to begin with.Honestly there were a couple other spots where I was kind of struck that they thought it would be a good idea to put certain things in a movie.I've seen many, many movies and I can tell when it seems like it was rushed and sort of thrown all together just to make a film. This movie fits that description. When the movie was about half way done, it made me feel really bad like nails on a chalkboard.Is it worth a watch? Meh, maybe once if you can forget about a few parts. Other than that, junk."
17,Home,9,1 April 2015,"Cute, frothy kids movie","This was one of those kids movies that moved along at an entertaining pace and kept the adults interested as well. The humor is generally light but consistent and the soundtrack to this film was actually pretty cool too (Rihanna and Jennifer Lopez, providing voices to two of the characters, sing some of the danceable tunes on the soundtrack). Jim Parsons is great as Oh, the misfit alien who just wants to make friends but comes up short in the ranks of his regimented, antisocial species. Steve Martin also lends his voice as the hilarious but clueless leader of Oh's people, who decide Earth looks like a nice place to live, despite the little fact that it already has a native population (us). The forced relocation of the human population to ""happy human towns"" results in Tip (Rihanna) going on a quest to find her lost mom (Lopez) is the gist of this sweetly funny movie and it's worth seeing, kids and adults alike."
18,Home,10,19 March 2015,Best Dreamworks Movie Yet,"Iam a big fan of Dreamworks movie and this movie has really raised the bar for any other movies in the future. I wasn't expecting such a quality performance coming from the likes of a musical artist like Rihanna but she really impressed. Although I seen a early link I will definitely be seeing Home in theaters March 27th. Be prepared to be surprised like me ,A father of 2 when this movie hits theaters. I watched earlier to see if it was suitable for my kids and if I thought they might enjoy it. This movie will teach them valuable lessons that took me a while to comprehend as a child. Its great that movies can teach our kids nowadays and this movie is definitely a classic already."
19,Home,8,23 March 2015,Great Movie,"This is as simple as genial movie for all the family. Its impossible don't remember Alf or ET, mostly Alf for the laugh, its a great comedy whit very good moments to remember and enjoy forever. I really like the main character, and the cats!! At the end of the movie the people claps.. And me too! The 3 d is simple and and perfect for me (the best scenes are when the cats walk trough the city! And the Eiffel moments). The girl is lovely, and the chats, the dialogs between them are very attractive to keep. The kids love them and mostly all kind of people too. The music is OK... Not the best for me, but its OK. And of course, the second parts it will be coming soon!"
20,Home,6,22 March 2015,So-so,"Children will definitely like ""Home"" but I can't say the same about the parents and other adults watching it. The films lacks coherence, if you will, but hey, if it can get the kids smiling and laughing and having a good time, then who are we to heavily criticize it. We'd only judge it more if it didn't do what it was supposed to for kids and families.Jim Parsons voices a lovable misfit alien named Oh, his fellow Boovians don't want to befriend him because Oh is odd and he wants to have a party when other Boovians would rather do what Boovians do best, running away, just like their leader Captain Smek (Steve Martin) who thinks highly of himself. Rihanna voices Tip whose mother Lucy (Jennifer Lopez) gets relocated with other humans to some other place when the Boov invades planet earth. Tip is determined to find and reunite with her mother. These two characters bump into each other and they form an unlikely friendship through a series of comic adventures. Oh learns what it means to be human and Tip comes to understand Oh's loneliness.Adorable and upbeat are some of the words come to mind to describe HOME. Adorable because obviously Dreamworks Animation has created once again a series of characters, in these Boovians, that can work as huggable doll merchandises to sell to kids. Oh is so much fun to watch, when he hears a song, his body can't help but dance to the beat and the tunes, he wants to reject it but his body doesn't and that serves for a comical sequence. That also leads to upbeat, being that although this is not a movie musical, it's driven by Rihanna's much, in fact if I didn't know any better, I thought HOME was a huge celebration of Rihanna. If you are her fan, you've come to the right movie, I guarantee you that.It's both Jim Parsons and Rihanna's first rodeo in the world of animated feature film, Parsons' Oh in particular is strikingly different from his Parsons' iconic alter ego, Sheldon Cooper in ""The Big Bang Theory."" Sheldon knows it all and he'll tell it to your face, whereas Oh only knows what he's been told by Captain Smek and other Boovians. Rihanna sounds too grown up to voice a little kid like Tip, I think Rihanna did all right, but she's got a long way to go, her timing and reactions are not quite there yet. HOME will teach our little young ones about friendship, family, never giving up, and befriending those who may be different from us Read more at Ramascreen.Com"
21,Home,,3 April 2015,Kids Movie Fluff,"Home is one of the most standard family films you'd get, in spite of its likable character designs, colorful visuals and intriguing premise. The film doesn't seem to offer beyond those dazzling spectacles and unending comedic antics. While that's not a terrible thing, the overall film feels more of a distraction for children to see in cinema. There is a totally appealing world built here and there is a theme hidden somewhere, but Home rather just conforms to the typical style of CGI kids movies today that follows the fast paced energetic set of punchlines and action until it finally decided to reveal what the whole story is all about. The overall film is undeniably adorable, but we've come to love animated movies even better than this generic quality.It all sets in a friendly invasion by an alien race that is hiding from an enemy, since they are new in planet Earth, they don't exactly understand enough of the world thus they have to humorously misuse most of its objects, having a hard time using their language, and make a mess around every place, usually landmarks. The main character, Oh, then meets a young human girl who at first hated these aliens for capturing her mother after separating every human to an isolated civilization, but slowly earns trust after befriending with Oh. The center here seems to be about avoiding naivety and misjudgments or something. The ending also seems like it has this same sentiment, but the plot doesn't do much to build that up pretty well. Sure, most of it takes place in a car with the two heroes talking and learning each other's culture, mainly treated as a gag, but the narrative feels so uncertain, we're just stuck with these two fooling around and getting involve with more trouble until the film decided to jump into its third act. Like everything happens so randomly.It's full of energy, but at the same time it sort of feels lazy. The story contains some interesting ideas and themes that could transcend itself from its first impression, but the film rather prioritizes the most common choices to absolutely keep the children's attention, which are the ones that don't necessarily help making the storytelling compelling. It may have ended with a heartwarming message, but everything else is so drowned with sudden action and humor, and so little inspiration is left to the audience. But the animation is cute, it's definitely designed that way. Everything looks so whimsical; what could have been a disastrous alien invasion, rather makes the world look like some sort of an amusement park. And how the characters look is so cartoony that this studio might earn another memorable character. Too bad, those designs only go that far. The vocal performances are delightful enough to bring them to life.Home needs more tweaks, mostly in its own plot. So much potential surrounding in its world, the movie rather focuses on what the mass would usually get in these animated movies. It may be delightful, there is some creativity in its visuals and it's easy to like these characters and the enthusiasm behind their voices, but it's also forgettable, due to its really uninspired storytelling. It's like they just threw everything together and sat around, letting the cuteness and random sentiments do the talking, but they somehow forget how it works, or just lacks the care it deserves. But whatever, just like what I said, this is perfect to distract the children, but this won't end up being a classic or anything."
22,Home,1,12 June 2015,Only sat through it because my sister wanted to see it.,"My little sister begged me to take her to see this film when it was on at our local cinema, so after hours of saying no and her persistent asking I finally excepted. I really didn't want to see this film as I'm not a big fan of Dreamwork's animated movies, or most animated films in general, and I find Jim Parsons to be so intolerably annoying.From the opening narration I knew it was going to be bad and throughout the movie everyone else in the theater, parents of other children include, seemed to love the film and laugh at nearly all the jokes. By the time I thought the film was over we still had around 30 minutes left and by the end I rushed my sister out of the cinema before we could even see the 3rd credit. Other people may like this film but it wasn't my cup of tea. If your a parent I'm sure your younger child of around (1-9) will probably love it."
23,Home,3,16 June 2015,"Really, really stupid!","'HOME': One and a Half Stars (Out of Five)The new hit computer-animated kids flick, from DreamWorks Animation; about an alien outsider, who's become a fugitive with his people, that befriends a young girl, on a mission to find her mom. It was directed by Tim Johnson (who also directed the hit animated films 'ANTZ' and 'OVER THE HEDGE') and written by Tom J. Astle and Matt Ember. It's based on a 2007 children's book, titled 'The True Meaning of Smekday', by Adam Rex. The film stars the voice talents of Jim Parsons, Rihanna, Jennifer Lopez and Steve Martin. I can see why this movie might be entertaining, for small children, but it's also really, really stupid!An alien race, called the Boov, invades planet Earth and takes over all our homes; while relocating all the humans to other, isolated, areas. An unpopular Boov, named Oh (Parsons), decides to invite all the other aliens to his new apartment, for a party. He accidentally invites every alien in the galaxy, including the Boov's enemy; the Gorg. His people want to 'erase him' for this, and many other mistakes, and Oh becomes a fugitive on the run. While fleeing, he runs into a young girl, named Tip (Rihanna). Tip is desperately looking for her mother (Lopez); who she was separated from during the invasion. Tip and Oh decide to reluctantly team together.The movie is filled with silly jokes and bad animation. The alien, Oh, also speaks really bad English; for some painfully annoying reason. I didn't find the movie funny, or entertaining, at all. But I'm also not a four-year-old little kid. I guess movies like this are fine, for really young children; but I think the filmmakers should put a little more effort into making something with more substance, and entertainment value, for everyone.Watch our movie review show 'MOVIE TALK' at: http://youtu.be/uINe8REiZw0"
24,Home,,21 May 2015,When's the last time you had to walk out of a movie? This was it for me.,"DISCLAIMER: I love animations, I love kids movies. I saw this with my wife to see if it would be fun for our kids.We made it through 5 minutes and were groaning.After ten minutes I wanted to be anywhere else.After that we walked out.That's not something I do a lot - hardly ever.It's one of those movies that had a not awful premise but no soul and painful to endure.I'd even skip it on TV.Everyone is better off just rewatching Monsters Inc. imho."
25,Home,10,19 March 2015,Brilliant,Watched This On Mothers Day In The Uk With My Friend Thought It Was Brilliant Really Funny And Definitely Would Recommend To Watch. A Proper Family Film Kids Would Love It. You Will Laugh Throughout And Maybe Cry At Some Points It's An Amazing Movie Which I Believe Everyone Will Love DreamWorks Did Great With This And Also Rihanna Jim Parson And Steve Martin Embodied Their Character In Their Voices. Also Got To Hear Some Snippets Of Great Music From Rihanna Jennifer Lopez And Many Other Brilliant Artist. A Great StoryLine And Funny Jokes Throughout.Rihanna Jim Parsons And Steve Martin Did Amazing With Their Voices And Different Changes To Represent Happy Sad And Funny. Go Watch!!!
26,Home,6,27 March 2015,A Rihanna Commercial,"Part of the joy of an animation film is to escape into a new world with hope that you can forget about everything in the real world for an hour and a half. The problem with Home is not it's world building, but the constant Rihanna songs that unnecessarily play throughout the film. Besides some annoying characters and too many songs, there's a touching and cute story underneath. It's a film that had a lot of potential but didn't quite execute it well enough.The film was produced by the same people who brought us The Croods and How to Train Your Dragon so I hoped that this would bring the same level of joy and heart that those films did. Unfortunately Home succeeds only sometimes. The story of a girl finding her mother and having a likable creature to tag along with her is a great story on the outside but it didn't work out like that. Jim Parsons can be hilarious, but the combination of his semi annoying voice with the incorrect grammar made for one irritating character. Don't get me wrong there were great moments with Oh and Tip on their road trip, but I just wish it was executed better. The first 45 minutes or so are pretty uneventful and drag quite a bit. By the time you get to the last 20 minutes, which is by far the best part of the film, you feel pretty fatigued with the world.Like I said, there's a lot to like with the story underneath all the unnecessary pop songs and out of place dub-step music. I just hoped for more considering the people involved. I don't have any problem with Rihanna as the voice of Tip, but I wish she didn't have as much input with everything else in the film. It was just one big Rihanna commercial, especially considering they added in that the character is from Barbados, just happens to be where real life Rihanna is from.+Touching story underneath +The actual score -Not the redundant Rihanna songs -Drags, and without much focus 6.0/10"
27,Home,10,19 March 2015,"Home a very family friendly movie,with great characters","Home is a very family friendly film.you can take your small children to your teenagers to go see this film.its a fun movie that will have you laughing and crying at the same time. the music soundtrack is great and advise everyone to go and see it.Rihanna to me is the star of this movie for her first time being the leading role an animated film ,i think she turns out to do a very excellent job.Jim Parsons who we all know from the Hit Television show ""The Big Bang Theory"" is very likable and very clever in his delivery. Steve Martin who also is the movie does a very good job at selling the quote on quote ""Villain role""this movie is so good i would even say to go see it multiple time."
28,Home,2,11 July 2015,Watched it until the end... I must be a masochist...,"Did Rihanna pay for this movie? I'm pretty sure she must have... This is by far the worst Dreamworks movie I've ever seen. Terrible jokes, laim story... suited most definitely to 5 year olds and that's the only reason I gave it a 2 rather than a 1... From song to song this movie seems like an attempt to brainwash young children into enjoying Rihanna's (or J Lo's) sterile pop songs than to actually enjoy an animated movie, so if you like animation but already ride a bike with your training wheels off, you probably know better ways to spend 90 minutes of your life.... If you like Rihanna and J Lo or just like to watch multicolored cgi movies just for the sake of it, you might like ""Home"". If not, for goodness sake, please avoid watching this..."
29,Home,10,12 July 2015,This movie is great and I'm disgusted by these reviews,"First off I'm a 14 year old girl with more maternal instinct in my pinky than any of these other commenter's and as a girl who recently lost her 2 year old sister this movie hit home with the emotional points of family and its importance!Secondly in regards to another stupid review I believe the voice actors where great and the aliens awkward-ness was a comedic point not bad acting if you have seen Big Bang theory you would know the man who plays Oh is know for is great likeness of an awkward outcast which is Oh and Rihanna played tip perfectly for a girl who has seen bullies and is not from America. Continuing on with the plot it is one of the best for a child's movie considering that it is not meant to be taken seriously as a comedy and of course it is not perfect but no cartoon is! And this one took the time to tie up all plot holes its moral is great lesson for children as it touches down on bullying,family,and taking responsibility for yourself and actions and if you can not see that you are blinded by your hatred for the personal life's of some of these actors or your obsession with ripping apart any shred of light in this nasty society"
30,Home,10,19 March 2015,Incredible!,"watched this in London (thank god its out a week earlier than in the us) and its amazing!!!! really done something different with the animation and it's brought the characters to life. Soundtrack is incredible as well and you can definitely sense the amount of effort that was put into the film. So glad i had the chance to go to the premiere viewing! At first i was hesitant after watching the initial trailers thinking it would be very boring and unoriginal, but the plot is different to what has been done before! I'm glad Steve martin was on board too as his character is hilarious and my child loved it and his character. Also very relatable in an odd way. All in all this movie is definitely worth watching."
31,Home,7,22 March 2015,Charming.,"There's nothing particularly new or fancy about Dreamworks' latest animated affair. There are no breathtaking action sequences like in their How To Train Your Dragon and Kung-Fu Panda franchises. Nor is there the amount of laughs you'll find in their classics Megamind or, again, the Kung-Fu Panda films. Yet there's something so utterly sweet and innocent about Home that it zooms by with an enchanting charm. When people tell you to calm down by going to your happy place, it probably looks something like this. It's arguably the most child-centric movie Dreamworks have produced for a few years too. The adult-targeted humour is kept to a minimum and the physical comedy is amped up to levels that is normally irritating but here works an absolute treat. Its success can be attributed, in a big way, to the lovable alien Oh (Jim Parsons). A clumsy go-getter with endearing optimism, cuddly colour-changing looks, and amusing speech patterns, Oh steals the spotlight whenever he is on screen, which is about 95% of the time. As his plucky partner in adventure, Tip, Rihanna's precocious human child is fairly stock standard, whilst Steve Martin's dim-witted leader of Oh's Boov race lands a few hilarious moments among some dull ones. Vibrant, energetic and with an unexpected tear-jerking finale, Home falls on the right side of simple."
32,Home,7,27 March 2015,Satisfactory CGI animation for youngsters,"The Boov are a race of annoying idiot aliens who spend their time fleeing enemies: they are ""hiding"" in plain view on Earth, having taken over the cities following relocating all the humans in Australia, except teenage girl Tip. Oh is an even more annoying and idiotic Boov, to the extent that he is ostracised by his own people. He and Tip are thrown together and form an initially reluctant partnership to help each other: Tip is looking for her mother and Oh is trying to recall the cosmic email party invitation he sent which will let their enemy know where the Boov are hiding.This CGI animated movie is full of colour, action and humour, and colour is particularly well used. The two central characters, Oh and Tip, are nicely designed and well realised. The voice talent is good - Rihanna does well as Tip - and if I were to be critical, I would say that the individuality of Jim Parsons' voice does rather overpower Oh's personality at times.But this is good fun, especially for youngsters (who, after all, are the intended audience)."
