,title,stars,date,r_title,text
0,Hotel Transylvania 2,10,27 September 2015,Surprised that this film is great indeed for kids and adults too.,"Hotel Transylvania 2 is a 2015 American 3D computer animated fantasy-comedy film. The film is the sequel to the 2012 film Hotel Transylvania.Hotel Transylvania 2 takes place seven years after the first film, with the hotel now open to human guests. Mavis and Johnny have a young son named Dennis, whose lack of any vampire abilities worries his grandfather Dracula. When Mavis and Johnny go on a visit to Johnny's parents, Dracula calls his friends to help him make Dennis a vampire. However, an unexpected visit from Dracula's old-school human-hating dad, Vlad soon turns things upside-down.As an adult,I quite enjoyed watching this excellent movie. If you are looking for real Comedy/Adventure movie with perfect action from start to finish,then you should see this masterpiece movie."
1,Hotel Transylvania 2,10,6 October 2015,Number 1 movie in most countries.,"""Hotel Transylvania"" is truly an excellent family movie with all elements of success included: good script,perfect entertainment,wonderful direction and great comedy.I saw it with my girlfriend after hearing this film has been achieving international success.Honestly ""Hotel Transylvania"" was extremely funny for adults and the movie theater was crowded. People were looking for a real comedy that would make them forget their own problems and the movie was absolutely hilarious from the beginning till the end.The voice acting was stunning and honestly this lovely film is worth seeing for all ages,you will move into another fantastic world for 90 minutes.I am not surprised at all why this movie has been number 1 in most counties around the world.Well Done!."
2,Hotel Transylvania 2,6,6 February 2016,Disappointed..,I am a huge fan of animation.and i liked the previous part very much. So i had high expectations on this movie.but it really disappointed me. I mean the animation quality seemed to be below the standard . The comedy didn't workout as it was planned.some jokes were old and repeatedly Used.conversations seemed to be funny now and then but not to impress a lot Story line is flat.and what was supposed to be a visual treat didn't even end up being An appetizer.believe me when i say i am disappointed in a animation movie. It has all the potential to be a very good sequel but somehow they have managed Make it a average movie with poor story telling. Watch it if you want to kill time otherwise not advised
3,Hotel Transylvania 2,8,5 October 2015,Not As Good As the Original But Fun!,"It is not as good as the original. But it is still very funny. And really shows Adam Sandler who has starred in some flops recently, still has his charm as Dracula.With his girl now grown up and married Mavis to human Johnny. Played respectively by Selena Gomez and Andy Samberg. As they become parents later on to a boy named Dennis. With curly red hair and Dracula hopes he becomes a vampire like his grandfather.In order to prove he is a vampire with his only child and son in law to visit his human grandparents, Dracula and friends like Frankenstein must take off with young Dennis, without Mavis knowing about it.Mavis gets to discover a bit of the outside world along with doing things that she never did like ride a bicycle or drink slur pees. Much to Johnny's amusement.Still it is about accepting people no matter what in their hearts. Not just with words. There is a ""cameo"" with Mel Brooks as Dracula's estranged father. Not as good as the first one but still fun."
4,Hotel Transylvania 2,2,6 July 2016,not good enough,"The second movie, after the very good Hotel Transylvania, disappoints in every way possible. First of all, the time table of the movie is annoyingly messed up. It moves way too quickly and it just feels like you are watching flashes or rather moments from another movie. The main idea is appealing, though the final result doesn't reach the wanted result. The funny moments were few and they are not enough to save the movie. In fact, it makes you think if you are watching a movie or Fifth Harmony's promotion film, as the only moments the movie gets a little interesting is when their songs are on. Even the ending was kind of odd. Where did the kid learn all these moves when moments ago he was a scared baby? Plus, there was no surprise for the final twist. So, 2 out of 10."
5,Hotel Transylvania 2,8,26 September 2015,it's a really funny movie,"Well, many people says this movie sucks but I think they are saying it because Adam Sandler is in the movie but I think this is a good movie, it's funny, is not trying to be something it is not because is not a movie with a super message obviously no, it knows that is just funny, the animation is beautiful, the mayority of the characters are OK but it have some flaws and they are: it have some characters that are in the movie just because they have to be on it but they really unnecessary and boring characters. The opening scenes feel very accelerated and many things pass so fast that you can't pay attention to all of them. I would say that is as good as the first one but I think that isn't better and they are in the same place, none is better than the other. Well I'm going to give it an 8.2 of 10, it's a good movie that is really enjoyable to watch."
6,Hotel Transylvania 2,7,25 September 2015,Still a fun entry but is slightly tainted,"For cartoons, Genndy Tartakovsky has had his hands in and on a lot of peoples' favorite shows. There's something about Tartakovsky's vision of cartoons that breathes life into every movement that is made by them. Tartakovsky made his directorial debut with Hotel Transylvania (2012) and although it was not universally renowned, made people found it to be a fun family movie with a well-developed story, energetic animation and colorful characters. Plus even though it dealt with Halloween related characters, the idea wasn't to scare but make light of the characters and the lore of which they originated from. Here we are with its sequel and although it does keep several elements from the original the same, some things have changed and other parts should have changed. Thankfully, this sequel isn't brought down a whole lot, but it is enough to notice the differences in what should've been focused on more.The story to this installment revolves around Dracula (Adam Sandler) trying to bring out the inner vampire of his hybrid grandson Dennis (Asher Blinkoff) brought upon by newly wedded couple/parents Mavis (Selena Gomez) and Jonathan (Andy Samberg). The reason for this is fearing that if their son has no vampire blood flowing in him anywhere, Mavis would end up leaving the hotel for good. Although the premise isn't as obvious, unfortunately the execution ends up feeling very similar to that of the first (plot wise). Dracula claims he is more open minded now but still clings to his past and tries to hide his true ambitions. In some respects, this particular play out moots the point of the first film altogether. Once Drac accepted Jonathan into his world, he should've been prepared for what came after. It just makes it feel like he didn't learn from before. The writing group for this entry shrunk in size. For the first film, five writers were involved. Here only two were, of which only one of them were from the original five.The one from the original five was Robert Smigel, a writer for multiple Saturday Night Live episodes. The other writer credited for this film was Adam Sandler and unfortunately it shows too. How? Two words, potty humor. Yes, and it sticks out like a soar thumb. Hotel Transylvania (2012) did have some silly moments but none of the comedy required potty humor. That's not to say all of the scenes don't work, but there are scenes where experienced viewers will be able to point out the scenes that Adam Sandler had wrote in. It's just not necessary. Of all problems with this and a familiar plot, that's it. For the moments that don't included immature humor, the rest of the comedy bits are new and contemporary, which is having the characters play off of their own flaws and personalities or trying to have them figure out social media. Drac can't seem to understand that to use a touch screen, you can't have long fingernails. He'll get it I'm sure.There's also new character additions to the cast, which is great although sometimes it can sink a film if it becomes over saturated. All the original characters voiced by Adam Sandler, Selena Gomez, Andy Samberg, Kevin James, David Spade and Steve Buscemi all sound exactly as they should and still play off one another well. Even Keegan-Michael Key who replaces CeeLo Green as Murray from the first film practically sounds the same too. Some of the new voice actors to jump on board or receive more attention are Sadie Sandler as Winnie (one of Wayne's children), Jon Lovitz as a ""phantom of the opera"" type character and the comedy guru himself, Mel Brooks playing Vlad, Dracula's father. It really is nice to see a bunch of new and old voice actors work together though. Plus, a star talent like Brooks isn't wasted either. His appearance isn't as long as everyone else's roles but he comes in at the best time.Again since this production was headed by Tartakovsky, the animation and character designs are nothing but great. The character designs are all unique and have intricate texture detailing. Alan Hawkins who worked as an animator for the first film serves a senior animation supervisor for this entry. Considering his past work being on projects like Cloudy With a Chance of Meatballs (2009) and Arthur Christmas (2011), Hawkins feels like a great collaborator for Tartakovsky's vision. The film score produced by Devo member Mark Mothersbaugh continues his usual work but again fails to provide his listeners with an actual soundtrack for download. The score itself matches the scenes well and portrays the right emotion but it's weird that Mothersbaugh can provide a score for Cloudy With a Chance of Meatballs (2009) or The Lego Movie (2014) but can't for these films. Why so selective in distribution?It's not a huge step down from the original but it is noticeable. The sequel does maintain all the character relations and chemistry while adding in new ones like Drac's father voiced by Mel Brooks. It also keeps the same great animation and music. Unfortunately although the premise feels new, the execution is very much parallel to the first film in some ways. Plus with Adam Sandler now active in writing the script, some his childish annoying potty humor got in the recipe as well and it's obvious as all get out."
7,Hotel Transylvania 2,3,28 December 2015,I really enjoyed it before it got problematic. #Spoilers,"Okay, I really enjoyed at least the first half of the movie - it was really entertaining; it was funny and had quite a lot of adult humor. So I completely got the whole keep the families separate from each other ""If the child lives with me, they can live a normal life"". The movie did attempt to address mixed families (interracial families) (white = humans, black = monsters). I could also sense the narrative of homophobia (the child is shamed and is laughed at for liking the ""cake monster"") which was not addressed ONCE.Moreover, what the f*ck is up with the heteronormative story line in the second half of this movie. I can't even put to words my irritation at the fact that every single character was like, ""ooh you got the eyes for that girl wolf"" and sh*t like that. HE IS FIVE! This movie actually made me angry. I was going to rate it 7/10, then 5/10. Final rating: 3/10."
8,Hotel Transylvania 2,9,25 September 2015,"This movie is hilarious, for kids AND for adults!","Just got back from seeing it in theaters, and let me tell you, there were several moments when just the kids would laugh, and moments when just the adults would laugh, and even moments when everybody laughed. This is coming from a guy who doesn't watch a lot of ""kid"" movies, and I can tell Adam Sandler wanted more than just kids to enjoy it, so he threw in child-raising jokes, nipple jokes, and a few other jokes and themes that go right over your average kid's head. And of course there's silliness plentiful for the kiddies to enjoy. If you're reading reviews, you should already be familiar with the plot, which in a nutshell for those who aren't, is basically the two kids from the first one are older and married and have a kid, who the grandfather, Count Dracula, hopes is a Dracula/monster like his own bloodline, but it doesn't seem to be the case. So family relationships are slightly strained in this movie as Dracula wonders if he'll be helping to raise his vampire grandson, or watching his human grandson and human son-in-law and vampire daughter move away and leaving him behind alone in his hotel, to go live with *gasp* HUMANS. So on top of it being hilarious for everybody, there's a lot more to it as well. Obviously if you're a fan of the first Hotel Transylvania, it's a guarantee you'll enjoy this sequel. The style of animation is exaggerated, highly sporadic, like a human gas molecule with ADHD and an IV inserted coffee bag. There is a lot going on in almost every scene, and with the characters behaving so hyper, it may take a couple viewings to take in all in. The humor is quick, very in your face, but welcoming. And trust me, humor is a-plenty. There are a few minor flaws; while tailored to two separate audiences, obviously there will be moments where one side will feel out of place. Either a child will cock their head to the side in puzzlement and maybe laugh but only because the adults are, or an adult will think to themselves ""well that was just weird."" And yes it's mostly a kid's movie so much of everything is easy to swallow. Go see it, even if you don't have kids, it's a fun, easy-going flick that's sure to make you jiggle with joy like Blobby. The characters are fun and diverse as before, humor is constant, and for those sticklers out there (you know who you are), the plot exists and it flows sufficiently enough to follow, and at a reasonable pace. So bust out your popcorn and brain juice, and enjoy this light-hearted comedy."
9,Hotel Transylvania 2,7,30 September 2015,Decent but there is a part that bugs me,"So I just saw Hotel Transylvania 2. And yes, it is funnier and more enjoyable than the first Hotel Transylvania. I just have one complaint. One little thing undermines the entire moral of the film.The whole film is about how it doesn't matter what you are and that those that love you will accept you. The whole film is about how even if he is human Dennis will be accepted. However Mavis gives serious consideration to moving to California and nearly does even though Dennis AND Jonathan clearly want to stay in Transylvania.Here's the spoiler. Toward the end of the film it's revealed that Dennis actually is a vampire. His vampirism emerges when his best friend / possible future romantic interest, the little werewolf girl is in trouble. Here's the problem. The whole film has this ham handed message about acceptance and how it doesn't matter what Dennis is. Yet it does. It really, really does. As soon as things calm down he asks ""Since I'm a vampire does this mean we can stay at the hotel?"" And Mavis says ""Yes."" Just yes. Nothing about how she might have stayed if she had just known and accepted that's what he really wanted. This ""cute"" moment under cuts the entire message of the film.I know that as an adult I'm probably over analyzing but it kind of bothers me because otherwise it's a very sweet and funny film.I actually don't mind Dennis becoming a vampire. That was kind of cute, especially the reason as to how. What bugged me was ""Since I'm a vampire does this mean I can stay ant the hotel?"" and Mavis says ""Yes."" So much for what he is not mattering. What he is should not have anything to do with if they stay at the hotel or not. That undermined everything!Since there are so many complaints about Hotel Transylvania 2 I will give it this one nod of appreciation. I am very grateful that the cartoon Dracula can shapeshift into multiple forms. I miss depictions of Dracula that can become more than just a bat. Little things like that please me."
