,title,stars,date,r_title,text
0,"I, Tonya",7,7 December 2017,Tabloid Times,"I was going to make a list of people who made extraordinary things during the same period that Tonya Harding monopolized the headlines but then I thought it was a pointless exercise. Charles Manson will always be more famous, much more than Sharon Tate. That's the world we live in or maybe it always was. The sadness verging on horror of of the Tonya Harding story will win, fascination wise, than any kind of kindness from anyone anywhere. Now that out of my system let me say that I Tonya is an entertaining harrowing tale directed by Craig Gillespie and his extraordinary cinematographer Nicholas Karakatsanis with, clearly, Martin Scorsese in their minds and hearts. Margot Robbie is terrific and Sebastian Stan as the husband from hell, superb but it's Allison Janney that creates a character that is impossible to take and irresistible at the same time. She is spectacular. So, that's more than enough to recommend I Tonya but if the Tabloid Times is something you subscribe I will highly recommend Gus Van Sant's To Die For and Michael Ritchie's made for television The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom."
1,"I, Tonya",8,19 October 2017,The acting and direction were pretty amazing....,"Tonight I went to the opening night film at the Philadelphia Film Festival and it turned out to be ""I, Tonya"". I wasn't particularly thrilled about this, as I really didn't care much about seeing a biopic about Tonya Harding. In hindsight, I am glad I saw it as the film was exceptionally well directed and the acting was occasionally brilliant. In particular, Australian actress Margot Robbie was simply amazing as Hardingturning in the sort of performance that could mean an Oscar nomination. Likewise, Allison Janney was amazing as wellplaying Tonya's incredibly despicable mother. You really have to respect the great job both of them did in the filmas well as Robbie's learning to skate well in order to make this movie.The film is about the life of Tonya Harding.yes, THAT Tonya Hardingthe one who gained infamy for her part in the attack on rival ice skater Nancy Kerrigan back in 1994. My daughter was only a small child at the time of the attack and I told her nothing about Harding because I wanted to see her perspective on the story. Both of us left very impressed. However, I must put in a warning about the film. It is very violent.filled with intense and very realistic domestic violenceamong the most realistic I have ever seen. With my background as a psychotherapist, this churned up a lot of memories for me and the film often had me in tears. If you have been a victim of domestic violence, then I strongly urge you to think twice before you see the pictureor at least see it with someone you love. Seeing Tonya being slugged, slapped and even shot was tough to watch. Interestingly, often the audience responded by laughingan inappropriate but thoroughly understandable coping mechanism for such ugliness.Does the film excuse Harding's behaviors or paint her out to be a victim? Not reallyand if it had, the film would have been a waste of time. What it does do is help you at least understand who she was and why she did what she didas she was more than just an intense competitor who didn't come forward when she learned her husband and his friend had physically assaulted Tonya's competitor, Nancy Kerrigan. Overall, a fascinating look back to one of the most celebrated news stories of the 1990s.one that folks who are old fogies, like me, well remember!"
2,"I, Tonya",8,7 December 2017,"I, Tonya (2017)","I think this film may have had the best trailer of 2017. I saw it and knew instantly how badly I wanted to see it. I've never been a fan of Margot Robbie and her previous acting efforts but this looked like her awakening and where she would be proving me wrong. I believe it, she's quite sensational in this film. Her dedication to her role shows but really everyone involved has done very well. Craig Gillespie has his first real winner with I, Tonya.I, Tonya is a biographical picture about famed and disgraced figure skater, Tonya Harding. Tonya was pushed onto the rink by her abusive mother at a very young age and despite the abuse becomes a very talented ice skater. The cycle of abuse continues with her abusive husband but she tries to bear through and succeed. Everyone seems to be against her but her talent is hard to deny. The film also goes into the famed attack on fellow ice skater Nancy Kerrigan and the aftermath of the incident.The film is sort of told from a mockumentary perspective as if key characters are being interviewed. The film also utilizes breaking the fourth wall where characters in a scene would talk to the audience. I thought this was interesting and separates itself from being a standard biopic and gives this film a real comedic depth. The soundtrack is catchy and literally every performance in this film makes for a very engaging time. I didn't even recognize the chameleon Bobby Cannavale until the credits rolled.Some wonder why the film was made but it kind of helps you identify with Tonya. She suffered physical and psychological abuse from both her foul mouthed mother and her rage filled husband. Her hands may not be completely clean in what happens to Nancy Kerrigan, but she is also just a victim of circumstances. Vastly talented, but just short of reaching her pinnacle due to outside factors and her image and attitude. The film isn't perfect but its vastly entertaining and could be giving Margot Robbie and Allison Janney Oscar nominations. I'm going to let this sink in and I'm sure its going to be something I go back to.7.5/10"
3,"I, Tonya",10,18 September 2017,A triple axel of a skating movie,"If I could have voted online for the best movie that I saw at TIFF 2017 (the voting was limited to iPhone and Android users), it would have been for this film, which wound up second in the People's Choice award competition. Director Craig Gillespie has tackled a difficult subject brilliantly without removing the considerable number of warts from the main characters. This film should garner a considerable number of Oscar nominations, including best picture and director.Margot Robbie should be a lock for a Best Actress nod, completely burying her Australian background to deliver American white trash with complete credibility. (She won't win of course, because ... Tonya.) Her skating sequences are edited brilliantly - you really believe that it's her.THE surest Oscar bet has to be Allison Janney as Tonya's acerbic, domineering, Swisher-chain-smoking mother LaVona Golden. She gives what I call a ""schizophrenia"" performance - there's no way that anyone seeing JUNO and this film back-to-back would ever notice that the mothers in both films are played by the same actress. Robbie got the loudest applause when the actors were introduced before the film, but when they came out afterwards, Janney's applause was equivalent to hers.The story sticks to facts and places most of the blame for the Kerrigan incident on Sean Eckhardt, played with spot-on obnoxiousness by Paul Walter Hauser. The rest goes to hubby-at-times Jeff Gillooly, played by Sebastian Stan. He handles the husband-to-a-celebrity role with a charm not seen since Eric Roberts in STAR 80.The subject matter may cost the film at awards time, but it's still an excellent movie that you should definitely check out if you have any interest at all in the story."
4,"I, Tonya",10,28 December 2017,"More than about tabloid trash, this movie should be watched","Anyone who was old enough to be sucked in by the media circus that this scandal turned into should make it a point to take a look at this film, in my opinion.The media seemed much more about the sensationalism of it all than it was about maintaining the kind of objective balance that'd presume Tonya's innocence until evidence proved otherwise. 
But being honest, even if evidence came along that absolved Harding of any wrongdoing in the Kerrigan attack, how happy would the media have been to report it? Or would we have been to hear it? Because we've got to admit that, although it might not seem very nice, there was quite a bit of fun to be had during the couple months we spent focusing on this Hillbilly girl and her bumbling husband, right? Well with that in mind, what would the thought of her innocence have brought, other than damage to the narrative we were having such fun with? Regardless of where you stand in regards to her innocence, its only fair to acknowledge that her role had been laid out for her pretty much from the get-go. Kerrigan was its hero the moment she became the victim, could we have honestly entertained the notion that maybe Harding wasn't as much the villain as seemed to befit the story? How fun would that have been? Really?In the last couple months, the articles about this upcoming movie had comment sections riddled with people mostly bemoaning the current state of Hollywood. Not the scandals, but that it'd even stoop so low as to peddle this kind of white trash story. ""White trash"" came up repeatedly of course, and while comment sections generally aren't the place to find the best sampling of voices, I personally wasn't able to find a single comment that was anything other than damningly derivative of Hollywood and/or Tonya...certainly not one suggesting the possibility that maybe there was more to this story than what we already knew. But that was always a possibility, wasn't it? The telling of a side that we hadn't heard?After seeing the flick last night, I passed along my recommendation of it to a friend, commenting that Tonya Harding's guilt might have to be re-thought. In response, I got a chuckling, ""Oh I have a hard time believing that!"" Which, sure that has to be the prevailing opinion, I'd imagine. 
But why? Do we really and truly think that we have the kind of information on the subject that'd allow for the most objective, fact-based decision on it? Have many of us ever stopped long enough to have wondered whether or not we did? The line of questioning isn't likely to be met with much more than scoffs by those who've yet to view the movie, but they're questions that end up being well begged and something that the same people may find themselves unwittingly exploring afterward. I sure have been.In the meantime, this isn't just a great movie, but a great sports movie, detailing an ice skating prodigy who love for skating drove her life, and whose life ultimately served as a testament to just how influential a class system can be that many of us are barely cognizant of even existing. 
Based off interviews and testimony from the key players in the Kerrigan scandal, watching it brings a much needed sense of balance to the story and will likely leave you amazed at how easily the truth can be blurred when viewed through the lens of sensationalized media coverage. 10/10, great movie that grabs you from its opening scene and will have you entranced throughout."
5,"I, Tonya",6,11 December 2017,Allison Janney Steals The Show In This Wild Biopic!,"Before I give my thoughts on 'I, Tonya', let me just say two words: Allison Janney. The Multiple Time Emmy-Winning Actress delivers one of the STRONGEST Performances of the year, in her portrayal of LaVona Fay Golden, Tonya Harding's Mother from hell. Janney is pure Oscar-GOLD.And now coming to the film...'I, Tonya' like any other sports Biopic, shows us a woman from being a bullied nobody to becoming a somebody in the world of sports. Over-here, we explore Tonya Harding's hardened journey, that is at times powerful & at times exhausting.'I, Tonya' Synopsis: Competitive ice skater Tonya Harding (Margot Robbie, in great form) rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband (Sebastian Stan, very good) intervenes.'I, Tonya' is about Tonya's violent journey, that started from an impossible, no-holds-barred mother to a violent, brutal husband, who eventually ruined her career. But, Tonya is not a victim of her circumstances. Here is a woman, who despite being thrown into a world of ice-skating & rigorous competition, left a strong mark. She may have not done the right things to get to the position she got, but she was a talented personality who had the power to mesmerize & inspire.Steven Rogers' Screenplay begins superbly & the personal interviews of its characters throughout the film, give it that extra edge. The first-hour is solid & gets into Tonya's world & the people involved with a wicked sense of humor. The second-hour is a little disappointing & overlong, and the sub-plot involving the 1994 attack on Nancy Kerrigan, Harding's rival and Olympic teammate, offers less impact. The Writing isn't always compelling & takes away some glory from the film, overall. The Dialogue, however, are crackling & foul to the core.Craig Gillespie's Direction captures all the madness & ambition, with skill. The Director is in good form this time around. Nicolas Karakatsanis's Cinematography & Tatiana S. Riegel's Editing are strongly done. Art & Costume Design, as well as Make-Up, deserve a special mention.Performance-Wise: Janney is outstanding & is sure to pick up many awards for her portrayal here. I wouldn't be surprised if she takes the Oscar home, next year! Margot Robbie, also is in very form, delivering a credible turn as Tonya. Sebastian Stan is entirely convincing as the violent husband. And Paul Walter Hauser is terrific as Shawn, one of Stan's friends, who leads Tonya & Stan, into much trouble.On the whole, 'I, Tonya' is an imperfect biopic about an imperfect woman. Do watch it though, especially for Janney's sterling performance."
6,"I, Tonya",8,2 January 2018,Relevant movie,"Why relevant? Until I saw this movie, in my point of view Tonya Harding was a cheat and a lowlife and this was entirely based on the media coverage of the events in 1994. Having seen the movie I feel ashamed about how easily I judged her and I realised I have to be way more careful in forming my opinion about people."
7,"I, Tonya",5,17 November 2017,"Janney shines as ""mother from hell"" but Robbie as ""trailer trash"" skating champ is all wrong for the part","I, Tonya, is director Craig Gillespie's take on the mercurial rise and fall of Tonya Harding, the figure skating champion who threw away her career through her association with an abusive ex-husband. Gillespie tells Harding's story through a series of interviews with the principals, most made up to appear how they might look in the present time, speaking directly to the camera, and insisting that their version of events is the correct one.The real star of the film is not the actress who plays Tonya (Margot Robbie) but Allison Janney, who steals the show as Tonya's mother from hell, LaVona Golden, a serial psychological abuser, who still manages to garner sympathy through her abrasively witty comments directed toward Tonya throughout her childhood and into adulthood (as well as directed toward us, the enraptured audience). One can't help sense that LaVona heaped abuse on her daughter both out of love and jealousy-love in the sense that she wanted Tonya to be more successful in life than she was (LaVona being a waitress at a greasy spoon) and jealous once Tonya had achieved the fame and recognition that eluded her mother who was nonetheless a highly intelligent woman. If it wasn't for Janney, I, Tonya, might have been a complete flop, as Robbie, the Australian actress who plays Tonya, is all wrong for the part. This is especially true when Robbie plays Tonya as a teenager-she simply looks too old to be believable. What's worse is how Robbie is unable to convey Tonya's likable qualities-that odd mixture of naivety and ""trailer trash"" aggression that initially endeared the public to her. Instead, Robbie comes off as too harsh, compromising her attempts to convey Tonya's more vulnerable side. While Robbie is an accomplished skater (and this is probably the reason why she was cast), I think it was a big mistake for Gillespie to use her for that reason. Without a compelling protagonist, the necessary verisimilitude is lost.Gillespie's approach, akin to the Japanese classic, Rashomon, works best when Tonya's and husband Jeff Gillooly's differing points of view are contrasted in high relief. Gillooly denied that he ever physically assaulted Tonya but that seems highly unlikely as Tonya's description of what happened has the ring of truth. At a certain point, Tonya had enough of the abuse and decided to walk away from Gillooly-she even had to get a restraining order as he continued to stalk her (once putting a gun to her head, threatening to shoot her). But why did Tonya feel that she needed to go back to Gillooly after separating?-even though she claimed it was only a temporary arrangement. Despite being on the verge of complete success in the skating world, the old demons reared their ugly head-her crushing insecurities from her mother's put-downs and lack of a father figure-this led to her inevitable fall from grace.The bizarre plot to injure Tonya's rival, Nancy Kerrigan concocted by Gillooly's moronic pal, Sean Eckhardt, is so ludicrous that it's hard to believe that he actually thought he could pull something like this off undetected. I happen to believe both Gillooly and Harding's assertions that they were unaware that the plot was going to turn into a physical attack on Kerrigan. Gillooly insisted the initial plan was to send Kerrigan some threatening letters which might perhaps cause her to withdraw from the tournament or throw her off her game. It makes sense that Gillooly would confront Eckhardt over his lame-brain decision to have one of his confederates actually break Kerrigan's knee cap with a baton, suggesting that Gillooly had no idea what Eckhardt was ultimately up to.Much of what happens after the attack on Kerrigan, is anti-climactic. Gillespie basically presents a basic recap as to what happened as the story reaches its not so fitful conclusion. Of interest of course are the courtroom machinations, particularly Tonya's decision to take a plea bargain and accept a lifetime ban from figure skating. Benjamin Lee, writing in the Guardian, sums it up perfectly when he writes: ""The zippy fun of the first half dissipates once we reach the overly familiar scenes of the second, the focus on the harebrained criminal scheme feeling particularly sub-Coenesque. It's hardly dull but it's not quite as biting and sharply realized as it could be given the wealth of stranger-than-fiction drama surrounding Harding.""With a more convincing protagonist in the lead role, I, Tonya, might have been a tad bit more enjoyable; nonetheless, there's still Janney's performance to marvel at. And for all those who long for nostalgia, Tonya's story will bring you back to the heady days of the early 1990s, a time that feels way distant from our own."
8,"I, Tonya",8,8 January 2018,"I, Margot","I, Tonya is a movie about Tonya Harding, professional figure skater who became popular because of the rivarly with Nancy Kerrigan and incident that made her charged for. That situation made Tonya one of the most popular people in USA.This movie fulfiled my expectation in terms of biographical segment and learning about this case. Margot Robbie portrayal of Tonya is amazing and we can say this is the best performance so far for Margot. She showed different personalities of the main character from childhood to the final performance in the Olympics 1994. Tonya was so unique and she had specific relationships with two of her biggest support and in the same time stumbling stones in her career, her mother and husband.
Another pleasant suprise is Allison Janey who just won Golden Globe and will be in the Oscar race. Allison plays Tonya Hardings mother LaVona woman with really strange and sometimes harsh behaviour towards her daghter but in some way she pushed her to be good as she was.
Craig Gillespie is director of this movie and he decided to shoot this movie in a little bit cartoonish way but thats what makes this movie funny sometimes. My problem with this movie is that some scenes or should say some situations was repeated so many times in the similar way esspecially towars her relationship with husband Jeff played by Sebastian Stan. 
This movie is divided in two parts, first part refers to getting to know characters and second is about incident and resolving that case. Second part wants to show us how regular people can be stucked in complicated situation similiar to movie Fargo (1996) but this is where that cartoonish shots is the problem because we cant experience that incident and lawsuit seriously and all looks strange in the end but that is risk when you make a movie about famous person and cases of the past.
This movie with all his advantages and disadvantages is decent maybe not what i expected to be but on the other side its not 
disappointment. Margot is the star of this movie and she is big reason why this movie is good and why we will remember Tonya Harding character and personality.
I give this movie 7.7"
9,"I, Tonya",7,24 September 2017,An insider view of Tonya Harding,"Tonya Harding is known in figure skating as the 1st woman to land a Triple Axel in competition, but also for her involvement in the physical attack on fellow skater Nancy Kerrigan. This docu-drama is based on interviews from Tonya, her mother, her coach, and some of the co-conspirators, mixing them with re-creations and some historic footage. It shows the difficulty of a poor kid battling into a sport dominated by upper-middle class princesses. While mostly taking the word of the interviewees, the director inserts hints that Tonya may not be as innocent as she claims. There is also an interesting undermining of Tonya's complaint about Nancy being despondent about winning silver at the 1994 Olympics - listen for the placing announcements before the final skate.This film is 1st runner-up for the People's Choice Awards at the Toronto International Film Festival. However, for me it was marred by the use of music with lyrics at her 1st skating competition, something that would not have been allowed. On the flip side, I can accept the switch in music after she succeeds in her historic Triple Axel, as a switch from skating music to internal emotion."
10,"I, Tonya",10,18 December 2017,The Best Film of the Year,"First, I'm stating that it's the best film of the year, and I just barely care about women's figure skating. So you know that it's phenomenal. For me, it edges out ""Dunkirk,"" which was my favorite 2017 film until the night I saw it. Director Craig Gillespie is obviously a Scorsese protégé, and unlike Martin McDonagh's cheap ripoff of the Cohen brothers, he manages to pay homage to the man without imitating him. Like Scorsese (and Bob Fosse) he meshes documentary with realistic drama seamlessly well.Margot Robbie and Sebastian Stan deliver good performances. Allison Janney and especially Paul Walter Hauser deliver OUTSTANDING performances. In fact, I didn't feel like Hauser was even acting as much as he was just BEING. These performances are also a credit to Gillespie.Almost every scene is well-paced, has little ""fat,"" conveys meaning and adds to the narrative, which indicates great video editing. The editing was so good that I didn't even check the time, which is rare for me. Outstanding pacing.When I entered the theater, I didn't think that I was going to get even slightly emotional about Tonya Harding's story. But she is truly a sympathetic character without feeling sorry for herself, which is rare nowadays. Nowadays, everyone seems to be competing for who has it worst and who is the most pathetic victim. In Tonya's world, it's just her life, and it's presented as factual rather than maudlin and soap operatic. As Tonya basically says at the end of the film, ""s--t happens. Deal with it."""
