,title,stars,date,r_title,text
0,Jack and the Cuckoo-Clock Heart,7,9 July 2014,Just... a gem.,"I generally like animation movies, ever since Shrek I guess. This one is quite amazing. It's not your typical Disney, or Pixar production. It's French, Belgian production, and you can see cultural differences influencing it, especially music and songs. I just loved the first duet of the main characters. That tune is so catchy, melody will surely get stuck in your mind.How great is it, that we live in the world with so many different cultures. Unfortunately world is becoming more and more bland, end everything you see seems to be the same....but occasionally, you find a gem like that.It's different so it may not be to everyones liking. OK so that's the good, the bad is, story kind of drags on at few moments. Anyways it's worth checking out, even if just because of the style.It's rather aimed at adults as a sort of animated art form musical, but kids should enjoy it too."
1,Jack and the Cuckoo-Clock Heart,9,4 February 2015,An Animated young Love story for VERY Mature Teens & Up,"As many other reviewers are noting...This feature is NOT for Kids. Not because of inappropriate trashy stuff: There's no cursing, no nudity, no anime-kiddie-porn, and none of the usual over the top violence we've become used to in general Kid animated features (Explosions, etc) Rather, it's the unpleasant emotional issues of acceptance & affection and Life & Death that are front and center. That said, the story of a baby born with a frozen heart that's replaced with a cuckoo clock is richly detailed, with some very well written songs and a story line that moves with a brisk pace. The animation of the fantasy Clockwork-Victorian world is visually exquisite.But be warned: This is no Disney scripted place where everyone has a happy ending. There are dark moments that will lead to a poetic and poignant place.Even if you don't have kids (Teen or otherwise) to consider...this movie is a beautifully crafted piece of light drama for Adults to enjoy on a nice rainy or snowy Sunday Afternoon."
2,Jack and the Cuckoo-Clock Heart,10,10 February 2014,Grandiose,"This film is full of poetry, of sincerity, of lightness embellished by intense emotions and sensations. The world of Dionysos is incredible. This is an animated film, but so much done for adults to me. / Spoiler / The fact is that I was truly surprised by the young age of these lovers! So much maturity in such young minds. By thinking more deeply, it is true that with everything that has happened to him, he could be full of maturity, but he never leaves home before so long, he does not have many life experience. .. It is perhaps precisely what makes it great and innocent maturity. All told, this age might be well suited. / End spoiler;) / A wonderful not to be missed movie!"
3,Jack and the Cuckoo-Clock Heart,,2 September 2017,admirable   work,"it is one of films who you expect. for long, long time. because, in a beautiful, touching, unique form , it is a film about yourself. and this is the most important thing. it is a trip in the heart of childhood, the old fashion childhood. and this transforms it in a gem. the source of its special spell/magic - the great work of Mathias Malzieu. . his novel. his adaptation. and, his Jack. it is difficult to define it. it is not perfect and this is one of basic good things. it is not Pixar or Disney and this is the second virtue. it is a meet with well known characters from old, oldies stories . and it is enough. because, in fact, it is a an admirable game of imagination."
4,Jack and the Cuckoo-Clock Heart,10,2 June 2017,lol,"//SPOILERS//Starting off I thought maybe I'd enjoy it. Seeing the prego lady I was instantly concerned. Her baby came out as a fully grown toddler, someone send her prayers???? THEN she goes ""YEET"" and leaves her baby with some old lady who needs a hairstylist, and collects tears on the DL. She also takes out his heart and replaces it with a clock but idk if that is important. Then this kid goes out and falls in love with this Spanish chick cause they sang together for .000005 seconds (send her prayers too cause like random thorns kinda pop up all over her ????). THEN Edward Cullen shows up and he spittin fire like DRAKE. AND THEN Jack the FREAKING RIPPER shows up on a train. I was like HOLD UP, can we just PAUSE for a second. THIS KID j CHILLING on that train, and JACK the RIPPER starts singin him a song. I think this kiddo was a little suicidal cause he killed himself???? idk. He climbed snowflakes.////SPOILER OVER////If you wanna see a movie that gives you whiplash worse than a whip givin you a lash, then be my guest."
5,Jack and the Cuckoo-Clock Heart,10,2 June 2017,?????,"OKAY SO ///spoilers/// from the get-go this movie showed glaring red flags. from the witch lady who replaces his heart with a clock??? does he have a circulatory system?? what is happening? and then after a huge amount of other concerning things, such as a British Edward Cullen (???)basically bullies jack and in the process his eye is stabbed by the cuckoo, jack the ripper pops up, its casual. he's singing about slaughtering people, as jack the ripper does, you do you, bro. there is some weird stuff with a french dude who falls in love with a two headed lady at a literal freak show. and then when you think ""this couldn't get worse, right?"" he turns suicidal and decides to throw away his life and climb the snowflakes, ""wow."" ///spoiler over/// if you are on the hunt for an unintentional Rom-com that will make you laugh harder than twilight purely because of it's awkward and unexplained possibly nonexistent plot (thorns????????), then this is the movie for you, Fam."
6,Jack and the Cuckoo-Clock Heart,9,28 February 2015,Moulin Rouge + Hugo + Frozen= This amazing film,"While the dialogue is a little muddled due to its French and English combination, that seems to be the only flaw of ""Jack and the Cuckoo-Clock Heart."" The animation is simply incredible. As George Melies, a character in the story, would put it: ""A labor of love down to the last detail!"" The characters themselves look like porcelain dolls, and the story is so captivating with its stunning visual effects and dream-like sequences. You are immediately drawn in by the active imagination of the hopeless romantic protagonist, and the struggle he faces while living with a mechanical heart. This film touches upon the same kind of romance as ""Moulin Rouge,"" the stunning aesthetic of ""Hugo,"" and the complexity of ice and love in ""Frozen."" At first glance it may look silly, but after giving it a chance, I was not disappointed. If you love musicals, animation, and a story that is heartwarming as well as heart wrenching, then you will absolutely love ""Jack and the Cuckoo Clock Heart."""
7,Jack and the Cuckoo-Clock Heart,5,2 July 2014,Animation within an animation,"The porcelain characters were convincing; so much so they were able to bring the more cartoon- like Tinkerbell type character in over the top. I thought wait a minute that is animation within an animation. There were a lot of good elements. I liked the carnival scenes. It needed more suspense though. It dragged slightly towards the end I felt. It seemed too young for adults to watch and too old for children; and probably a tad insipid for teenagers.I wasn't sure whom it was aimed at. Some kids would lose interest and some adults would too for different reasons. It was a sincere movie and the animation was different and interesting. But somehow the story was a bit unconvincing even if you suspended your disbelief to enjoy the movie. I mean I bought into the movie to enjoy it but it did not grab me enough with any compelling elements or drag me along enough. It had a lot of good original components and ideas. but it needed more suspense and it did not create enough concern for the characters. But to be fair I kept thinking,""get that key back'. It seemed to sacrifice the overall plot in preference to style. Indeed it was very stylish animation. I don't think it will be a cult film in America because the English accents might be a bit foreign sounding for United States audiences to engage with. Its good but something indefinable seemed to be lacking. Yet it could have just been my own obtuseness. There were many things I liked about it but the story itself did not really take hold of me."
8,Jack and the Cuckoo-Clock Heart,10,15 November 2014,Amazing!,"I loved this movie so much! The music is beautiful, and there is such a wide variety of music genres/styles as well. I definitely recommend it, and it is for sure my favorite movie! However, my two younger sisters who are 5 years and 4 years of age were not able to sit through it, though that might just be them. It is not like a Disney princess movie or anything on NickJr. The movie is very surrealistic, so if you don't like that type of thing then I do not recommend this to you. If you are thinking about watching it, maybe look up a few of the songs and watch those before deciding if you would like to watch the movie or not. I really do think it was brilliant!"
9,Jack and the Cuckoo-Clock Heart,3,11 September 2014,"Bad when they sing, average when they don't","Out of curiosity, I watched both the French and the English-dubbed versions. The latter is slightly worse than the former, which isn't very good to begin with, except for some bits.It's an animated musical, written and directed by Mathias Malzieu. The score is a rock album released in 2007 by the band Dionysos, in which Mr Malzieu sings. The album itself is adapted from a novel written by... Mathias Malzieu. Who also leads the cast of the movie. And like most multi-tasked artists, he isn't very good. I can't talk about the novel, but the movie's writing is poor. At least, the man sings in tune.The worst of it all is definitely the score. The music is rather unpleasant and often out of place, but the French lyrics are so bad that they make the average lines of Grand Corps Malade sound good by comparison (the man wrote his own pieces.) When the French sing in English, it's even more ridiculous. The lyrics of the English version are also poor, but not because they lost something in translation.The French cast is very uneven. The many artists invited to perform on the album also play their parts in the movie. Sure, they can sing, but some of them have no clue about acting. When seasoned veteran Jean Rochefort shows up as Melies, it's like a breath of fresh air. He steals the show and makes the film suddenly watchable. Unfortunately, the English version loses him, and all his charm; it also loses a few good voices for more neutral ones.The animation is subpar for a French product, but not always. It plays with different styles along the story, sometimes with great effect.Too bad it's a musical. It could have been good otherwise, losing the annoying songs and replacing some of the cast with proper actors in the process. That and some work on the script."
