,title,stars,date,r_title,text
0,Lady Bird,9,4 January 2018,Saoirse Ronan shines,Saoirse Ronan has the ability to get the viewer's sympathy like no other actress. Her sweetness just makes all she is going through so much more involving and moving. The subject matter is a young girl in high school discovering relationships with boys and struggling with her very strange mother played by the excellent Laurie Metcalf. Things like this have been done before but never quite so lucidly. Watching her deal with her gay boy friend then the douche bag boy friend then her difficult mother are played out in such a spontaneous manner with very well written natural sounding dialog. Makes you want a part 2.
1,Lady Bird,8,27 December 2017,eight for great,"Lady Bird is a good indie movie. The cast is great, especially the lead.
Thank you Greta, for making a ninety minute movie! I give it eight coz it is excellent. I take away two stars because of cliched identity politics and because of Lady Bird's Mom who keeps referring to hers and others social status."
2,Lady Bird,9,18 December 2017,Character Is The Thing,"How refreshing and invigorating to meet new people. Familiar and new all at the same time. Familiar because the extraordinary Saorise Ronan connected me to her soul, as soon as she appeared on the screen. Remarkable. She is, without question, one of the best actresses of her generation. She has exceptional support here, Laurie Metcalf as the mother determined to keep her feelings at bay, Lucas Hedges, providing one of the most moving, truthful moments in the film and allowing Saorise Ronan to give us a masterful class in empathy. Timothee Chalamet proves in a very short space of time that he is here to stay. His Elio in Call Me By your Name will be considered one of the great breakthrough performances in film history. Tracy Letts plays the father with irresistible humanity and then, of course, a heartfelt congratulations to the writer, director Greta Gerwing -"
3,Lady Bird,7,11 January 2018,Inspiring Film for Teenagers,"""Lady Bird"" is an inspiring film for teenagers and practically the directorial debut the unknown Greta Gerwig, who is also the writer of this sensitive coming of age story. Saoirse Ronan has wonderful performance in the role of Christine 'Lady Bird' McPherson, a teenager with typical adolescent problems. Troubled relationship with her mother and siblings; high-school pranks; romance; sex; disappointments with boyfriends and friends; financial problem; dream on going to college and improving life, all these elements are realistically explored by Greta Gerwig, maybe based on her personal experiences in Sacramento. The optimist conclusion with the growth of Christine is another plus in this original film. My vote is seven.Title (Brazil): ""Lady Bird: É Hora de Voar"" (""Lady Bird: It Is Time to Fly"")"
4,Lady Bird,,4 November 2017,Sweet coming of age story with quirks,"Greta Gerwig has been an ""it"" girl on the indie scene for several years. It may be a bit ironic that her most acclaimed movie would come when she stepped behind the camera with LADY BIRD (she previously co-directed NIGHTS & WEEKENDS, and co-starred as well). Here, Saorise Ronan is the stand-in Gerwig as a character named Christine, who like the real Gerwig, is a rebellious teen in Sacramento California who dreams of New York City.Christine has re-dubbed herself ""Lady Bird"" and is going to a Catholic High School and is going through all the usual growing pains. Grewig has made a name for herself with her quirky characters and there's more than a bit of that to wade through here. It takes some time to get past the notion that Ronan is giving her own performance here and not just doing a Greta act (similar to many a Woody Allen lead performance by 'substitute' Woodys). As fiercely individualistic as Gerwig is as an actress, Ronan gives Lady Bird a bit of a softer and more vulnerable side that is more effective than if Gerwig had performed it herself. Kudos to her for embracing it.Most importantly, Gerwig does an excellent job at keeping the movie rolling along at a brisk 93 minutes, with some scenes being literally seconds long - nothing self-indulgent here (although there is a scene or two that could have been allowed to breathe a bit). The cast, including several young actors is uniformly fine. Laurie Metcalf as her tough mother could have used a little leavening. As written and performed, she comes off a bigger harridan than is what was likely intended. Some of the offbeat mumblecore touches stick out as unnecessary, but, what separates LADY BIRD from so many of them (including, frankly, a number of Gerwig's movies), is that there is genuine heart and compassion here, not just ironic detachment. Further grounding things is a keen appreciation of middle class life with the scenes of shopping at thrift stores, window browsing for homes they can't afford etc. - or, as Lady Bird sardonically refers to it: ""Coming from the wrong side of the tracks."" Credit, too, for not ending in the conventionally expected way. Just a warm sigh."
5,Lady Bird,8,26 October 2017,A Meditation on Place and Family,"Lady Bird was very well-received at its local premiere at the Paramount Theater for the Austin Film Festival. I found it to be a sweet, charming coming-of-age film. It is a serious film, but with flashes of humor. Greta Gerwing wrote and directed the film which seemed to be partly autobiographical in that she grew up in Sacramento, CA at about the same time as her character. The film is a meditation on what it means to be from some place and what that idea of home means in shaping who you become. She has a love-hate relationship with her city, her family and her place in both. It is also very much a story of young girl struggling with her own and her mother's expectations for herself. The script is really charming with the best scenes being those of Lady Bird and her mother. Lady Bird is struggling with sexuality, family, friendship, religion and even her own name all at the same time. Like all of us, she is trying to find her place in the world. Saoirse Ronan is excellent as Lady Bird as is Laurie Metcalf in the role of her haggard struggling mother trying to hold her family together through difficult times. Recommended to those who like drama, particularly coming-of-age films."
6,Lady Bird,6,19 November 2017,Mothers and Daughters and growing up in Sacremento.,"Greta Gerwig, usually disappoints me - as an actress and now in her writing and directorial debut, LADY BIRD, a coming-of-age film about a seventeen-year-old girl growing up in Sacramento ""the Midwest of California"" (the best line in the film,) and the love/hate relationship she has with her working-class family and peers. Social distinctions figure prominently in Gerwig's cinematic world of ""ironic class strivers."" I keep wondering why I am left cold by her words and her characters and eventually understood that LADY BIRD is too self-consciously trying to be inclusive - inclusive of every contemporary issue - touching upon a diversity of characters and situations with momentary episodic flashes.The touch is light, illustrating concerns rather than delving into them, giving us tokenism - glossing over deep pain and longing with a CliffsNotes diminution.Saoirse Ronan is excellent as Christine ""Lady Bird"" McPherson - a nickname she gives herself to appear distinctive. I am sympathetic to the aspirations of a young, self- involved teenager searching for a path to glamour and excitement. Youth is an innocent time - one open to endless fantasies - reality has not yet penetrated the hermetic world of dreams. The ""firsts"" of the teen years - first kiss, first sexual experience leading to the loss of virginity, first self-awareness of one's own ethical and moral values, and the critical realization that the world is not always spinning for you alone - solely for your personal gratification.The film opens with Lady Bird and her mother - a wonderful performance by Laurie Metcalf - who is driving and listening to Steinbeck's Grapes of Wrath on audio tape - both simultaneously weeping, moved by the beauty of the spoken words; their mirrored responses reflect their enduring affection. And suddenly the mood is shattered and we see the other side of their relationship - a mother who works double shifts as a psychiatric nurse to supplement the family income so that her daughter can go to a private Catholic school; the burden of monetary expenses weighs heavily on her shoulders. The ever-present resentment that comes with sacrifice is often unleashed on her oblivious daughter in a torrent of sarcasm, humiliation, and disparagement.Greta Gerwig is at her best in the scenes between mother/father and daughter. A lovely tenderness exists which is often choked and stifled by the exigencies of financial straits.The underpinnings are there for a truly fine movie, but in the rush to cast a wide net, Gerwig compromises her subjects' humanity, placing a veil of bromides over what could have been profound interactions. Maybe next time. I hope so."
7,Lady Bird,7,29 December 2017,Good Directorial debut !,"When you hear all the fantastic praise that a new Oscar bait film is getting, you should probably watch it. Even though I'm personally not the target audience or demographic for this film I still ended up liking the film quite a bit.The biggest accomplishment and positive in the film is the directing by Greta Gerwig, which for a first time directing is an outstanding achievement. You honestly would not be able to tell if this was directing by an all time great or a newcomer. She has done an amazing job directing the film in this regard it has no faults at all. With this being her first film she has an extremely bright and interesting future ahead and I'm definitely now keen to see what she does next. The other main positive of the film are the performances which across the board are fantastic, however there are a couple of standouts. Firstly Saoirse Ronan who is fantastic in the film and brings such heart to the character of Lady Bird. For me personally this is one of her best performances that she has done and only increases her reputation. Hopefully this will open up the door for her to get bigger roles more often, she is brilliant. The other standout in the film is Lady Bird's mother played by Laurie Metcalf, she is again incredible in the role and brings elements to her character that I think everyone will recognise in their own mother. She hopefully will get some awards buzz and maybe even a nomination.Unfortunately though and I know that this is my own personal problem and fault that I feel this is film maybe a little overrated. This is partially to due my fault because well this isn't my type of film, I know thats not the films fault. I could never really connect to the story of the film but again thats my own opinion and fault, but I can understand how and why people really do connect with the story. Lastly the film is good is just nothing amazing or ground breaking in any sense so thats where I'm a little......not disappointed...... let down by the film because I was expecting a lot more considering the praise. Overall its 70% out of 100 or 7 out of 10 its a good film and its a brilliant starting point for Greta Gerwig's directing career. As well as bringing us great directing it gives us two great performances that will really leave an impression on you after watching it. However because I couldn't connect to the film that much it didn't hit me as hard as it should emotionally, but again thats my problem really not the films. Best directing Oscar Nomination?"
8,Lady Bird,10,10 January 2018,Seems to perfectly capture a time and place in a certain person's life.,"'LADY BIRD': Five Stars (Out of Five)An indie comedy-drama about a high school senior that's trying to deal with teenage life, while living with her overbearing mother in early 2000s Sacramento. The film was written and directed by first time feature filmmaker Greta Gerwig, who also co-wrote 'FARANCES HA' and 'MISTRESS AMERICA' (with director Noah Baumbach), which she also starred in. It stars Saoirse Ronan, Laurie Metcalf, Tray Letts, Lucas Hedges, Timothee Chalamet, Beanie Feldstein, Stephen McKinley Henderson and Lois Smith. It's received unanimous rave reviews from critics so far, and it's also been nominated for multiple prestigious awards as well. I really enjoyed it. The story is set in Sacramento, over the school year of 2002 and 2003. It revolves around a senior named Christine McPherson (Ronan), who has changed her name to Lady Bird. Lady Bird struggles to get along with her overbearing mother (Metcalf), and she applies to multiple colleges outside of Sacramento, against her mother's wishes. She also struggles to get along with the other students at her school, and romantic relationships with boys her age are especially a challenge for her. The story concludes with Lady Bird going to college, and you'll have to watch it to see where she ends up going.The movie is a great coming-of-age tale, that seems to perfectly capture a time and place in a certain person's life. Ronan is awesome in the lead, and Gerwig definitely proves she's a talented filmmaker as well. The film is funny, sweet and it touches on a lot of important issues, I think, to a young person Lady Bird's age. The relationship depicted between her and her mother is also really touching at times too. I definitely recommend it."
9,Lady Bird,7,7 January 2018,Metcalf gets the most praise in this fine fiilm about life,"Christine McPherson aka ""Lady Bird"" (Saoirse Ronan) is in her senior year in a Catholic school in Sacramento, California and desperately wants to go to a liberal college in the northeastern US. This causes conflict with her mother Marion (Laurie Metcalf).Lady Bird is someone who can be inconsiderate, selfish, insecure, good-hearted, ambitious beyond her abilities, naïve, fun, and able to redeem herself. In other words, she is a confused teenager on the cusp of adulthood and Ronan plays the part superbly.Like the recent ""Florida Project"", ""Lady Bird"" is a series of short scenes that collectively make a fine film. It has sharp directing by Greta Gerwig who also wrote the screenplay. There are also engaging sidebar stories including other characters that add greatly to the main mother-daughter conflict: the despair of losing a job later in life; financial burdens; periodic depression; the inner-conflict of being young, gay, and Catholic; the futility of social climbing; the belief that ""there"" is better than ""here"".The coming-of-age genre is so common that it's difficult to raise the bar. ""Lady Bird"" at least meets the standard and then some though it could have been more. In fairness, the two lead performances do stand out especially that of Metcalf. She shows so much push-pull with her daughter while trying to come to grips that her daughter will soon leave home. She also has the brilliant ability to let the emotions build gradually and then attempt (as we do in real life) to resist them until the attempt is futile. No wonder Metcalf is winning so many awards and award nominations. While she gives a rich performance, I believe the film would have been greater if she had been given even more screen time."
