,title,stars,date,r_title,text
0,Lady and the Tramp,7,2 June 2002,Simple and often lovely,"Fairy tale about the romance between two dogs from opposite sides of the tracks gets colorful, warm, old-fashioned Disney treatment. Cinemascope cartoon unfolds with valentine-like flair, all the ribbons and bows are in place, yet the requisite cutesy flourishes and manipulation inevitably turn up (one dog, thought to have been killed, shows up LIMPING in the next scene!). Yet, it's hard to complain when the rest of the pieces fall into place so snugly. The plot is, by turns, comfortably predictable and still pleasingly reassuring, though a bit heavy with incidental chatter. The Peggy Lee music is delightful, and the ""Bella Notte"" sequence alone, with the spaghetti, breadsticks and the drippy candle, is simply superb. *** from ****"
1,Lady and the Tramp,,19 March 2001,One of the Greats,"I grew up watching this movie. I consider it a wonderful movie for both children and adults to watch. While many of today's animated Disney movies are aimed at kids, this movie is from a time where adults were primarily the target audience. This movie lacks the 'kiddie' humor and tells a wonderful tale of genuine emotion and compassion. The love story between two non-human characters removes most bias that we automatically impose upon human characters. I feel that few movies will ever match this one in quality."
2,Lady and the Tramp,10,22 January 2000,The Life and Loves of our Best Friends,"There is nothing as wonderful as the wag of a dog's tale.  The writers, actors and animators, together with Disney magic, capture the unique and limitless variety of personalities that exist in the canine world.   This film takes these wonderful canine characters and shows the world from their perspective. The adorable footage of Lady as a puppy reminds me of the behavior of my own hounds when they were pups.    The beautiful ""Park Avenue"" Lady grows up and falls for the happy-go-lucky, vagabond, Tramp. Add a dog-hating aunt, a baby, some cats, some rats and the adventure is complete.  The songs sung from the dog pound together with those sung by the wicked Siamese cats are the most purely fun of any Disney animation. The song sung at the lover's romantic Italian dinner brings a tear to the eye. Finally, Lady and the Tramp share a spaghetti noodle that leads to one of the most memorable kisses in Hollywood history.  This is a wonderful film that will be enjoyed for generations."
3,Lady and the Tramp,8,14 December 2003,A CLASSIC,"If this film isn't a classic, I don't know what is! This is a great story about two dogs who fall in love, although they're from different sides of the railroad tracks, so to speak. These dogs act more human than many humans do. It's heartwarming, humorous and just plain clean family entertainment! This is a film that has stood the test of time and passed with flying colors. This is one to BUY and keep! So what are you waiting for? Go buy it!"
4,Lady and the Tramp,8,23 October 2005,Cute/Romantic Canine Film,"Lady and the Tramp, one of my favourite childhood movies, goes down as a classic animation and one that I am sure is enjoyed by children today. Who doesn't like watching cute animals with large, kind eyes? Lady and the Tramp is about love and sacrifice, bringing together a posh female dog with a homeless stray, who is sexy in his own right. Also included are the memorable Siamese trouble-making cats (Peggy Lee) and the wonderful candle-lit scene where are lovable heros enjoy spaghetti. This film should be enjoyed and treasured for years to come. It's gone down in Disney and film history. Although made for children, there isn't any reason why adults cannot enjoy this film."
5,Lady and the Tramp,,26 April 2001,"Charm, humor, songs, great animation...what more do you need?","One of the few Disney cartoons at this period not based on a famous piece of literature--so at least no one can complain that it doesn't do justice to the original! It's an unpretentious little gem, told from the viewpoint of the animals and against interesting backgrounds with superb animation and vocal work. Cat lovers may find it painful to watch how sinister the two Siamese cats are depicted--but not if they have a sense of humor. Actually, the 'Siamese Cat Song' is one of the highlights of Peggy Lee's novelty numbers. 'Bella Notte' and other simple melodies are integrated nicely into the plot with satisfying results. This was the first Disney cartoon made in Cinemascope so the artists had to fill a broader landscape for the camera to photograph. And yet, the transfer to video on VHS format is extremely well handled--you don't feel you're missing anything. I believe the film is also available in letterbox but I find the VHS print I own to be more than satisfactory. Delightful Disney classic for young and old alike."
6,Lady and the Tramp,,16 May 2003,An all-time classic favorite!,"""Lady and the Tramp"" is indeed one of my all-time favorite Disney movies. I just love every single bit of it! The story, the characters, the music, the stunning animation style...everything is amazingly done!
This is exactly what today's Disney flicks have been lacking- they don't recapture the spirit and magic of the original Disney masterpieces like this movie and the other Disney classics such as ""Bambi"", ""The Aristocats"", and ""The Fox and the Hound"", except for contemporaries like ""The Lion King"", ""Toy Story"", ""Tarzan"", ""Beauty and the Beast"", and ""Mulan"", which are still well-set up. Okay, back to ""Lady and the Tramp"". This movie deserves ten out of ten stars, and those of you who haven't seen it yet have gotta watch it.  It's not presented only for the youngsters, but also for those who are young at heart. If you really enjoy it as much as I do, don't miss the astounding follow-up to the original in the delightful ""Scamp's Adventure""!"
7,Lady and the Tramp,,3 July 2002,Outstanding Love Story.,"Yet another winner from Disney about an upper-class dog who falls for a mutt from the streets. The timeless love story works just as well on a feature-length cartoon as it does with live-action fare. The animation is first-rate, the characters are fun and the songs will stick with you long after the movie is seen. Great entertainment for all ages. 4.5 out of 5 stars."
8,Lady and the Tramp,,17 October 2005,A fab soundtrack,"Peggy Lee was a national treasure. What an amazing thing that she wrote most of the music for this movie, but only in old age did she receive credit. I agree that issues of class seem merely consistent with the era, but consider that the flavor of the day was vanilla. So in those days going out for Italian was a walk on the wild side (unless you grew up in Brooklyn)! Then an upper-crust girl marries a boy of mixed race origins?! And it's clear from the dog pound scene that Peg ""got around"" (just look at her hair!), nevertheless, she was valued and respected among the dogs. Yes, the film is hokey. But rats are evil. And the soundtrack is outstanding."
9,Lady and the Tramp,8,22 January 2006,She's from the leash and license set... he's footloose and collar free!,"''Lady and the Tramp'' is one of the most adorable movies from Disney, and until I read in IMDb, I would never guess that it is from 1955! I always imagined it to be from the 70's, I don't know exactly why. Lady is a cute golden cocker spaniel that was a present from '' Dear''(the husband) to '' Darling'(the wife) at Christima's. She was threaded very well since she was a puppy and is an adorable dog that loves to spend her time with her owners. Two of her best friends and neighbors are Jock and Trusty. One day, Tramp, a god without a breed and without a license goes to the wrong side of the town (the rich side) and ends up meeting Lady. She stays scared with his lifestyle, but at the same time she could not avoid fallen in love with the experienced dog. They fall in love at the same time that Lady is having problems at her home ( Darling is pregnant, so, nobody in the home really cares about her as before). But her love with Tramp will have bad consequences, being the first one being caught by the Dog Catcher and knowing more things about Tramp that she actually would like..."
