,title,stars,date,r_title,text
0,Logorama,8,5 February 2010,A bitter-sweet satire of our commercial world,"Logorama is a simple satire but one that does well to capitulate almost a century of corporate culture. It's brought to life by segments of colorfully animated rotor-style 3D animation which punctuates the style of logos with cell-shading. The film's lack of a coherent story is in itself a nod to brainless blockbuster entertainment as it is filled with a number of over-the-top action movie nuances. In light of this, the short has some entertainment in the form of crude comedy and action, but this is all some-what diluted by the shear intended chaos of the film. In the end, the film did a decent job of pointing a not-so subtle finger at the potential of social decline due to an inundation of consumer culture that feeds on the one thing it promotes."
1,Logorama,10,19 February 2010,"If I were a betting man, I'd put all my money on LOGORAMA.","The last several years, I have gone to special showings of the Oscar-nominated shorts--both live action and animated. I am very fortunate that I live in an area where they have these showings. I am predicting here BEFORE the Oscars are announced that I think LOGORAMA is the odds-on favorite to win out of the five nominees. While I have a few minor misgivings about it, it was an incredible film and is among the most creative and amazing shorts I've ever seen. However, this film is actually my second favorite of the shorts and I still am pulling for THE OLD LADY AND THE REAPER, but it's the sort of film that's unlikely to win. Plus, I have found that if a short is my favorite, then it's bound to lose!! If you are looking for a short with a deep story or that makes a lot of sense, then do NOT watch LOGORAMA. It will probably make your brain hurt if you try to make too much sense out of it. However, it is one of the most stunning films visually and the concept is just brilliant. It consists of a magical land where everything is logos--advertising signs and figures used throughout the world. Here, the AOL man, Bic pen man, Bob's Big Boy and many others live and the buildings, wall, etc. are all advertising logos. And, interestingly enough, Ronald McDonald is an evil psychotic!! This, however, is not the reason that this film was shown last after a special warning appeared on the screen indicating this last film was not appropriate for children. It's because the film is very violent and the language is amazingly harsh. Little kids might be traumatized to see the characters acting in a very R-rated manner!I really wish, however, that they'd shown the movie in French with subtitles--as I assume the version I saw was dubbed into English since the film was made in France. If there is no French version or if you know how I can find it, let me know.Aside from a relatively weak narrative and language that could have been toned down a bit to make this a better film for a wider audience, this is a brilliant film and I respect the great job they did. As I said, I won't be surprised if it's picked and can easily live with this result...as I had a great time viewing it.By the way, for all you ""Futurama"" fans out there, look carefully--there is a logo for Slurm Cola during this film!! Pretty clever!UPDATE (3/7/10)--well I picked this one correctly. Too bad I wasn't so talented when it came to Best Live Action Short! I was really wrong there!"
2,Logorama,,21 February 2011,"Clever, stylist and satirical  all in an engaging, smart and fun way","In a city made completely of corporate logos and branding, two cops shoot the breeze until they spot a fugitive from justice and give chase leading to a cataclysmic conclusion.Whether or not it is intended as a commentary on the nature of American ""culture"" (and I think it is), this is a remarkably well made short film that mixes clever ideas with a real understanding of the genre that they are using as a vehicle to their satire. To deal with the surface first  this film is very clever in the way it utilises brands and logos in every aspect of the world it creates. Not all of them will be recognisable but the design of them will make them unmistakable as brands even if the names escape you. It is startling how many you will recognise and, while some have complained that the film is little more than a game of ""spot the brand"", I did think that the high hit-rate was perhaps part of the point and it was a point well made.If the film was only a cleverly use series of logos then perhaps this may have been a valid point, but the short goes onto to spoof American movies and culture by delivering all this in the middle of a high-octane crime thriller where everything goes up to 11 and, if it can be destroyed in glorious Technicolor, then it is. It gets this spot on and shows a real understanding of the genre. OK the Tarantino-esque chat is a little obvious but past this the direction and framing of the shots and ""camera"" movements could all be taken straight out of many blockbuster action movies  movies perhaps that are accused of product-placement with their cars, watches, drinks etc etc. In this way the film actually engages beyond ""spot the logo"" and ""isn't America morally bankrupt?"" because it delivers an exciting action short with plenty of movement and style.I really was surprised by how enjoyable it was. I would have liked it to have had a bit more teeth in regards the satirical aspect to it but this part still did just about work for me. Beyond it though I can understand why some did see it as all style and logos because the logos are used really well and the style is genre-perfect. A very clever short film that deserves credit for not wallowing in the smartness of its idea or for being snide or acerbic in its commentary."
3,Logorama,10,7 March 2010,Logorama -My first Oscar prediction!,"I honestly felt the Wallace and Gromit short would win, although I felt Logorama hit a lot of social buttons for me. A touch of Tarantino and the visual dreck of our Corporate world turned on its ear. It was base, and crude, and oh so American. This is a wonderful poke at the 'freedom fries' period of consumption in this glorious nation of visual icons constantly being force fed to anyone living in consumer society. Brilliant color,fast pacing,clever to the nth degree. Leave it to French artists to hold the mirror up for all of us to see. Some will not want to watch, and if they do may not get it. Not being trained in the cyber style of animation, I was very impressed with the short. Kinematograph was deserving of more than just a mention, but with 32 entries I can't imagine having to select from the field. Runaway was a lovely poke at society as well. If the animated shorts are available to you, run-don't walk - and experience all of them. 'I'm lovin' it' means much more for me now."
4,Logorama,10,20 June 2010,Clever and ultimately humorous depiction on a small planet in the Galaxy,"Bringing together all things that make run the much maligned global economy, Logorama is comprised of satirical characters, every single one representative of a well known brand and, of course, borrowing some of its traits / values. Making fun, intelligently none the less, of what we have come to recognize as (social) values is always a public draw, as you might imagine. Also having a moral to story is a plus, and it's probably what makes this movie so good and so appreciated.What needs to be said is that the authors of this short film are French, I don't know how much they have come in contact with American Society, but their depiction of it is very accurate, even if at times hyperbolic. The script is constructed as that of a box office hit, complete with a villain (Ronald McDonald), tough cops (Michelin characters that make you think, image wise, of donuts eating police officers), and is somewhat chaotic, but I see it as an irony to the recipe of block busters grossing billions of $. The ending to the film - the earthquake followed by the ""apocalypse of petrol"" - make it seem like a very intuitive prediction (the film was made in 2009) of what has happened this year (Haiti + Balkan Petroleum). With the characters being profit motivated, walking clichés, violent and blood thirsty, the aftermath - destruction, disasters - is easy to anticipate, although sad.And what the story amounts to, a Noah's Arch type of apocalypse, is very well put into perspective by the zoom-out end: we're just a dot in the Milky Way Galaxy.. Insert Registered mark logo here, of course..When it's all said and done, the movie is well made, accessible to all ages and a great run of humorous inter-texts.Calin Radulescu @ Shorts Up Romania, June 2010"
5,Logorama,7,11 August 2014,This is a good sign. Logorama is pretty interesting and intense movie. That's what I call branding!,"I appreciate how well done this French made piece was executed, and love the way, it looks. The movie is visually beautiful to watch. Directed by François Alaux, Hervé de Crécy & Ludovic Houplain, the movie had at least, two thousand logos and symbols that made up this huge computer animation world of Los Angeles. It really shows that a film about animation logos can be made right. 2012's Foodfight & Branded should had honestly, look at this film as an example, on how to do, their film justice when they were producing their own films. Still, the movie isn't without faults. While, the movie has plenty of action and humor, the movie lacks a good solid story. It seem like they were cramming way too much visual things to look at, without thinking, once how to make a film out of it. The movie create three-stories that are going on. One is the story of two cops (Voiced by Bob Stephenson and Sherman Augustus) chasing down a fugitive (Also by Bob Stephenson) from justice. The other story is about two children (voiced by Joel Michaely & Matt Winston) trip to the zoo, and the last is a story of a waitress (Voiced by Aja Evans) trying not to get sexual harass from a customer (Voiced by famous director, David Fincher of 1995's Se7en fame). All of the character do intercut, but none of the characters are truly that develop in this 16 minute movie. The plot seem to jump around, way too much and felt unsure of itself on what the story is about. Make sure you have an overall goal or point to your story. There needs to be a reason for telling the story. Half of the time, I'm watching it, I'm trying to figure out what the film is trying to say with its satire tone. Is corporations destroying America? Is God angry at how corporations replace him? The movie seem to have hidden messages about greed, religion, environment and others. The movie even had metaphors for Katrina disaster, the raiding of the Middle East for oil, and others. There were so many brilliant references from start to finish. Liked how the Michelin Men, were chosen because of their perception as tough, while as a caricature of American policemen due to the long held notion of them being overweight. I like how Weight Watchers bringing down McDonalds and Ronald McDonald crashed into the American Cancer Society! Whether or not, the film is intended as a social commentary is up to question. Still, you can see that the film is trying to show something. They should had keep the main plot simple, in my opinion. If there is too much going on, the general population won't get it. Think accessibility, not complexity. Have one character with one story arch. Another thing that people might not like about the film is how offensive it is, it does conveys a very narrow-minded view of America. The whole Quentin Tarantino type dialogue is a trip and works to make these characters into human like, but none of the corporations here are put into a good light. Why is every logo characters in the film, made in negative stereotype? Honestly, the over the top gay stereotype of Mr. Clean was just awful and probably anger a lot of gay people. The whole idea of Bob's Big Boy and Haribo Boy as idiotic punks is just wrong. Last, Mr. Pringles sexual assaulting somebody isn't what I call, great P.R. The worst beat down was McDonalds as Ronald McDonald is portray as a psychopath criminal. Ever since, then. McDonald's less and less, use the character in its own ads. The company just wants to communicate less and less through him. The only logo that seems to be presented in alright light is the Esso Girl. It wouldn't be no surprise if any of the companies that had their logo used, try to threatened legal action against the film, because how they were portray or how the film use their logo without their permission. The film makers probably relying on Fair Use for legal cover. I know, some of the companies were pretty please, to see their logotype in the film. I like how the film also use, movie, music and television logos as Easter eggs such as The Buy N Large ""BnL"" logo from 2008's Wall-E, the Slurm logo from the TV Series, Futurama, and Pink Floyd on the Wall, album cover. There are too many to count. The short movie also had some great license music choices. The opening track to Dean Martin ""Good Morning Life"" really set the mood. The closing track, The Ink Spots ""I don't want to send the world on fire"", show how chaotic, it had become. The voice acting is alright. I love Aja Evans, southern accent as the Esso Girl. I don't think the movie is appropriate for children as the movie is full of violent and harsh language. So, don't mistake this movie for a Disney or Pixar short. Overall: Logorama is a must-have for any designer, student, marketing professionals, and anyone interested in contemporary culture. I'm glad, it won Academy Award for Best Animated Short Film at the 82nd Academy Awards. A great bitter-sweet satire of our commercial world."
6,Logorama,8,13 May 2013,Good Morning Life,"Shorts like ""Logorama"" are the perfect example of how to use product placement in a funny and creative manner.What starts like a surreal parody of crime films eventually turns into something that one would expect from an apocalyptic disaster movie, and the most incredibly thing of this is that it works very well, being actually more exciting (and also, more entertaining) than anything made by filmmakers like Michael Bay or Roland Emmerich.While the animation from this short isn't really that impressive (Don't get me wrong, the animation is decent, but not incredible, and it merely serves as a vehicle for the clever plot) is the brilliance of the script from this short what makes it a worth-watching experience, having an impressive use of logos and corporate mascots in a way which never fails to surprise and amuse.I think that the Academy Award that it got was more than well deserved."
7,Logorama,7,8 March 2010,Unbelievably clever visual experience,"LOGORAMA brings to life a world built out of familiar logos. Hundreds of logos and mascots are used, and they include examples from software companies, shopping centers, restaurants, sports teams, movies, and any number of other products, agencies, and corporations. It's a lot of fun watching all of these familiar logos used so creatively. They fill the screen and zip by without calling attention to themselves. Watching LOGORAMA is like a game of ""How Many Logos Can You Name?"" To fully appreciate this animated short, one needs to freeze-frame each part and check out all the details.I cannot imagine how much work it must have been filling this virtual city with all of those brands. Each logo fits in in some logical way. Boxy logos, for example, are often used as buildings, while pedestrians are made from the yellow AOL Instant Messenger guy or the Bic pen guy. Cops are Michelin men. The zoo includes the MGM lion and the Linux penguin. Hundreds and hundreds of everyday logos are used and they are used so cleverly that it nearly boggles the mind. As new logos reveal themselves, the viewer is awestruck. ""Aw, man! No way!""It's that cool.The plot is secondary, but includes chase scenes, gunfire, and natural disasters. It's action-packed. The dialogue is laced with profanity and the cartoon has a mature (PG-13?) edge.LOGORAMA doesn't seem to have any deep symbolic meaning. It's just a fun way to kind of comment on how many different corporate logos people are familiar with nowadays. Our everyday lives are flooded with these images on TV, in newspaper ads, on the street, etc. This film takes these well-known images and has fun with them.I think it's great fun to see all of the familiar logos and images, but the profanity seems a little unnecessary and off-putting and the low-budget voice cast could be better. (Just my opinion.) Still the visual experience is well worth it and the details in this short warrant repeat viewings and freeze-frame inspection.How many logos can YOU name?"
8,Logorama,8,27 January 2014,Visually impressive and incredibly twisted little short which begs for repeated viewing.,"This won the Oscar for Animated Short. There will be spoilers ahead:This is a semi-deranged bit of madness. I find myself wondering what various executives of some of the companies which still exist think about various characters and incidents taking place in this short (particularly McDonald's). Let's face it, it isn't every day an iconic figure goes off the rails as spectacularly as the clown does here. He's one ""Top of the world, Ma!"" away from Cody Jarrett territory.There's a lot to like about this short. It's visually stunning to look at and every time I watch it, I notice quite a few things along the edges I didn't see before (at six times so far, I'm still noticing stuff for the first time).The choice of music is fascinating. They start with a peppy song sung by Dean Martin and end with the Ink Spots. The underscoring is effective and fitting.You'll see appearances by Mr. Clean, the Jolly Green Giant, The Pringles guy(s), your favorite M&Ms, Mr. Peanut and other trademarks (some of which may have caused various lawyers some sleepless nights). The language is colorful and definitely the kind of thing you'd find in a Scorsese or Tarantino film rather than the average animated short. This not meant for children in any way, shape or form.Blink and you'll probably miss something. Not for all tastes, but it's fast-paced, entertaining and funny in a disturbed, chuckle with a gasp and a drop of blood at the corner of your mouth kind of way. Available on a Blu-Ray/DVD combo release from Shorts International (which is itself a very good compilation of Academy Award winning shorts, live action and animation). Logorama is well worth watching and most recommended."
9,Logorama,,4 September 2011,I'm f*****g loving it!,"I am not a brand conscious person; for me, as long as the beverage tastes yummy, I don't care if Subway has made it or McDonalds. But for most people, brands do matter. A friend of mine won't wear shoes unless they are Reebok's or Nike's. My father bought an Apple I- Pad and an I-Touch for the family. I myself, though not too fastidious about brands, prefer buying Playstations rather X-box or Wii. For the corporate sectors, having a brand-name gives them an edge over others. In India, after all these years, Parle G remains extremely reasonable and popular among biscuits because of the homely brand name. I love 'Dark Fantasy' biscuits over 'Hide N' Seek' ones, but the latter is more recognized in the market. Horlicks noodles are tastier than Maggi noodles, I feel but my sister refuses to touch anything but Maggi. In short, Brand is Grand.On the first viewing, many would be disoriented by the hype that Logorama has received. Even I was bemused, since the short is profane, violent, dispassionate and also a bit sexist. Pringles Hot and Sweet taps the Esso lady's butt and also passes crude remarks in the beginning. Ronald is a completely berserk Joker meets Alex from Clockwork Orange. Mr. Clean has been reduced to an effeminate zoo-keeper, while the famed Leo the Lion has been reduced to a big p***y. But I made a mistake of watching this right after reviewing Geri's Game, a luminous Pixar effort. Now you get why I was not crazy for this the first time. But watching it again today, I got an entirely different perception of the movie. Logorama was not made to sermonize, it was created to entertain and acknowledge the supremacy and influence of brands over modern man.USA is probably more loaded with brands considering the market economy that it has adopted. The film is over-loaded with brands, with brand names on animals, apples, birds, buildings, cars, CDs, earthquake cracks, guns, hats, human beings, hoardings, motorbikes, roads, signage, tiles, tables, walkie-talkies, windows and even Orange juice! The principal characters include two puffy, fast-food loving officers, a nefarious Ronald McDonald, an Esso waitress and two bratty kids. The officers are to apprehend Ronald McDonald, who is an inveterate criminal who causes collateral damage to the city.The animation is well-defined, with special attention paid only to the characters and things that matter, just like an advertisement. Some would complain that the environment is shoddily done, but Logorama does not intend to be Pixar; its only intention is to satirize the modernized society. Ronald is the most clearly drawn character, with dark and menacing eyes and voice and a foul, impulsive behavior. The two snotty children are spoilt, impish and materialistic, mooning in front of the lion and using cuss words. Much like the children of today. When one of the guys lies on the grass with the lady after an adventure, I thought it would have been a good idea to hand him a hand-held console to show how indifferent and self-involved today's children are.The two fat officers begin a random conversation about zoos, thus linking the two children with the story. One of the officers sounds like Morgan Freeman from Nurse Betty or Samuel Jackson from Pulp Fiction and the other like John Travolta from PF, except these are cops. When the second cop goes to buy a snack and look at all the available options, there's a 'Yum!' sign behind the cop as his mouth waters. There are various other innovative ad references, including the surprising Nickelodeon logo, the hard-to-notice Xbox logo and the wittily used Viao logo.The plot itself is cheesy and reminiscent of a 80s exploitation film, with the vulgar tone, the inane lines, the potty humor and the objectification of women by Pringles men! But everything adds to the zaniness that this movie is. The mindless action and the deus ex machina both are great references to the current fad among many teenagers, who have no liking for meaningful films.The music in the film has probably been inspired by Stanley Kubrick's Dr Strangelove and is very mild and intentionally paradoxical compared to the rest of the film. It may be a reference to those goody-goody ads and films showing how perfect everyone's life is.Logorama is a cogent short effectively conveyed in its convenient sixteen minutes. Just one advice- do not go for this after watching a Pixar film, or you'll be shocked and offended! My rating: 8.5/10"
