,title,stars,date,r_title,text
0,Lucky,10,28 September 2017,Harry Dean Stanton's Masterpiece,"Please disregard that review by an IMDb user who claims to ""Crave intellectual depth"" but is clearly unable to recognize it, and cannot see beyond the superficial.It proves what Lucky says in the film: ""I always thought that the one thing we could agree on is what we were looking at...but that's bullshit, because what I see isn't what you see.""Mr. Stanton's powerful, truth-telling performance is at turns heartbreaking, uplifting, hilarious, and inspiring.Please do yourself a favor and see this very special film."
1,Lucky,10,17 October 2017,Five bags of popcorn,"In terms of humanity, Lucky is the simplest story I've ever connected with. Seeing it in theaters was one of the most emotional experiences I've ever had watching a movie. Lucky walks the thin line between being an exploration of death and a celebration of life, because it manages to be both. Lucky is a character that at first couldn't care less about his mortality. He didn't think about it because he didn't have to. But when the effects of old age start to set in, Lucky can't help but see his own death everywhere. With the onset of this fear, he learns to embrace death - ""realism"", as said in the movie. However, this process was not so easy, as he first had to let go of his anger to understand the beauty and sadness in the experience of his whole life up until his old age, and everything he has yet to be a part of. Many try to claim that movies ""used to be simpler"" and ""had better stories"" due to less technology, but I'll be damned if they aren't easier to connect to now than ever. Lucky follows suit of movies, loosely like ""Manchester by the Sea"", and greatly like ""Paterson"" which both came out within the past year. These movies pay homage to real life by stripping the substance down to normal human experiences that most end up having to face, and everyone can at least recognize. In particular, Lucky is that of accepting how everything in life will go away, so all that can be done is to experience it. This ephemeral experience of life is both beautiful and sad, as this movie is both about life and death. The reason that a movie like Lucky hit me so hard was because it didn't throw anything in my face. I was so immersed in what felt like real life to me that it took me by surprise when all the sudden it got so emotional, like in the bar. Lucky's stance in the bar, letting go and explaining his stance as a human being was, besides ""The Elephant Man"", the most emotionally moved I've ever been by a single scene. This is because everything develops so naturally, and because I personally connect with what Stanton's character comes back to after 90 some years of age - simply learning how to smile by letting go. While all aspects of the filmmaking delivered this effect, I recognize the script for their organic emotional accomplishment within the story.To me, Lucky is owning up to the internal and external unknown, representing the ongoing process of learning how to smile in a world that can just feel so heavy."
2,Lucky,8,13 October 2017,A wonderful swan song to the amazing career of Harry Dean Stanton,"In terms of actors, there were very few like Harry Dean Stanton. He could bring emotion and eccentricity to a role like few others. Whether it being a ""space trucker"" in Alien, Molly Ringwald's father in Pretty in Pink or any one of his collaborations with David Lynch, Stanton was a icon of cinema. His presence though always felt like seeing an old friend, a sense of comfort seeing his withered, story driven face. Other than Paris Texas, Stanton was only litigated to supporting and minor roles in films. Appropriately, for one of his final performances, Stanton was given the chance in the spotlight again. Lucky isn't a film about much. Directed by John Carroll Lynch (another great character actor) in his directorial debut, it simply follows the everyday routine of Lucky (played by Stanton) and the interactions he has with many of the local townsfolk. Lucky seemed like the role that Harry Dean was always born to play. It could almost be considered a companion piece to the 2013 documentary on Stanton, Partly Fiction. It incorporates much of Stanton's real-life philosophy, dry wit and even his musical ability into the final product as well. It feels like Lucky is just an extension of Stanton's personality which is absolutely wonderful. He was born to play this role and it would be a crime to see anyone else play Lucky. There's wonderful cameos from many different great actors including Ron Livingston, Tom Skerritt, Ed Begley Jr and of course his long-time collaborator David Lynch. All of them bring a wonderful warmth to their performance, despite their brief screen time (Lynch in particular, has a wonderful monologue about his lost tortoise 'President Roosevelt'). This is very much a character piece over a narrative piece which may put some viewers off. However, to anyone that enjoys these types of movies with philosophical contemplation with wonderful characters and dialogue, this is certainly a movie for you. It serves as a great ending to Hollywood's best character actor."
3,Lucky,9,15 October 2017,Goodbye Harry.,"If ever there was a deserving send off for a grand actor, then this be it.As ""Lucky"", the cantankerous but lovable old sole, shuffling his way out of this mortal coil, Harry Dean Stanton is, as always, remarkable. Striding with purpose, very slowly, through a very regimented daily routine - diner coffee, crossword, game shows, cactus watering, smokes, drinks at the local watering hole - Lucky is revealed as a complex, always thinking, opinionated, ready to drop the gloves, 91 year old.There are several great performances, highlighted by David Lynch bemoaning the escape of his pet tortoise, but the film really belongs to Harry. Swiping some great real life histories (Stanton's stint with the Navy) blurs the line between fact and fiction just enough to act both as a fitting tribute and engrossing movie on it's own merit. This is a talkie, where action moves at a tortoise pace, but it matters not, for Lucky has that rare power to draw the audience right on in.Among the many low key but brilliant highlights, is a stirring scene to which Johnny Cash sings Bonnie Prince Billie's ""I See a Darkness"".Harry Dean Stanton was indeed Lucky."
4,Lucky,9,20 October 2017,"An homage to old age and the meaning of life, if there is one","A loving homage to an actor and musician that anyone over 50 has seen in movies over several decades. I wiped away tears several times over beautiful, thoughtful musings by Lucky, who, in most respects, was Harry Dean Stanton himself. This is a small but significant slice of life movie and showcases excellent writing, direction and acting by several collaborators who've worked together before. Notable understated performance by David Lynch whose character's lost tortoise serves as an analogy that some viewers who haven't lived several decades yet will not yet appreciate. I was stilled when Lucky sang, sad when Johnny Cash sang and I smiled, satisfied, at the end. I will watch this movie again with friends who understand the beauty of a simple and well written film like this and we will all feel satisfied and more connected as a result."
5,Lucky,7,9 October 2017,Harry Dean Stanton Says Goodbye To You All,"Lucky is both eerie and alluring in that it hasn't just turned out to be Harry Dean Stanton's swan song, it's as if all of those involved in the making of it were watching the Grim Reaper approach Mr. Stanton from a distance during filming.They were certainly aware - and impressed - that he was 90 years old. There's not a bad performance in the whole film; everyone gives a thoughtful, elegant performance as if there is no room for childishness in the presence of the approaching death of their friend. Surely Mr. Stanton could feel to the core that his days were numbered, and wow did that make for an eloquent performance in a role perfectly suited for him. Despite Lucky being a film about the waning of life, it's not a morose film; the message seems to be that while death is scary, you can still smile at it, and still smile till the end. And while you lose some liveliness as you grow old, that doesn't mean that you have to lose your feistiness. As much as I enjoyed Lucky, I also believe that a good filmmaker could have followed almost any old man for a few weeks with a video camera and come up with an equally interesting film. Lucky is essentially one down-to-earth old man's tale of a rather unexciting present-day life, and that's about it...but maybe that's special in itself. Still, I didn't see a whole lot that was fantastic about it beyond Mr. Stanton's performance. But there's no denying that it's a well-made film, with poignant and sometimes amusing moments, moving stories from the distant past, and many good shots of the desolate, solitary desert."
6,Lucky,6,30 September 2017,"Critics are raving about it, myself... not as much","""YOU'RE NOTHING!"" That's Lucky's announcement each time he enters his local diner. It's his way of greeting everyone in the place and in a way it is also sums up this movie. It has some wonderful scenes and wonderful performances but really doesn't add up to very much.Since legendary actor Harry Dean Stanton passed away I have had this movie's release date circled on my calendar. I would have anyway since I am a fan of his and it was only his second leading role in a 60+ year career. His other, ""Paris, Texas"" (1984), is one of my favorite movies of all time.The movie turned out to be his Swan Song and, with so much of his real life experiences incorporated into his character makes it all the more poignant. When the film is over it's difficult to not think that Stanton wasn't saying goodbye to all of us.That makes this movie worth seeing. He has some terrific scenes with a great cast including director and friend David Lynch, Ron Livingston, James Gavin, Tom Skerritt and Ed Begley Jr. There's a touching scene when Harry/Lucky admits he's concerned about life's end and another at a fiesta where he sings in Spanish (something he's always done beautifully throughout his life).In spite of this I cannot say the movie as a whole really jelled. In between the banter with his co-stars there was too much... well, NOTHING. That may have been the point when you consider it was Harry Zen's real-life philosophy but I couldn't help but feel a bit empty by the entire viewing experience. There were certain behaviors he exhibited in the town he lived in that I hoped to see fleshed out and it never happened. Places in town he'd observe and are left to guess what he's seeing, never to find out. There were relationships he had with people where I thought some kind of arc would materialize but NOTHING happened. What can I say? I wanted more and got too much of NOTHING! Lol.Aesthetically, I was bothered by the editing transitions of fading to black/fade in from black of which there are way too many. It became a distraction serving only to contemplate being in a theater with other patrons and taking me away from what was happening on screen.""Lucky"" is really not a bad film. At all. It is a nice cap to Stanton's career. His fans will appreciate his final role and I'm glad to have seen it. I only wish I could say it was a movie I would revisit repeatedly. For me it really isn't.Rest In Peace Harry Dean. We'll always have Paris... Texas. 😊"
7,Lucky,8,27 October 2017,"Not a great film, but it is an important one I think.","'LUCKY': Four Stars (Out of Five) A drama starring Harry Dean Stanton in one of his final on-screen roles, before his death on September 15th, 2017. Stanton plays a 90-year-old atheist dealing with old age. It was directed by veteran actor turned first time director John Carroll Lynch, and it was written by Logan Sparks and Drago Sumonja (two veteran actors turned first time screenwriters). The movie also features supporting turns from David Lynch, Ron Livingston, Beth Grant, Ed Begley Jr., Barry Shabaka Henley and Tom Skerritt (reuniting him with his 'ALIEN' costar). The film has received almost unanimous rave reviews from critics, with Stanton's performance getting especially high praise. I think it's a well made character study, with a good performance from Stanton, but it's also just a little overrated.Stanton plays Lucky, a 90-year-old stuck in his ways, including smoking, that spends his time walking around his small town and hanging out with other elderly locals at a dive bar. He faints one day, and has to see a doctor (Begley Jr.) about it. Then he starts worrying about his upcoming death. The whole time he gets into arguments with his friends, and outsiders; like a lawyer (Livingston) setting up a will for his friend's (Lynch) turtle. He also continues to try to light up cigarettes in non smoking establishments.The movie is slow-paced, but it does have a lot of interesting dialogue. Not a lot happens in it, so it will seem pretty uneventful (and dull) to some viewers, but those that appreciate a good character study should enjoy it. It's also pretty insightful; about dealing with old age and your quickly approaching death. Stanton is really good in the film, and it's great to see him in a lead role finally. It's also sad that he's no longer with us, but it's touching that he got this one last good role to play (about death and old age oddly enough). It's not a great film, but it is an important one I think.Watch an episode of our movie review show 'MOVIE TALK' at: https://youtu.be/eoAny_TuUM4"
8,Lucky,8,25 October 2017,"A film of reflection on life, thought, time, and journey at one's end of the road.","Just recently saw an independent film called ""Lucky"" with the now late character actor Harry Dean Stanton and clearly it was a touching swan song for Harry and for those who viewed it. Stanton is Lucky a living 90 year old man who's probably at the end of the tunnel despite okay health. And you guessed it he's set in his ways especially with the belief that he doesn't want to face death or he's not too set on the believe of a higher power.Living in the southwest Lucky's days are spent walking, and going to the local bar and diner to drink and he passes his time during the day after getting up working puzzles and watching game shows. Plus he even smokes some weed with a new African American female friend. And the chats and visits with locals and friends help Lucky move along.Still thru it all this old man is set in his ways he who doesn't want new acceptance or change in which he fears in his small town life it's a long last reflection on life and being who he is. The supporting cast is well rounded here with David Lynch, Ed Begley Jr., Tom Skeritt and others. Overall well done film of one looking at their life and surroundings and coming to terms with time and reflection without change."
9,Lucky,10,30 September 2017,Rare and terrific movie,"There aren't any other movies like this one. No answers, just the blue sky and the desert. Who else gives us the end of our lives so bleakly, so movingly, and so warmly? At the very end Lucky spots Mr. Roosevelt, the tortoise who escaped Howard's yard and will live--probably--another hundred years, and he almost smiles. That's about the size of it for him. And for many of the rest of us."
