,title,stars,date,r_title,text
0,Peter Pan,10,23 November 2003,Definitely one of Disney's best films,"Peter Pan is one of my all time favorite animated films, this is just such a great classic that doesn't get enough notice. This is one of those movies that is so memorable and I'm surprised that honestly this movie isn't in the top 250. Captain Hook is one of my favorite Disney villains if not my number one, he's just plain hilarious and great entertainment. It's odd that I voted more for him and his pirates, just that they seemed like they were the group that you would invite to a party. Watching this movie for so many years, since I was a child, the story still hasn't lost it's touch. It's such a wonderful movie that not only the family could get into, but even I'll just watch it on my own if I want a cute movie. This is one of the best Disney movies of all time and the story of Peter Pan is told so wonderful you can't help but fall in love with it as well.In London, George and Mary Darling's preparations to attend a party are disrupted by the antics of the boys John and Michael, acting out a story about Peter Pan and the pirates, told to them by their older sister Wendy. The father angrily declares that Wendy has gotten too old to continue staying in the nursery with them, and it's time for her to grow up. That night they are visited in the nursery by a pixie named Tinker Bell and cocky Peter Pan, who teaches them to fly and takes them with him to the island of Never Land. A ship of pirates is anchored off Never Land, commanded by Captain Hook with his sidekick Mr Smee. Hook boldly plots to take revenge upon Peter Pan for cutting off his hand, but he trembles when the crocodile that ate it arrives. The crew's restlessness is interrupted by the arrival of Peter and the Darlings. The children easily evade them, and despite a trick by jealous Tinker Bell to have Wendy killed, they meet up with the Lost Boys, six lads in animal-costume pajamas who look to Peter as their leader. John and Michael set off with the Lost Boys to find the island's Indians, who instead capture them, believing them responsible for taking the chief's daughter Tiger Lily. Meanwhile, Peter takes Wendy to see the mermaids, where they see that Hook and Smee have captured Tiger Lily, to coerce her into revealing Peter's hideout. Peter and Wendy free her, and Peter is honored by the tribe. Hook then plots to take advantage of Tink's jealousy of Wendy, tricking her into revealing the location of Peter's lair. The pirates lie in wait and capture the Lost Boys and the Darlings as they exit, leaving behind a time bomb to kill Peter. I'm always going to love Peter Pan, my sister and I still have so much fun with this movie, we constantly rehearse the scene of George, the father, screaming about how the family loves the dog more than him, it's a great scene. But still one scene that always gets me rolling on the floor laughing is when Peter Pan tells Captain Hook to scream in front of his crew and Peter's lost boys that he's a codfish, and you see everyone just cheer and make fun of Captain Hook as well as that blasted crocodile that won't leave him alone. This is such a great movie, if you haven't seen it, I highly recommend it, it's a fun film to watch and will always hold a great place in my heart. 10/10"
1,Peter Pan,10,25 March 2003,One Of The Great Animated Films Of The 50s,"If Walt Disney had never made another cartoon feature after BAMBI in 1942 he would still be remembered as the man who transformed the animated full length film into an art form. SNOW WHITE , PINOCCHIO , FANTASIA and BAMBI all belong on the list of the greatest achievements in American Film. Disney's next phase in full length animation took place after World War 2 and although these subsequent works may not match the brilliance and creativity of the earlier films, they still possess the superb craftsmanship the Disney artists are famous for. Missing from the new batch of films was the meticulous background detail that distinguished the earlier projects. Starting with Cinderella in 1950, the animators seemed to concentrate more on clean, uncluttered backgrounds but the drawing was just as professional as before , characters still brought to life with fluid, lifelike movements. Colors tended to be bright and splashy, but the cartoonists also knew when subtlety was called for, and scenes occurring at night were done with convincing atmosphere and shadows. The success of Cinderella confirmed that the movie-going public was still willing to be entertained and moved by a cartoon movie, and Disney and his artists forged ahead with an impressive array of animated features that to this day remain models of the Art Form. Perhaps the greatest of these was PETER PAN, first released in 1953. Based on J.M. Barrie's immortal play and novel about the little boy who doesn't want to grow up, PETER PAN had been a project stewing in Disney's mind for years. It wasn't until after the War that work on the film really took off. When the movie was completed and finally released to theaters, Disney seemed rather ambivalent about its achievement. He had a hard time defining who Peter actually was as a character but to millions of children in movie theaters all over the world, that didn't seem to matter. PETER PAN is not very deep story-wise. It lacks the heart and sentiment of the Barrie original, which to some degree is a good thing. Past stage versions and the spectacular 1924 Paramount film version could be cloyingly sentimental at times.The Disney version is light and breezy and moves at a clip. The London sequence which opens the picture is spectacular in both the backdrops and the animation itself. When Peter, Wendy, John and Michael leap out of the Darling nursery window and fly over nighttime Edwardian London the viewer is treated to some of the most thrilling animation ever created for the movies. Later sections of the movie are equally enchanting, and the personage of the villainous Captain Hook is brought to great comic life by Disney animators and the marvelous vocal talent of Hans Conried. As with past Disney efforts, the song score is superb. ""Second Star to the Right"", ""You Can Fly"" and ""Your Mother and Mine"" are highlights in a tuneful soundtrack created by Sammy Cahn and Sammy Fain.PETER PAN holds a special place in my heart. It was the first movie I ever saw. As a 4 year old sitting with my father in an ornate, red carpeted movie palace in Cincinnati, Ohio, looking up at that big screen watching Peter and his friends swooping and flying over the roofs and spires of London was an overwhelming experience. I was hooked, so to speak, and it is an image that has stayed with me ever since. This is the film that initiated my love affair with movies. PETER PAN is one of the iconic films of the Baby Boom Generation."
2,Peter Pan,10,25 January 2003,Wonderful,"Except for The Jungle Book (which I watched every day as a kid), Peter Pan was probably my favorite Disney film during my childhood. Why? Its in the story. I mean, who hasn't been a kid and wished they could fly or do something else magical at least once in a lifetime? Neverland is a place kids dream about, having adventure with Indians and mermaids and pirates. That is what makes this film so wonderful, that despite its simple plot, its less than complex characters, it is something that brings back memories. It is something that kids can relate to, and something that teenagers and adults can watch and think, ""Ah, I remember when I used to wish I were like that."" There's no real moral, just a simple story that is purely entertainment. And that is why I loved this and The Jungle Book so much when I was a young kid. Now older, my perspectives have changed, but not even Aladdin, Beauty and the Beast, and Mulan, my three favorite Disney films, have such sentimental value to me as those two films do. Its just a shame that the sequel to Peter Pan was horrendous, I hope they don't do the same to The Jungle Book this February."
3,Peter Pan,,28 March 2000,"Wonderful, magical Disney classic","This is one of the most charming, magical movies ever!  It is an adaptation of James Barrie's Peter Pan, the story of the boy who wouldn't grow up.  It starts in London, where a very proper Wendy has one night left in the nursery before she most grow up.  Her parents, Mr. and Mrs. Darling are out for an office party, and the nursemaid, a dog named Nana is tied up outside for the night.  Peter Pan comes and takes Wendy and her brothers John and Micheal away to Neverland, ""the second star to the right and staight on til morning"", with the help of the pixie dust from the jealous little pixie Tinkerbell. A sprinkling of the dust makes them fly, just like Peter does. Once in Neverland they encounter mermaids, Indians, and the foppish, but evil villian Captain Hook.  This beloved story will bring you back to your childhood and this delightful score will be hard to forget!  It is sure to have you singing along!  This is a wonderful movie that can be enjoyed by children and adults alike!"
4,Peter Pan,8,1 May 2004,A Classic That Still Soars,"""Peter Pan"" is without a doubt one of Disney's classics, alongside animated features such as ""Snow White"" and ""Pinocchio.""  It captures the imagination just as J.M. Barrie's novel and play have.  In the movie, the eternally young Peter Pan takes Wendy Darling and her brothers to Neverland, a place of the imagination, populated by Indians, mermaids and pirates.  Captain Hook, voiced by Hans Conreid, will always be a classic villain, and his henchman, Smee, is a perfect comic relief.  There are many funny scenes and good animated sequences.  Beneath it all, the story speaks to the kid in all of us.  We remember how important it can be to remain young at heart."
5,Peter Pan,10,21 June 2006,Magical. Simply magical.,"""Disney movies"" and ""children's movies"" are often used interchangeably, but I believe that Peter Pan is a truly captivating story for both young and old. As a child I was entranced by the beautiful colors and artwork, the mysterious fairies and their magical dust, and the elusive character of Peter Pan. I wanted nothing more than to catch a fairy and keep her as my own. I imagined her teaching me to fly and then leading the way to Neverland. I also found myself yelling at the television near the end of the movie when Peter refuses to go back to London with Wendy. They should get married, darn it! They're perfect together! Hey, I was a kid...Now, as an adult, I see the story for what I believe Sir James Barrie was trying to say. One stage tradition holds that Captain Hook and Mr. Darling are played by the same actor. Disney stuck with this by using the same voice actor. I believe that Barrie was trying to speak on poor father-child relations, which are still present today. Captain Hook is scary. Children fear and often do not understand their fathers. On a similar note is the crocodile which Hook so deeply fears. The crocodile swallowed a clock (as well as Hook's hand) and now chases Hook around. I believe that this symbolizes a man's fear of time. Or rather a father's fear that he is not close with his children and must hurry up before it's too late.I fell in love with Peter Pan (both the character and the movie) at a very young age (it was the first movie I ever saw) and continue to love it today. Young or old, boy or girl, man or woman, this movie will warm your heart and hopefully teach you a lesson or two."
6,Peter Pan,,24 July 2004,Another Disney classic...how many are there now?,"'Peter Pan' is undoubtedly one of the best of Disney's films. The story isn't too deep or meaningful, as, say, 'Bambi'. The power behind it is the familiarity. Every little kid yearns to haveadventures like Peter, so everyone identifies with the story. To tell the truth, the film is kind of episodic, like an extra-large TV cartoon special. The climax is fittingly climactic, but the final defeat of Hook isn't really powerful enough, which makes it disappointing after all the flashy swordplay. Speaking of Hook, he and Mr Smee are inevitably the scene-stealers, no matter how beloved Peter may be to children. The same way, in Hook/Smee scenes, if you throw in a hungry crocodile, the monstrous reptile will overshadow even Hook. Wendy really looks too old to be horrified about growing up, though, except for the sequences in which she fantasizes about Never Land with all the authenticity of a three-year-old. Never Land is beautiful, to say the least. The lush jungles and the mermaid lagoon is wonderfully brought to life, as is the eery Skull Island. This is the best showcase for the art direction. Also excellent is the detailed, meticulous design of the wooden hideout of the Lost Boys.'Peter Pan' is one of my all-time favorites. It has humor, great animation, and the best part of it is a simplistic story that revolves around the desires of the child within all of us (I'm still twelve, so I never had to look too deep). A must-see for any animation fan, particularly Disney buffs, the young and the young-at-heart.9/10"
7,Peter Pan,7,25 February 2003,Another blockbuster for Walt Disney,"This Disney cartoon classic offers flights of fancy that appeal directly to children's fertile imaginations. The ability to fly and be a devil-may-care youngster and never grow up, exploring a fantasy island of Indians, pirates, mermaids and mysterious caves is a powerful magnetic pull for young dreamers. The production's artwork is beautiful, and the characters and catchy tunes add to the pleasure of watching this movie. Peter Pan is nearly upstaged by his companion Tinker Bell, a temperamental pixie who is jealous and possessive of Peter's friendship with Wendy. Captain Hook and his shadow, the crocodile, the sniveling Smee, the beautiful mermaids, and the stoic Tiger Lily are all memorable characters. The catchy tunes also make this adventure one of Disney's best."
8,Peter Pan,,4 November 2000,Disney Version Technically Superb;Plot is Oversimplified,"Barrie's ""PeterPan"" is a highly complex story.There are strong elements of social satire,moral ambiguities,deep psychological issues,and emotional traumas investigated in this play.Almost all these aspects have been eliminated in the animated version.Topics such as: dealing with our parents,abandonment,mixed feelings toward our loved ones,and developing a mature adult libidinal attitude have all been erased.Hook's escape at the end,and the return of Peter AND the Lost Boys to Neverland violate some of the core elements of the story.Those criticisms aside,this is really well done.The animation is excellent;the characterizations are first-rate;and by actually having Peter done by a boy,an element of a (benign )sexual rivalry between Wendy and Tiger Lily is introduced.The boys,pirates,and Indians are marvelous,and the crocodile is a masterpiece.(He does act more like a dog than a reptile;Nana come back in disguise,maybe?He reminds me of a miniature dachshund I owned for 13 years.)This is probably the best way to introduce anyone to Peter Pan."
9,Peter Pan,9,20 October 2005,great politically incorrect fun,"Having seen this movie again several times recently, I have learned to appreciate this film a little more. While not nearly as good as some of the more famous Disney films (such as Beauty and the Beast, Bambi or Little Mermaid), it still deserves a 9 because it is head and shoulders better than other kids movies. The animation is very good, pace is fast and the movie is just fun. The negatives are simply a product of the times, in that this is about the most politically incorrect Disney film ever made (perhaps more so than Song of the South). I'm sure that MANY American Indians watch the film and deservedly cringe at the depiction of Indians, who seem rather dumb and sing the song ""what makes the red man red?""--an ode to every terrible stereotype about Indians. BUT, I am a strong believer in discussing these things and NOT condemning the entire film. In fact, I am a history teacher and have used the film to talk about these aspects of the film."
