,title,stars,date,r_title,text
0,Ponyo,8,27 July 2008,All the Enthusiasm of Finger Paints,"Gake no Ue no Ponyo is like something you might get if you mashed My Neighbour Totoro into The Little Mermaid, then put the entire project in the hands of a five-year-old animation prodigy. The film is simultaneously stunning in its beauty and endearing in its simplicity, unrestrained enthusiasm walking the edge between inspired brilliance and mind-addling delirium.In the opening sequences, literally thousands of individually animated fish swirl across the screena task Western animators wouldn't touch without a room full of computers. And yet the film's omnipresent water is defined by hard lines that seem to have been drawn in with crayons and coloured by pastels. In style and content, this is clearly a children's fantasy, and yet it isn't.Remarkably, Miyazaki has yet again achieved what he created in Totoro: a film that draws the viewer indelibly into the world of children, reminding us of the time when every discovery was unique, every possession precious, and the agony of loss crouched behind every well-meaning mistake. Perhaps this is why the film has appealed more to adults than to children in Japan: children still live in this world. They need no such reminders.Sousuke, a five-year-old who retrieves the eponymous Ponyo from the ocean, is not another Pinocchio-like screen caricature. He is a real boy. He is intelligent yet careless, deeply conscientious but distracted by impulse. He grounds us in a world that wavers between the real and the surreal.Wide-eyed wizard Fujimoto, voiced with narcoleptic mania by comedian Tokoro Joji, is by far the most rational of the film's fantastical creations. He's an oddball, but he makes sense. But when waves begin to lap at the doorstep to Sousuke's hilltop home and the townsfolk jovially pile into rowboats to scud over a swollen sea of prehistoric fish, we begin to wonder whether this is the real world or some beatific daydream. Miyazaki draws no clear distinction.Gake no Ue no Ponyo is a children's love story, driven with monomaniacal ferocity by Ponyo and Sousuke's pure mutual affection. Composer Joe Hisaishi underscores this intensity, calling up mighty swells of strings to accompany Ponyo's first ascent to the surface, and later evoking Wagner's Ride of the Valkyries in a stunning sequence where Ponyo chases down a speeding car while running atop a cascading tsunami of gigantic fish.While the film loses much of its energythough none of its eccentricityin the final act, Miyazaki has nonetheless succeeded in creating yet another modern fairy tale. It is a simple, pure vision, guilelessly washed across with a devoted kindergartener's finger paints."
1,Ponyo,10,25 December 2008,A Nutshell Review: Ponyo on the Cliff by the Sea,"Hayao Miyazaki's magic continues with this absolute crowd pleaser Ponyo on the Cliff by the Sea, his latest animated film, which turns on the usual sweetness to charm your socks off. I thought that the trailer featured its song which was quietly hypnotic, and I didn't have to wait for an invite to make sure I got my ticket for the sneak preview of the movie, scheduled to open here next week.For fans of Studio Ghibli films, you'll probably know what you're in for, as Miyazaki has yet another winner in his filmography, that will win new fans over. I'm embarrassed to say the least that I've so far watched only My Neighbour Totoro (eyes that pile of Ghibli DVDs) and love it to bits, but I guess this would serve as a final push for me not to continue missing what would likely be animated films that I would enjoy.Ponyo (voiced by Nara Yuria) is a magic goldfish that yearns to know what is life beyond the sea, with her constant forays in a bubble to the surface of the water to sneak a peek. Nonetheless these ambitions do not bode well with her humanoid dad Fujimoto (Tokoro Joji), who harbours some hatred toward the human race for pollution, and briefly touching a subplot on environmental protection / revenge by Mother Nature as well. An accident one day sees Ponyo being washed ashore, and picked up by five year old boy Sosuke (Doi Hiroki) who lives on a house on the said cliff with his mother Lisa (Yamaguchi Tomoko), while dad Koichi (Nagashima Kazushige) is mostly out to sea since he's a sailor. And you can expect some moments of throwback to the likes of The Little Mermaid, or Splash made for kids. Saying anything more would be to spoil the fun.The artwork here is still simply astounding even though it's in 2D glory, knowing that each cell is painstakingly worked on. There are so many things going on at the same time within the same frame, that you'll probably be game for repeated viewings just to spot them all. This definitely beats any 3D or CG animated production any day given its beauty coming from its simplicity, and not only from the artwork department, but on its story too, despite complaints coming in that it took a leaf from the Hans Christian Andersen classic. While there are avenues to make this film extremely dark, it only suggested certain dark themes, but opted instead for a film with more positive emotions, suitable for both kids and adults alike.At its core, its about love, that between the family members of Koichi, Lisa and Sosuke, and especially between mother and son. More so, it's about the love between the boy and his new pet fish which he christened Ponyo, and I tell you Ponyo herself has enough cuteness in her to beat the likes of Bolt, WallE and Eve all hands down. Characterization here is top notch, and it's hard not to fall in love with Ponyo, in whichever form adopted, especially when she's such a playful being who doesn't hide her emotions - if she's upset with you, either she turns away or you could expect a jet stream come spewing from her mouth into your face!Ponyo on the Cliff by the Sea is a definite shoo-in to my top films of this year without hesitation. And the next time I go to Tokyo, I'm sure as hell going to make my way to the Ghibli Museum to bask under the magical world brought to us by Hayao Miyazaki. Highly recommended film, so don't you go missing this on the big screen!"
2,Ponyo,10,19 July 2008,Another Classic Miyazaki,"Whenever Hayao Miyazaki does the ""tri-fecta,"" (writes, directs, and animates a movie) he makes a classic film for the ages. He has done it again with Gake no ue no Ponyo.The story is about a girl fish who is kept on a very tight leash along with her younger sisters by her father, a bitter ex-human wizard named Fujimoto. The fish escapes from her father and rides a jellyfish to shore, where she is caught up in a dredging operation and finds herself stuck in a bottle. This underwater sequence must be one of the most elaborately drawn animated scenes ever undertaken and stands on its own as a reason to search out the theatrical release. Miyazaki, who shows no fear of having a busy scene, has outdone himself. There were literally hundreds of individually-drawn sea creatures of every imaginable size all in motion at the same time.When the fish escapes the dredging operation while still trapped in the bottle, a five-year old boy named Sousuke spots her in the water and is able to break the bottle, saving her. Since she is the result of her father's magic, she is capable of magic herself--and her father actively tries to retrieve her. The boy names the fish Ponyo. Just when Sousuke learns that Ponyo can speak, her father successfully retrieves her back into captivity.After a war of wills with her father, Ponyo manages to escape again with the ability to change herself into a human. She meets up again with Sousuke in a storm and the story continues from there in many interesting ways. There is a cuteness factor in this film rivaling and arguably surpassing that of Tonari no Totoro. Joe Hisaishi, once again, provided outstanding musical support.The story itself is simple--as are Miyazaki's films in general--and should appeal to a broad spectrum of viewers. While I haven't viewed it enough to be sure, the film doesn't seem to be one which will keep scholars in long discussions as Sen to Chihiro no Kamikakushi did. Nonetheless, this is the ultimate feel-good entertainment movie. I gave the movie a ten out of ten rating."
3,Ponyo,7,27 July 2008,"A whimsical, fantastic and visually amazing film that is a pure delight for   all ages.","Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood. At a time when it seems that film animation has been dominated by Disney/Pixar's CGI masterpieces, it is both refreshing and comforting to know that Miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories. The story revolves around the friendship between a magical sea sprite/goldfish and the human child that she encounters during a curious outing to see the human world. The human child, Sosuke (Doi Hiroki) lives in a small house on a cliff overlooking a small port city in Southern Japan (based on Seto Island) where he lives with his young mom, Lisa (Yamaguchi Tomoko). Sosuke names the strange goldfish ""Ponyo"" and takes it to the daycare/nursing center that Lisa works at. Ponyo is definitely not your typical goldfish and soon begins to adapt and take on human aspects (she develops human speech and an appetite for ham meat) by sampling some blood from a cut on Sosuke's finger. Yet just as Sosuke and Ponyo begin to develop a bond, Ponyo is taken back by her father, Fujimoto (Tokoro Joji) who is a former human who has rejected the surface world and is now attempting to collect and develop magical elixirs taken from the sea that aid him in repairing and rejuvenating the world's oceans.Ponyo's desire to become human has become so strong however that Fujimoto is unable to contain her anymore and she takes on a more human appearance and breaks free from her water world home and goes back to see Sosuke. During her breakout, Ponyo unintentionally releases Fujimoto's cache of magical elixirs which unleashes all sorts of magical sea creatures that causes a violent storm in the seas surrounding Sosuke's town. Desperate to resolve Ponyo's rebellion, he soon calls upon the help of his beautiful wife, Ponyo's mother - the water elemental, Mother/Lady of the Sea (Amami Yuki). As with his past films, Miyazaki's ""Gake No Ue No Ponyo"" touches upon various themes of ecology and environmentalism, this time focusing on the health and vitality of the world's oceans. The opening sequence is at times sobering when Ponyo encounters a drudging vessel which is scraping the ocean's floor, uncovering mountains of garbage and debris. One can understand the anger and frustration of the character of Fujimoto who has spent his lifetime trying to repair the damage civilization is doing to its oceans, yet finding it an daunting and almost fruitless endeavor.Enough can not be said of the remarkable animation in this film. It is at times bizarre and outrageous but at the same time charming and curious. Clearly Miyazaki wanted to capture the sense and style of a child's imagination. The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful. It is almost like a child's color book come to life.Child actors Nara Yuria and Doi Hiroki do great work as Ponyo and Sosuke. They bring adorable charm to their roles. Nara Yuria in particular sounds so darn cute as Ponyo that it is little wonder that Doi's Sosuke falls for the magical girl. Former campaign girl/model and actress Yamaguchi Tomoko (Shichinin No Otaku, Swallowtail) is also very good in her role as Sosuke's modern mom, Lisa. I was a bit confused at first by her character as I initially thought she was Sosuke's older sister. It also didn't help that Sosuke kept referring to her as ""Lisa"" rather than Mom but I guess it is perhaps a sign of the times and an indicator of the modern Japanese family (in the anime series Crayon Shinchan, Shinnosuke also refers to his mom by first name as well).80s comedian Tokoro Joji sounds totally different as the serious Fujimoto but wisely doesn't make his character sound cartoony villainous or goofy menacing. While we don't get to know his character more, former pro-baseball player and actor Nagashima Kazushige ( who portrays Sosuke's father Koichi) also delivers some nice voice work. The opening theme ""Umi No Okasan"" by Japanese soprano Masako Hayashi is simply beautiful and stirring. In contrast the Fujimaki Fujioka and Nozomi Ohashi ""Geke No Ue No Ponyo"" theme is light and amusing and evokes images of a traditional Japanese nursery rhyme. During one brilliant sequence the soundtrack takes on an almost Wagnerian operatic sound with music that sounds like ""Die Walküre"".The film is not perfect however and does suffer from moments where the central story of Ponyo and Sosuke takes a back seat to some of Miyazaki's overwhelming fantastical visuals. I also had wished we had more time to explore Fujimoto's back-story as well as the relationship between Sosuke and his father.Like ""Kiki's Delivery Service/Majo No Takkyubin"", ""Howl's Moving Castle"", ""Princess Momonoke/Momonoke Hime"" and ""My Neighbor Totoro/Tonari No Totoro"", ""Gake No Ue No Ponyo"" is another Miyazaki classic that is a marvelous feast for the eyes. Like a modern day fairytale, the film tells a timeless story of friendship and love that will surely be cherished in years to come."
4,Ponyo,9,16 August 2009,"It's like drugs....good drugs,....but still drugs!  And drugs that the whole family can enjoy!","I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the Miyazaki films, this might have the most unusual and incomprehensible story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a fabulous tale. But, because it is so hard to describe (and others have already done so), I won't even go there.As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was NOT a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character animation (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I loved the cute stuff and applaud the other-worldliness of the film.A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor."
5,Ponyo,7,20 July 2008,Great movie for kids but something was missing,"As a long-time fan of Studio Ghibli and especially Hayao Miyazaki films, I went to the film right on the opening day. When I went out of the theater I had this strange feeling that something was missing, this ""magical"" feeling I was experiencing in all Miyazaki films before, but I couldn't say why it failed this time. After I thought about the other Ghibli movies, I may know the reason: this film had most of the elements of a great Miyazaki anime: cute characters, wonderful key animation, a great soundtrack composed by Joe Hisaishi and the warm story telling giving you the feeling of watching a high quality Japanese animation film. However, two elements were lacking: a deep story and dramaturgy. The purpose of this film was obviously to entertain small children with a simple story line as in case of ""Totoro"", so a complicated story as been told in ""Spirited Away"" or ""Princess Mononoke"" is not really necessary, but on the other hand, this story was simply too superficial. I could not connect to the main characters, because there was no character development, dramatic scenes were only limited and did not last very long. I really hate to give only 7 stars for a Miyazaki film, because I would give 10 stars to all previous movies right away, but this time it was simply not this wonderful ""ghibli experience""."
6,Ponyo,,13 September 2008,A Totoro for the Noughties,"After the epic fairytale worlds of Howl's Moving Castle and (the underwhelming) Tales from Earthsea, Studio Ghibli's latest is a return to good old 80s Ghibli.The brainchild of Master Miyazaki himself, it lacks the elaborate plot of the likes of Princess Mononoke or Spirited Away and makes do with far less characters. Instead we finally go back to seeing the world through the curious, wide-open eyes of a child.The story is based on Andersen's The Little Mermaid, but as the film progresses it becomes its own dreamlike vision. Ponyo is a 5-year old fish princess living in her family's underwater kingdom, and when she meets Sousuke, a boy of the same age, decides she wants to become human herself, much to her father's dismay.The underwater scenes are spectacular; as one would expect in a Miyazaki picture, they are full of strange, wonderful creatures that resemble something we may have seen in reality and yet are completely unique in their own right. During the initial sequence that's set in this colourful, mysteriously illuminated realm, the first point of comparison that came to my mind was the impressive ocean setting in Finding Nemo. However, where the Pixar film uses 3D graphics of all sorts to create stunningly realistic and impressive images, Ponyo uses a wide range of colours and shapes to create an equally, if not more, stunning fantasy kingdom. There is not a single CGI pixel anywhere in this film, yet the textures are lavishly rich, and the movements of light, the sea and its inhabitants incredibly fluent. The underwater scenes alone are a stunning artistic achievement.The rest of the film's visuals, however, impress just as much with their lovely but never kitschy pastel palette and the ever-loving detail that can be found in every single frame. The casual drawing style of Sousuke's house against the lavish green field in the background, the gorgeously peaceful town, or a glowing, golden moon are only a few examples of the many memorable images.Like in the now-20 year old classic, My Neighbour Totoro, the protagonists are young children, and a large part of the film's charm lies in their portrayal. Ever since I was a child and watched Heidi or Anne of Green Gables, (though I've only realised now), what's fascinated me about Miyazaki's animation is the accuracy in which it replicates children's movements, mimicry and mannerisms. Ponyo is a stubborn girl who, like any little princess, can get quite angry if not given what she wants ( though with more serious consequences than with most other children). And when she does, she behaves and moves in the exact same way that you see little kids do it every day in real life. 8-year old voice actress Nara Yuria also does a fantastic job in bringing Ponyo to life and making her the unbelievably lovable, cheeky little sh!t that she is. While she is delightfully hilarious in her half-fish, half-child shape that defies classification, Ponyo never becomes boring once she assumes her human shape. One of the most (literally) heartwarming moments of the film is when, as a human child, Ponyo tastes milk with honey for the first time, truly savouring the experience. The delighted expression on her little face reminded me of my own childhood firsts and gave me that warm fuzzy feeling in my chest. In many ways, Ponyo is very reminiscent of Mei in Totoro.Like Totoro, Ponyo also has a good old-fashioned opening sequence, and a title song you won't forget too soon after hearing it. Performed by little Ohashi Nozomi, the terribly catchy tune is a perfect sing-along for any child, young or old.And again, like its famous predecessor, some reviewers have noted (somewhat critically at times), that Ponyo is aimed at a much younger audience than the more recent Ghibli films. I'd like to phrase it differently and say that this is the first Ghibli in a while that doesn't exclude this target group completely. This film is of course for children, but (yes, as with Totoro) its merit lies in its many delights  the lovingly precise portrayal of children's behaviour, the many moments of wonder and the sheer artistic vision.By the end of the fastest one-hundred minutes ever, I had that silly smile on my face, and I knew I'd once again witnessed true Miyazaki magic.Of course we'll have to see how well this one will hold up over repeated viewings and how it will be regarded in a decades time, but for now I'll say: Move over, Totoro.10/10. Now go see it!"
7,Ponyo,10,24 January 2009,Master is on form and welcomes a new generation of Miyasaki followers,"Quite simply, i was tickled pink watching this in the movie theatre and grinned from ear to ear; eyes wide open whilst trying to take all the details in that are at the same time insanely simple, fresh, yet incredibly sophisticated, breathtaking and in imaginative.In terms of audience age range, it is probably pre Totoro. The plot works because of the pure heart of 5 years olds who are focused in what they want and conscientious in their pursuit. They lives in a world that is unspoilt by cynicism and cultural learning of how everything is 'suppose' to work. While most critics might disregard this film due to the lack of a 'message' or 'plot' film (Although it is in there somewhere), it is precisely for this reason the film should be cherished. Too often our judgement are impeded by our own limitations of cinematic and cultural standing. Like most of Miyasaki's film, each is totally unique but undeniably Miyasaki. Ponyo may at times feel so unique and fresh, it may feel alien like.The viewing experience provide a wonderful change from all the generic children's products that are generally commercialised to please the adult demographics (ie/ Animals that talks like their human counterparts, Eddie Murphy in Shrek.) It is perhaps comforting to know that good old fashioned hand drawn cells still work so incredibly well in this digital era where Toystory/WallE/Shrek/Cars generally triumph. It therefore feeling rather nostalgic at the same time makes the film feels timeless, a bit like how Totoro and Jungle Book hasn't really aged.The subtleties of each character's expression and body language is captured in such nuanced interpretation that digital films like Wall-e can never compete on, or if it does, it would be a very expensive process. It would be a big pity for Wall-E to win over this one at the Oscars, and it probably will this year. Yet it might be quite unfair to compare the 2 mediums, as it is really the craftsmanship and the story telling that wins at the end of the day. For this, Miyasaki is a true master of"
8,Ponyo,9,27 May 2009,More juvenile than Spirited Away and Howl's Moving Castle but still gorgeous.,"While Hayao Miyazaki's movies have always been hit-or-miss with me with regards to story, they are unequivocally gorgeous to the eye, with characters of simple animation against a backdrop of artistic images. Ponyo sticks to that formula, with a lead character so adorable I want a plush doll of her and scenery so pretty it wouldn't look out of place framed up as a picture on a wall.The story, on the other hand, I didn't enjoy quite as much as his last two wide-releases, Spirited Away and Howl's Moving Castle. It was just a tad too juvenile, coming across as more for kids and leaving adults to just enjoy the animation.I was also disappointed that the score done by Joe Hisaishi, who also the scores for the above-mentioned two movies, wasn't nearly as memorable this time around. While I can't quite recall Howl's score now, I still remember it being one of the most beautiful I had ever heard. Ditto Spirited's - though I only remember it being very complementary to the movie. Maybe it's because Ponyo is more juvenile fare that the score isn't quite as haunting. In any case, this movie is still a must-watch for fans of anime or Miyazaki."
9,Ponyo,10,21 August 2008,Not your usual Ghibli fare but wonderful nonetheless,"This is the latest Ghibli movie and it is also a MAJOR departure from the studio's established style. First of all, this film was obviously aimed at young children, much more so than any of their previous films. It lacks the depth of the other films and features a brand new far less realistic style of animation and yet it is ever so entertaining. Even though there is nothing put in to attract adults, I still found myself drawn to the screen and fully immersed in the story. The movie's secret is brutal honesty with regard to the plot and the characters. The story and the characters are very upfront with their feelings/intentions etc. but that makes them all the more endearing. Special attention was also paid to the soundtrack which is absolutely amazing despite being way different from previous Ghibli soundtracks. I find myself singing the cute theme song all the time as will anyone who sees this movie!"
