,title,stars,date,r_title,text
0,Porco Rosso,10,22 December 2005,More than a movie,"Porco Rosso is not just one of those movies that you watch and give back to Netflix. It is one of those movies that genuinely makes you hate your life, but in a good way. Watching a movie like Porco Rosso makes you wish that you lived in their world, and that you could fly your own plane between the Adriatic Islands and your own private hideaway. It is the kind of film that takes you inside it and leaves you with a sort of culture shock when you are forced to realize that you are in your modern-day room with no way to get around but a car or a bike. It is the sort of movie that you watch again not only because you love it so much, but also so that you can have a portal back into that magical world and dream that you can become like one of the characters in the movie with some sort of ""reality"". Who cares if there are flaws? Is the world absolutely perfect? So what if there is ambiguity about the ending? Is life always crystal clear? Porco Rosso is one of those movies that has the perfect mix of reality and fantasy; it gives you a world that you wish you were a part of, and COULD be, if only you can find it...."
1,Porco Rosso,10,4 July 2005,A magical European adventure that is too real to brand a cartoon. A  visual splendor - the imagination of an artist unequaled in the animation world.,"Over the decades, Japan has established itself in the animation scene as a contender, creating some of the most mind boggling realistic, detailed animation the world has ever seen. However, Japan had primarily made cartoons involving their traditional, cultural and supernatural themes that the world felt alienated to.It wasn't until a great artist came along in the mid-1970s that was to make Disney look like a second class citizen in the animation business. Hayao Miyazaki was Japan's inspiration to open their eyes to new horizons and show the world their hand in art. His first motion picture released in the late 70s was Lupin III: Castle of Cagliostro, which proved to be a world success. From that point on, he created some of the most memorable, brilliant and detailed masterpieces the western world ever saw - most having something to do with world issues and human's spiritual touch with nature. It wasn't until I saw Porco Rosso that I found my oasis in animation, a film that has no reason to be a cartoon due to its sheer realism and setting.The premise is simple, subtle and imaginatively compelling. The story follows a humanoid pig known as Porco Rosso ('Crimson Pig' in English Translation), a bush pilot during the rise of the Nazis in the 1930s when Mussolini was a strong ally with Hitler. Whilst war is on the brink of initiation, Bush Pilot 'Pirates' roam the Italian coast, robbing ships, tourists and living the life few people could experience. Among these gambling, thieving, dirty pirates however, Porco Rosso stands as the ace pilot and feared by all. As he threatens the welfare of all the pirates, particularly the Mamma Aiuto Gang, the price on his head sky rockets. The only thing that lies between him and the pirates is a beautiful woman named Madame Gina, the singer and proprietor of an island resort popular with all the pilots that come through. Gina loves Porco since childhood, when he was a real human, and cannot bare to lose yet another close one, like her previous husbands. Both Porco's and Gina's world is turned upside down when an American ace pilot named Curtis intrudes into their lives, insisting on making a name for himself as he plans to fight Porco in an air battle all the while falling in love with Gina.......the American way.Porco's subsequent adventures lead him to discover something about himself, about those important to him and about letting go of his constant turmoil and guilt of events that have haunted him for years, as he meets new characters that open his eyes and return him to what he once was.........just a human.Rarily has an adventure movie been so fun, rich and captivating as Porco Rosso in addition to its overwhelmingly brilliant animation. Like I said before, there is no reason for this film to be a cartoon, but because it is and because it was realized in the way that it was, this is what makes it a masterpiece among World Animation.The story, being very simple, could be taken on many levels with its inner meaning and symbolism. You forget that you are watching a cartoon after 5 minutes. It takes itself mildly seriously and the comic relief is timed to perfection. The characters vividly come to life and drain you of your emotions with each of their stories. The world Hayao Miyazaki creates is so real, that you are inevitably drawn into it. The magnificent romantic and exotic music and attention to authenticity make the film's atmosphere so convincing and breathtaking - the music always suiting at the right moments. I hardly believed this was a Japanese film, considering it felt completely like a European production. But no, only Hayao Miyazaki could accomplish such feats as to utilize your imagination and transport you to another world without any reference to his origins. That is his gift. This was evident ever since his motion picture debut. He has made many brilliant films, but Porco Rosso is the black sheep in the crowd. It is like something he's never done before, as all his films were supernatural in many ways.This is my favorite cartoon of all time, and one of the great motion pictures you're bound to ever come across in world cinema. Forget about Disney. If you love animation and film, go no further than Hayao Miyazaki, one of the last great directors and story tellers in a world which has forgotten quality. Disney died a long time ago, and Miyazaki is a director in the old tradition - a tradition where plot and characters meant much more than special effects. Porco Rosso is an escape you'll come back to often. Few films have captured the essence of Europe, Flying and Adventure quite like it. It lifts your spirits and inspires you to see the world in a different way. The beautiful mix of music, color, animation, detail and setting make this a most unforgettable experience. 'Porco Rosso' is the definitive work from the legend of modern animation, Hayao Miyazaki."
2,Porco Rosso,10,14 January 2003,It's a Miyazaki Ghibli... What else is there to say?,"If somebody were to start up an all-Ghibli network on television, I'd leave the set on that channel unless I heard a nuclear attack siren. Kurenai no Buta is one of those films that could fill up much of the schedule, as I could watch it over and over again.Set in Fascist Italy in the late twenties, the story is about a cursed WWI Italian fighter pilot, Porco Rosso, doomed to live out his life in the form of a pig.  He spends his leisure hours basking on his secluded private beach with his bright red monoplane. He makes his living by tangling with air pirates, collecting rewards for recovery of valuables.
Porco Rosso has a lot to deal with in this story. He has the pirates to contend with, a swashbuckling American mercenary looking for a good dogfight, an increasingly intrusive Fascist presence eyeing his activities, a finicky airplane, and two women in love with him. Other than the vaguely appearing Fascists, there are no real villains in the film.Mamma Aiuto is a heavy-set bearded chap, somewhat reminiscent of Bluto in the Popeye cartoons.  He and his gang of bungling pirates have honor, if not exactly fastidious bathing habits.Donald Curtis, an American mercenary, seems driven to glory and fame-and falls in love with every pretty face he sees.  He's after notoriety and feels an air duel with Porco Rosso is the ticket to get there.Gina, Porco's childhood sweetheart, runs a popular island resort.  She's still in love with him, but he doesn't quite get it.  All the pilots of the Adriatic love Gina, who was married and widowed thrice. Donald Curtis is right in there with everyone else vying for her attention.Fio Piccolo, a 17-year old American aeronautical engineer, is commissioned by a reluctant Porco to fix his plane.  She also falls in love with him as she gradually sees his character. He gets it, but he's not really interested in that kind of arrangement--especially with one so young.
A working, radio-controlled scale model of his plane hangs in the Ghibli Museum in Mitaka, Japan, along with photos of it in flight as proof that the airplane depicted in the film actually could fly. This story weaves together beautifully and leads to an ending that is a topic of discussion among those who have seen it.  This is a must-see film. I give it an easy 10."
3,Porco Rosso,10,12 October 2005,An underrated classic,"Although few people actually know about this film, it must be stated that this one of the best animated films of all time. It is also quite unique, and has comedy and themes more enjoyable for an adult audience, though youngsters should also get a kick out of it.Porco Rosso follows the adventures of a man known as porco, a pilot who attacks pirates for a fee during World War II, and has the unfortunate problem of being cursed to look like a pig. It follows his adventures, battling many different foes for a number of different reasons.Porco Rosso has a lot of things to recommend it. The artwork is stunning, with amazing attention to detail and a great anime style. The story is an absolute joy to follow, and has that perfect blend of comedy, drama and action. Although it is hard to describe the story properly without giving to much away, this truly is one to watch at all ages, though most of the humor is aimed at adults. Do yourself a favor and see it: you won't be disappointed."
4,Porco Rosso,10,29 April 2002,A shockingly perfect work of art,"Miyazaki is an inspiration for artists everywhere. His total mastery of all aspects of storytelling craft makes the amazing seem easy.Kurenai no Buta manages to be over-the-top fun and exceedingly subtle at the same moment.  The dialogue is at once straightforward yet with layer upon layer of dramatic meaning.  The animated wizardry is stunning as usual, yet never over the top. It always comes across as so natural.This film is a homage to so many different genres, places, people and attitudes one could go on ages pulling them all out.  Amazing amount of detail packed into every scene.Well I am running out of superlatives.  Like all master works of art, this leaves you with something special.  In this case I find it hard to describe perhaps since the Pig himself is such a mysterious character.
See it."
5,Porco Rosso,10,7 May 2005,"Well, it's Miyazaki. What'd you expect?","""Porco Rosso"" is probably the first animated Humphrey Bogart film. Why? The title character, a WWI flying ace who has been transformed into a pig, reminded me of Bogart with his gruff manner and that world-weary cynicism that instantly endears us to Bogart. ""Porco Rosso"" is also a highly entertaining adventure film, and Miyazaki has once again created a slew of characters you can either cheer for or hiss vehemently at them.The US dub is done particularly well (Disney tends not to muck Miyazaki's movies up most of the time), with Michael Keaton hitting that Bogart vibe as the title character. Keaton was obviously the first choice on the dubber's mind for this character, and he performs excellently. Susan Egan is the voice of Madame Gina, Porco's friend who loves him but he doesn't quite get it. Cary Elwes, who is of course British, does a convincing Southern accent as the movie's main villain, Curtis, a hotshot American pilot who challenges Porco. David Ogden Stiers shows off his vocal chameleon skills as Piccolo, Porco's mechanic friend; Stiers's voice sounds genuinely Italian, and I must again wonder: How does he do it? Anyway, moving on. Kimberly Williams, whom you may or may not remember from the Steve Martin version of ""Father of the Bride"", is spunky as Fio, the other main female character who becomes Porco's partner (albeit reluctantly on his part).All in all, ""Porco Rosso"" is a highly entertaining movie, and it should be seen by everyone."
6,Porco Rosso,10,8 July 2005,"Great story, wonderful characters, fantastic animation","First of all, I've never seen the title ""Kurenai no buta"" except on IMDb. The English title on my copy and all other references I've found on the web are ""Porco Rosso"". Outside Japan, that's the title to look for at the video store. Let's see what we've got: an Italian Pig speaking Japanese, ""Knock your socks off"" aerial vistas, not one but two beautiful heroines, an Adriatic hotel that's actually a small island, better dialog than many ""live"" movies, sky pirates, even good music. How many films can claim all that? Perhaps the most attractive character of the film, after you've gotten past the many obvious ones, is Myazaki's amazing imagination which pervades all aspects of the production.To me, the storyline is reminiscent of Hollywood's Golden Age. The characters are wonderful, even to an adult audience and, of course, high quality animation is the frosting on the cake.After seeing Porco Rosso, I bought the DVD, and I hardly ever do that!"
7,Porco Rosso,,9 October 2002,Exupery,"This was truly an emotional and unexpected experience. Having known Miyazaki has been influenced by Exupery(author of the little prince)I watched this film with a lump in my throat. A story of a PIG no less destined to live out his days in the sky, where his heart IS purified by the heavens above and the sea below. A beautiful film a love poem to Exupery and all the brave fliers who've come and gone."
8,Porco Rosso,,28 February 2011,When Pigs Fly,"Hayao Miyazaki is one of the few Japanese animators to be fully embraced by mainstream Western audiences, perhaps because he is a giant europhile, thoroughly fond of European culture, architecture, art and food.No surprise then that ""Porco Rosso"" is heavily influenced by 1930-40s British, American and French adventure comics (""Popular Flying"", ""Battlefield Action"", ""Frontline Combat"" etc), all of which served up exciting tales set in Europe, often with soldiers as heroes. A large subset of these comics focused solely on fighter pilots (The Red Baron, James Bigglesworth, The White Fokker), romanticised knights of the skies, gallant, brave and chivalrous. As the war drew to a close, and film noirs became popular, the prim and proper aviation hero got a little bit scuffed up. He was now not only a total ace, but a suave ladies man, moody loner and cynic.And so ""Porco Rosso"" takes the best from these early wartime adventures and collides them with Humprey Bogart noirs, Michael Curtiz flicks, Pressburger's ""A Matter of Life and Death"" and Miyazaki's own obsessions, all to create a kind of ultra romantic cocktail. The setting: a fantastical version of 1920's Italy, in which the skies are ruled by heroic seaplane pilots, bounty-hunters and pirates. When they're not dodging tracers and dancing in the skies, these hotshot fly boys hang out at Gina's island café, where they kick back, relax and listen to Gina sing sad tunes of lovers long lost. Here, like Rick's Bar in ""Casablanca"", there's an unwritten truce between all men. You may be enemies in the clouds, but on Gina's island, everyone's your buddy.The film revolves around Porco Rosso (Italian for ""the crimson pig""), a chubby pig dressed in a detective's trench coat and dark shades. He should be ridiculous, but with his witty one-liners (""I'd rather be a pig than a fascist""), cool detachment, political apathy and romantic distance, comes across instead as Bogart with a snout. The guy's not just the coolest pilot in the Adriatic, but a total ladies man, women fawning over him despite his perpetual disinterest.Like most of Miyazaki's films, the plot is barely told. What Miyazaki invests in is creating worlds. Moody spaces. And so we savour the film's postcard images of Croatian and Italian villages, its lovingly drawn architecture, Gina's cosy island château (seemingly modelled on Rick's Bar in ""Casablanca""), gorgeous Adriatic inlets and coastlines, beautiful landscape shots, interesting machinery and Miyazaki's large cast of good natured friends and foes. Throw in master composer Joe Hisaishi's gorgeous score  romantic, easygoing, suggestive of the French Rivierra - and this film kills you with aesthetics.All of Miyazaki's other obsessions are here  flying, European/Mediterreanean towns, an aesthetic which suggests a fusion of time periods, little girls, air-planes, airships, Ozu-like still-life tableaux  except environmentalist preaching. The absence of this sermonising makes ""Porcco Rosso"", like ""Kiki's Delivery Service"", one of his most laid-back films. It's less about plot than it's about ambiance and environment. What little plot there is, is itself all suggestive; suggested romances, suggested pasts, suggested futures.The film is packed with great scenes, some of them resembling Carroll Ballard's ""Wind"", released the same year (one film revolves around building a boat, the other a plane). Beyond the film's dog fights and aerial battles you have Gina's wistful, aching love for Porcco, whom she affectionately calls by his human name, Marco (Gina's love, made wise by age, is mirrored to the young puppy love of a 17 year old girl). It's a weird interspecies love affair, peppered with flashbacks reminiscent of Leone's ""A Fistfull of Dynamite"".The film's ""beauty and the beast"" romance has led to much speculation as to why exactly Porcco is a pig. The film seems to say that Marco put a spell on himself: he views himself as a pig, as being unworthy of living, and it is only gradually, through the validation of others, that he comes to realise that he's not all that bad.In terms of the flaws, the film's villains are too idiotic. They're bumbling buffoons and their juvenility at times takes you out of the story. Incidentally, many fans of the film wage fierce battles over which of the film's dub tracks is better. Purists prefer the Japanese track, a few like the American track and many prefer the French. The French version, in which Jean Reno plays Porcco, is far better than the Japanese dub, and even Miyazaki thinks so himself. Personally, though, I think ""Porcco Rosso"" is the only Miyazaki film in which the American (or Disney) dubbing is much better than the original Japanese voice acting. Here, actor Michael Keaton plays Porcco, mixing a little Bat Man, pig and Bogart to great effect. Actress Susan Egan is also suitably classy as Gina.10/10  For an alternate take on similar material, see Mamoru Oshii's underrated ""The Sky Crawlers""."
9,Porco Rosso,10,10 April 2004,One of the greatest animated film,"Kurenai no Buta is, as anything else created by Hazao Miyazaki, a sublime work of art. However this film is very different from the rest of Miyazaki's work, as it aims at a grown-up and mature audience. The story is a metaphorical tale about the true nature of man and humanity. Set within the historical background of the rise of fascism in Italy, it is one of the most cleverly written animated film I've ever seen. As usual Miyazaki's boundless imagination brings on screen some colourful characters you're not likely to forget, among which a bunch of maverick but good hearted air pirates (very much like in Castle in th Sky). It also introduces more complicated characters, with real depth, like Porco or Madame Gina. The film also contains some amazingly beautiful and graphic sequences, with detailed landscapes seen from the sky and plane chase over the sea. This film gives a true meaning to Animated Film. It is without question a Must see."
