,title,stars,date,r_title,text
0,Robots,9,25 January 2006,Tons Of Gags & A Good Message,"Animated movies are usually pretty good but nothing that great to me. However, this one is a ""keeper."" It gets high marks for all the jokes in here, lots of which are adult-style but not sleazy or filled with sexual innuendos, although there are a few of those, enough to make this PG, not G. However, the vast amount of clever lines is the main attraction here.Actually, the jokes come so hard and fast, it's hard to keep up with all of them. The visuals aren't gorgeous, as many modern-day animated films have become, but they are interesting. Not only is there a ton of gags to hear, but there are to see, too. You almost have to stop it frame-by-frame to see all the funny stuff penciled in the artwork.The story couldn't be simpler but it manages you keep your attention and doesn't overstay it's welcome, although I think animated films are more effective it they don't go over 80 minutes. This one is closer to 90.There is a good message in here, too. Maybe I'm mistaken but what I heard was the idea that just because people might be old, decaying and not as productive for society, it doesn't mean you have to discard them. Life has value and is precious from conception to dying of old age. Amen to that!"
1,Robots,,13 March 2005,Superb!  Classic Robin Williams!,"Sure, this is mostly a kids movie but as you have probably read many times, there is enough humor aimed at the adults to keep them entertained while with the kids. This is definitely good for all ages.Ewan McGregor stars as Rodney Copperbottom but it is clearly Robin Williams who steals the movie as Fender. He clearly overshadows McGregor, Halle Berry, Amanda Bynes, Mel Brooks, Greg Kinnear and all others involved. Of course, this is really about the animation. Everything about Robots is rendered exquisitely. The time and effort that must have went into making this movie is astonishing.I have read a few comments and reviews concerning Williams being annoying but that is absolutely 100% UNTRUE! I thoroughly enjoyed William's performance, which is saying something considering it is only his voice. Robot's marketing of William's character was not misleading. It is exactly as seen in the trailers. If you thought it was annoying, then why see it? Some people need to smarten up I suppose.Don't believe the haters here. Most only want to go against the grain. If you did not enjoy Williams' performance in the trailer, then please don't be disappointed when you see the same thing in the movie. I can honestly say that this is a great movie-going experience for everybody."
2,Robots,,7 December 2007,Planet of the Robots,"'Robots' is an entertaining animated film that is both funny and delightful. The animation is wonderful and has its own style. Even though it's not exactly of the Pixar quality, that actually works for the film especially with the motions. Colour has also been impressively used. The robot world is spectacular to watch. The designing is brilliant e.g. the train station and robot city.It includes a huge impressive ensemble of voice actors (sadly most of the cast is wasted) but not all the actors were efficiently used and many suffer due to poor character development. Ewan McGregor and Robin Williams have most of the lines and they do reasonably well.The film has a soul but the screenplay doesn't stick to the main plot. There are several plot holes and perhaps (as fun as they are) too many characters that lack development. In spite of its flaws, it's very much watchable, especially with the family. It is visually stunning and there are many funny moments, but there's surely something missing. You don't take anything away with you after the film's finished."
3,Robots,8,18 April 2006,*much* better than I was led to believe,"I don't think that (with the notable exception of one thread here on IMDb) this movie gets enough credit. The animation was darn good, and the humor had me laughing an awful lot. As a comedy this certainly hit the spot. I think if you enjoyed Ice Age, you could certainly find yourself enjoying this film as well.Sure, as some have pointed out the ""characters weren't really developed"" and ""there were a lot of characters involved"". *shrug* Who cares? I didn't sit down to watch this expecting to have a well-written Shakespeare play acted out before me. I sat down expecting to enjoy myself, laugh, and forget about the world around me (for the time being, at least). This movie gets a check in all three columns."
4,Robots,,5 March 2005,"Great animated film, adults will enjoy this one","I attended an advance screening for this film with my daughter and her friend (both 3). They enjoyed it, but I think older kids will be much more into it. There was also a lot of humor that will be appreciated by adults. I have seen all the computer animated films of recent years(Toy Story, Monsters Inc., Nemo, etc.) and I feel this one ranks up there with the best. This movie is visually stunning. The robot world created for this movie is unbelievable. There are some pinball like sequences that I found fascinating (Rube Goldbergesque for the older folks). This movie is quite funny. I am usually not a big Robin Williams fan, I find that he can be too in your face and distracting. That really was not the case in this film. The plot of Robots was good, but I did not walk out of the theater talking about the story lines. It was all about the visuals."
5,Robots,7,11 March 2005,"Technically Amazing, laugh-out-loud funny in other parts","Robots is probably the most technically amazing computer-animated movie I've ever seen. When you stack it up against a movie like the original Toy Story, it's astounding how far they've come in about 10 years. There is a scene were a drum of tiny ballbearings falls over, and each ballbearing is rendered perfectly. Amazing.The voice acting in Robots is just fine, with the ensemble cast providing a nice mix of auditory delights(although I saw Jim Broadbent's (the dad in Bridget Jones') name in the credits and was unable to identify him in the movie. Greg Kinnear did a fine job and Ewan MacGregor was also decent. The biggest question mark was Robin Williams. Before the movie I found myself wondering how he could top the 'Genie' performance in Aladdin. The answer is he doesn't, but his character is responsible for a few VERY funny bits and I think he pulled it off well.Now humor in the movie... It was clear to me that at least 80% of the adults in the audience weren't getting many of the references. If you are old enough/smart enough to catch these, they are hilarious. My favorite being when Rodney is repairing Bigweld's head and Bigweld is singing 'Daisy' very slowly. Priceless.All in all a great movie, and I also suspect this movie will improve with subsequent viewings. Where a Shark's Tale just becomes tiresome after one viewing, I am looking forward to viewing this movie again.Lastly, my 6 year-old son LOVED the movie. We saw it in IMAX and it completely blew him away."
6,Robots,8,12 October 2010,Good Animated Film!,"I'll admit that I did not want to see this. I thought the trailers were utter crap. I mean I saw too many robot movies when this first came out. I thought I would only stick with I, Robot, but I was forced to see this. I was pleasantly surprised how good this was, so I bought the DVD.This is about a robot named Rodney Coperbottom. He decides to go to the city to show off this invention to the famous Mr. Bigwald. Unfortunately, Bigwald is out of business and in order to get to him, he must face some evil corporate execs.This film featured a magnificent voice cast noticeably Robin Williams. I could recognize his voice in about anything, even in Happy Feet.The animation is good, nothing special. This is a good film to have the kids watch. I rate this film 8/10."
7,Robots,8,10 September 2009,Robots (Widescreen Edition),"""Robots"" comes to us from the creators of ""Ice Age"", but trust me- these are 2 very different movies. Rodney is a robot who's grown up in a middle class society. He's a bit rusty, his paint is chipped, his ""parts"" are hand-me-downs, and his father works as a dishwasher for a big-mouthed boss. I think that MANY people can relate to this situation, and in a subtle way, it's totally believable. Rodney is an inventor, and he dreams of making a better life for his family, and becoming something great. This is where his journey begins: on the road to bigger and better things. He finds himself in front of the Bigweld Corporation (to show his inventions), and of course because of his class- is denied entrance. An arrogant robot named Ratchet is trying to take over the company (with help from his retchid mother, Madame Gasket, who plans on turning all lower robots into scrap metal), and nobody seems to know where Bigweld is. With help from his new friends along the way (Fender -voiced by Robin Williams, Piper, Crank, Diesel, Lug, Cappy, Wonderbot, and Aunt Fanny)- it seems that no matter the obstacle, Rodney's life is about to change for the better. His plan: to find Bigweld, and stop Ratchet from destroying all the lower class robots. The visual effects in this movie are astounding! It's clearly a remarkable feast for the eyes. The cities are creative, as are the characters. There is mild , suggestive humor, but nothing terribly offensive. Robin Williams and Jennifer Coolidge (Aunt Fanny) are hilarious in their own right. There are MANY bonus features, including a behind the scenes, interviews with the voice-over actors, and even some games that you can sort through using your DVD player's controller. All in all, you get your money's worth with this movie, and it's enjoyable for the whole family!"
8,Robots,8,5 November 2005,Brilliant but not a patch on giants such as Finding Nemo and The Incredibles,"Robots- This film is pure excellence right from the beginning to the fascinating finale, this animation sees Robin Williams at his best. I find that the beginning of Robots drags on a bit, but when he catches the train to Robot City that's where the fun really begins. The scene where Robin Williams character is on the slide thing is one of the best scenes in the movie. My favourite character has to be Fender (I think that's his name)- the one that's always losing his parts. My favourite scene is towards the end when all the good robots are fighting the evil, upgraded robots and Fender is dressed in up like a school girl and belts out Britney Spears number 1 hit 'Hit Me Baby One More Time' while he's bashing the upgraded robots on the head. 8/10 brilliant but not a patch on Toy Story, Finding Nemo, Monsters Inc or The Incredibles."
9,Robots,7,14 March 2005,Stupendous visuals only barely make up for a forgettable story and characters,"The first 2005 film I've seen, and, really, it's the only one released so far this year that I have had even the littlest desire to see at the theater. It was worth seeing, but it's forgettable. The visuals are absolutely eye-popping. The film's best sequence is a Rube Goldberg-esque public transportation system across town. I think if that had gone on for 90 minutes, we would have had some kind of masterpiece on our hands. Instead, we get a dull story of a group of nearly outmoded robots rebelling against an evil company that is no longer building spare parts. The head of that company used to be all for the common folk, but he's disappeared and left a despot in his place. The underground area, where they melt scrap, is really cool, and reminded me of The Nightmare Before Christmas. Madame Gasket, who rules this part of the city, was the most interestingly designed character. Robin Williams is very annoying, but, to his credit, he is playing a character here, not just himself. I wasn't thinking ""Man, is Robin Williams annoying,"" but rather, ""Man, that character Robin Williams is playing is annoying."" I doubt that could be taken as much of a compliment, though. All of the other main characters are especially forgettable, especially Halle Berry's character, who is supposedly the female lead. I think most of the audiences wanted the protagonist to end up with the second female lead, who is a tad more interesting. And I think the filmmakers realized this, too, because the hero only barely ends up with Berry at the end. The movie is also in need of laughs. I chuckled a bit, but that was all. The funniest moment is the robot who does the robot dance. As much as I can complain, though, I would still highly recommend (renting) it for the visuals alone."
