,title,stars,date,r_title,text
0,Sing,9,26 November 2016,Great songs and great characters,"I knew I was in for a good music movie when the first song gave me chills.I went into this movie expecting lots of songs and gags, and they are there, but I didn't expect to start caring about the characters and their stories. SING brings together a talented cast and writers for a movie that transcends some of the animated movies out there. The whole family loved it so feel free to bring anyone from 5 on up. Even the younger ones may enjoy it when it's available at home.Every voice actor delivers and the animators nailed it. The pacing and directing are also very well done. In fact, I could have done with even more of the ""auditions"" at the beginning."
1,Sing,10,19 December 2016,Excellent movie. Clean entertainment for kids.,We saw Sing at a free preview organized by the makers and AMC. I really enjoyed watching the movie with my kids. I appreciate the fact that the makers did not resort to toilet humor to generate laughs. The entertainment was clean. There were no unnecessary sexual references.I like kids movies that inspire and Sing managed to do that. It encouraged kids to get over their fears and try against all odds. All the characters were lovable and unique in their personalities. Movie also had some very good music. Length of the movie was just fine for kids. My kids sat through the whole movie and did not get bored or restless till the end. Everybody in the theater seemed to have a good time. Nice feel good movie to watch with the kids. Go for it.
2,Sing,10,4 December 2016,Brilliant,"I have just seen Sing with Hubby and two 7 year old's we all thought it was absolutely brilliant. It is rare for us all agree we all enjoyed a film. In fact this is the only one this year.The music was first class lots of heads rocking to the beat, it had a good variety of music and I am even considering getting the soundtrack.Rosita Pig was my favourite character and I thought Reece Witherspoon had an amazing voice though really all of them were good singers.If you are looking to start the New Year off (as due for release in January 2017) I cannot recommend going to see this film enough as ""fun for all the family""."
3,Sing,10,12 December 2016,SING will Blow You Away!,"We just finished seeing ""SING"", and it is undeniably effervescent and will make you leave your cares in the cinema and burst with youthful glee as you witness the effect of the performances on the little children (and some adults), and the happiness emoted from their actions. IF that doesn't make you want to see this movie...you probably shouldn't, for it will possess you with a spirit of joy that you'll have to later explain why your body was moving the way it just did. This is a great Family Movie that everyone will enjoy, for young and old, 8 to 80, blind, crippled or crazy...this is a must see Holiday Treat!"
4,Sing,8,22 December 2016,Sing,"I went into this movie not expecting very much. I had recently seen Zootopia and Pets, both animated movies set in worlds full of solely animals, and had similar expectations. Sing, however, had much more of a plot than I had expected. The animals go through some real issues and struggles faced by people who own small businesses or businesses related to fine arts. This is a good movie to take the kids to as it is animated, full of songs, and family friendly in its humor. The outstanding cast full of big names in the must industry makes the movie more inviting to parents as well. Overall, this movie was worth the watch."
5,Sing,9,21 December 2016,Sing is the most enjoyable of the musical computer-animated movies we've seen this year!,"This is the third computer-animated movie in a row that features actual singing by the characters after Trolls and Moana. The title basically means just about every character is singing something because it's about a singing contest being produced because the producer wants something that brings the people to his theatre, not like those previous shows that didn't do much for his career. Seems like all genres of music from various decades is represented here. My movie theatre-working friend was especially enamored with the gorilla singing a song associated with his favorite singer, Elton John. This movie does show the struggles of putting on a show and possible disasters that happen when risks are taken. I really don't want to reveal any more so I'll just say that me and my friend highly recommend Sing."
6,Sing,9,29 November 2016,"One of the Best, Feel Good films of 2016!","I got a chance to view ""Sing"" at a early Pre-Screening and it was an absolute blast. Starring the film was an all star cast, too many to name and they all did a spectacular job singing and acting, the main star that gave me goosebumps singing was Tori Kelly, she can sing the house down. The movie was a feel good movie and it had things for both Kids and the Adults to enjoy. Me and the audience laughed throughout and enjoyed the film, we even clapped when the end credits rolled. This by far to me beats ""Secret Life of Pets"", I thought ""Secret Life of Pets"" was an okay film but I was so disappointed. I Highly recommend everyone to see ""Sing"" when it releases in theaters December 21st."
7,Sing,8,29 December 2016,Why would it be this,"The twists are predictable, the scenes are unlogic, 5.5/10, can't be any higher.But...wait, why would it be this? Sure those are the thoughts in my mind, but why hands are shaking, why there are jellyfishes swimming in my eyes? Although there is the most clichéd routine, and the most nonsensical plots, but with the earnest production and the performance with the true heart of every filmmaker, animator and voice actor behind the scene, there is a film provided to us, beyond compare. As a foreigner, I think those maybe the one reason why the US is great, the children in the auditorium are cheered for the roles, with the audience in the film together, when the film about ends, and then the adults are cheered with children, too. I think after years, when those children grew up, there must be someone who will always remember the night he/she had been planted a seed in the heart, named DREAM. This film is similar to La La Land, but still different. On is the love story for adults, but another one is the modern fairy tale for young and old. The only thing there are same is Dream, the eternal topic of human being. 1 point for Dream, and 1 point for cheering audience in the auditorium. 7.5/10 highly recommended."
8,Sing,10,4 January 2017,Took my 12 year old to see it and we were both BLOWN AWAY! A++,"So no joke, I bought the soundtrack while the credits were rolling for the car... for me the Mom! I was so utterly impressed, never got bored and thought it was a kiddie movie, never not wanting to hear the next song. Who ever chose the songs they perform is genius. I still cannot get over the vocals of all of the actors, they were incredible. Jennifer Hudson's rendition of Golden Slumbers is soul lifting. We just saw t after the Christmas rush in 3D, and that was the best way to really appreciate it. If your tween wants to see it, this is one you as a parent will love.❤ I can't get over ""Eddie the Eagle"" as ""Mike"", his vocals are beyond incredible."
9,Sing,9,22 December 2016,SING!...some more,"This movie was equally exciting for both adults and children and honestly, I couldn't tell you which of whom had more in the audience. By the trailer alone, I could tell that this was going to be captivating due to the fact that it was not animals singing but familiar voices as well! They also sang current songs and some older songs during the audition portion but I believe that was truly them catering to their audience and they hit the nail on the head with that one. Each actor/actress delivered for their character immensely and I was shocked to see that a few of them knew how to sing! The beginning was...interesting. It caught my attention (the voice and not so much the sheep) but I was glued once the main character began to speak about his present life. The most exciting part of the movie was the lessons in it which was people will do what they want to do when they want to do it and never be afraid of doing what you are good at! I hope a sequel comes out soon!"
