,title,stars,date,r_title,text
0,Sita Sings the Blues,10,14 August 2009,A Blue Man Can Make a Woman Blue...,"My comment on the film: Bloody marvelous. ""Sita Sings the Blues"" shows how one person with a laptop computer and something to say can make a far more satisfying work than 90% of the garbage that gets cranked out by people with a thousand times the money but one-thousandth the inspiration. Whatever its entertainment value (which I found considerable), ""Sita..."" is a work of ART; it's an individual statement. But it's not simply the ""message"", either; in terms of execution, Nina Paley made as effective use of this tool (Flash animation) as I would ever expect to see.My comment on previous comments: Some have suggested that the piece would be ""better"" if Paley had left out the autobiographical bits, but that's simply nonsense. Her own story is integral to understanding how and why she chose to tell Sita's story the way she did. It isn't simply ""background"" to the telling of a story from the Ramayana; the piece is a meshing of Sita/Nina. By making the legendary story relevant to one woman's life, we see that it can be relevant to the lives of many. If the ""point"" of the work were simply to present the Ramayana on film the way ""The Ten Commandments"" is a filmed presentation of the Book of Exodus, it would be kind of silly to have Sita break into Blues songs in the first place, wouldn't it? Ms. Paley uses Sita's story as raw material, and uses Annette Hanshaw's recordings as raw material, to create something new and personal and totally contemporary.I can only hope that John Lassiter sees ""Sita"". Not that I think Pixar has any need to learn anything from Nina Paley, but maybe he can channel some Disney bucks to her so that it won't take her five more years to produce a follow-up. (Just so long as she's allowed total creative control.)"
1,Sita Sings the Blues,8,24 July 2009,"A monumental achievement for Nina Paley, and a bloody good time for the rest of us","There are some movies that cannot be viewed separately from the story of their making - 'Citizen Kane', 'Apocalypse Now', virtually anything directed by Werner Herzog - and I feel that 'Sita Sings the Blues' is one of them. To put it mildly, Nina Paley has completed a Herculean task by making this film: 82 minutes of animation, fluid and beautiful, in four different styles, all on her own, on her own personal computer. For that fact alone, 'Sita' is a marvel.The picture leaks creativity at the edges. This is readily apparent even in the basic idea of it - the Ramayana of Valmiki, with songs by '20s jazz singer Annette Hanshaw as the singing voice of Sita, intercut with the India-related breakdown of the creator's own marriage, which paralleled Sita's, narrated by three 'Desi' English-speaking Indians that can't agree on the details or the motivations of the characters and analyze the story constantly and hilariously as they tell it. And all of it is animated.The animation is, like the rest of the movie, bursting with life. There are four styles, each used for a different story thread - a cardboard-cutout style for the narrated bits and hallucinatory interludes; a scratchy, Richard Condie-like style for the autobiographical bits; a Mughal miniature-like style for the traditional Ramayana bits; and a tweening-heavy vector graphics style for the song-and-dance Ramayana-meets-the-Jazz-Era bits. The first two thirds of the film establish which style is used for which story very firmly, making transitions and digressions easier for the audience to handle - a glimpse of a scribbled New York prepares us for autobiography, colorful rooftops for a Ramayana segment. Thus the picture's leaping about becomes almost natural after a while, and is never jarring. Also, laying down these ground rules pays off toward the end of the movie, when Paley starts to break them: this grabs the viewers' attention and sets the audience on alert when voices that we've been conditioned to expect while looking at cutouts intrude upon Flash animation. In short, Paley makes sure transitions aren't jarring so she can jar us with them later, to good effect.For example: at one point in the movie, the three Indian narrators tell us of a trick by an evil king to lure Rama away from his wife Sita so that the king can kidnap her while he is gone. We watch the plan hatched in cardboard-cutout style. We see it executed in Mughal miniature style. And we see the actual kidnapping occur during a Hanshaw song in the vector graphics style. Rama learns of his wife's disappearance in . . . Mughal miniature style. You, watching this, can never truly be impatient because you want to see what the screen will do next. That is high praise for a filmmaker.Most importantly, of course, the film is hysterically funny. The most humor (at least for me, as a Pakistani who gets the in-jokes) flows from the narrators, who try to remember the old story as they go along, discuss it, question its logic, think better of questioning its logic ('Don't challenge these stories!') and generally provide non-stop entertainment before the plot - which, really, is hardly a narrative masterwork - can move along. There are also several satirical barbs directed at the Ramayana as the behavior of Rama and Sita grows ever more unrealistic to twenty-first century listeners, what with sexism and vague motivations, but only the prickliest devotee can claim offense. The movie is, above all, good-natured - although Paley really is very VERY angry at that husband of hers.Just a note for anyone that understands Urdu or Hindi: the bizarre three-minute intermission halfway through the movie is the funniest part of the film due to one remark by what can only be a middle-aged auntie in the movie theater about the nature of the 'picture'. Keep your ears picked as the countdown ends. Trust me. It's easy to miss.Why only an 8, then? Reading what I've written, I sound absolutely ecstatic. But then, 9 stars for me is only for classic material, and I don't think 'Sita' is quite that. This is no masterpiece. It's just a thoroughly enjoyable movie that bursts with innovation and - pure and simple - irresistible style. Not enough filmmakers these days make movies that need to be 'pulled off'. Making 'Sita' cannot have been a safe or easy choice. Hats off to Nina Paley.By the way, due to copyright restrictions on the Hanshaw songs, Paley has been unable to release the film in the traditional way (for profit), and is giving it away for free on her website. Go watch it, and be sure to thank her afterwards.Highly recommended."
2,Sita Sings the Blues,10,3 May 2008,Dazzling,"The glamour of India, the glamour of the 1920s, the depth-sounding drumbeat of the ancient mythic world, and the woman who loves the wrong kind of man  Nina Paley gets them all together, along with a relevant chunk of autobiography about a disappointing husband of her own, in her dazzling first full-length animated feature.In the ancient Indian story, the Ramayana, Sita is the wife of the man-god Rama, and the embodiment of the Virtuous Wife. She suffers one awful punishment and test after another from her mistrustful and apparently other-directed (what will people think? etc) husband. In Paley's movie, Sita steps forward from time to time to sing a torch-y Jazz Era song (""Mean to Me,"" and the like) in the voice of Annette Hanshaw, a stylistically elegant and not-well-enough-known voice of the '20s.Sita's story (kidnapping by 9-headed king, rescue by Rama, rejection by Rama, monkey-god help) alternates with modern-day episodes about Nina's own real-life inexplicably disintegrating marriage, and also with the occasional very funny and illuminating conversation about the Ramayana and its meanings among several of the filmmaker's witty and well-educated Indian friends (""The king had four wives . . . no, three wives . . . three wives and four sons, that's right!!. . . . "" ""You know if Sita had just gone with the monkey a lot of lives would have been spared . . . "").You can enjoy it just for the luxurious pleasure of Paley's use of Indian artistic styles in motion, from powerful ancient Hindu motifs, to detailed Moghul-ish backgrounds, to deliriously gaudy street-market devotional calendar art. For myself, I also came away with the best grasp I've had yet on the Rama-Sita story, more than worth knowing both on the archetypal front (Some Things Never Change) and as background to the hundreds of Indian movie stories that take it up from one angle or another.July 28, 2009 NOTE - now on DVD!!"
3,Sita Sings the Blues,,14 July 2008,animation on a laptop,"The vocalist in Sita Sings the Blues is Annette Hanshaw, a jazz vocalist 75 years ago, now probably unremembered by all but researchers. She is remembered now as one of the integral elements in Nina Paley's beautifully animated first film, produced on her laptop computer over a period of five years. For me, this is a landmark film in dissolving my resistance to animation.The other elements so well integrated are the personal history of Nina Paley's broken marriage, the analogous situation of Sita's rejection by Rama in the Indian epic, Ramayana, and animated (in both senses) conversation about that epic.I first enjoyed this in a press screening for the 2008 Seattle International Film Festival. Then I took visiting relatives, including a 9 year old granddaughter, to see it. All were delighted. This is that rare film that appeals both to children and adults.The animated Sita reminded me of Betty Boop, but with a greater emphasis on the boobs. Time does march on."
4,Sita Sings the Blues,10,30 December 2009,the best animated musical of the decade... sorta,"Nina Paley is the kind of filmmaker that makes the auteur theory look dated. This isn't a case of a director putting her vision on the screen via a crew of technicians and a cast of actors. This IS her vision, down to all of the designs and animation, which she did over the course of five years (a dedication of time that recalls a director like David Lynch on Eraserhead or Inland Empire). It was all done on computer- reportedly only one intern helped animate some of a battle sequence- and it's being presented for free on the website for Sita Sings the Blues. And yet, if you have a chance (as I had) to see it on the big screen, it's one of the events of the year if you love animation and daring in film-making.It's a personal story of Paley's break-up with her boyfriend (who did it, savagely, over email), and put into a context of the story of the Ramayana, an ancient Indian story about a woman, Sita, and her bond with the blue-skinned Rama over a lifetime. At the same time Paley uses animation and music and documentary and the free-wheeling expression of cinema to make it unconventional. We see Indian drawing figures ala Monty Python animation discussing story points as they go along, which name is who's and what detail really happened, etc. And then there are musical segments put to Annette Hanshaw, a 1920's jazz singer, to illustrate Sita's journey through the turbulent ups and downs of romance.Sita Sings the Blues is joyous entertainment. One can tell that Paley was exorcising some past strife, namely from her own break-up that we see in the film in a scraggly Dr. Katz style of animation, but what's most striking is how it's tragedy is never ever a downer. On the contrary this is a comedy in a fresh sense, where the absurdity keeps coming in little unexpected ways, like with the figures of the monkeys in battle, or how the discussing members talk over the details of the Sita cast members. And the musical numbers are just about the best one has seen all decade (which goes without saying the lack of competition, but still), as we see Sita sing her feelings and thoughts, sometimes in happiness and sometimes totally down in the dumps (re: her pregnancy and abandonment after being rescued).There's a complex web of emotions that Paley navigates through, and she does it so confidently that it's hard not to marvel at her achievements here. It's an independent film in the best sense of the word, the truest sense, uncompromised by studio interference or for any kind of 'demographic'. It's a dark comic feminist musical fable that includes an intermission, a cast of hundreds (animated, not voiced), and it strikes up your heartstrings in the best possible ways. It's a post-modern breakthrough, and I can't wait to revisit it, oh, right about now I would say."
5,Sita Sings the Blues,10,12 September 2009,Welcome to Paley Ramayanam!,"'Sita sings the Blues' is an independent animated movie that re-tells the Ramayana using mainly 2D animation and some immensely refreshing screenplay. The premise unfolds in three parallel tracks  one, with an American couple living in New York with the husband getting a project in Trivandrum in India; two, three Indians (yes yes, actual Indians!) voicing three shadow like caricatures bickering and debating about the events that Ramayana is popular for and a third, sort of, platonic/musical track is the animation piece where Sita breaks into one of Hanshaw's classics every time a relevant situation presents itself. Like 'Daddy wont you please come home' when she is abducted by Ravana or 'Who's that knockin' when Rama arrives at Ravana's door with his 'vaanar-sena' to rescue her. The moments and the way these songs lend themselves to the scenes are absolutely brilliant.What also becomes obvious is how unassuming and non-philosophical the whole thing is. Even the dialog between the caricatures in Ramayana is so simple and regular, that one can't help but giggle when the evil Kaikeyi says to Rama on his banishment  'Don't let the door hit your ass on the way out!' Is that not what she really would have felt like saying anyway? This is seriously funny stuff.What also gets your attention quickly is the absolutely gorgeous artwork. Be it the drawings that are set to a very 'Rajasthan painting' like motif or the 2D animated waist wiggle that Sita gets into whenever she thinks of her beloved Rama and voices out classics from Hanshaw's collection. There is also one brilliant piece just after intermission (and may I add, that was the best intermission I have ever seen in an animated piece!) by Todd Michaelsen called 'Sita's Fire' are plain awesome. The way these various types of art pieces blend into one another with such finesse without taking away from the main plot is an effort that can only be described as  genius.But then 'Sita sings the Blues' is more than just eye catchy drawings, a narrative that holds you in place and a much contemporary way to retell the epic with the most unlikely Jazz legend for the songs! It is about demystifying the way Ramayana has been told for so many centuries in our country. We have Rama as a brave warrior who, despite being a just King and a righteous man, falls short of being the perfect husband and father. In 'Sita sings' not only is he portrayed as extremely human and intensely flawed, but even the 'God' factor is finally skinned out which, I thought, was such a refreshing thing to do. For so many decades there have been murders, riots, rapes and looting in India using Rama's name as the only rationale. It was definitely about time someone gave that a bottom line and presented a much more mature, albeit said in a kindergarten level intellectual sequence, and realistic way to see and use the teachings from this epic. Something that actually helps the American woman in the parallel story track to do once she gets her hands on the Ramayana. What also makes you reflect on your own knowledge of the story is how Ravana, the villain of the piece, is hinted at being the actual good guy in the story! A thought that had never occurred to me. Sure, he abducted Sita against her will but hey, was that not all he had done to wrong Rama? He didn't touch her person. He didn't force himself on her in Lanka. Heck, he didn't even make Herculean attempts to find Rama and finish him off. A thought that throws more light on Ravana's much ignored and definitely much clichéd personality in our modern history.I strongly urge everyone to see this beautiful masterpiece of a movie not just to appreciate the artistic value it so boldly embodies but to also understand the subtleties with which it tells us how to get our priorities straight without being preachy.The only 'drawback', if I really had to pick, would be the slightly feminist seeming climax. Maybe it is just me but again, maybe it was a tongue in cheek ploy at looking at how Hindu mythologies have always worked. I am unsure. But somehow I felt it could have been choreographed in a less assertive manner.Nevertheless, this now is officially in my 'all time favorites' list!"
6,Sita Sings the Blues,10,14 April 2009,A Nutshell Review: Sita Sings The Blues,"Featured in last year's edition of Animation Nation, I finally got a chance to watch this masterpiece by filmmaker Nina Paley when she released it on the Internet under the Creative Commons License. And it is without a doubt that this piece of animation is well worth every minute of your time, especially when the visuals just arrests your attention from the get go, and has some wonderful music and songs by 1920s jazz singer Annette Hanshaw, who provides the titular Sita with her singing voice.Based on the epic Indian tale of Ramayana, focusing on the love triangle between Rama (voiced by Debargo Sanyal), his virtuous wife Sita (Nina Paley herself), and the adversary in the form of Ravana (Sanjiv Jhaveri) who lusts after Sita and kidnaps her, I have gotten a glimpse of this storyline when it got featured in films such as Swades and the more recent Delhi-6. Essentially the extracts in those film featured how Ravana kidnaps Sita for her beauty, and wanted to make her his wife, only for her to hold out enough for Rama to find them, and to kill Ravana in an ensuing war.The story here expands that tale a lot more, starting with how Rama got banished from his kingdom by his father the King, and together with Sita, roams a forest until her kidnap, their reunion, and how Rama decided to banish her given his incessant suspicion that she may not have been pure, and got violated. It's a sad love story in a way, and this film provided just enough to pique your interest in wanting to read up more.It's quite amazing how Paley herself directed this piece of magic, and adopted various animation styles to tell a story, and a musical, and has a separate tale set in the modern day to parallel that of the epic tale. I am speechless by how wonderful the opening credits got designed, fused perfectly with the song playing in the background. Her choice of the Annette Hanshaw tunes were a wonderful touch that fit the story to a T, and this can only be attributed to some astonishing creativity and innovation that Paley had demonstrated, and I can't help but to want more.The shadow puppet narrators (Aseem Chhabra, Bhavana Nagulapally and Manish Acharya) stole the show each time they're on, as they sound just like your good pals who can't wait to give you the lowdown on what they know about this tragic love triangle. They're hilarious and never at any point felt deliberately so, with that very natural feel about the way they want to tell a story.I would have loved to experience this in a big screen theatre setting, but I guess that would not come anytime soon. So the next best alternative was to download the highest resolution version available to watch this astounding piece as well as to admire the striking attention to details that Paley so lovingly and respectfully put into the characters. You would do yourself a favour and watch how Sita Sings the Blues, as it's a definite must-watch in my books!"
7,Sita Sings the Blues,10,31 October 2008,Terrific Film!!!,"I saw 32 films in just under 2 weeks at this year's Chicago International Film Festival & SITA SINGS THE BLUES was one of the very best on the entire schedule (& believe me, there were lots of contenders). Paley uses great technique (including four diverse styles of animation) to tell a poignant story that every woman who has ever been in love will certainly understand.This is a great artistic accomplishment: creatively distilling intense personal pain into great art! BRAVO, Nina!!! For more on this year's CIFF, see my blog: http://www.thehotpinkpen.com/?p=725"
8,Sita Sings the Blues,7,22 January 2009,Good eclectic fun,"While I still prefer ""Les Triplettes de Belleville"" for absolutely off-the-wall animated fun, this film rates high in the same nuttiness-meets-cultural-erudition category. The use of (mainly) Gus Kahn's early standards set against the Ramayana - and, then, just enough to create some counterpoint, the disintegration of a relationship - stretches the viewer's mind out of set categories, and makes for a lot of wit en route. The fact that the Indians discussing the epic make a fair number of factual mistakes (at once corrected) is amusing in itself - kind of like listening to nominal Christians confuse incidents from the New Testament. There's a gentle but clear thread of feminist indignation implied in the satire along the way. And many of the images are simply beautiful. - I do have to wonder, though, how this would (will?) be accepted in India, where, as the credits note, one satirical work on the Ramayana is already banned."
9,Sita Sings the Blues,10,2 March 2009,15 stars out of 10!,"This movie combines all the wonderful elements of mythology with the winsome voice of Annette Henshaw and her own life experience as her marriage dissolves.This movie combines the absolute best of animation, music and myth. It is wonderful for kids, adults, those familiar with the Ramayana and those who know nothing about it...Worth every minute of it's one hour and twenty minutes... don't MISS the opportunity to watch it! As soon as the DVD comes out I am going to buy it to use in my Mythology class. I believe it is the perfect video to introduce the Ramayana to my students."
