,title,stars,date,r_title,text
0,Songs from the Second Floor,10,3 February 2005,Bizarre and brilliant,"SONGS FROM THE SECOND FLOOR is honestly one of the best films I have seen so far in my years of cinematic appreciation. Alice, below, nailed it in her analysis, and there's little I can add that would be useful. I also agree with the critics who compared it to what would happen if Monty Python set their sights on Bergman. The film is both a character study and a meditation on humanity, filled with transcendent moments of beauty that left me completely stunned. It is also a biting satire of corporate greed and its effects on society, and the search for hope in a dying, empty world filled with people who've basically given up. SONGS is a great film that everybody should see."
1,Songs from the Second Floor,,15 March 2001,a modernist masterpiece,"One of capitalism's favourite pretences, especially when making bogeymen of alternative ideologies, is that is is natural, the obvious orientation for any society, the inevitable result of progress, while all other systems are theoretical, foreign, applied.  'Songs from the Second floor', which could be subtitled 'Fall of the Western Empire', takes this assumption literally , and makes late capitalism the natural environment in which its drama plays itself out.The ethics of capitalism are figured in architecture, in the way people compartmentalise and miniaturise their lives, the way they treat other humans, the mechanical way they move.  The film's look is updated Kafka - the nightmarish bureaucracy, the endless corridors, where the individual is arbitrarily humiliated, furtively watched by a frightened audience behind adjacent doors.  The recurrent motif of the film, besides the endless triangles, is of frames - there is not a single composition that doesn't give onto other frames: windows, doorways, corridors, elevators, streets, etc. - like a kaleidoscope, the mere switching on of a light can radically reconfigure these spatial arrangements.  This might seem to open up a very claustrophobic world, suggesting another world beyond the rigid frame we watch; rather, it creates a hall of mirrors effect, one world reflecting itself, in a whole city, society, culture - a never-ending repetition of the same lifeless tableaux that comprise this way of life; a prison literalised in the infantilising case of the senile military commander.
Because this way of life is made to seem natural, feeding into the very buildings in, and gestures with, which people live, its collapse is not sparked by an external force, but results in an implosion of the environment, buildings toppling, the ground tilting like a sinking ship, the body, mind and society breaking down, a whole world grinding towards sterility and inertia.This is where Andersson's career as the 'world's greatest advertising director' (dit Bergman) comes in.  Normally a career in advertising results in films of glossy shallowness.  Andersson takes a theme of Fellinian decadence - think 'Satyricon', 'Casanova', 'Ship of Fools' - where a sophisticated society begins to decline, where immutable buildings begin to crumble, crowd hysteria is let loose, where public rites frame primitive barbarism (the sacrifice of young girls to appease the pagan gods) are all filmed like an Ikea advertisement, full of antiseptic sheen.The film could be described as 'The FAst Show' directed by Bunuel.  The narrative consists of connected, but self-contained vignettes or sketches with a recurring set of characters.  Most of them would be simply funny jokes in a TV show - the magician who really saws a volunteer's chest etc. All have the concentrated brevity of an advert, all the visual imagination and surprise necessary to capture the viewer's attention.  But what the film is advertising is the decline of a soulless consumer society, a society where the minimalist surroundings reflect minimalist humanity, where human relationships (especially in families) are grotesquely alienated.Despite its post-modern sheen, the film's source are very - gloriously old-fashioned modernist or classic auteurist - Fellini (especially the scene at the airport, where the  escapees are bogged down by bulging luggage), Dreyer (the sensitive poet gone mad because of his society); Godard (the apocalyptic traffic jam and barbaric bourgeois behaviour); Antonioni.  BUt the presiding spirit is Bunuel, with the 'Milky Way'/'Phantom of Liberty'-like surrealist picaresque narrative, full of bourgeois-baiting and random violence; the 'Exterminating Angel' scene where the civic and clerical worthies are paralysed in the hotel, frothing like distempered dogs; the perverse anti-clericism that convincingly creates a vision of hell climaxing in an ambiguous scene of resurrection (the crouching crowd in the fields) and despair (the rubbish heap of crucifixes).What Andersson truly shares with Bunuel, however, is a skewed comedy, never letting the Big Themes get in the way of the rich detail - the wonderful scene with the tramp, rats and ex-girlfriend especially.  For all its alienated style and dehumanisation, 'Songs', like Bunuel, is devastatingly, humanly angry, and somehow very moving.  the meticulous smoothness of the filming actually creates an oppressive violence in the viewer, a desire to smash the whole glasshouse down."
2,Songs from the Second Floor,8,13 June 2003,"""Slapstick Bergman"" indeed","One critic described this film as being ""Slapstick Ingmar Bergman"";  it's a great joke, and in many ways a true one.  I've never seen a movie like this before, and I haven't laughed so hard at one in years.  Every single scene has something off-beat or funny happening in it, so that you may want to see it more than once.  (I watched it twice in one day!)  The best bit occurs when the businesspeople decide on a rash course of action to save the faltering economy.  I won't spoil it for you but trust me, it's one of the blackest comic moments in all of film.  Don't miss it!"
3,Songs from the Second Floor,,10 August 2004,Cartoonish,"Spoilers herein.No, this is not cartoonish as the term is commonly used to mean simplified or childish. Instead, I mean it as stained glass artists did to imply the evocation of something by merely providing the outline.Such cartoons were considered magical, giving meaning to something not by actually defining it, but by defining what separates it from the rest of the world. It is a special kind of abstraction, not one normally used in art and even more seldom (alas) in formal systems. Here it is done effortlessly and effectively.This is not a `surreal' film, as many have described. I suppose they mean to say it is strange. But surrealism is the creation of worlds whose underlying mechanics or metaphysics are different, other than `real.` The art in surrealism is usually focused on what isn't different.This is instead abstraction. The objects in this world are a bit strange but the whole point is that the underlying physics is the same to which we are subject. The art in such cases is usually a matter of insight by strange light. This bears more resemblance philosophically to Roddenberry than Bunuel.And that qualifies it as serious enough to pay attention to. Past that point, I abandon it. That's because it really is true to the Bergman tradition that imparted despair is a worthwhile endeavor. Not for me.But I must admit that the last scene is really very fine. Few movies know how to end, and almost no one does it well. This, my friends is done well. I can recommend sitting through the entire thing then stopping right before that last scene. Take a few days and clear your soul, refreshing yourself. Then go back and experience the visitation of all that has come before, but this way you can see it as the stained glass it is and not a morbid essay on gloom. This is a world, incidentally where you (the camera) does not move, but the buildings and meadows do.Ted's Evaluation -- 2 of 3: Has some interesting elements."
4,Songs from the Second Floor,,28 February 2001,an extraordinary examination of a society not so far away,"I have only seen this movie once and that is certainly not enough. The pictures contain more than our perception can handle. The general impression of the film is however, that Roy Andersson has performed a splendid diagnosis of our society, a society whose individuals no longer communicate, no longer interact. He shows us the result of a system that proclaims egoism and neglect. The message is clear: Only together, people can find a way to endure the tragedy of life, only together, we can enjoy the small fragments of happiness that life offers.I encourage all non-Swedish people to see this film, 99,84% of the world population is not Swedish. This movie concerns all of you."
5,Songs from the Second Floor,10,8 January 2002,wonderful and  touching movie about the misery of human life,"This film makes you probably sad and depressed, but it is a wonderful and touching movie about the misery of human life: the ultimate loneliness and hopelessness, which we do not like to think of, but have to face. As the film is based on poetry (by the to me unknown Cesar Vallejo), it does not have a straightforward story. Rather, it is a collection of scenes that all move you at an emotional level, as you see the vulnerability of all the people. The film is moving from reality towards surrealism, although you could see the strong surrealistic pictures as the real and hidden nature of our society, which fails to offer any help to these eternal problems. I should probably go to see this movie again so that I could grasp more from its symbolism, enjoy its excellent and unique film-making, and last but not least to feel it again. This film does not give you hope, but perhaps it makes you more sympathetic to other people, let them be alcoholics, immigrants, old, stupid, mentally ill or just simple ""boring philistines""."
6,Songs from the Second Floor,8,30 April 2004,Sweedish Opera,"Songs From The Second Floor has been described as a poem put to film, but after viewing this emotional work of art, I can't help but to feel that a Swedish Opera put to film is a more accurate description.Directed and written by Roy Anderson, Songs From The Second Floor is a visual and emotional masterpiece. Showing Swedish and to a greater extent all of society, through grey colored glasses. The cast primarily consists of non actors who made an impression on Roy upon him seeing them in everyday life. All of whom make similar impressions on us the viewers upon seeing them in this film.Kalle (Lars Nordh) is the heart and star of this movie. It's through his story (one of several) that we fully experience this Swedish Opera. The pain, sadness, guilt, and hopelessness of Songs From The Second Floor, can be felt in every slow moving moment of his life.Religion, love, poverty, and poetry are all common themes throughout this film. Giving it an identity all of it's own. You could watch a hundred films with similar descriptions, and still consider Songs From The Second Floor the strangest and most original film you've ever seen......Highly recommended for those who liked Northfork and Russian Ark."
7,Songs from the Second Floor,10,26 May 2003,A breathtaking masterpiece,"I would just like to say that, those who don´t like this movie must have a heart of stone and a mind that´s so blocked that you can´t see the connections to our society and the ways of man. Our loneliness, our longing for love, our inability to communicate. This film broke my heart, but at the same time it was a wholesome experience, and I was glued to the screen for as long as it lasted. I will never forget the pictures from this film, they still linger inside of me. It´s just so beautiful.I recommend everyone to see this film! If you´re prepared for an inner journey.(And I know that some people are afraid of this kind of ""deep"" stuff)Not if you just want entertainment for the moment. If you want to see an action-loaded flick or a nice love comedy instead, fine, do so. But I say: If you´ll only see one and only one more film in your life, see this one!"
8,Songs from the Second Floor,7,28 April 2002,Very well made but depressing allegorical satire.,"This film won the prestigious Cannes Film Festival award in 2000, and it is indeed very well made. But damn, it's not what you'd want to take someone to on a date. Unless they have odd tastes.Songs is a kind of allegorical black comedy about capitalism and the brutalising effects of modern society. The cast is mainly depressed middle-aged men in bad suits and there are multiple storylines and little scenes that all add up to one big condemnation of the Western world: a man who hasn't missed a day in 14 years and decides to go to work rather than have sex with his wife, then gets fired. A poet/taxi driver driven insane by the misery around him. His father, who burnt down his store for the insurance and spends most of the film covered in soot. You get the picture.
The film is full of powerful symbols, like a heap of cheap plastic Christs being thrown onto a rubbish heap, or the eternal traffic jam, and moments of absurdity that made me laugh out loud, such as when the Swedish high command gather to honour a retired commander who is so senile his bedpan gets emptied while they give him a speech. But the even the humour is bleak - there isn't a single happy moment in this film. Frankly I didn't buy it. Life may sometimes be dull, bad things do happen to good people, capitalism can suck, but it just isn't that awful. Forgive me for getting lyrical, but life is too full of hope and friendship and beauty to get sucked down in to this grey, dreary view of the world.RATING: 7/10"
9,Songs from the Second Floor,,28 November 2000,A great tonic for those tired of formula,"Of the 11 films I saw at this years Vancouver International Film Festival, this was one of the best. Definitely not a film for the masses, but if you're tired of seeing so-so hollywood formula and you and don't mind a shot of bizarre, then this is the film for you. I doubt it will come back for a commercial run, as it is not the kind of film the multiplex crowd would appreciate. If, however, like me, you are a fan of Terry Gilliam and don't mind a slower pace, there is much to recommend this film. Made up of a series of short vignettes, some related and some not, it weaves a story of apocalyptic chaos. A story some of us were expecting to happen Jan.1,2000.The unmoving camera stares into the lives of a society on the brink. Maybe ours in the near future. A movie that will demand discussion afterwards.A bomb shelter in the blighted landscape of Californication."
