,title,stars,date,r_title,text
0,The Florida Project,8,7 October 2017,The Florida Project (2017),"Boy, did I hear some great things about this from film festivals and from critics I follow on social media. Trailer didn't blow me away but I knew there had to be something special about this film. I haven't seen Sean Baker's previous effort, Tangerine, so I didn't really have a barometer for what to expect. I can safely say the film works so well. It's incredibly well acted, and utilizes a charming and emotional script to convey an experience you won't soon forget.The film follows a young girl named Moonee (played by a really good young Brooklynn Kimberly Prince) and her mom who live in an extended stay motel managed by Bobby (Willem Dafoe). Halley, Moone's mother, has trouble making ends meet and does whatever she can to raise her daughter but her brash personality and lifestyle makes life difficult during their stay at the motel. Bobby tries his best to watch over them but realizes how tough it is keeping them as guests.Its hard to say much more without giving away key plot points. I have to say this film is a joyous good time. The kid performers are mostly yelling loudly and running around on adventures. you know, being typical hyper kids. Its done so well though. I think Baker may have legitimately had the child actors improvise their lines because everything felt extremely natural. Newcomer Bria Vinaite, wow. She is livewire. Love or hate her character, she is loudly unapologetic and rebellious and just wonderfully portrayed. Defoe is also typically great. Bobby is such an identifiable character.Baker uses his lenses to study a part of under-represented America. We don't get a lot of films about struggling families who find it hard to get by, definitely not the typical ""Hollywood"" character story. The film is definitely going to hit a lot of viewers hard at the end. Its a rather beautiful ending that reflects the innocence of the mischievous but ultimately innocent children. This could really be an Oscar contender.8/10"
1,The Florida Project,9,20 September 2017,The Practice of Accepting a Situation as it is,"I had the privilege to catch an early viewing of this film along with a Q&A with writer/director/editor Sean Baker. Many know him from his breakout hit Tangerine (2015); I was sucked into his world since the release of Starlet (2012). Something that he never ceases to portray is the messed up realism that is hidden within our world and the Florida Project capture this in the most purest and colorful of ways.The story follows a ruthlessly mischievous 6-year old named Moonee who, along with a couple friends, explore, disrupt, criticize and takeover a simple hotel complex just on the outskirts of Disney World. She lives with her young, tattooed mother, who seems to have issues of her own, but seems content and manages to pay rent (almost) every week. Taking place over the summer, these kids are free to do as they please, that is, since there parents are not too strict. And being around tourists who can't afford the Disney Resort, they can make a lot of fun out of it. From panhandling money for ice cream to turning off the electricity in the hotel, these badmouthed hoodlums do it all. One thing this film captures well is the freedom children have and how far they go to test the waters of life. It was very easy to get lost in this film, making it completely enjoyable. I was worried about the kids being a bit over exaggerating, but they really weren't and every thing they did seemed natural and true to their character. I especially want to point out Halley, Moonee's mother, and her performance. I have never seen a character like her played so superbly and so factual. You will see as the story unfolds that she is a very complex person who, like a child, struggles to maintain complacency with the people around her.Another element I would like to touch up on is the camera work. By far one of the best storytelling methods for a film such as this that is mostly from a child's point of view. The colours being so vibrant and wide angles that show how big the world really is. The gorilla-style as well really depicts how on-the-go they are and trivial most disruptions are.One last thing I want to touch up on is that there is a number of great shots with a helicopter zooming away. I am unsure if it was intentional or if there was a popular helipad near by, but this was a great part of the film that was subtly used. To me it represented freedom, and escape from the world, referring to how fast it can get away. It is not everyday you come across a film like The Florida Project and I definitely intend on seeing it again, as it is simply rewatchable. Getting a taste of authentic realism in art nowadays is one of the most beautiful gifts we can receive. Enjoy!"
2,The Florida Project,8,18 October 2017,More Baker brilliance,"Greetings again from the darkness. ""The Happiest Place on Earth"" has long been a Disney catchphrase. The irony for those living on the road to Disney World is the focus of the latest from ground-breaking filmmaker Sean Baker. Mr. Baker was the creative force behind the remarkable TANGERINE (shot entirely with iphones) a couple of years ago, and his most recent film solidifies his brilliance at bringing us the fringes of society  those we don't typically see on screen. Beyond that, these are the folks many of us pay little attention to in real life.The Magic Castle Motel is a lavender monstrosity that belies the daily struggles of those who live behind its purple doors. It's actually a seedy extended-stay that caters to ultra-budget guests. Included among those are 6 year old Moonee (Brooklyn Kimberly Prince) and her friend Scooty (Christopher Rivera). As we watch them spit on a car below their perch on the motel balcony, we quickly judge these as kids with a bit too much free time and a shortage of parental guidance. As the summer days roll on, we tag along as Moonee leads Scooty and their new friend Jancey (Valeria Cotto) in some boundary-pushing adventures. Their fun ranges from typical kid mischief to accidents with more serious ramifications. The brilliance here is that through the child's eye, we see joy and excitement and fun. We hear the purity of giggles and giddy screeches as the kids bound between tourist traps, ice cream parlors, and rooms forbidden as off-limits. All of this miscreant activity occurs amidst the adults who trudge on simply trying to survive another day. While we might be tempted to recall Cat Stevens' lyrics, ""while the sinners sin, the children play"", it's director Baker that refuses to pass judgment. Moonee's mother Halley (Bria Vinaite) was recently fired from her ""dancing"" job, and is now constantly on the prowl to make enough money to cover the weekly motel bill. She clearly loves her daughter, but is too proud and angry, and just has no idea of how to pull out of this vicious cycle of poverty. The artificial dreams that are prevalent in so many films have no place at the Magic Castle Motel. It's about the next meal and keeping a roof above. Don't go searching for plot here. Instead, at times it feels like a documentary on Moonee or the spirited need for fun and laughter that is in the DNA of kids. We are just following a real kid around, and that's a tribute to the marvel that is Brooklyn Kimberly Prince. She steals every scene and most of the movie  and that's in spite of the terrific performances from Ms. Vinaite and screen vet Willem Dafoe. It's a rare ""normal"" role for Mr. Dafoe, and he makes the most of it as Bobby, the motel's manager. He is also a father figure, mediator of disputes, bill collector, and protector of damaged souls. With no hint of saccharine or Hollywood mush, Bobby is unable to detach emotionally from those who live at the hotel, not because he is soft, but rather because he is human. We see his demeanor change drastically when the owner of the hotel arrives for inspection. Bobby understands the fragility of his own situation due to what he witnesses each day.Director Baker is a master of color use and the blending of abrupt framed images with the handhelds in close proximity within motel rooms and personal interactions. His story (co-written with his TANGERINE and STARLET collaborator Chris Bergoch) never feels condescending, preachy or romanticized. There is no blatant political statement being made. These are folks living their lives as best they are able within the confines of their situation. The police and Child Protective Services are always hovering as a reminder that the next mistake could significantly alter lives. Somehow, the film is both hilarious and heart-breaking. The obvious comparison is to last year's MOONLIGHT, and it could even be viewed as a prequel to American HONEY. Mostly it's a slice of rarely seen life and further proof that Sean Baker is already an important filmmaker, and one that likely has more to say. As for the debate around the final scene, does it really matter? There is no better place for a child to escape reality  even if it might only be in their mind. Sometimes that's the only escape we get."
3,The Florida Project,9,23 October 2017,nope,"Beautifully humane film that at times recalls Italian Neo-Realism, at other times the child-based films that are so popular in Iran. That it was made in the USA, with a real if humble budget, seems surprising and is a testament to the commitment of the filmmakers. Subtly going back and forth between the perspectives of the child and adult characters, the film has, at times, an almost magical realist vibe, though nothing remotely supernatural or surreal transpires. Indeed, this is a film steeped in harsh reality, but also one that captures the almost mystical sense of discovering life on the part of the children and sometimes, momentarily at least, even the adults. On the other hand, the film also offers a very visceral sense of the stress of trying to survive amidst the scarcity of the margins of American capitalism. The acting is incredible, all the more so given that, with the very notable exception of Willem Dafoe, the performers are all either non- actors or unknowns."
4,The Florida Project,,20 October 2017,Over rated,"his got great reviews, Oscar Buzz...... I just didn't get what was great about it.OMFG that movie was terrible! The life of sub white trash who live in a motel on the outskirts of Floridas Disneyworld. A hundred or so unrelated boring scenes of a scuzzy trailer trash hooker / stripper her dirty 6 year old brat and other dirt bags that float around the edges of this toilet. NO plot until the very end..... could have maybe made an OK short film.The symbolism of the millionaires helicopters buzzing past the poor people... OK we get it. We got it the first 3 times.Little to no character development, endless redundant scenes of 3 brats getting into increasingly cringe worthy trouble... It could have / should have been cut down to a 20 or 30 minute short film."
5,The Florida Project,2,27 November 2017,Depressing,"It's a well-made movie, but featuring despicable characters with no redeeming qualities. Except for Bobby (Willem Dafoe). I wish he was the main character, but nope, instead the film focuses on an unfit mother and her obnoxious daughter and their friends making life more difficult for themselves and others. None of them learn a thing, and the mother's defiance to any kind of advice or authority is not admirable at all. She just keeps on making things worse for herself and her daughter, with a ridiculous smile on her face and while throwing up her middle finger the whole time, and getting even angrier whenever she has to face the consequences. She isn't a rebel, she is just an awful parent and clueless human being. Then the movie just ends at its lowest point, and it's obvious that things will only get worse for her daughter, once she is caught by Disney security. As far as the filmmaking goes, it's nicely shot and edited and whatnot. But there isn't much of a story, it's mostly a series of increasingly depressing vignettes. I haven't seen a film with such unlikable characters in a long time (again, except for Bobby). Even Moonee became very annoying, especially when the camera was left on her to improvise (at least that's what it seemed like).The trailer for this film makes it seem like a warmhearted, almost coming-of-age story, even a little bit of a comedy. It couldn't be more misleading."
6,The Florida Project,4,11 November 2017,Hugely irritating and empty,"Let me start with a positive. I absolutely loved Tangerine, it had soul, it had heart, and above all it had emotion. By the end of the film you seriously cared for the characters.However, this film had the completely opposite effect on me. From the first minute until the last, this was an uncomfortable watch. Not because of the subject matter, but because of the cringe factor. The kids were annoying little brats, the mum was an arsehole who got worse, the friend was an arsehole. The only adult who wasn't one was William Dafoe.Using the kids ad libbed acting as a juxtaposition against the more seedy element of the film just felt like a cheap trick.I thought this was going to be one of best films of the year, its actually one of the worst."
7,The Florida Project,2,27 November 2017,Save yourselves!,"I'm only doing this in the hope I can save someone else from making the same mistake I made: Trusting the reviews and going to see this movie. It's sort of like signing up to Yelp to warn others about the rotten tomatoes you were served at a bad restaurant. I fail to see the basis for numerous glowing reviews either for cinematography, story line, or performances. There are no characters whom one can develop any sentiment for, neither the youthfully immoral little girl, the struggling and scamming but infantile trash mouthed mother, nor the paternalistic hotel manager, or other tangential cast members. OK, back to the professional reviews, the review rating in at one out of ten, mentioned a high volume of walk outs, once the audience figured out what kind of movie this was going to be. I considered doing the same, but I was in a good mood and had just shelled out the big bucks to watch this movie. There was supposed to be an ending that packed a punch to the audience's expectations. But there really wasn't, the ending seemed like it was recorded surreptitiously, meanwhile the sadness and depravity of all these characters begins to sink in, and you ask yourself, Why did I want to go see this movie? Just don't!!!!"
8,The Florida Project,9,20 October 2017,"A brilliant character study, that blends a powerful story with great humor","I really liked this film, as unorthodox as it was. The first hour was uproariously funny, before becoming a deep, and poignant study of the millions of lives of Americans who are living on the fringes of society, just barely surviving day to day. There is a shocking lack of cinema devoted to this underclass, and seeing this small film, was refreshing, enlightening, and surprising, and a refreshing contrast to the plutocracy we see all around us today. The performances were outstanding. I am not sure where Bria Vinaite has been hiding, but she was astonishing as the mom, Hailey. Her daughter and all of the other kids were great, and their interactions, behavior, dialogue and play was hysterical. Then it kind of morphed into a more serious story, that was credible, and powerful. Willem Dafoe was his usual masterful self, and played a very real, very likable guy. A tough guy with a heart of gold. I highly recommend this film. Not for everyone. Several people walked out during the film. My presumption was that they either thought the film focused too much time on the kids, or they were living in a state of denial, like so many Americans these days, pretending that this huge underclass does not exist. Regardless, it felt like a story that needed to be told. And it was told very well. Kudos to the filmmakers."
9,The Florida Project,9,9 June 2017,The little brother of Spring Breakers,"Beautiful movie which could be considered a parody of Disney's aesthetic and didactic content. The movie's parody is willingly conventional and at the same time the efforts in directing children, in the amazing cinematography and set design are truly recognizable; still it feels like there's something missing, even though the story has everything it needs to be an entertaining piece about white American trash struggling with ordinary life in a fable-like environment. Actually there is really nothing to complain about, that feel is simply produced by the decay surrounding the lovable protagonist, which is deliberately sugar-coated as only a child's mind could manage it. SPOILER (?): The very final sequence, which I kinda felt to happen few seconds before, is a very well-fitting example regarding the masterful level of Baker's self- awareness in the use of parody as a cinematic striking weapon.P.S. hands up who could ever imagine Willem Dafoe as one of the best Disney's character ever written, in a non-Disney movie."
