,title,stars,date,r_title,text
0,The Girl Who Leapt Through Time,10,16 June 2007,A Nutshell Review: The Girl Who Leapt Through Time,"The poster of this animated movie looks a little suggestive, but nope, it's actually a wholesome time travel movie which explores a little on the vestment of such powers to a klutzy individual, as well as relationships, and the perennial question of what would anyone do if you have the ability to go back into time, and make changes presumably for the better.The Girl Who Leapt Through Time tells a wonderful story centered on 3 friends, the tomboyish and clumsy Makoto Konono (voiced by Riisa Naka), and two hunks Chiaki Mamiya (Takuya Ishida) and Kousuke Tsuda (Mitsutaka Itakura). Theirs is a friendship formed after school at the baseball court where they spend quality time talking about typical teenage stuff. Things start to change however, when Makoto by accident gets the power to time travel, and in her own ditzy way, uses her new found abilities for ""good"" - directly for herself, or in some Emma like moments, to influence the outcome of relationships for her friends and play matchmaker.And that's just scratching the tip of the iceberg. While it's animation style is kept simple and fairly straightforward, it doesn't compromise on the complexity of its storyline. Not that it serves to confuse, rather you'll be amazed by the amount of pathos the story contains, with its various subplots especially when the time travelling stuff kicks in. It has adult sensibilities in the treatment of the plot, and knows exactly when to hit the right emotional chords when warranted.Although based on a book, the story here serves as a quasi-sequel of sorts which takes place some 20 years later, what I can say is that the love stories intertwined has its major one being able to touch like that in Be With You. I loved that movie, and watching how this bore some similarities, you can't help but feel the same emotions coming across in the same way, nevermind that the characters here are animated, as you can feel the pain, the love, and their despair. And that is something that I should say is difficult for the genre - they're not real persons on screen - but yet being able to evoke emotions and for one to react and empathize, definitely makes it powerful, and a cut above others. Something that our local animated films had failed to do in giving us cold characters and bastardized stories from folklore.But it's not always all the time serious in tone or mood. The movie has light hearted moments, sometimes bordering on the slapstick, no thanks to the bumbling Makoto character. In a sequence, it was reminiscent of Chinese Odyssey starring Stephen Chow, where each time travel moment gets played ad nausem with different comedic effect. Undoing blunders as we see is not exactly Makoto's forte, and while she may be using her powers in a carefree way, with great powers come great responsibilities (sorry, can't resist that one!)As usual, anyone can find fault with the time travel paradox which rears its ugly head in any time travel movie, but I would suggest that you park those thoughts aside, and enjoy the story that the Girl Who Leapt Through Time is telling. There are slight attempts at addressing it with its creation of totally new and different realities with each jump, but even then a major paradoxical flaw still exists. At its lowest denominator, the film reminds to seize the day like it's your last, do what's right, and don't be shy in telling someone how you feel about them.The Best Animated Film of the recent Awards of the Japanese Academy, this film gets my vote of support too with its superbly emotional and touching tale, and with its similarities to that aspect of the film which I like to Be With You, it will be no surprise if this movie finds its way to my Top Ten of the year. Highly recommended!"
1,The Girl Who Leapt Through Time,8,31 July 2006,Highly recommended!,"Having watched the trailers on the net for Toki wo Kakeru Shoujo (official English title: The Girl Who Leapt Through Time), I've been looking forward to it for a while. With character designs by Yoshiyuki Sadamoto, the same guy who did those for Neon Genesis Evangelion, and animation by Madhouse, Tokikake (as it is nicknamed in Japan), is a great-looking movie. Lively and interesting backgrounds, lush colours and detailed animation, it's a joy to look at. Particular mention must be made of the time-leaping effect, which gives you a sense of breathlessness. The voice acting is extremely enjoyable, with the voice actors really managing to convey their characters' personalities, while endearing them to the viewer. The music is great, with a wonderfully wistful theme song ""Garnet"", provided by Hanako Oku. The direction is interesting, with some really nice shots effectively conveying the more important events and scenes. Overall, I really enjoyed Toki wo Kakeru Shoujo, which is why it is such a mystery as to why it is only showing in one cinema house in all of Tokyo. With Gedo Senki generally failing to live up to people's expectations, were Tokikake shown in a few more cinemas, it could have the potential to be the surprise blockbuster of the summer. Definitely to be recommended over Gedo Senki as the anime movie of the summer."
2,The Girl Who Leapt Through Time,9,25 June 2009,"Though not flawless, very well thought out.","The Girl Who Leapt Through Time is a very original, well thought-out fantasy about traveling through time. It's categorized as Sci-Fi on IMDb and has quite a decent ranking in the genre. However, Sci-fi is only a secondary tool used in the story. The whole movie has a strong undertone of philosophy. I am glad that I could watch it in HD.Makoto is a jumpy, goofy and lovely highshoolgirl in her senior year. She has 2 buddies in the class, but doesn't know one of them is having a crush on her. Later, she obtained a special ability of leaping through times, and escaped a train accident using this ability. Inspired suddenly, she dumped herself into a time-traveling life that seemed perfect, until......Don't get it wrong. This is definitely not Back To the Future or Terminator. It's never heavy enough to depress you, yet it got messages delivered. The movie blends ordinary life into the fantasy, which gave you another way to look at our ordinary lives. Makoto was cumulating her ego and gradually becoming ignorant after the magic worked time to time . This is a reflex to anyone that became arrogant after some achievements. Chasing after her personal desire for too long, Makoto finally realized the worst consequences always come from the smallest mistakes. Therefore a great portion of this film is about her trying to fix everything back and forth. Different from Butterfly Effects, this movie dealt with such topics in a comedian way. Makoto's goofy personality never gets old, yet it's very involving to see the whole story from her perspective. The romance, although cartooned, had a very realistic touch concerning the youngsters. In Eastern culture, teenagers aren't really supposed to date each other, since their lives only cross each other's at this very innocent, immature and short time. this film rendered the whole feeling to a new level, that at least ties with If You Listen Closely (Whisper of the Heart). It's more surreal and fascinating at times, and finally come to a conclusion that's as beautiful as it's poetic.Although Hayao Miyazaki had raised the bar of animation features (in Japan and worldwide) for more than 2 decades, The Girl Who leapt Through Time still stood out on its own. After I watched this, I could only say, ""Rest in peace, Mr. Miyazaki, for somebody is coming to take your legacy."" Visually, it's not entirely detailed as some of Miyazaki's recent works. In one viewing you can fetch all the themes and little Eastern eggs the director intended. But this one viewing may touch you deeply. Have you ever ignored another girl/boy, who tried to give you her/his puppy love and first kiss? Or have you ever ignored another human being who got into a lot of troubles without your help? Makoto's tears were shed several times during 1 hour 38 minutes, giving me a lot of chances to reflect on my own ego and personality.What if? What if I could give more attention to him/her...? We ask such stupid questions in real life? The movie's not silly. It's a good movie for kids, teenagers, young adults, middle-ages and elders. No wonder it's so worldly welcomed.9/10 superb direction and art design, with a heartful story to reflect on."
3,The Girl Who Leapt Through Time,10,21 June 2010,Timeless Masterpiece,"There are about 10 Japanese films that I re-watch almost every year since their releases. ""The Girl Who Leapt Through Time"" is one of only three such animated films for me.""The Girl Who Leapt Through Time"" is based on a 1967 hit novel of the same title. The original work has been used in numerous film and dorama adaptations, most famous ones being the 1983 film directed by Oobayashi Nobuhiko. Instead of making just another anime adaptation and possibly becoming just another adaptation shadowed by the 1983 film, the producers took a risk by creating a spin-off movie with the setting of about 20 years after the original story. The gamble paid off big time, as the animated film went on to win at least 23 awards worldwide.The underlying theme in this movie was ""the importance of living the moment"". Our protagonist was given the power to leap back into time to correct her mistakes, only to realize later that the short-term gains only lead to greater losses that followed. The story was extremely well-constructed to teach the lesson of embracing things the way they are, and never run from confrontations, because once that moment gone, you'll never get it back.The director for this film did a phenomenal job of pacing and creating many memorable moments, but it was the live-action film screenwriter Okudera Satoko, who really made a difference for this movie by composing a story out of number of time leaps that slowly developed the main characters and made so many epic scenes possible. Many anime screenwriters fail in movies because they incorporate too many characters, as it is common practice in series, into the limited 100 minute time-frame. What's remarkable about this piece of work is that it focuses on only three main characters. Even counting the secondary cast, there are only 8 characters in total who we are given the names of. The limited number of characters not only improved character development, it also allowed the story to focus on the underlying theme.I was actually very uncertain about the viewing this year because I started watching a lot of TV anime again since the last viewing. However, the only new flaws I've noticed was the excessive still motion in some scenes and most backgrounds, and that the protagonist was being a bit overly insensitive in few instances, which made her character a bit unrealistic. Animation is years ahead of its time, and it still is an excellent example of what happens when music is in harmony with the story/animation. The insert song by Oku Hanako, IMO, is still the best selection ever made among hundreds of Japanese films, anime, and live-action doramas I've encountered. Ending theme is a truly poignant one that really captured the mood and made the story sink in, and the music score throughout the movie has been used perfectly to enhance the drama.""The Girl Who Leapt Through Time"" is a timeless masterpiece that made me want to cherish every moment, and it's a movie I expect myself to be re-watching for many more years to come."
4,The Girl Who Leapt Through Time,8,4 March 2007,"I laughed, I cried, I sat on the edge of my seat","I saw this film at the US premiere at the New York International Children's Film Festival and it really knocked my socks off.The plot of the film has a high school senior named Makoto Konno going through life blissfully hanging out with friends, and trying to cope with the pressures of being a high schooler. On a day when everything is going wrong Makoto suddenly discovers that she has somehow become able to leap through time. Suddenly able to relive great days or correct past mistakes she thinks she has somehow managed to to find a way to make her wishes (and those of her friends) come true. Unfortunately it soon becomes clear that some of the changes have consequences that she never intended.(I dare not say too much more since the revealing too much will clue you in too early as to whats going on in the film, perhaps taking a bit of the edge off the wonder. Trust me you'll thank me once you see the film yourself).More like a novel than a movie this film takes its time getting to where its going and its better for it. Here we have a bunch of likable kids who are simply trying to get out of school and go on to the next level, at the same time trying to deal with things like lost puddings and the members of the opposite sex. Since we get to know and to like the kids (and adults) we become invested in what happens to them. Will they make the right choice? Who can say when you have the ability to do it over again.One of the better animated features of the last year (from any country) this is a smart drama/comedy/romance/thriller. This is unlike any American animated film of recent vintage in that it talks to its audience with out dumbing everything down or needing to follow some corporate formula for success. Here is a film that is more than just dumb jokes, but is instead about people. This is a movie that should be seen by anyone who wants to see a great movie, and not just an animated one."
5,The Girl Who Leapt Through Time,10,28 June 2009,Modern Remake of a Classic !,"The company that made this movie - Madhouse is aptly named, because this movie is insane. What happens when an average high school girl discovers she has ability to travel in time ? Makoto discovers she has ability to move back in time, and she ""jumps"" to correct for all the inconvenient things that happened to her in the past days which includes getting better grades in her exams, exchanging position with another person to avoid getting involved in a chem lab fire, avoiding collision with a guys who's getting thrown across the lawn, eating a pudding before her sister gets to it etc.. All these made possible because she's already experienced them once.Based on a novel by Yasutaka Tsutsui, The girl who leapt through time, or Toki o kakeru shojo (a.k.a. Tokikake) is an animated version of a classic which has been made into a movie, and TV drama in the past with live actors. This is a modernized version reflecting cultural changes in the way youth perceives the world around them. What haven't changed much is the city scape of Japan in the urban area, and it's interesting to compare this movie to the one made back in the '80s.The plot takes maximum advantage of what funny things a person can do when they have the ability to travel in time, and this is done in good humor which is insanely fun to watch.Some connection to the movie with same title made in the '80s also by Kadokawa is hinted as Makoto's aunt is Kazuko Yoshiyama who was the Girl that leaped through time in the '80s version.Voice over is superb (in the Japanese version), and the voice and character of Makoto matches so perfectly.One of the best anime to come from Japan in recent years, this movie is highly recommended for anime fans, and Asian movie fans alike."
6,The Girl Who Leapt Through Time,10,11 January 2008,Wow.,"This film is one of those films that comes once in every generation. The voice actors give the characters a sense of realness that makes you suffer or feel joy. The detail of the work is phenomenal and the story doesn't drag or end in a familiar way. I specially like the detail they put to little things as the sliding doors bouncing back open when Makoto tries to close them. This is one of those films that in the end it leaves you a good feeling and not guilty for spending two hours enjoying yourself. When you see this film you might have to find time to think when was the last time you saw something so good.I just wish there's a sequel for it, because I just couldn't get enough of it. But maybe is one of those stories that you wish it never ended but you know that it has to end.P.S. Now I have to buy the DVD."
7,The Girl Who Leapt Through Time,10,30 June 2008,Great movie. Tops on my list,"Well, to put it really simple: You must watch this movie.The story basically shows how a girl named Makoto deals with her power to leap through time. At first she concentrates on making her life ""better"", however, she soon finds out that every time she leaps back to change something to her advantage others could be affected.It is a beautiful story that teaches you to embrace things the way they are, to try to make thing better but to understand that what has already happened cant and should not be changed.As I already said, you have to see this movie, even if you are not an anime fan."
8,The Girl Who Leapt Through Time,6,16 March 2013,Why are the Japanese so into stories of High School Romance,"Before I watched this movie I had watched a marathon of Anime at Glasgow Film Theater which included Wolf Children, From Up On Poppy Hill and 5 Centimeters Later. There's quite a few things I saw recurring in each of them. High School Romances that stem from awkward interactions, either between two separated friends or a girl who can't tell her feelings to a boy, which lead to lots of tears over their incapability to proclaim their love and stress over hesitant confessions leading to no confession at all. I don't mind Romances in stories, in fact I'm writing my own story where two childhood friends get together, but there are way too many simplistic tear fests in animes, in fact all across animation love stories are developing too quickly. These animes also have a tendency to make the romantic side of the story seem like a death scene from the Grudge. The girl is totally petrified of the guy's feelings towards her in those cases but in others their feelings are immediately mutual. If getting a girlfriend was this easy I would've moved to Japan years ago I began to really like this movie. Great animation, a strong and independent female character, who for the whole time fought against her strengths with short skirts and hanging around men. Although the idea of a time travelling device being disguised as a walnut was pretty stupid it was funny and enthralling up until the last 20 minutes where it turned into another high school romance story with a lot of unexplored plot points like one guy's reason for going back in time, why time travel was invented (other than allowing silk haired hunks to get girlfriends). And what kind of ending was that. The main character goes back in time, altering everything she had altered on her own for that boy only to be told he was going back . Why? What about the crappy timeline he lives in, which he went to the past to avoid, is so great that after spending years in the past he wants to go back there?"
9,The Girl Who Leapt Through Time,8,8 July 2007,"The best of the ""Tokikake"" Movies...","""Toki O Kakeru Shojo"" (or Tokikake) is probably the most adapted modern short story in Japanese Literature. As of date, there have been six different versions of the Tsutsui Yasutaka story in both TV and movies -- the NHK drama ""Time Traveler ('72) with Shimada Junko; the '83 movie with Harada Tomoyo; the Fuji TV Drama special ('84) with Minamino Yoko; the Fuji TV Drama special ('94) with Uchida Yuki; the '97 movie with Nakamoto Nana; the TBS TV special ('02) with Abe Natsumi and now Hosoda Mamoru's anime movie. Yet director Hosada (Digimon TV series, One Piece) and screenwriter Okudera Satoko (Concent, Kakko No Kaidan 2) took the unique approach of crafting not just another tired adaptation of the novel but rather developed a sequel to the events of the novel which covered a lot of the same themes but with inventive and interesting twists.While at first I had my doubts, I quite enjoyed this movie and consider it my favorite of the ""Tokikake"" movies. Konno Makoto (voiced with great enthusiasm and likability by Naka Riisa) is your typical Japanese high school student who deals with typical teen problems at school and home. Her best friends include brainy hunk Tsuda Kousuke (Itakura Mitsutaka) and happy-go-lucky transfer student Mamiya Chiaki (Ishida Takuya). As with the novel and previous movies, Makoto's world is suddenly turned upside down as she develops the ability to traverse backwards in time (in this case, through a ""time leaping"" device hidden within a walnut shell). What is unique about this movie (and what sets it apart from the previous adaptations) is the exploration of the ramifications of Makoto's ""time leaping"" powers. Whereas before in the novel and movies, heroine Yoshiyama Kazuko/Yoshikawa Tomoko was able to time travel with no real consequence or impact on those around her, the heroine here sees the impact that her powers have on others. At first Makoto uses her powers without abandon and almost in a reckless manner. In time however she soon discovers that not only does her powers change the course of events for herself but also the lives of others. One of the saddest lessons we learn along with Makoto is that ""precious moments"" can't be recaptured or replayed in time.There are fun tips of the hat to the novel and previous movies as well. Makoto's eccentric aunt (a museum painting restoration artist) is hinted to be Yoshiyama Kazuko, the heroine from the novel (a lavender branch is seen near a photo of her as a teen) and the accident that gives Makoto the powers of time travel occur once again in a school laboratory during classroom cleanup duty, similar to the movies.The animation, compliments of the famed Madhouse Studio (Perfect Blue, Paprika, Millennium Actress) are exceptional. The characters move with fluid and vibrant life and the CGI parts are very captivating.While I miss the 1983 theme song by Harada Tomoyo, the soundtrack music by Yoshida Kiyoshi and theme song ""Garnet"" by Oku Hanako are serviceable.""The Girl Who Lept Through Time"" (a much better title than the often used ""The Girl Who Conquered/Traversed Time"") is a wonderfully touching, funny and captivating movie that teaches us to enjoy those small moments in time for they can never be recaptured again."
