,title,stars,date,r_title,text
0,The Hunt,10,3 October 2012,"Emotionally draining but truly moving ""ripped from the headlines"" story","""The Hunt"" is the latest unflinching drama from Danish auteur Thomas Vinterberg. Co-written with Tobias Lindholm, this is an ambitious star vehicle for legendary actor Mads Mikkelsen, an icon in Denmark and familiar face around the world as well. He plays Lucas, a small-town kindergarten teacher. At its heart the story is ultimately a powerful comment on prejudice, based on true incidents, that may leave you emotionally drained but truly moved.To delve into the plot here would reveal too much. So I'll just say that the film is quite dark and deals with some very difficult subject matter that can be very hard to watch at times. I'll leave it to you to decide if you want to be more aware of the details by looking up a basic synopsis.This is essentially a one-man show. While supporting cast members are all up to the challenge, Lucas is on on screen virtually every moment of the movie and its overall success rises or falls on his believability. Mikkelsen's delicately underplayed characterization of a man under fire likely won't be appreciated or understood by all viewers. His restrained performance is remarkable and does much to make The Hunt a haunting, memorable experience. Among the children, Annika Wedderkopp's portrayal of Klara is frighteningly brilliant. She steals every scene she's in.The physical beauty of the production belies the ugliness beneath. Natural lighting is used to match the heights and depths of the kindergarten children's emotions. Their innocence is reflected in its intensity. When surrounded by love, they are glowing. The color palette is warm and inviting. As fear rises, they appear in shadow. The tableau turns increasingly darker as the narrative does.This is a very quiet and thoughtful experience in many ways. Nikolaj Egelund's score is sparse. Editors Janus Billeskov Jansen and Anne Østerud keep the pace measured and deliberate. The focus is on the story. Long takes without dialogue are quite effective as so much is said in the eyes, in the faces, of Lucas, the kids, and townsfolk. Cinematographer Charlotte Bruus Christensen allows the lush landscape of the Danish countryside to lull the viewer into a sense of peace, in contrast with the turmoil just under the surface, ready to jump out like a demon in a horror film. But these are real life nightmares, not the product of a genre writer's imagination, which chill to the bone.Hollywood could never touch this subject and have anywhere near the impact. Backed independently by Swedish and Danish production companies, director Vinterberg actually intended to set and shoot the picture in Canada but better tax incentives and financing led him back to his native country of Denmark. It doesn't matter, though. This is the kind of isolated little village that can be found anywhere in the world.""The Hunt"" was easily the saddest film I've seen all year but in a cathartic way that only a great work of art can accomplish. It's a gritty and hard-hitting statement on our judgmental society that pulls no punches in its recounting of a controversial ripped-from-the-headlines story, repeated all too often in recent history, that's both poignant and polarizing in its authenticity.It was difficult for me to hold back tears during the screening. I broke down several times. Many will be touched by certain scenes more than others, but ""The Hunt"" is one of the most affecting and emotional films I've ever seen and one of the best of 2012."
1,The Hunt,10,17 October 2012,Fantastic and compelling,"I went to see this as part of the London Film Festival on Monday. I have to say that two days later it still resonates in my mind. Yes, it's a common tale that has been told in cinema before(man is wrongly accused and ostracised), but never so well, in my eyes. The acting is first class with no exception and the cinematography is perfect, creating a tense mood throughout the film. It's not for the faint hearted, but I think it's an important subject matter and very current. I've often wondered what it must be like for someone wrongly accused of such a crime and the hysteria that surrounds it. I have read reviews that say this is unrealistic but I don't agree, I only have to look on my own front doorstep in England to see exactly the same sort of behaviour, often far far more intense.I highly recommend it."
2,The Hunt,10,5 December 2012,A film for those who stupidly believe there's no smoke without fire.,"Sometimes children lie.  Sometimes good people give in to hysteria, and lose all sense of  reason.  Sometimes they destroy innocent lives.  The Hunt (aka Jagten) is the latest offering from Denmark that will  knock you sideways. Forget the thrill of TV dramas The Killing, Borgen  and The Bridge, Thomas Vinterberg's film is a shocking, harrowing  experience that will affect you profoundly and will live in your mind  for a very long time. The Hunt is for those who don't need to 'enjoy' a  film to regard it as valid and who are not afraid to step into the  darkness of the injustice and judgment of which we are all capable.  More than that, it is a film for those who stupidly believe there is no  smoke without fire.  Lucas (Mads Mikkelsen) is a lonely teacher, divorced from his wife,  kept apart from his son and devoted to the young children in his care  at the nursery and within the community. He is a genuinely good man who  has earned the respect of his peers, the love of a new girlfriend and  the trust of the children who leap out of hedges to wrestle him and be  chased around the playground by him.  Klara (Annika Wedderkopp), the daughter of his best friend, Theo  (Thomas Bo Larsen) has an innocent, childish crush on Lucas when two  situations occur in quick succession. Firstly she is exposed to an  explicit pornographic image and, secondly, Lucas gently chastises her  for inappropriate behavior towards him. With a fertile imagination,  childish indignation and no comprehension of the consequences, Klara  makes an accusation against Lucas and his world implodes.  For only the fifth time so far this year, I believe I have witnessed a  near-perfect film. The Hunt is complete due to the tight screenplay,  the sensitivity of Vinterberg's direction and the performances from  principal and peripheral actors alike that are always absorbing and  frequently astounding.  Mikkelsen must certainly be the focal point of any review. His  performance as Lucas causes the stomach to tighten and the back tingle  as we wonder How would I react? In much the same way that Colin Firth's  George crumpled when receiving the news of his partner's death in A  Single Man, so Mikkelsen's Lucas is silently crushed as he is told that  accusations have been made. Lucas suffers the physical and emotional  wounds of slander and revenge for an act he cannot conceive and of  which he has less knowledge than those who condemn and attack him.  Equally, both Larsen and Anne Louise Hassing as Klara's parents  carefully unwrap the turmoil any parent would suffer upon hearing their  young child has suffered sexual abuse. It is a challenge not to yell at  the screen ""Don't be so stupid,"" or to scream expletives at Grethe  (Susse Wold) the head teacher who loses her grip on both duty and  reason and germinates the hatred and judgment that follow. As Lucas'  son, Marcus, Lasse Fogelstrøm gives a heartfelt performance segueing  seamlessly from courage to hurt to desperation and anger and his  distress is a warning to those given over to rumours.  The surprise, no, the absolute shock, with the casting is Wedderkopp.  In an adult with twenty years experience on the big screen it would be  a breathtaking performance; that this is the debut of a young child is  staggering. She is entirely believable as the girl with the vivid  imagination and understandable lack of foresight who is lead by  over-enthusiastic adults and suffers her own punishment of confusion  alone.  The tragedy within The Hunt is explicit and unavoidable. The external  tragedy is that it will probably not feature on most To See lists  because it is both foreign and that the explosions are emotional rather  than physical. Although it is Denmark's entry for Best Film in a  Foreign Language for the Oscars, I suspect both Mikkelsen and Vinterbeg  will be completely overlooked in their own right as with the principals  of Beasts of the Southern Wild. Thank goodness for the BAFTAS and Mark  Kermode! The events depicted in The Hunt are utterly horrific. Don't  sit in front of the screen expecting a light, easy, thought provoking  flick. I emerged numb, angry, helpless and terrified. But for one  careless or cruel comment, it could happen to me.  Or you."
3,The Hunt,9,12 October 2012,"Excellent, moving film","I saw this movie yesterday. I agree with previous reviewers, this is an excellent, moving, wonderfully acted movie. It is impossible I think to go through it without being brought to tears at one point or another. You also feel like screaming at some characters sometimes - ""what are you doing? Open your eyes! Listen!"" But the great thing is you always understand where each character is coming from- you might not agree with their actions, but nothing they do feels forced or unrealistic. Mikkelsen is amazing in this. I had seen him in a few movies before, and always thought highly of him, but here he is just incredible. It's a tough subject matter, and the movie does not shy away from it, but at the same time it is not vulgar or ""in your face"", it's tactful. I really loved it."
4,The Hunt,10,16 April 2013,The narrative's genius embeds observer-effect with great accuracy  unforgettable masterpiece.,"Consider first the setting. It may be quiet and idyllic, but merry laughter and droll humour open the scene. A group of middle-aged manboys are clowning around by the lake. They are long-time friends of The Hunt's central character, Lucas  bespectacled 42 year old ex-professor, recently divorced and too old to be waddling in the water like a toddler at playtime.But the time is November in this unknown Danish village and everyone is having a good time in yet another get-together. Friends have known each other for years, people know people on a first name basis, many have lived here for generations and Lucas, is just another face in this jolly, close-knit community  nondescript and mellow, respected and well-liked.We are told that Lucas (played with artful and refined precision by Mads Mikkelsen) is not without the woes that come with modern adult life. Living alone and seeking custody of teenage son Marcus (newcomer Lasse Fogelstrøm), he is an ordinary man trying to rebuild from ground up as a kindergarten teacher. Immediately you can see that he is kind and friendly because Lucas walks young Klara home, and chats with her father, also his best friend, Theo. The two men share lasagne while fussing over pet dogs and hunting rifles. You acknowledge that Lucas has earned his place in this neighbourhood and relationships are in complete accord. Then the maiming of his middle-class existence begins.Klara develops a schoolgirl crush and puerile gestures are sensibly rebuffed. Nothing unpredictable or startling at this point. You've heard of such awkward incidents before. But Lucas is then accused of something he did not commit because Klara said something to avenge an earlier rejection.This is where The Hunt succeeds with penetrating insights into social phenomenon  soon after she causes harm, Klara attempts to recant the accusation without success. Here, writer-director Thomas Vinterberg absolves Klara from absolute blame and sets the stage for unreasonable and sinister conclusions. Watching the film from here on out is an unforgettable and riveting experience.It is natural to assume The Hunt simply alludes to the concept of ""Witch Hunt"", and contents itself with being dramatized fiction about falsely accusing the innocent. But if that were so, the brilliant scene where Klara was interviewed would not have alarmed with its disturbing methodology. The narrative's genius embeds observer-effect with great accuracy and insight into expectations of Klara, and her subsequent reaction. Vinterberg denies us simple solutions in which adults are perceptive enough to decipher the truth. For example, Ole the counsellor, ushered in from an unknown organization is scruffy and slightly unkempt. Characteristically unlikeable, he wears an implicit stereotype on his face and contaminates Klara's testimony by coaxing with a few hints, ""Do you remember, if something white came out?""She stares blankly, yet revulsion grows and collective hysteria spreads  allowing The Hunt to unveil itself as a carefully executed masterpiece. The clues match only because suggestive prompts are pushing the limits of disturbing reality.The canvas is visually precise; casting is pitch-perfect (especially that of Annika Wedderkopp in her excellent portrayal of Klara) and the script is cautiously penned.Based on transcripts of police interrogations conducted on suspected paedophiles in Denmark, the US and several European countries; Vinterberg investigates cause-effect with chilling authenticity. There is no doubt that The Hunt is antithesis to ""Festen"", an earlier work depicting the same subject matter but don't be mistaken  this film does not involve itself with controversial material for the sake of obligatory endorsements. Relentless and intense plot is enriched by characters reacting with protective instincts that come naturally simply because they care for one another. We see the internal worlds of Lucas, Theo, Marcus and Klara, and observe the impact of rotten dynamic unfolding before our very eyes. This forces us, spectators with an omniscient view to sit-up and question judgement using rational exactitude.Short analysis of the ending >>> The Hunt is a superb, penetrating study of human agency and in the end, some mysteries remain unknowable. There are several narratives attempting to interpret the final scene, and who the shooter really is. This person may very well be the same culprit who killed Fanny. Is it Klara's older brother, who has demonstrated protectiveness over her? Perhaps a disgruntled retail assistant from the grocery store? Maybe a figment of Lucas's anxious imagination from knowing life can easily cast him from the status of a hunter to that of a prey?These questions continue to linger because The Hunt's technical finish is open-form and resists finite closure. The image of an unknown rifleman, indistinct and in hiding is a conveyor of figurative conclusions. By doing such, Vinterberg employs artistic device to suggest that attitudes may be outwardly placid, but remain violent and embittered covertly. Just as it is with real life, some hostility can't be neutralized and a malevolent presence continues to loom over the horizon, willing to perpetuate an abyss of moral panic.https://cinemainterruptus.wordpress.com"
5,The Hunt,10,24 March 2013,"This is a Film with a capital ""F""","I've been an IMDb user for several years. Still, this is my first review. After watching this Film, I just felt the urge to praise it. So here it is: thanks to the writer, director, actors and all those who created this masterpiece. It really has the power to convey real feelings to the watcher. Even though I kept telling to myself it was just a movie, it still made me care for the characters.It's a shame that such Films are not promoted as they should be. I am so sorry I had no idea about Danish cinematography until now. This movie will make stay alert for any new Danish production and look for older ones in a desperate try to recover what you could've experienced instead of all the commercial movie offer of Hollywood."
6,The Hunt,9,6 March 2013,Who would have thought a Danish Art House film could be so thoroughly gripping?,"'The Hunt' is a truly accomplished film, its simple premise and themes are executed perfectly. The film is hugely engrossing and completely and utterly infuriating, which is a testament to the merits of its acting, direction, script and hyper-realism.The film follows Lucas (Mads Mikkelsen), a lonely primary school teacher who relishes his job and is popular with both the children and the local community. Just as he meets Nadja (Alexandra Rapaport) and begins a relationship with her, his relationship with another woman, 5-year-old Klara (Annika Wedderkopp), lands him in immeasurable trouble. What happens is a completely innocuous misunderstanding, but the community, the 'adults' who are supposed to be rational and fair, turn into a lynch mob.The film is about the danger of mass-hysteria, ignorance and subsequently the frightening power of numbers. It teaches the importance of measure and consideration; it's a much needed anecdote to the sensational vilification, general ignorance and trashy media that permeates our lives.It's the scare-mongering, amoral tabloids that help in empowering the dangerously ignorant lynch-mobs that arise whenever someone screams 'paedophile!' or 'woman beater!' These lynch-mobs normally consist of pugnacious, dreadful people who enjoy drama and violence rather than actually care about their cause. The film is intelligently and thoughtfully written. The girl is by no means vindictive; as much as you want to vent your anger, she's clearly far too young to understand what is happening. It's the 'adults' who display their stupidity, their total lack of reasoning and fairness left me indignant for the entirety of the running time and subsequently the whole evening  the film really works.There is a palpable sense of danger throughout the film, you genuinely fear for Lucas' life; seldom have I empathised with a character so dearly. Who would've thought a Danish Art House film could be so thoroughly gripping?'The Hunt' is a thought provoking, tactful and important film that should be seen by as many people as possible. It's one of the best films of 2012.www.hawkensian.com"
7,The Hunt,9,25 July 2012,It's like a really messed up episode of Kids Say the Darndest Things.,"I just saw The Hunt at the New Zealand International Film Festival and I walked out speechless. The Hunt has such a difficult story to tell but the film makers never go too far with little exposition. The film doesn't take one side over another, making the point that there isn't really any ""bad guys"" in the film, just people on opposite sides of one coin. The script is shocking, tragic and at times funny. The film is very intimately shot with an almost documentary approach. The film is mostly shot hand-held, giving you the feeling of realism. The camera likes to get in close and hold on the actors eyes and it is the eyes that tell the story. Most of the story is told through what was not being said, but instead with looks and pauses. Mads Mikkelsen is stunning as always as the man accused of sexual abuse. He plays the role with such sensitivity to the character but always keeps you guessing throughout the film. Annika Wedderkopp plays the role of the innocent young girl to perfection, again always keeping you guessing. Their relationship being one of the most interesting I've seen on film this year. If I had one complaint it would be that the main plot ends quite abruptly, not leaving me fully satisfied before it goes into the epilogue. The Hunt is drama at its best with beautiful performances from the entire cast. It is hard to explain how great this film is without giving away spoilers but the film gives no clear answers for such a difficult subject and it makes you ask yourself, what would I do?"
8,The Hunt,9,3 September 2013,Finding His Way In The Forest,"Here in the small town where I reside, our local newspaper had a recent headline that a beloved teacher was suspected of improper contact with a student. The article was complete along with his picture and I felt that this teacher's life was over as he knew it whether the information was accurate or false. I felt that I would withhold judgement pending an accurate and a detailed investigation, but I know that others would not give the teacher this courtesy. Human nature is an interesting thing to observe and we often get trapped in our own snares with comments such as ""I really can't tolerate judgemental people"".Recently I saw another Danish movie ""The Hijacking"" and was so impressed with it, that I sought out this movie as it was also a highly regarded project. I'm glad I did. The movie reflected the idea of a rush to judgement and all the implications of how society reacts when information is inaccurately reinforced.The title of the movie, ""The Hunt"" is symbolic of Lucas's hunt for justice, but also feeling like the hunted. It begins with friends at a hunting camp drinking & celebrating but this hunt is all a metaphor for Lucas's life. Perhaps it was best expressed when his son got a family heirloom hunting rifle and it was said that now he was old enough to find his way in the forest. ""The Hunt"" is really about such a journey and the forest was thick with assumptions, accusations, hatred, betrayal, and a host of other thorns, briars, branches and such things to trip up the journey. Having felt like he was being hunted through a community's narrow rifle scope of understanding, Lucas's idea of hunting is ultimately altered....and believably so.Vinterberg does a masterful job of story telling and in such a way that we hear a morality tale. Yes, many times the information we are told in the news is correct. But what if it isn't? What price is paid by the victim and his/her family? If you want to watch a movie that is different from the typical Hollywood variety and gives you reason to search more deeply before believing what you see and hear, watch ""The Hunt"" and see if you would find your way through the same forest that Lucas traveled. Few of us would be able to do so...."
9,The Hunt,10,6 March 2013,Harrowing Film!,"Whenever I watch a great film, I always have a sense of feeling cleansed, as if a soiled part of me has been washed away (for the time being anyway) by something on the screen that touches a better part of my soul. THE HUNT certainly did that for me. The story is a simple one, a man, a teacher, is wrongly accused of sexually misconduct with a young child and his community, filled with old friends and acquaintances, turn on him and make his life a living hell.Vinterberg's film brings to mind many of the same topics and is loaded with the same visceral feelings that his first film THE CELEBRATION touches upon, sexual deviancy, alienation, the mob mentality of the righteous, mixing innocence with brutality in many of its most heartbreaking scenes. Mikkelsen handles the main character Lucas both with restraint, and a little explosiveness when warranted. It is this fine line between stability and chaos, of the civilized world and anarchy, that give this film an unpredictable quality. The entire cast is wonderful and Vinterberg's direction and writing are spot on. Great Film!"
10,The Hunt,,19 August 2013,Classy and disturbing tale of small town injustice.,"In Thomas Vinterberg's superb psychological thriller, The Hunt, a town turns on its kindergarten teacher, Lucas (Mads Mikkelsen), from the erroneous testimony of a little girl, Klara (Annika Wedderkopp), who accuses him of molesting her. She's also the daughter of his best friend, Theo (Thomas Bo Larsen), who believes along with the town that Lucas is guilty because children, especially his daughter, don't lie. Although Klara claims throughout she said a stupid thing and Lucas did nothing, his parents are convinced she is just reacting to the gravity and changing her story. Tragic blindness is not just the province of Oedipus.The film's title, with bookending male hunting rituals, is obviously figurative for the hunt by the town's people for Lucas's well being. Only too swift is their condemnation, their righteous indignation, blinded by Salem-witch like certainty that he is guilty. The town's vigilante-like attitude is reminiscent of Frankenstein's townsfolk, hounding the monster without even trying to understand.Beyond the figurative display of crowd wrong-headed mentality is the disturbing suggestion that at any time a life can be turned upside down without even being responsible. It also suggests that the only antidote is to keep believing in yourself.Maybe more powerful is a sense of humor, which occurs occasionally in the film and is best exemplified when a friend, upon Lucas's return from police headquarters, shouts as Lucas embraces his son, ""Hey! If you fondle your kid, you'll go back to jail."" It's gallows humor, but it is effective. Just as effective as the ironic humor is the low-key, natural lighting, consistent close-ups, and ubiquitous hand-held camera work. It is an intimate business that closes in on everyone in the town, not just the innocent victim.Having witnessed through this intense work of art the vulnerability all have in the face of a crowd mentality, we should remember the Chorus's final warning in Oedipus Rex: ""Therefore wait to see life's ending ere thou count one mortal blest; Wait till free from pain and sorrow he has gained his final rest."""
