,title,stars,date,r_title,text
0,The Illusionist,10,6 February 2011,Animated Simplicity,"Simplicity is a very interesting word that is defined in many ways. ""The Illusionist"" is a film that is synonymous with this word and is a visual representation of the art of simplicity. Nominated for every major best Animated Feature Film award including a 2011 Oscar Nomination birth, ""The Illusionist"" is more than just one of the best-animated films of the year. Will it win the Oscar for Best Animated Feature Film? Probably not just because ""Toy Story 3"" went on a record breaking spree within the animation genre, however, ""The Illusionist"" is just as good as ""Toy Story 3"" if not a little better. The film is based off of a script written in the late 1950s by a French, mime, actor, and director named Jacques Tati, but was forgotten about until Director Syvain Chomet picked up the script and ran with it producing an 80 minute animated masterpiece. The film follows the travels of a French Illusionist from town to town looking for work while performing his artistic magician craft in small shows. However, his profession is lost within the changing entertainment era causing him to lose hope, until one day while traveling in Scotland he met a young girl named Alice. Alice changes his life with her belief that he is actually a real magician seeing through the illusion of magic and personifying it into being. The Illusionist becomes a father or grandfather figure to her as they grow together down very separate paths.The simplicity of the film goes hand in hand with the authenticity and depth of the very easy to watch story. The animation is 2D brilliance with every image on the screen having deeper meaning of some sort. The film uses its filmatic space avoiding lulls and capturing the viewer's attention with its very short run time. This is achieved by the craft of Director Chomet who has created a picture that is so well done it does not even feel like its animated. This can be attributed to cinematography used with the animation. A camera seems as if it is filming the film almost as an alternative reality in a medium that would not of been as effective if it had not been animated. Authenticity is evident even with the minimal dialogue acting a throwback to a simpler era; silent film. It does not rely on its dialogue at all spreading it few and far between, however, when there is dialogue it is true to the setting and the nature of the film. It is in French and guess what? There aren't any annoying subtitles.For some viewers the fact that the film is in French and that there aren't subtitles (I bet the DVD/Blu-Ray will have the option) it may be very frustrating. Also, this is not necessarily a kids movie. Kids will enjoy the magic behind ""The Illusionist"", but will not appreciate it as much as adults because of the immense amount of symbolism in the film.Contemporary film seems to be all about glamor, special effects, and money leading to the creation of hit or miss films. However, film as an art is much simpler than that, which is a metaphor that resonates within the must see film ""The Illusionist"". Remember simplicity, simplicity, simplicity."
1,The Illusionist,9,6 February 2011,You won't find a 2010 movie more visually beautiful than this one.,"Based on an unpublished script by Jacques Tati, The Illusionist follows a magician named Tatischeff, a man whose art form of illusion is dying. He begins taking any job that comes along his way, and even while in Scotland, is accompanied by a young girl named Alice. Tatischeff and Alice develop a sort of father/daughter bond, and Tatischeff ponders his own life as well.The film is directed by Sylvain Chomet, the man probably best known for his 2003 animated art-house feature The Triplets of Belleville. One thing that I simply adore about The Illusionist is that Chomet follows closely to the phrase ""Actions speak louder than words."" The film's dialogue is minimal, and for it's storytelling relies almost entirely on animation, body language, and a simple, but beautiful musical score written by Chomet himself.This isn't even mentioning the animation style itself. I've seen many 2010 movies, but The Illusionist is easily the most gorgeous. The characters are given fluid and realistic movements, and the ambient surroundings of the city and hillsides are outstanding examples of art-direction. I practically had to suppress the tears (And no, I'm not kidding).You may find a movie you like better than The Illusionist, but frankly, I don't think you'll be able to find a SINGLE. DAMN. MOVIE. more beautiful than this one.I give it ***1/2 out of ****"
2,The Illusionist,,20 February 2010,La magie de Monsieur Tati,"All my scepticism was futile, thank God! This animated charmer really oozes Tati's peculiar brand of character comedy from every single pore.Yes, the story is more sentimental and streamlined than the master's original efforts, but Tati's central issues (such as old-fashioned life-styles and values confronted by modern technology), his eye for detail, his pleasantly reserved humanity and his wonderful sense for comedic timing and subtle gags are all left intact by the careful makers of this gem. And the rendering of the Hulot character with all his distinctive mannerisms is a joy to behold.Plus, it's good to see beautiful hand-drawn animation for a change (with sparse use of CGI techniques.) 8 out of 10 querulous white rabbits"
3,The Illusionist,8,3 September 2010,a different experience,"Sylvain Choment's latest film adapts a script by Jacques Tati. The film's unique style is only being shown in forty cinemas across the UK, its box office status falling behind the animated Pixar hit Toy Story 3.Those who are followers of Tati's work or loved Belleville Rendez-vous will inevitably be drawn to such as personal piece. As will those seeking out a different experience from Disney, Pixar and even Studio Ghibli animation. This film, however, may confuse or bore those who are looking for the usual Hollywood narrative. It is a shame the detail of this touching story will be overlooked by so many. KH"
4,The Illusionist,,24 August 2011,Artistic animation laced with subtle sadness,"This is the great L'illusionniste, not the Neil Burger/Jessica Biel/Ed Norton version. While I thought the ill-timed The Prestige competitor was entertaining, it's not even in the same film-making universe. For those of you who are not familiar with Sylvain Chomet's work with The Triplets of Bellville, he showed his live action skill directing that bizarre segment of Paris Je T'Aime involving mimes and the Eiffel Tower.The story is quite simple: a traveling magician finds himself in Scotland performing in a small town. A girl sees his magic and believes it is real. She follows him to Edinburgh all the while believing that the gifts, money, and food he provides for the both of them are fabricated out of thin air. The original story was written by Jacques Tati, a French mime, director, and actor from the mid 1900s. It is a love letter from him to one of his children, but it is unclear whether the story is written to his first child abandoned in infancy or to his other child with whom he never spent enough time. Either way, there is evident a sense of melancholy and guilt in the magician's care of the girl. He sneaks out to a night job to afford to buy her the coat, dress, and shoes she desires; he always produces her spending money with a magical flourish; and he never tells her to her face that she shouldn't believe everything she sees.On one hand, you want to hate the girl  she latches on to the magician and seems so naive and even greedy at some points. On the other hand, the magician chose to keep up the illusion (ooooooh!) and never exposes her to the harshness of the world. It's not until he believes she has someone to care for her that heSPOILER ALERT HEREdisappears and leaves a note that simply says ""Magicians don't exist.""I first saw this film in January at a fairly crowded art theater. Young, old, artistic, and not were all there. When the film's last scene closed, and the credits began to roll, there wasn't a sound in the theater. Nobody spoke, nobody got up to rush out like they normally do. We all just sat there in silence, unsure of how to feel. I was sad, inspired, resentful, and had a lump in my throat. Few films have that impact on me and fewer make me run out to see the movie again. I think the biggest problem (only in that it leaves you a bit confused emotionally) is a lack of closure. Nothing really changes  we don't get to see how the girl reacts to the truth. The magician moves on with his life and career, seemingly untouched by the brief time with the girl. We want a happy ending, a kiss, a death, anything to leave us without an open end to wonder about on the way home.I have not even begun to talk about the beauty of the film. Character design was excellent, from the Brit-pop band to the angry little bunny that makes me laugh every time. More than ever, it makes me long to visit Scotland, the homeland, so I can see Edinburgh firsthand. The artistry of the film is only outdone by the subtle sadness of the story told without any real dialog.This film is instantly one of my favorites. See it in theaters, see it on DVD. See it."
5,The Illusionist,10,22 May 2011,Masterpiece,"Sylvain Chomet's long-awaited follow-up to The Triplets of Belleville adapts an unfilmed screenplay by French master Jacques Tati. Chomet's film doesn't feel much like a Tati film, though - it's very much a Chomet film. But that's okay. I wouldn't want some poor director to feel he has to ape another filmmaker's style. The Illusionist follows a vaudeville magician, modelled after Tati (and called Tatischeff, which was Tati's real last name). He's old, and his world is starting to fade. He leaves France for an extended tour of Britain. Eventually he finds his way to a remote Scottish island, where he meets up with a young woman, Alice. When Tatischeff leaves the island, the girl coyly follows him, and he pretty much adopts her. The two go to Edinburgh (or a fictionalized, Edinburgh-like city) and Tatischeff gets a regular job at a theater (and another at a gas station, secretly, at night) so he can provide the girl with the beautiful clothes she desires (having existed in squalor on the island, she has never seen dresses as beautiful as she does in the city).The biggest resemblance that it bears to Tati's films, besides the Tati caricature at its center, is the fleeting, impossible romance between the man and the girl. All four of the M. Hulot films contain this element to one degree or another. In The Illusionist, the relationship falls somewhere between the analogous romances in M. Hulot's Holiday and Mon Oncle. In Mon Oncle, there is a teenage girl who has a crush on M. Hulot, but he knows he's far too old for her and treats her in an avuncular fashion. In M. Hulot's Holiday, he is quite a bit older than the blonde, who is frequently bothered by boys her own age, but at least he has a chance. In The Illusionist, Tatischeff is an old man. He does love the girl. He can keep her, but can never have her. She essentially isn't any different than his rabbit - living its life in a cage. When it's free, it's only going to bite his finger when he gets too close.The film does not contain much in the way of the grotesque oddities that fueled The Triplets of Belleville. It is much subtler, gentler, and more beautiful. It has a grace all its own. It can be very funny when it wishes. Chomet has obviously spent years on this film, and it looks spectacular. Even if he had made only The Triplets of Belleville, his reputation amongst cinematic animators would be secure, but The Illusionist puts him very near the top of the list of the greatest who ever lived."
6,The Illusionist,7,18 July 2010,Charm over content.,"It was my great privilege to be invited to the world premiere of Sylvain Chomet's follow up to Belleville Rendez-Vous.Set in Edinburgh and produced by an old pal of mine, Bob Last, I had very high expectations indeed. Not least because it is not every day that one of the world's most beautiful cities (my own) would be caught in artful majesty for years to come. And indeed it was. Edinburgh is a real star of this charming but very slight movie.The city shimmers throughout, but the story sadly does not. It reminded me of a novel by Irish writer, William Trevor, called Felicia's Journey in which a young girl is taken into the trust of an older man. In that book (and subsequent film starring Bob Hoskins) and this, there is a slight air of seediness. (That's maybe going too far in the case of The Illusionist but the comparison was palpable for me.) Why the protection? What are the man's motives? I found it mildly uncomfortable. The fact is, in neither case are the intentions, apparently, anything more than protective; but somehow the feeling persists in both that all may not be as it seems.Belleville Rendez-Vous arrived on the film scene like a bolt from the blue. This, sadly, suffers from that difficult second film syndrome. It oozes class and charm from every pore. It looks sublime. But the story (a Jaques Tati cast off) fails to deliver. It simply does not have the muscle to sustain 90 minutes of screen time.A real shame because it has a great deal of merit.Heart? 8/10.Head? 6/10"
7,The Illusionist,10,21 October 2010,"Delicate but vibrant, hand-carved charmer","The long-awaited follow-up to Belleville Rendez-Vous is out at last, and director Sylvain Chomet must be the number one in a field of one, when it comes to contenders for making a long-lost Jaques Tati script into a feature-length animation.The underlying premise of the story here is the same as in all Tati's films: Old is Good, New is Bad. Variety theatre conjurer Monsieur Taticheff is one of the last of the old troupers as TV and rock 'n' roll kill off music hall in the late 1950s. In search of gigs, he takes his grumpy old rabbit and leaves Paris for London, then heads north to the Scottish isles and finally Edinburgh. Along the way he is joined by bored and lonely little Alice, who believes his tricks are the real thing. He has to take on menial jobs to keep up the illusion of magically producing yet more gifts for her.The Paris, London, countryside and Edinburgh of the Fifties are lovingly recreated in charming detail, always bathed in the warm light of nostalgia, and all people - and even the animals - are extreme caricatures while being totally sympatico. The hand-drawn, hand-carved feel of the whole film is greatly added to by some amazing special effects, and not surprisingly with Chomet, there is some genuine magic tucked in there, too. There's just too much in almost every scene to grasp at one sitting, from the crowded country pub to the busy, aerial views of Edinburgh and, like Belleville, it will bear several return visits. It's a truly fantastic ode to the theatre, pre-motorway Britain, Jaques Tati himself and the bitter-sweet meaning of life."
8,The Illusionist,6,17 June 2010,Visual feast or tourism commercial?,"Silent-ish - albeit with the odd, annoyingly generic multi-lingual aside (think that irritating 'Nichole? Papa? Citroen advert) - animated film about a 1950's magician's voyage from Paris to Edinburgh via the Scottish Islands and Highlands. The struggle to find and retain work in a dying craft is beautifully depicted, especially in the final moving sequences when he leaves his rabbit on Salisbury Crags, and a poignant note for his young hanger-on saying 'there are no magicians'. It looks great - as other reviews have said, a real love-letter to Edinburgh in particular, although it veered into 'tourism TV advert' territory rather too much for my liking. The strength is in the beautifully-nuanced period detail. However, some of the farcical vignettes were clichéd and rather dull, and the lack of dialogue meant that the limited storyline failed to hold my attention at times. But I can see why it was chosen to open EIFF this year, and it's a definite feast for the eyes."
9,The Illusionist,9,15 June 2010,A beautiful film,"This is the opening film at this year's Edinburgh International Film Festival and I was lucky enough to see it today with my delegate pass. It's an animated film by Slyvain Chomet. The film did well at Berlin Film Festival earlier this year and I predict it will do very well at Edinburgh this year as well. Briefly the film is about a French magician struggling with his trade, who meets a young Scottish girl. They travel to Edinburgh together and explore the city. I don't want to say too much more than that for anyone reading who wasn't seen the film. Things I loved about the film were that there was barely any dialogue, most things said were in either french or Gaelic and I understand neither, yet I understood the whole film. This is because visually the story is told through actions not words. It's masterfully told this way and beautifully drawn,The visuals were just stunning. I live in Edinburgh where most of the film is set and it made me want to get out and enjoy the city. The drawings aren't always geographically accurate but this doesn't matter. That doesn't affect the film, I just happened to notice because I live here.I loved the subtle humour in some of the backgrounds. Your eye was skilfully drawn to the right places by use of colour placement. A warm glow behind the main character may link to a flyer stuck to the wall. The main character will then walk to pick up this flyer. This was brilliant.On the downside I thought that towards the end the story began to lag a little, maybe just being a tad too long. Other than this there was little I did not like. The ending though when it came brought me to the verge of tears, it was that beautiful. I urge everyone to go see this film when it comes out, or in EIFF if you can get tickets."
