,title,stars,date,r_title,text
0,The Lobster,8,17 October 2015,Very true reflections of our society,"The film is dark humoured, satiric and mocking mirror of society reflecting on human's obsession to fit in certain rules of society, despite how ridiculous they are. We step on our primary feelings and ignore our instincts just to play by the rules, to belong. And even it was the clear theme of being obsessed with being in a couple, I see it as a bigger reflection of society. After the main character runs into the woods, where he finds rebels of coupling, it's clear that they are as extreme as the hotel people. It looks like it's shown that people have to belong to survive, but options are limited and you have to obey, pretend or risk to be destroyed. Various examples of dysfunctional relationships are shown in the film, which looks so familiar  pretending to have something in common, pretending that you understand that you are the same. Desperation, rejection, cruelty in the relationships  we have seen and know it all, but director found the way to remind it with a lighter tone, with the possibility to laugh at ourselves and society. All the characters acted and talked in the same hyper-polite manner  that's what we do, so often we dance around difficult and extreme situations with our repressed feelings. And despite how similar everyone talked, with the same tone and politeness, we can see through that and find individuality of the characters, and it shows that we are more than just rules, etiquette  The obsession to have something in common with you partner reached the peek at the end. It looked like even David and blind women are still in love, but a realisation that in society norms they don't have anything real in common drives to an extreme decision. It shows that we sacrifice so much if we love someone different, and all just to be more acceptable in the society, but at the end society doesn't care, so do we just have to be braver? This film makes more think than feel. The audience who is used to relate to the characters might find it difficult, as even the main character is not very lovable, he is a week and very human in other words. It's not a 'feel good' film but not miserablism, it's smart and innovative reminder"
1,The Lobster,8,31 July 2015,An Absurdist Screwball Comedy,"The Lobster is a surreal deadpan comedy about the strangeness of social pressures and modern relationships. The setting is a bleak, tightly controlled hotel on the coast of Ireland. David (Colin Farrell), a recently divorced Architect, is given 40 days to find a partner or else be transformed into an animal of his choosing; in this case, a lobster. Sound strange? That's just the first 10 minutes. Guests of the hotel are subjected to routine trips to shoot 'loners' with tranquillisers, and awkward high-school dances to entice singles to mingle. As David's days start running out, he decides to feign common interest with a heartless woman in order to escape his fate. But can he pull it off? Farrell really hits the mark with this role, displaying awkward machismo and fragile humility in equal measure. His comedic timing is matched only by his supporting cast that includes John C. Reilly, Ashley Jensen, and Olivia Coleman. Rachel Weisz is also spot-on as the short-sighted woman.The Lobster has just about everything you'd want from a film. It's unpredictable, it's offbeat, and it's laugh-out-loud funny. But it's most impressive feature is the subtext - it manages to reflect how odd our own modern-day social pressures are. How loneliness is feared, how individuality loses out to the mainstream system, and how relationships have to be deemed 'legitimate' by some higher order. There's plenty to talk about with this film, and I'll definitely be seeing it again to delve a little deeper...."
2,The Lobster,9,18 October 2015,Easily the weirdest film you'll see all year,"There's no chance that you'll see a film as weird as The Lobster this whole year. In what is effectively an indie art-house piece, you get a completely insane and almost unfathomable world filled with more and more absurdities everywhere you look. However, it's such an incredibly unique and eye-catching film that it's still hugely engrossing and surprisingly entertaining to watch.The story centres around one man, played by Colin Farrell, as he attempts to find a partner as a part of this bizarre system. The first act revolves around his time in 'The Hotel', and is not only hugely odd, but both dramatic and unnerving as well as hilarious to watch, featuring some of the best dark comedy written in years.The film takes its story as seriously as any drama, and you feel that through the deeply disturbing atmosphere that emerges off the screen. However, as the film is just so weird, it eases you into the oddness of it all very impressively through the use of humour, something that more pretentious art-house films fail to do, and are resultantly a lot harder to really get into.So, you'll definitely be laughing a lot, if not in a more disturbed than hugely entertained manner, throughout the first act, and by the end of it, you'll surely be as used as you can be to the incredibly weird feel of this whole film.Just to give you an idea of how unorthodox this film is, every scene is full of awkward silences, the actors speak as if they're reading off of cue cards with no emotion whatsoever, the imagery is very ugly and unpleasant to look at right the way through, and the incredible slow pace of it all means that the film feels like it goes on for about five times as long as it actually does.And yet, I still can't get around the fact that this is a brilliant film. Mainly, it's the fact that it's just so unique and almost shockingly bizarre, but it's just filled with so many captivating ideas that it's impossible not to be fully drawn into this insane story.So, the performances, the directing, the writing, and pretty much everything is stunning, apart from one big issue that prevents this from being a truly incredible film. Following the end of the first act, the film does lose its way quite a lot, taking almost too big a leap into an even stranger abyss than you ever imagined at the beginning, and, with a little less humour in the latter stages, isn't as easy to watch as the first act had been.However, it does pick up again towards a terrifying and as bizarre as ever conclusion, and that's why I'm going to give The Lobster a 9 out of 10, but I must warn you that if you feel you can't cope with this film for longer than the first twenty minutes, then it's not for you. This is definitely a cult film for the ages, but won't be a big hit with general audiences."
3,The Lobster,9,18 October 2015,A remarkable oddity of a film,"""The Lobster"" takes the tropes and expectations of modern-day relationships and satirises them almost out of existence. The farcical ""Hotel"" aims to partner 'loner' humans with each other (based on 1 characteristic) in a stress-inducing timeframe of 45 days, often resulting in deception and the suppression of true feelings in order to garner a relationship as a means of escape. The other side of the coin is the outcast tribe living a meagre existence in the woods, where even flirting is punished with physical mutilation. The cold mechanical delivery of every single character's lines emphasises the absurdity of the situation, and bizarrely makes the jokes even funnier. Not since Richard Ayoade's ""The Double"" has cripplingly awkward humour been so effective. This film has a lot to say about the fickle nature of relationships, set against the background of a dystopian society. The cinematography is as flat as the actors' delivery; this contributes to the emotionally-stunted, often silent world that the characters inhabit. The ending is beautifully ambiguous and surprisingly tense for such an understated scene. A score which fluctuates from terse, rough string melodies to Italian opera heightens the sense of weird-art-film which pervades ""The Lobster"": definitely a film which requires full attention, reflection, and a mind open to arty weirdness, ""The Lobster"" is a remarkable oddity."
4,The Lobster,,18 December 2015,"Weird, Whacky & Wicked But Also Dull, Sterile & Vapid.","Weird, whacky & wicked but equally dull, sterile & vapid, The Lobster is a strange beast that actually begins quite well but tumbles down the road after the halfway mark to conclude on a rather uninteresting note. The concept is no doubt intriguing and it takes its time to make us familiar to the society inhabiting its tale but all of it doesn't amount to much in the end & it fails to leave any lasting impression.Set in a dystopian future, The Lobster presents a world in which single people are arrested & taken to a hotel where they are obliged to find a matching partner within 45 days or they are transformed into animals & released into the woods. The plot follows David who arrives at the hotel for the same reason but his endeavours of finding a mate before his time is over ends far more tragically than he expected.Co-written & directed by Yorgos Lanthimos, The Lobster marks his English-language debut and the idea & inspiration behind it is both clever & admirable. The sequences taking place in the hotel are nicely carried out but its second half lacks the same level of creativity that's present in the first half. The excitement goes missing once the protagonist leaves the hotel and from there on, it just limps throughout its remaining runtime.The hotel is neatly maintained but it also has a creepy vibe about it. Camera movements are fluid, colour hues wonderfully compliment its overcast ambiance and lighting seems natural for the most part. Editing allows the plot to unfold at an unhurried pace but the whole story feels twice as long because of that, with no idea of where it's headed. Last, the background score is just as odd as the story's content and is intermittently utilised.Coming to the performances, The Lobster features a fine cast in Colin Farrell, Rachel Weisz, Léa Seydoux, Ben Whishaw & John C. Reilly and most of them are simply bland & lifeless in their respective roles. It can be argued that the spiritless rendition of these scripted people was deliberate but it doesn't really help in enriching the experience, at all. The deadpan wit is occasionally amusing but it's also too easy to get frustrated by whatever is happening.On an overall scale, The Lobster is an uncanny mix of bizarre ideas that, in its effort to play with multiple things at once, may end up drifting many of its viewers. While I found nothing lovable about it, its parody of the society that gives way too much credit to companionship, in addition to the dig it takes at those match-making algorithms which rely on similar traits & likeness factor is one aspect I liked but in all seriousness, The Lobster is too mediocre to be of any significance."
5,The Lobster,7,2 April 2016,"Quirky and original, slow film","The film's concept: all adults who have recently lost a partner through death or divorce are sent to a hotel, where if they do not fall in love within 45 days, they are surgically transformed into an animal of their choosing. ''A lobster's a great choice''.I try not to explain the film's plot when somebody asks, so as not to completely dissuade them from viewing. Maybe this ridiculous concept is in reference to how ridiculous forcing someone to fall in love due to common interests is, or even just forcing someone to eventually get married, a practice common in the modern world. A comment on the societal pressures put on single adults. There are constant references and reminders to how even numbers are perfect, a couple. There is a further commentary on applying limiting labels and boxes to people, bisexual not being an option on the sexuality question, no half-sized shoes.Collin Farrell and Rachel Weisz, along with the many minor characters, all add to the film greatly. There are no weak actors which I could point out. The screen writing can be fast and witty at times, but I felt the ''quirkiness'' was definitely overdone. The robotic and monotonous speech pattern was generally funny but also overdone.I have spoken to many people who do not enjoy this film, and I can definitely respect and understand their opinion. The Lobster is not for everyone, with it's strange plot, writing and imagery. It's script is similar to that of a Wes Anderson film, but still remains very dark, and at times, disturbing. It is without a doubt, a slow film, heavily reliant on dialogue (which many people won't even find funny).I would recommend the film to people who enjoy quirky films such as Frank, Juno or The Grand Budapest Hotel, although The Lobster is definitely darker than those examples.Probably one of the strangest film I've ever watched."
6,The Lobster,1,1 January 2017,A Comedy?,"I don't know how this could be classified as a comedy, even a black comedy. In any comedy, I would expect at least to smile, not scowl through the whole thing.If this is supposed to be about. . . conformity, resistance to authority, love even . . . I can think of more appealing ways to deal with those subjects. ""Captures the nature of love in the 21st century."" Seriously? If that's what love is, don't let it anywhere near me!Like Youth, this is just another case of letting myself be influenced by critics raving about a movie, and then suffering through the entire thing waiting for something redeeming to happen, if only in my own mind, only to be disappointed in the end. In this case, sorely disappointed.Why I occasionally waste two hours at a time on drivel like this escapes me."
7,The Lobster,1,14 May 2016,Artsy Fartsy Boredom,"What a God Awful film this is. The only thing worth looking is the performance of Colin Farrell. Thats it.The rest of the film is so boring, the title of the movie could actually be ""The Boring Movie"". Nothing really happens in the entire film so it may easily carry this title.Artsy fartsy is the common description here, including direction, acting, casting....you name it, it's horrible, cheap and uninspiring in any way possible. They probably thought the audience would find this idea surrounded by waves of boredom interesting. In some sort of weird way. Unfortunately this is not film making, it's called sleeping in our chairs while this film plays on.If this didn't have Colin Farrell in it, you would probably never have watched it anyways. Farrell gives a solid performance I really liked it, but he looked totally out of place, given the terrible soundtrack and co-casting. I recommend this film to be made again from scratch with Farrell and a much better crew, it could be made much much better.NEXT !!!"
8,The Lobster,1,7 March 2016,What a crock of ...,"I think we're supposed to get a point about the importance of human feelings. So we get a stupidly enforced scenario, where you see no correlation between act and react. If somebody is to be evil and kick somebody to death or disfigure somebody, I'd like some grasp as to why.Hell, maybe it's based on some personal loss. Or it's some peculiar fable over the current European refugee crisis or something. Admirable, in such case. Don't get me wrong. I'm fine with fables, it has its own beautiful tradition and storytelling raison d'être. But you need to at least believe in the scenario for the duration. If you fail at that, your point is lost to people. There's no discernible reason as to why it's so life-or-death important, that people of this civilization has to be paired, otherwise they get killed because they're ""loners."" Or why pairs has to share interests, otherwise they have to split up and then they get killed. It's a completely bizarre construct, you can only imagine came up during a talentless script session. ""This is how we make something, that'll stand out. 'Cause we're artists, we are, we are!""Sometimes a crappy film is worth the time just for the laugh. Not here, you just feel sad for people acting in it. No actor should be subjected to such a naked emperor. If it didn't have another chap's name on it, you'd think it was a Lars Trier pile of poo. This is the kind of stuff Monty Python justly mocked. Not even unsolicited graphic sex scenes can save this junk. I smell razzies so much it hurts. I smell an A list actor quickly going B or worse."
9,The Lobster,8,30 October 2015,Highly original and darkly humorous comedy,"""The Lobster"" is the first English language film directed by Yorgos Lanthimos (""Dogtooth""), and stars Colin Farrell as David, a man who is recently separated from his wife and must now lodge at a government run hotel in a near future Britain where he must find a suitable partner in forty-five days, otherwise he will be turned into an animal of his choosing.This is a very strange movie, the presentation is very serious and oppressive (using the Mozart pieces repeatedly over slow motion motion montages and Rachel Weisz narrating the story very sternly), but at the same time the delivery of the lines and the odd way each character acts made me laugh at the ludicrousness of it all. It's all done in such a deadpan manner and the supporting cast made up John C. Riley and several British television comedians (Olivia Colman, Ashley Jensen, Ewen MacIntosh) help propel the comedy.There's plenty of unique ideas about relationships (people coming together because they have something trivial in common, like nose bleeds; being assigned a child to stop newlywed couples arguing, etc.). The love story between Farrell and Weisz drives the second part of the film, showing the two at odds against the world, trying to find a place for themselves in a world with conflicting ideologies (she's from a group of loners who hide out in the forest, their leader has a strict policy on romantic relationships and is just as oppressive as the government they're fighting against).""The Lobster"" is a unique movie that is worth watching if you enjoy quirky comedies or just something different."
