,title,stars,date,r_title,text
0,The Secret of Kells,8,9 February 2010,Unforgettably Haunting Animation,"I would not have known about this film if not for its ""surprise"" Oscar nomination for Best Animated Feature film. Thankfully, it came to pass that I was able to watch this animated little treasure.The story is about the child Brendan who was the nephew of the imposing and overprotective Abbot of the township of Kells. The main pre-occupation of the Abbot is to build a wall to protect Kells from the attacking Vikings. One day, Aiden, the renowned illustrator from Iona, sought refuge with them. Aiden opens Brendan's eyes to the art of illustration and the lure of the outside world. Along the way, Brendan befriended the white forest sprite Aisling, as he sought to recover an ancient crystal invaluable to the meticulous art of book illustration.""The Secret of Kells"" is unlike most of the animation released these days. It is a throwback of sorts as the illustrations are done in stark geometric lines and design without much care for realism, as much as symbolism. The movements of these lines are reminiscent of the simplistic yet fluid animation style used at the beginning sequence of ""Kung Fu Panda."" However, it is the magnificent use of color that is the main source of wonderment for the audience. The reds used in the Viking invasion sequence is unforgettably haunting.Try to catch this quiet gem of a film. It is a welcome respite from all the senseless bombast of current animated fare such as ""Monsters vs. Aliens"" and the like. The sparse Celtic musical score is effective in evoking the sense of fantasy that imbues the film. OK, the story might be a little shallow and the ending a bit wanting. I would have liked to know more about the Book that Brendan and Aiden was working on. But the clear star of this film is clearly its amazing stylized artwork, said to be based on the artwork in the real Book of Kells."
1,The Secret of Kells,9,30 March 2009,Beautiful!,"The Secret of Kells is a film I've been waiting for for years after seeing some early footage at the Cartoon Saloon in Kilkenny. I'm here to tell you now it's been worth the wait. The cartoons are heavily stylised but not annoyingly so as I'd feared. The whole film is a thing of beauty and great imagination, I particularly love the animated illuminated book where the little figures come to life on the page. The characterisation is superb, I love Brendan Gleeson's voice as the stern Abbot and I especially liked the voice of the sprite Aisling. The forest is a triumph, such a beautiful place. The story is well realised, a mix of fact and fantasy. and really draws the viewer in to cheer on Brendan in his quest for the perfect materials for the Book. I'm a lover of calligraphy and illumination anyway so the subject is close to my heart, but all the people I know who've seen this and are not fans of the craft agree that it's a lovely little film. I will definitely buy the DVD when it's released, and would like to say, well done Cartoon Saloon and all the people involved in this mammoth project. May there be many more. :) Coming back in here to say that I bought several copies of the DVD as soon as I could and gave them out at Christmas, everyone loves it! And I wish them all the luck in the world at the Oscars, such a joy to see this nominated."
2,The Secret of Kells,8,18 April 2010,enchanting visuals,"In an age where it seems all animation is either expensive computer generated, a-list celebrity vehicles or anime, which seems like it's all drawn by one man, it's refreshing to see an throw back to a time when animation was hand drawn and more attention was paid to the use of color and intricacy of design than mimicing real life or creating 3D.The characters in this movie at times take a back seat to the scenery. The scenery alternates between what seems to be illuminated water color to illuminated manuscript illustration. It is breathtaking to behold on the big screen.My main complaint about this film is that it was too short! I wish more time had been spent in the forest scenes, which are the richest in detail and color. One can imagine how the scenes in the Irish forest and wilderness inspired the illustrators of the Book of Kells.The story is not simply a child's tale, and there's no potty humor as is prevalent in many Pixar and Disney movies today, but children with vivid imaginations and who love to draw will love this as will their parents."
3,The Secret of Kells,10,3 May 2010,Sublime.  A Rare Gem and Utter Masterpiece,"It's a shame there were not more opportunities for people to see this on the big screen. It is stunningly beautiful. There is incredible detail in the artwork, all of it an homage to illumination.The reviews I read said the film was a spectacle and impressive for its art and topic, but that it was dry and slow. This simply isn't true. there is a rich and innocent humour in the film, and it is an exciting story.The story itself is quite sophisticated. On the one hand, it depicts medieval Christian scholar-heroes courageously dedicated to preserving knowledge, creating books, and demonstrating reverence for words through painstaking arts, and on the other there is a magical childhood world of fairy folk and demons who are part of a hero quest that is mythical and dreamy. Both the Christian world and the pagan world are fraught with danger and violence.The imagery, themes and music of this film create a work that is sublime, Yet the warmth of the characters and the spirited adventure ensures that the audience does not feel remote from the experience. This film ranks as an instant classic and a superb achievement in the medium of animation. having now seen all the animated films nominated at the Oscars, this one should have won.See it any way you can, and don't miss a chance to see it on the big screen if the opportunity arises."
4,The Secret of Kells,7,12 October 2010,A visually astounding animated movie.,"""Do you want to see the most beautiful page? The one that will turn darkness into light?""The story of The Secret of Kells is a simple one. A monastery in Ireland hurries to complete a wall that will hopefully protect it and its village from the coming destruction of the Vikings, when it is visited by a monk who also flees the Vikings. He brings with him a special book that he is writing, and a young boy who lives in the monastery tries to help him complete it, and meets a shape-shifting forest girl in the process. The friendship that's made between the two may end up saving both the book, and the lives of the monks and villagers. The aspect of The Secret of Kells that's most noteworthy is the visuals. This is one of the most gorgeous and visually inventive movies I've ever seen. The art style is like moving illustrations from a book of English fairy tales, and it constantly changes from scene to scene, offering new things to see while keeping the same basic theme. It really is a beautiful movie, and I don't see how anyone could watch it and not be thoroughly impressed by the amount of creativity and work that had to go into making this.On the whole, I think this will appeal to older teens and adults more than children, as it's a quite serious story, and pretty violent in some places. There's not much of the humor or kinetic antics that younger viewers usually like in their animated movies, but anyone old enough to appreciate The Secret of Kells will be quite pleased with this little gem."
5,The Secret of Kells,9,25 February 2010,"Beautiful, rich film!","The Secret of Kells is one of the most unique, beautiful, and eye- popping animated films I have ever seen. Before watching this film, I was convinced that nothing could give Up a run for its money and that it was a shoo-in to win in this category, but I found in Kells a serious contender.The Secret of Kells tell the story of a young orphan named Brendan, who lives with his uncle, the Abbot of Kell. The Abbot is a loving guardian, but perhaps a bit too strict and much more concerned with fortifying the wall around the town from a coming attack by vikings than he is at nurturing the boy's imagination. When the legendary Brother Aidan (who looks surprisingly like Willie Nelson) shows up and takes the boy under his wing, Brendan goes on a journey into the woods and meets a lovely forest nymph named Aisling who takes a liking to him (and saves his life more than once). With Aisling's help, he attempts to save the town and help Brother Aidan complete the mystical book whichlegend has itcan turn dark into light.See my full review of The Secret of Kells at: http://theoscarsblog.blogspot.com/2010/02/movie-review-secret-of- kells.html"
6,The Secret of Kells,9,10 December 2009,Kellbinding Animation.,"THE SECRET OF KELLS is an astonishing first animated feature which will dazzle your eye and move your heart. The shortcomings of the film's limited budget and sometimes limited animation are more than compensated for by the visual poetry of the story of young Brendan's heroic quest to become a master illuminator during the dark ages. Historically this was in the late 8th century, when the centers of Irish learning were over-run by the Vikings. The Vikings appear here as brute antagonists, the equivalent on the North Seas of the plundering Huns and Mongols further East. The film's narrative--- which functions more as a parable--- centers around the conflict between Brendan, who seeks to create beauty in his illuminations during a time of encroaching darkness, and his stern Uncle the Abbot-- who seeks to protect the town of Kells and his nephew with a looming wall as barrier against the Norsemen. The Abbot disregards the value of Brendan's art in his quest for security. This is the movie's outer conflict. Brendan's inner conflict is to find the hidden eye of creative illumination which will allow him to complete the most difficult painting in the Book of Kells. This eye is guarded by a Dragon Ouroboros, who destroys from within those not suited to this quest as surely as the Vikings will kill from without (That's as much of the story as I'll divulge!)What I really like about this film is its creators' imaginative understanding of some of the greatest art work to survive in the West from 1200 years ago. The characters are stylized in flat abstract shapes defined by line just as in the original Book of Kells. (Particularly noteworthy is monk Aidan's pet cat, defined in few lines, yet purely--- and even magically metamorphically feline.) The range of emotion which Brendan and the other animated characters convey given their economy of abstract design is a tribute to the excellent artistry of the director and his animators. The decorative borders on the edge of the picture change to complement the dramatic impact of a given scene, and this characteristic of illuminations from the dark ages is brought to wondrous animated life in THE SECRET OF KELLS. Of course, historical dramas usually tell us more about our own times than the times which these dramas endeavor to depict. However, by introducing archetypal elements into this story, the writers and director of THE SECRET OF KELLS convey a numinous sense of lived-life from that far-off time in Ireland which feels psychologically true, however much the script might stray from pedantic historical fact. (The United Nations' band of illuminators who appear as a rogues' club of artists in The SECRET OF KELLS aren't historically probable, but they're all well-designed, individuated characters who do much to convey the universal appeal of this quintessentially Irish story.) Animation has always seemed the best vehicle to me to better help us understand the visual art of different times and cultures. The magnificent art direction of this movie clearly derives from its historical visual source, but has also been cleverly adapted to the demands of animated storytelling; if animation had existed in the Dark Ages, the SECRET OF KELLS is what it would look like! Finally, Brendan's hero's quest in this film is the artist's perennial quest to convey the spirit of beauty, life and inspiration. (Without being preachy or even particularly Christian, this movie affirms Jesus' dictum that ""Man does not live by bread alone."" ) In my estimation the most inspired movie about the creative process of visual artists is Andrei Tarkovsky's ANDREI RUBLEV, a film about the great Russian icon painter of the 15th century. The SECRET OF KELLS expresses much the same sense of mystery and exhilaration about the artist's visual quest and creative process. It's certainly not as profound as ANDREI RUBLEV, but--- heck--- its a cartoon! (And one which will appeal to young and old alike.) I think this movie will hold up well to repeated viewing: in its own modest life-affirming way, this stylized SECRET OF KELLS is a classic."
7,The Secret of Kells,10,9 December 2009,THE SECRET OF KELLS may be the most exquisite film I have seen...,"THE SECRET OF KELLS may be the most exquisite film I have seen since THE TRIPLETS OF BELLEVILLE. Although stylistically very different, KELLS shares with TRIPLETS and (the jaw-dropping opening 2D sequence of) KUNG FU PANDA, incredible art direction, production design, background/layout and a richness in color that is a feast for one's senses. KELLS is so lavish -- almost Gothic in its layout (somewhat reminiscent of Klimt), wonderfully flat in general overall perspective, ornate in its Celtic & illuminated design, yet the characters are so simplistic and appealing -- AND it all works together beautifully. You fall in love with the characters from the moment you meet them. You are so drawn to every detail of the story and to every stroke of the pencil & brush. What Tomm, Nora, Ross, Paul and all at Cartoon Saloon (& their extended crews) have achieved with this small budget/VERY small crewed film, is absolutely astounding. The groundswell of support amongst our animation community is phenomenal. This film is breathtaking and the buzz amongst our colleagues in recommending this film is spreading like wildfire. Congratulations to KELLS on its many accolades, its Annie nomination as well as its current Oscar qualifying run. They are all very well-deserved nods, indeed..."
8,The Secret of Kells,9,4 February 2010,History meets animation,"The Secret of Kells is an independent, animated feature that gives us one of the fabled stories surrounding the Book of Kells, an illuminated manuscript from the Middle Ages featuring the four Gospels of the New Testament. I didn't know that this book actually exists, but knowing it now makes my interpretation and analysis much a lot easier. There are a few stories and ideas floating around about how the book came to be, who wrote it, and how it has survived over 1,000 years. This is one of them.We are introduced to Brendan, an orphan who lives at the Abbey of Kells in Ireland with his uncle, Abbot Cellach (voiced by Brendan Gleeson). Abbot Cellach is constructing a massive wall around the abbey to protect the villagers and monks. Brendan is not fond of the wall and neither are the other monks. They are more focused on reading and writing, something Abbot Cellach does not have time for anymore. He fears the ""Northmen,"" those who plunder and leave towns and villages empty and burnt to the ground.One day a traveler comes from the island of Iona near Scotland. It is Brother Aidan, a very wise man who carries with him a special book that is not yet finished. Abbot Cellach grants him permission to stay and Brendan buddies up with him. Aidan has special plans for Brendan. First he needs ink for the book, but he requires specific berries. The only way to get them is to venture outside the walls and into the forest, an area off limits to Brendan. Seeing that he is the only chance for Aidan to continue his work, he decides to sneak out and return with the berries before his uncle notices his absence.In the forest Brendan meets Ashley, the protector of the forest. She allows Brendan passage to the berries and along the way becomes akin to his company. She warns him of the looming danger in the dark and not to foil with it. There are things worse than Vikings out there. From there Brendan is met with more challenges with the book and the looming certainty of invasion.I like the story a lot more now that I know what it is about. Knowing now what the Book of Kells is and what it contains, the animation makes perfect sense. I'm sure you have seen pictures or copies of old texts from hundreds of years ago, with frilly borders, colorful pictures, and extravagant patterns, creatures, and writings adorning the pages. Much like the opening frames of Disney's The Sword in the Stone. The animation here contains a lot of similar designs and patterns. It creates a very unique viewing experience where the story and the animation almost try to outdo each other.I couldn't take my eyes off of the incredible detail. This is some of the finest 2D animation I have seen in years. It's vibrant, stimulating, and full of life. The characters are constantly surrounded by designs, doodles, and patterns in trees, on the walls, and in the air just floating around. It enhances the film.The story is satisfactory, although I think the ending could have been strung out a little more. With a runtime of only 75 minutes I think there could have been something special in the final act. It doesn't give a lot of information nor does it allude to the significance of the book. We are reminded of it's importance but never fully understand. We are told that it gives hope, but never why or how. That was really the only lacking portion of the film. Otherwise I thought the story was interesting though completely outdone by the animation.I guess that's okay to a certain degree. The animation can carry a film so far before it falls short. The story lacks a few parts, but it is an interesting take on a fascinating piece of history. I would recommend looking up briefly the Book of Kells just to get an idea of what myself and this film are talking about. I think it will help your viewing experience a lot more. This a very impressive and beautifully illustrated film that should definitely not be missed."
9,The Secret of Kells,10,11 April 2011,"Beautiful, underrated animation.","The Story of ""The secret of Kells"" takes place in a fascinating but overlooked historical period, the time of Viking invasions through Britain and Ireland: the time of pillages, frightened communities and monks.And caught between two adults, two monks, two ways of coping with the horde which is destroying society, young Brendan will find friendship, hardships, the power of beauty and culture and a troublesome coming of age. Blessed with gorgeous, colorful, period-inspired art, The Secret of Kells is a classic tale, but a tale told really well, with splendid colors and warmth.This movie deserves more appreciation and recognition. It is that good."
