,title,stars,date,r_title,text
0,The Shape of Water,2,1 January 2018,"Guillermo Del Toro does ""Amelie"" meets ""Creature from the Black Lagoon""","Diabetics beware, you're in for a saccharine flavoured heap of mush.The Shape of Water was directed/created by Guillermo Del Toro best known for creepy and violent films such as Pan's Labyrinth and more mainstream writings such as Hellboy and The Hobbit. For some reason he has had a dose of the lovestrucks and written a film that is basically Amelie meets Creature from the Black Lagoon. There are a couple of questionable violent scenes (torturing a dying man by dragging him around via a bullet wound to the cheek had a touch of the old GDT that we know and love) but the plot literally has no surprises whatsoever. I picked the minor twist about 10 minutes in, and spent the second half of the film waiting for it to be over. I am sorry to say the only interesting part was the reveal (not literally) of the sea creature's penis via the main character's description which is frankly hilarious. Octavia Spencer does a fantastic job of playing herself (Was this woman born middle aged?) but let's face it we love her anyway. I would love her to be my best friend, she's a hoot.Michael Shannon (whom I remember from Take Shelter and Boardwalk Empire) plays a creepy bad guy in a way that makes me never want to have him around for Christmas lunch. Why does he always play someone sexually awkward? I pray we'll never find out. I was most disappointed that unlike Pan's Labyrinth and some of the other films GDT has made it's not set in a fantastical different world. It's basically the 1950s cold war era in USA with no real pretense of being anything but. I was hoping for a magical realism, but other than the creature, there's no otherworldliness to it. I am a solid romantic, but I found the plot so saccharine that it made me feel nauseous. There is also a sudden musical number that almost had me running for the aisle, and my sister desperate to see my husband's face (He's allergic to musicals generally). Apart from this light relief, I couldn't wait to get out of there.I am pretty alone in this opinion, our party was split between 3 people who loved it, and my husband and I who hated it. Maybe if I hadn't seen other GDT films I would have liked it more. My husband also thought the trailer completely misrepresented what he expected from the film. So maybe we were in the wrong movie. But I think romance lovers won't like the art house element, and art house/GDT fans won't like this film. So I think commercially it will be hard to place."
1,The Shape of Water,1,2 January 2018,So disappointing.,"I was taught before criticism that you should first bring up the good points. Good points: Cinematography, good actors, great old movie clips and music, great sets, good costumes, and an extremely promising storyline. Unfortunately, this movie missed, when it really could have, and SHOULD have, hit. 
I think from now on I'll choose my movies based upon how they're doing at the box office, and not based on reviews. It seems to be a better indicator of what the public REALLY thinks about a film. 
We're at week 3 and (for such a seemingly magnificent film), The Shape of Water hasn't even broken even. A telling clue. Budget:$19,400,000 (estimated)
Opening Weekend USA: $166,564, 3 December 2017, Limited Release
Gross USA: $12,140,155, 28 December 2017Personally, I found it contrived, unbelievable, and just plain stupid. Where to start? 
A cookie cutter ""Beauty and the Beast"" love story with too many holes. I never caught on to the burgeoning romance. Somehow it just fell flat for me. It was already a mediocre movie when they did that ridiculous black & white dance sequence, which was so far out of place, I lost all interest. The music and old film clips were great, but what were they thinking? Were they trying to cash in on some La La Land success? Or was it supposed be some allusion to Cinderella's ball? It would have made more sense as a dream sequence either where Hawkins had dozed off during a flick, or in the bathtub. 
Ew. Were the masturbation scenes really necessary? I can't see where they drove the plot. 
Are we supposed to believe a creature like that could or would run into a theatre, leaving a blood trail no less, without being seen by ANYONE? Then he just stands watching a film. (All the while knowing he was in danger from humans and he needed to get to water)? All this, and the projectionist doesn't notice? Where are the film patrons? How'd he get IN without being noticed by anyone? An unlocked door? What would be the purpose of having a box office if you're going to leave an access door unlocked? 
Are we supposed to believe that the creature, being so sick and weak that he must be released immediately, suddenly has superhuman strength after some strange (and inexplicable) resurrection event following his ""death""? 
And are we supposed to believe that you could pull a full grown man via a bullet hole in his cheek? (You'd rip right through.)
Are we supposed to believe that the best friend wouldn't have freaked out about the coitus? In her eyes, wasn't it more an animal. At the very least, one would expect her to broach the subject of pregnancy. 
How did those two remain standing in the bathroom? The force of the water would have carried them out. If it was pressing that much on the door, the window should have blown. 
Why didn't Richard Jenkins appear to grieve at all regarding his cat?
And why? Oh WHY? Couldn't they just release him directly into the ocean immediately, rather than wait for the locks to fill. I mean the water was RIGHT THERE. They could have made a bath in the back of the van, and just got him to the coast. 
On and on I could go, but I'm done with my rant. Save your money. If you want dumbed down fantasy get the Hallmark channel. At least you know you're getting purely pleasant drivel, instead of wasting your money and being grossly disappointed."
2,The Shape of Water,1,28 December 2017,2 hours of my life I will never get back.,"I really don't understand the hype for this movie. I know del Toro makes some odd movies, but I did like Pan's Labyrinth and The Orphanage, so I went into this one without reading any reviews or knowing much about it but expecting something decent as a way to spend 2 hours of my life. Wrong!
-The dialogue in this movie is just choppy and facetious. The most cringeworthy conversation to me was between Hoyt and the ugly bad dude. Fragmented threats like ""I will take you out of this universe"" just don't do it for me. Absolutely illogical and nonsensical script. It seems like they said every line in the movie thinking that it was deep and had an impact and was super important... but nothing was really needed for this movie. It could've been filmed without speaking at all and the stupid story still would have come across.
-I just didn't feel the relationship/love between the annoyingly mousy lead lady and the fish dude. She got on my damn nerves, really. So she brought the semi-sentient creature some boiled eggs that she made while she fapped in her bathtub (awkward and unnecessary). And meanwhile the entire f*cking building is on camera, but they never see her repeatedly sneaking in his sealed off room to feed him and even play music and dance for him?!?! serious cringe-fest right there. 
-the black lady Zelda ran her mouth all the time but yet everyone stepped all over her, including the lead (Sally I think? I'm trying hard to forget this stupid movie). Couldn't she ever tell Zelda a simple ""thank you"" for all the millions of times Zelda stepped up for her, made sure she ate, translated for her, punched her time card for her, lied for her, etc? Not once did Sally show gratitude. It's like Sally is a weird, selfish person that became infatuated with a dude that looks like Thane from Mass Effect 2 (yet Thane was 1,000 times more of a fleshed out character than this ""god fish"") and everyone just helped the anorexic mouse lady because she ""found true love."" No one thought this was f*cking weird?? She meets a semi-intelligent FISH in a lab tank and bangs him and has a sick puppy love for him and everyone in the movie acted like that was completely normal. Seriously? In what world is bestiality normal? Just completely idiotic.
-Soooo many unnecessary and useless scenes. Who cares about the mean dude (Michael Shannon) not liking noise and furiously banging his weird Stepford Wife missionary style while he covers her mouth and continually tells her to shut up? And when he got his new Cadillac car with the weird salesman and all the useless banter about its color being ""teal"" not ""green?"" Or the scene with Sally furiously water-fapping while she makes boiled eggs for the weird fish dude? or where M Shannon pees in front of the 2 ladies without holding his d*ck? 
I could go on and on forever and rip this movie to shreds, but I'm already annoyed and tired from writing all this. This movie was completely and utterly stupid, and I wish I could have my time and money back. Fail, del Toro. Big stupid fail. Ugh."
3,The Shape of Water,3,18 December 2017,Bloody Weird,"G. Del Toro has been frequently fawned over as a 'masterful story teller'. I found nothing 'masterful' about it. I absolutely could not hook in to this film. It made no logistical sense at all. It also had a dark and cartoonish feel to it like a Bat Man film. The setting in which the story takes place is deeply flawed. Eliza (the dumb one), and Zelda (Octavia Spencer) work as cleaning ladies in a so-called top secret facility when there seems to be nothing top-secret about it.The cleaning pair wander at will throughout the facility and discover it's also 'top-secret' biological specimen with no clearance at all. Right.And low and behold, the biological specimen is none other than the Creature from the Black Lagoon! This time in living color and many upgrades.One might also notice Octavia Spencer is appearing in every other bomb out of Hollywood as a supporting actress and nothing more. Maybe in ten years they'll give her one of her own movies. Not holding my breath.Back to the Creature. We'll call him Creatch for short. The homely Eliza has a strict routine of hard boiling eggs while she masturbates furiously in her bathtub every morning. Eliza is fundamentally scared to death of normal men. She then brings the food to Creach, which she eventually falls in love with.Creach is super duper intelligent and can instantly learn English, American sign language and writing, but likes to savagely dine on the occasional domesticated cat here and there. Right.Creach also has super powers. He can almost instantly heal bodily wounds, as well as restore hair to a bald man. Alright, that one small bit I found pretty cool, but that's it. Eliza eventually decides to kidnap Creach, for his own good, so she can turn him loose into the ocean just one step ahead of Russian Agents who have infiltrated the facility for the soul purpose of killing him. Again, not a very top-secret organization.Shortly after that, Eliza and Creach begin having sex. That's right. An otherwise normal woman gets it on with a humanoid looking fish that looks like it dried out in the oven too long. Happens all the time I guess.The two subplots involving a sadistic head of security and an alcoholic neighbor who works as a graphics artist are barely even worth mentioning.And the ending? Beyond impossible.This story is strictly reserved for the over-emotional, over-romantic, and completely naïve.Go see it if you really want to, but you have been warned."
4,The Shape of Water,3,22 December 2017,The Sad Shape of Moviemaking,"While the basic premise of this King Kong-ish plot, the lead acting (with the exception of the stereotypical and WAY overplayed villain), and the recreation of the 60's time period are all somewhat worthy (three stars worth), there are many oddly-forced and clunky scenes all of which impede the storytelling flow and represent a serious distraction: Gratuitous gore (rotting fingers, headless kitty), homosexual innuendo, masturbation, a bathroom that will hold 7 feet of water by simply closing the door and putting a towel under it, inter-species love at first sight sexual attraction and off-screen consummation, and a Saturday-Night-Live-like song and dance skit (?), among several others. Even with the love-conquers-all 'happy ending' and a beautifully depicted submerged in water embrace final scene,' overall it doesn't digest well.P.S. The shill-like adoration of just the titles alone (!) of most of the 10/10 user ratings for this film are absurdly hilarious, their effusively giddy text even more so."
5,The Shape of Water,8,5 December 2017,A Delightful Fairy Tale From Del Toro,"Guillermo del Toro is back with this visually stunning and thoroughly entertaining adult fairy tale. While this movie does not quite live up to some of his previous films (i.e. ""Pan's Labyrinth,"") it is still a great film in its own right. When one begins to watch the film, the first thing that the viewer will notice is the luscious and stunning visuals. These aesthetic qualities are all the more superb and stunning when one takes a moment to realize that they were done with practical effects rather than CGI. As usual, the visionary style del Toro takes to envision his creature and sets is incredibly impressive. Alexandre Desplat's score, with its simplistic, unpretentious and almost low-key charm, is also thoroughly riveting.The plot, which centers on a janitor's relationship with a creature kept in a research lab during the Cold War era in Baltimore, is entertaining throughout. The film is paced well, and never drags or feels tedious. The acting on display in the film is good as well, with a solid performance from Sally Hawkins in the lead role, a show-stealing supporting performance by Octavia Spencer, and a darkly powerful turn by Michael Shannon as a supervisor who serves as the film's sadistic villain. It is also important to note how the film is enhanced by its use of classic filmmaking tropes, which are managed well as to feel original rather than clichéd or too old-fashioned. They give the film a unique layer of depth to it that helps work hand-in-hand with its stylish aesthetic and unique mix of charm and darker themes. The only criticism I have of this film is the fact that there is a lack of individualization or characterization of film's supporting characters; these characters seem solely memorable based on a single personality trait. Otherwise, this is a skillfully made fantasy film and one that I would recommend very much. 8.5/10"
6,The Shape of Water,2,14 October 2017,Disappointing Twaddle,"This has absolutely so much going for it - beautifully filmed, with a magnificent, sweeping score and a stunning performance from Sally Hawkins - but crashes and burns in sentiment, cliché and cartoon supporting acts. It comes across, ultimately, as a cack-handed mash up of ""E.T."", ""Splash"" and ""The Creature From the Black Lagoon"", as an aquatic man is captured and brought into a secret military American laboratory in the 1960s at the height of the cold war, and Sally Hawkins' mute cleaner develops a bond with it and, ultimately, falls in love.Sounds interesting, doesn't it? It certainly has potential, but if the sassy black friend, constantly yammering on about her feckless husband (Octavia Spencer, surely tiring of this kind of role) doesn't get you, or the inefficient gay neighbour/best friend (Richard Jenkins - not his finest two hours) or Michael Shannon's cartoonish, 2D villain, then stay tuned for the ghastly black-and-white fantasy dance number, in which Hawkins and the creature cavort on an elaborate set like Astaire and Rogers. It truly is a ghastly mis-step, jaw-droppingly stupid. The film never really recovered for me, and it lumbered to its predictable climax and ending with numbing melodramatics and sentiment."
7,The Shape of Water,9,24 December 2017,Real love under unreal circumstances.,"To communicate or not to communicate. Sometimes is just out of fear that we don't come close to the ones who can give us exactly what we need. They're different, let's stay away. Sally Hawkins in a magical but beautifully real performance invites us to try, to dare. Guillermo del Toro takes us through the paces with extraordinary delicacy and clarity of vision. Thank you."
8,The Shape of Water,3,1 January 2018,Liberal do-gooders save amphibian humanoid from stereotyped right-wing martinets in this vastly overrated tale set in Cold War era,"The Shape of Water is noted director Guillermo del Toro's vastly overrated attempt to link mythic fantasy to the Cold War era. The problem with the film is its absurd premise: there's a secret government facility in Baltimore which houses an amphibian humanoid captured earlier in the Amazon by bad guy Colonel Richard Strickland (a cartoon, right wing martinet adventurer) played by an over the top Michael Shannon.Even if one accepts the premise (which I of course do not), you would think that security would be tight at the facility to ensure no unauthorized persons have access to the creature. Quite conveniently, however, the film's protagonist, the mute cleaning lady, Elisa (who communicates via sign language), is permitted to perform her cleaning duties inside the room where the newly minted ""creature from the black lagoon"" is imprisoned and easily ends up bonding with him (or it-which ever appellation you prefer!). Elisa soon hatches a plan to save the creature from the dastardly clutches of Strickland, and Strickland's sponsor, another vile right wing martinet, General Frank Hoyt. Of course the more than noble Elisa is joined by friends and confederates, all again quite conveniently joined at the hip by distinct, commonly held LIBERAL convictions. These associates include Elisa's best friend Zelda, played by Octavia Spencer in the familiar role as African-American ""help"" (will she ever be cast as the ""bad guy"" in any future films?), Giles, Elisa's neighbor, an artist and closeted gay, and a sympathetic scientist Dr. Robert Hoffstetler, who is actually a Soviet spy (note that Hoffstetler's superiors, are very much Strickland's counterparts, as they also evince a most unpleasant demeanor).Elisa somehow ends up ferreting the creature out of the facility after she learns of Strickland's deadline to vivisect it, allegedly for scientific purposes. Back at her apartment, she keeps the creature alive in a tub filled with salt water. Once the river is at full tide, the plan is to remove the creature from the apartment and bring it to safety, in the watery refuge.Meanwhile, the creature's dark side becomes slightly manifest when it attempts to take a bite out of a house cat (animal lovers do not despair: the creature is unsuccessful in significantly injuring the little kitty!). Giles is more than happy after it becomes apparent the creature has healing powers, touching Giles on his bald pate, and inducing some hair growth. And Elisa experiences pure bliss after discovering that the creature's genitalia is actually hidden and with a little coaxing, can actually engage in sexual intercourse (the act actually takes place in Elisa's bathroom, now completely flooded to the ceiling).Strickland, about to be fired by General Hoyt following the creature's disappearance, remains frustrated by not being able to find the lost amphibian (you would have thought that maybe he could have figured it out earlier that Elisa was the number one suspect). Strickland finally finds out from Zelda's terrified husband after unmercifully browbeating him, that Elisa is indeed the culprit who has sprung the creature from Strickland's deadly lair.No need to describe the rest of the plot in detail. Suffice it to say, there is a confrontation with Strickland who shoots both our heroes, only to meet his own demise at the hands of the creature, who miraculously recovers from Strickland's bullet to the gut. Elisa also revives (despite her wounds) and joins the creature in a blissful embrace underwater. How is this accomplished? Well, it seems Del Toro has kept his clues about Elisa's true nature from us all along. She's also some kind of long lost creature, and the wounds on the side of her neck, are actually gills-so she experiences some kind of re-awakening, again most conveniently while embracing her new found ""king.""I actually have a friend who sees the denouement as some kind of Gnostic allegory. Of course anyone can read into this narrative, anything they want. But the fantasy element certainly seems way out of place with this Cold War tale which also has problems of its own, with its rather cheap triumph of liberal do-goodism over stereotypical right-wing demagoguery."
9,The Shape of Water,9,14 January 2018,Romantic Dark Fantasy,"In Baltimore, in the early 60´s, the lonely and mute Elisa Esposito (Sally Hawkins) is the janitor of a secret government laboratory where she works in the night-shift with her friend Zelda Fuller (Octavia Spencer). She lives in an old apartment above a movie-theater and she usually watches television with her other friend, her next-door neighbor Giles (Richard Jenkins), who is a gay artist. When a creature captured in a South-American river and brought to the laboratory, Elisa feels curiosity and learns that he is an Amphibian Man (Doug Jones). She secretly feds him every night with egg and listens to music in his room, and they become close to each other. However the security agent Richard Strickland (Michael Shannon) is bitten by the creature and loses two fingers. He meets General Hoyt (Nick Searcy) and convinces him to eliminate the creature. When Elisa discovers, she decides to rescue the Amphibian Man and release him in the sea. The scientist Dr. Robert Hoffstetler (Michael Stuhlbarg), who is a Russian agent, decides to help her. ""The Shape of Water"" is a romantic dark fantasy film by Guillermo del Toro with a beautiful and bizarre love story. Elisa is a sort of the Beauty and the Amphibious Man would be the Beast in this mature film. The cinematography is amazing in an environment of the early 60´s in Baltimore. The performances are top-notch and the soundtrack is top-notch. ""The Shape of Water"" was awarded with the Golden Lion in the Venice Festival and many awards in the Golden Globe. It was also considered one of the top ten movies of 2017 by the American Film Institute. My vote is nine.Title (Brazil): ""A Forma da Água"" (""The Shape of the Water"")"
