,title,stars,date,r_title,text
0,The Sword in the Stone,7,22 January 2006,"For every laugh, there should be a tear","This movie is another proof of the high quality of the classic Disney films. Today feature films are quite funny too... but they based mostly on simple, crude jokes and spoofing of other topical movies (remember the bullet time-spoof in ""Shrek""). There is no substance to think about in it. You can see them, laughing about them...and forgot them almost completely a few years later. Who will remember, i.e., ""Ice Age"" or ""Madagascar"" in 40, 50 or 60 years? The old Disney classics are different, there are timeless! ""The Sword in the Stone"" contains a lot of joyful gags too, but no gag stands above the characters, no joke was made only to fill a hole in the plot. The story, the plot, and the characters are primary. And Disney add not only joyful gags. As Walt himself once said: ""For every laugh, there should be a tear."" Disney take children always quite seriously, and a lot of his early films contains a lesson for life, sometimes the lesson can be very sad and cruel, like in ""Bambi"", sometimes lesser sad, like in ""The Sword in the Stone""... but can anybody forget the cute little girl squirrel, that was left by Wart, desperately crying and with a broken heart? And Merlin's closing words about love: ""Well, yes, in its own way... yes, I'd say it's the most powerful force on Earth""!This is one of the main ingredient of the famous Disney Magic: Joy and tragedy! Another is the art of hand drawn animation. The quality of the animation went downwards at Disney after WW-II too, slowly, but surely. But in 1963 cel-animation was still on a high level. Not so good as in the golden Era, when ""Fantasia"", ""Pinocchio"" or especially ""Bambi"" set the utmost high standards of perfectionism, but quite better than in ""Hercules"", ""The Lion King"" or ""The Rescuers down under"". 7 of 10 stars for ""The Sword in the Stone""! It is not the best of all Disney films, but quite better and deeper than the most of the modern CGI movies!"
1,The Sword in the Stone,7,1 January 2001,T.H. White would be proud,"The 90 minute cartoon is in fact the first chapter of T.H. White's novel The Once and Future King. Made for the kids, Disney does it again taking a classic story and adding fictional animal characters that can talk. Still, Disney remains loyal to the story by keeping many of the characters in the story including Kay, Sr. Pellinoire, and Sir Ector.Worth watching twice with the family. An animated classic"
2,The Sword in the Stone,8,13 July 2007,For every laugh there should be a tear,"The 18th animated Disney classic is among the most hilarious of all time. It was never very popular, which is too bad, because it deserves to be more known. However, like other forgotten Disney classics, it has been winning a legion of fans with time.""The Sword in the Stone"" is almost at the same level of the 1960's and 1970's Disney classics when it comes to artwork. It was one of the last movies with the participation of Walt Disney himself.""The Sword in the Stone"" is Disney's version of the famous King Arthur's story. Disney tells this story with its personal touch and classic humor.I don't know if the Disney version is totally faithful to the real story, but that's not the point.Arthur, called ""Wart"" by Sir Ector (his adoptive father) and Kay (Sir Ector's son), is overworked and humiliated by them both. ""Wart"" is almost like a ""Cinderella boy"". But despite these problems, he remains optimistic and still dreams about being a great warrior and a knight's squire. Somehow ""Wart"" was the inspiration for the character Taran from ""The Black Cauldron"".In the meantime, he meets the powerful but clumsy and hilarious wizard Merlin, who wants to give him education and culture. Merlin believes that pure strength means nothing when a person has no brain.Together, Merlin and ""Wart"" live great adventures, funny moments and Merlin teaches everything he knows to ""Wart"". We mustn't forget the owl Archimedes too. The owl, as you know, is usually «the fountain of knowledge» on cartoons.Archimedes is wise, intelligent, clever but also very lazy, very confident, grumpy and has a strong personality. That's what makes him so funny. In fact, both Merlin and Archimedes are a comic relief.This film might take place in medieval times (which year is unknown). But it is one the funniest Disney classics ever, like ""Pinocchio"", ""Aladdin"", ""Robin Hood"" and ""The Aristocats"".It has lots of hilarious moments which can make one get into uncontrollable laughter.Let me mention some of them: the scenes with Merlin and the Granny Squirrel; the scene when the dishes wash themselves and Sir Ector and Kay get a ""bath""; the scene when Kay brutally crashes with the castle's oldest tower; the part when the plane model gets stuck on Merlin's beird and Archimedes laughs so hysterically that he almost can't breathe; that part when Archimedes nearly shrinks inside his little house; the moments with the sugarpot...I could go on, but it would take forever because there are so many hilarious moments.The songs are clever and enjoyable, such as ""The Sword in the Stone"", ""That's what makes the world go round"" and especially ""Higitus Figitus"", my personal favorite.I like this movie and I've gotta say that humor is, without a doubt, the strongest attribute of this movie.This should definitely be on Top 250."
3,The Sword in the Stone,9,27 March 1999,"Not quite the book, but nice indeed..","This very nice Disney Classic was based on the children's novel by TH White. This was not yet that very well-known, heavy novel titled ""the Once and Future King"" that so many later movies were based upon, but the lighthearted earlier version. Many agreed that the later novel has disfigured the first, so that we may be thankful for the Disney version!Though it does not quite follow the book (this is hardly possible, at times) it is a very good version as animated movies go. Not tedious, though of an age where children were meant to learn something from a movie...A collectors item!"
4,The Sword in the Stone,8,10 January 2006,"maybe not one of the 'great' Disney films, but it is quite the entertainer","I used to watch the Sword in the Stone quite a number of times as a kid, and I know why later on in my years. It's actually quite a fun little movie considering its a quasi-history lesson on how Arthur (aka 'Wart') became King of England. It includes Merlin, and his 'educated Owl' Archamedes, and a whole lot of wacky adventures trying to get Arthur, who can't read or write, into a mode of thought higher than how he's been raised. For a Disney film, as well, it's also quite the quotable film at times, with some lines and situations still sticking out in my mind years later. For example, the sequence involving Arthur and Merlin as squirrels in the trees, and a small lesson in love (or lack thereof) a lady squirrel presents in the face of danger. Or the story involving Arthur as a bird, trapped in the clutches of Madamn Mim (maybe one of the funniest sequences in any Disney movie).So, as one can figure from what I've described (if you haven't seen the film yet), it's fairly over-the-top, loaded with silly-songs (one of which a true charmer involving Merlin's proclivity for organizing a packing up of his house) and little lessons for kids. But it actually is also funny for adults too, I'd guess, or at least funny to watch along with the kids. It may not be in the absolute peek of the period in Disney films (one may try to look to the Jungle Book or Winnie the Pooh for that, or the underrated Aristocats), however I sometimes come back to this film in my mind. It has a catchy attitude that made being in the 'dark ages' as fun as possible- Archamedes in particular is maybe one of the great side-characters in any Disney film.Alakazam!"
5,The Sword in the Stone,7,25 September 2005,Funny and worth watching,"I'm really not much of a Disney fan, and a lot of their films I find are sentimental rubbish, to put it bluntly. This, however, is different. I remember watching this when I was little and finding it hilarious. I hadn't watched it for years until recently when my younger siblings borrowed some videos from a friend. I still find it funny. The animation's nothing amazing, it's done more or less in the style of 101 Dalmations, and the storyline is basic King Arthur stuff (but I do like King Arthur stories anyway). It's the humour that really makes it memorable and charming. The characters have personality, there are no bimbo princesses or princes, and I find myself warming greatly to Merlin and Arthur and even grumpy Archimedes. Well worth watching."
6,The Sword in the Stone,10,21 July 2004,Not much plot but great for little kids.,"This is one of my all time favorite Disney films. The lyrics of the songs are clever and memorable. Who can forget ""Hockety Pockety Wockey Wack?"" The characters are also very entertaining. The idea of Merlin as a clutz is unique to this version of the story. Archimedes also offers several laughs.Though there isn't much of a plot, the development of character makes this film very entertaining. My four year old sister loved the film. She has already watched it at least a dozen times, and I only checked it out from the library three days ago. Modern Disney bores her. I've found that young children can't sit through ""Beauty and the Beast"" or ""Mulan."" This older style of Disney catches attention and entertains."
7,The Sword in the Stone,7,14 June 2006,A legendary story. A classic in animation.,"''The Sword in the Stone'''is one of the classics from Disney that I watched when I was a kid and probably the first movie I saw about the Arthur's and Merlin's stories. Wart is a young boy who wants to be a knight's squire. During a hunting trip,Wart meets Merlin, a great and powerful wizard who sees in the boy the chance to give a great education. Wart learns many of the truths of life with Merlin when he become different types of animals. The problem is when Wart makes contact with the evil witch Madam Mim, who will fight against Merlin in a witch/sorceress battle.Ps:I think it is pretty obvious to say that Wart will pulls the famous sword in the stone out of it, and will become the future King of England, thanks to his good,loyal and brave heart."
8,The Sword in the Stone,6,8 August 2007,"Good, but the magic touch is missing","""The Sword in the Stone"" is the Disney version of the Arthurian legend, adapted from the first of four books by T.H. White telling the life events of the young Arthur, before he became king. It is also the last feature-length animated film from the company of Uncle Walt to be released before he died. In addition, it is the first solo effort of Wolfgang Reitherman who would later direct other great animated movies, such as ""The Jungle Book"", ""The Aristocats"", ""Robin Hood"" and ""The Rescuers"".The movie was released in theaters on Christmas day 1963, almost one month to the day after the assassination of John F. Kennedy. This dark moment in American history established a striking and timely parallel with the dark atmosphere prevailing in England as depicted in the animated film.""The Sword in the Stone"" begins by the death of a heir-less king. One night in London, an astral light comes down from the sky and a sword lodged in an anvil itself embed into stone mysteriously appears. On that sword (which will be later known as Excalibur) are inscribed these words: ""Whoso pulleth out the sword of this stone and anvil is rightwise king born of England"". With nobody being able to accomplish the impossible feat, England remains king-less and the period now known as the Dark Ages begin.The movie then shifts to the great hero Arthur himself who is only a not-so-smart puny runt nicknamed Wart (Rickie Sorenson). Venturing into the forest, Wart literally falls on the house of the powerful and wise, but absent-minded wizard Merlin (Karl Swenson) who lives there as a hermit with his educated pet owl Archimedes (Junius Matthews).Merlin, convinced that the young Wart is destined to a great future despite what his physical appearance could reveal, begins to learn him about great life lessons in his fashion by changing him into a fish, a squirrel and a bird.In general, I'd say that the film is not bad, far from it, but it is also far from being excellent. The plot is generally short and somehow empty, but it also contains some rather useless over-long passages.But there's absolutely no doubt that this picture has a lot of ambitions and it has things to show to its audience. In fact, ""The Sword in the Stone"" is one of the most instructive Disney movies for the kids, not only because of the number of lessons that can be learned, but also because of their clarity and their direct character, which make them easy to catch and understand.But I would have liked to see these lessons more treated on-screen when Wart becomes king. Merlin predicts celebrity and a bright future to the young monarch, but the young boy has no idea how to govern a state. It's at that moment that the learned lessons should have emerged and Merlin should have mentioned them.After all, Wart's adventures with his mentor brought out the three most important characteristics of a good king: wisdom, love and intelligence. So ""The Sword in the Stone"" is for kids what Machiavelli's book ""The Prince"" is for adults.Unfortunately, even if it's instructive, ""The Sword in the Stone"" loses points when it comes to the capacity to wonder, astonish and entertain. The animation is often spoiled and the sets are visibly nothing more than static colored paper sheets on which animators make mobile characters streaming in and out. It's a colorful movie, but it doesn't necessarily mean that it is alive.And yet, the dark atmosphere of the movie is also reflected in the presentation. Some people will say that it's OK since the pictures adequately re-create the era and the society at the time, but let's not forget that we're talking here about a children's movie. In such a case, the dark (and not much cared over) images become depressing, boring and not much enjoyable to watch.There's also a cruel lack of lively songs, which looks pretty bad for an institution like Disney. The songs go so much unnoticed that it becomes almost impossible to remember their titles.There are some great moments however. The teaching sessions were Wart becomes an animal, accompanied by either Merlin or Archimedes, are entertaining and they lead to exciting and dangerous moments, where there's no lack of thrills for nobody. The best moment remains the magical duel between Merlin and the witch Madame Mim (Martha Wentworth), where the two opponents ceaselessly change themselves into different animals and give a high-level spectacle of which we are the lucky spectators.The three main characters are also unforgettable. Wart's psychological evolution is well tangible. We can see at the beginning that he is puny, clumsy and naive, but also full of potential. And as he learns, he finds the courage to confront his adoptive tutor Sir Ector (Sebastian Cabot) and even his powerful teacher Merlin.The magician himself is presented as somebody who is wise, but also absent-minded, which renders him quite funny. Unfortunately, he often loses himself into his futuristic anticipations, which leads to pathetic anachronisms and uninteresting discussions.Archimedes is also intelligent and resourceful, but he is also touchy, cynical and often very grumpy. It means that we have as many reasons to like him as we have to hate him. And unlike Merlin, Archimedes prefers to keep both feet on the present ground, rather than thinking about the future.""The Sword in the Stone"" is not one of the greatest movies of Disney's career, but it nevertheless remains an instructive and funny picture, the kind of work that only Walt and his partners can make."
9,The Sword in the Stone,8,15 January 2004,Lowbrow fun,"This isn't usually counted as being one of the top-ranking Disney films, but I insist on not being snobbish in this list, and remembering the films that brought me joy as a kid.  Wart gets to be a squirrel, a bird and a fish during this film which plays fast and loose with Arthurian legend.  Merlin is great, and his battle with Madam Mim the stuff of legend.  It's not big, it's not clever, but it is fun!"
