,title,stars,date,r_title,text
0,The Wind Rises,9,18 September 2013,The Most different Miyazaki's Film,"This film is totally different from Miyazaki's other films and I personally think, like what he's mentioned, a message to to world about how he looks at the war, war machines , peace, love and living. As I am a Taiwanese, who has once colonized and ruled by Japanese during the second world war, how Japanese coped with the war topic is always sensitive. However, what I saw in this film is truly reflecting that Miyazaki is peace loving and his point of view on war, life and love. He depicted about the beauty of dreams and surviving. You can see that everyone in this film try every hard to live, even though the time is hard and forced to strike a balance between dreams and reality. However, they are self fulfilling. So who is to blame? who ruined their lives and dreams? Those who leads them to the war to blame.In short, the film perfectly shows how the director's been telling in almost every his masterpiece but in a personally way, to the audience. Just like a final message he would like yo transmit to the world. I felt overwhelmed by the film and sad that he decided to retired. Please go to watch this film and you will do feel the courage to live hard and live well."
1,The Wind Rises,10,28 July 2013,Miyazaki's most mature film?,"The announcement of this film was a pleasant surprise after Ponyo and From Up on Poppy Hill, which both had simple, childish plots. Few films in Japan have tackled the lives of imperial period heroes; the ghosts of the 1960s urge people to denounce what really happened in that time and memorialize an imaginary anti-war movement, for example in this year's film ""Shounen H"". For Miyazaki to choose a subject like this showed that he was really going for a huge challenge. Miyazaki is of course anti-war and environmentalist. But Ghibli films are never negative. What sort of positive image of the Zero bomber inventor would Miyazaki produce?The result is astounding. As everyone has noted, this is not a children's movie. It's complex, so it doesn't have the epic sense of Miyazaki at his best, but history and adulthood are just as complex, and Miyazaki does justice to both. The film indeed stays positive throughout, by showing from start to finish how everyone wishes they themselves would behave, rewarding the viewer with virtue and beauty, but without being condescending about the hardships of real life. In a sense, the film is about the ""importance of dreams"", but it's also about what it means to be a dreamer in real life, and how our highest fantasies can be turned into beauty if we put our minds to it. The cartoon medium is put to full, extravagant use in dream sequences that merge right into the narrative. Certain elements at the end of the film leave the obvious unsaid in a peculiarly Japanese and fulfilling way. The most classic films of Japan, like the great works of Akira Kurosawa and Yasujiro Ozu, say something profound about the meaning of life, and Kaze Tachinu deserves a place among those ranks."
2,The Wind Rises,,20 February 2014,A must see for animation fans! Stunningly beautiful.,"This is a breathtaking masterpiece of art that allows your mind and heart to soar like the wind .The story is loosely based on the real life story of Jiro Horikoshi (Joseph Gordon- Levitt). He dreams of flying but, because he's nearsighted, decides to be a Japanese airplane designer. We observe his life from child to adulthood as he makes his dream plane and, in the process, falls in love with Naoko (Emily Blunt). Will Jiro create the beautiful plane or realize that the beauty he's seeking is right in front of him all along? The film is a work of art. Hayao Miyazaki (Director and Writer) creates unique color palettes and designs. Since the movie takes place in the sky, the animators go above and beyond to hand draw backgrounds and movements for the planes. We witness them majestically soaring through the skies and you feel as if you're with them. The voice acting is well done. I think they portrayed the characters and their relationships exceptionally well. Much of the film focuses on the romance between Naoko and Jiro. Their connection is both loving and tragic. The film was first released in Japan, so American voice-overs are dubbed over the animation and yes, it can be distracting. They confront actual events that happened in Japan, such as the Kanto earth-quake of 1923 and Japan entering the war. I love the truth in this film. It doesn't shy away from talking about the real issues that happened during this time.My favorite character is Mr.Caproni (Stanley Tucci) a historical Italian aircraft designer who is Jiro's mentor in his dreams. I enjoy Stanley's voice acting skills. He's one of those character actors who is fantastic at everything he does. The character himself is fascinating. He looks at aircraft not as a bringer of war, but a creator of dreams. My favorite scene is the last dream sequence, after Jiro goes through a life changing experience. This is one of those bitter sweet endings, where you don't know what to think at first. You just need to take it all in.The message in this film is, ""Sometimes the outcome to your dream is not always what you expect."" Jiro spends his whole life wanting to make his aircraft, determined to do anything to fulfill his goal. After a few sacrifices, he realizes his potential but it's not what he expects. Mr. Caproni then asks him, ""Did you have a good ten years?""I give this 5 out of 5 stars and recommend it to 11 to 18-year-olds. This film shows people smoking and deals with serious issues of the time. This is a must see film! Reviewed by Keefer B, KIDS FIRST Film Critic. For more youth reviews go to kidsfirst.org."
3,The Wind Rises,10,1 March 2014,Miyazaki's swan song doesn't disappoint,"I don't know if I loved it right from minute one, but then it doesn't quite start like any Miyazaki film (well, even with a dream scene). Its a little quieter, more natural, thoughtful and subdued, much like the main character will be through the film. And then earthquake hits. Its unlike anything you've seen in an animated film. It doesn't hype up its suspense or action. it simply shows Its protagonist, Jiro, react to a situation as calm and controlled as possible amid the debris and darkness and chaos, and help a couple of people in need. of course he doesn't know this young woman he saves will be an emotional foundation for his life. But as with any simple but splendid poetry we have a sense of the connection made.Any other director might just make it a film about the 1920s earthquake that devastated Tokyo. Not Miyazaki. Soon after Tokyo is up and running and Jiro is after his passion which is airplanes. He dreams about them, and more than that dreams about the Italian icon of flying he looks up to as he gives Jiro advice and philosophical points about flying, inspiration and technology. And very soon after the film is more than anything about this man and his process - finding without any grandiose strokes what can make a plane fly quicker, faster, safer, with more agility and s look like no other. And, sometime soon, finding a love all his own.Miyazaki has said (once again but probably for real this time) that he is done making films with the conclusion of the Wind Rises. If so, that's fine. I'm not sure if it's any sort of culmination of what his career has been or what he's said - Though you could certainly have a double feature with Porco Rosso, also about the wonder of flight but more in an adventure fantasy approach and have a fantastic several hours - and yet it's no less a marvel than anything else he's made. And if anything it just reveals more depths to how he feels for people and can show them in dimensions on screen than ever before. It is a biopic still, and a line here or there may be cornball, but so what. Its a fiercely intelligent film with genuine sentiment and a grace that comes from being a master letting your story unfold without rushing, letting scenes play out for full emotional weight, And ample colors and compositions painted with nostalgia for a mood (if not necessarily a side in history).And yet you may think going in that there will be some sort of agenda politically speaking as it looks at a man who helped, ultimately, design planes that dropped bombs and shot and killed the US during world war two. It really isn't, or as simple as that. A couple of scenes with a German businessman of a sort voiced by Werner Herzog (yes the one and only, you'll know him when you hear him) lays out the futility in war and conflicts. And Jiro agrees. when someone speaks to him about what planes will be sent to fight whom, he is already resigned. ""Japan will burn,' he says more or less. And yet he always stays more pragmatic, more about the work and the hard enough task to make the planes and make them fly high and well. This double edged sword also comes out when he is talking to his Italian guru in his dreams (especially the last one at the end of the war).With all of this, the Wind Rises is a touching love story that seems possibly very doomed from the start - before getting engaged Jiro is told by Nahoko she has Tuberculosis and he doesn't care, or at least about that deterring him away - and how strong their bond is. How often do we get to see people in a movie, animated or otherwise, act like this to one another with kindness and compassion and a tenderness that (for the most part, maybe there's a bit of that ""Japanese Disney"" schmaltz but not much) is without any reservation? Not often really, at least like this as told at times without words at all; the high point of the picture is when there is a kind of wordless courtship as Jiro flies a paper plane around and it goes to the girl and she flies it back out as he chase to catch it and it repeats. The moving music, the amiable tone of the whole set piece, the mild peril... I'm at a loss to how much that just works because it feels true.Did I mention its among the ten most beautifully animated films ever made? And I'm sure that group includes Mononoke and Totoro already. And I know full well a term like 'beautiful"" is overused and tired. But Miyazaki crafts his works (or did) by hand with gorgeous, clear lines, water colors and maybe some cgi, and it both serves the story and its own sense of the world it's in: the earthy greens, the shiny clouds and blue skies, the metallic force of the planes, the drab grays of the offices and plane hangers. And yet you are still wrapped up in the tale of this man and those who cared about him or were inspired by and led by him, and is another rarity (easier to pull off in literature, trickier here and Miyzaki just about pulls it off): a mild wind that grows with power and energy, briefly, and then ebbs and flows with reality and, again, thought."
4,The Wind Rises,10,9 November 2013,Hayao Miyazaki's Most Beautiful Film,The Wind Rises is a fictionalized biography / character study of Jiro Hirikoshi and his story of becoming an Aviation Engineer. This movie had a great impact on me after seeing it in the theatre and I thought about what I had seen for the one hour drive home afterwards. In terms of pacing and how the movie focuses on the main character I was reminded of David Lean movies in its maturity and emotional grit. There were also times when watching that I thought to myself I have never seen hand drawn animation this good ever and will probably never see animation this good ever again. The character designs are beautiful. The backgrounds and color pallete are beautiful. The animation is breathtaking. But the story is just as beautiful as the artwork. The movie is about one mans journey to make beautiful airplanes but is also equally tragic in later scenes of the movie in the evolving love story and especially the last scene in the movie.This movie does not explain at any time through dialogue what the character is feeling but instead it shows you and the subtle and at times powerful emotions which are the glue of what holds his story together. Some people may wonder why Miyazaki took creative risks with the real life story of Jiro Hirikoshi. The real life Jiro never married to a woman with Tuberculosis. Did he really fantasize about building airplanes? Was he really followed by a Soviet Spy? I think the way the character fantasizes about airplanes even when not dreaming is an honest depiction of how creative people like Hayao Miyazaki think.Along with Porco Rosso this is probably Hayao Miyazaki's most personal movie. If you study Hayao Miyazaki's movies and read about his career like I have it becomes obvious that this movie is as much about Jiro Hirikoshi as it is about Hayao Miyazaki.I recommend anyone who has ever been creative to go see the Wind Rises.Hayao Miyazaki's Most Beautiful film.
5,The Wind Rises,10,13 March 2014,Film Authority on The Wind Rises,"Aviation has always been a key element of the Studio Ghibli films; from the flying broomstick in Kiki's Delivery Service to the airborne armies in Howl's Moving Castle. So for Hayao Miyazaki's reported swan-song to focus on the development of aeroplane design is no surprise. A fictionalised biopic of designer Jiro Horikoshi, The Wind Rises is a stunning achievement, an animated film that uses the medium to tell a compelling, highly emotional story that has appeal for children and adults alike. Horikoshi's designs were used during World War 2, and that detail may make The Wind Rises unpalatable to some. But Miyazaki's films have never focused on battle-lines, but on the personal stories involved, and The Wind Rises gains power from the balancing of the beauty of the designs against the knowledge that the purpose for which the designs will be used leads to death and unhappiness. It's a bitter-sweet paradox, and one that many directors would sweep under the carpet. Instead, Miyazaki puts Horikoshi's dilemma centre-stage, and depicts the designer's angst as he finds himself immersed in industrial and international intrigue while he attempts to keep his own thinking pure. A subplot, invented for the film, relates how Horikoshi's work life is informed by his chaste romance with Naoko, a woman with tuberculosis who won't marry until she recovers. Horikoshi's dreams take flight while his day-to-day reality struggles to leave the ground behind. The Wind Rises stirs up sensational aerial dream sequences, but also captures the bleakness of life on the ground, as Tokyo recovers from a devastating earthquake. Horikoshi and Naoko journey to the Magic Mountain resort in an effort to address her physical malaise, and their interaction with a mysterious German spy, beautifully voiced by Werner Herzog, sketches out the sinister world of warmongering that forms the backdrop to their romance. Studio Ghibli films have always been beautiful to watch, and The Wind Rises excels in every frame. But the overriding message, about the role of a gifted individual to overcome the constraints of society, is just as beautifully wrought; The Wind Rises is required viewing for anyone who wants to have their spirits lifted and soar like the wind for two blissful hours."
6,The Wind Rises,10,29 September 2013,The Beauty of Life,"There might be people saying that it was the bad thing to do to create airplane to kill people. However, the beauty of his life through his Mitsubishi Zero is worth viewing. The young guy lived with his dream, creating the beautiful airplane to fly in the free blue sky. It describe that even though there are many beautiful moments to live as a human being, the wart itself turns them into all evil. I felt like Hayao Miyazaki wanted to tell us the point. And even though under worst situation like world war, people live their own life, and those lives themselves are just so beautiful. Once you watch this movie, you must feel something warm from deep of your heart."
7,The Wind Rises,10,23 February 2014,Definitely Oscar worthy.,"So when I first saw that an anime called the Wind Rises was coming to theaters I could not wait to see it simply because it was an anime coming to theaters. I had no idea what the movie was about, but when I saw the movie, I discovered it was about one of my Favorite subjects, Airplanes. It's a very simple story that could have been done in Live-action. Jirou who as a boy met his hero, airplane designer, Caproni in his dreams was inspired to become an airplane designer. Years later Jirou lives his dreams and designs airplanes for a manufacturer who sells his beautiful designs to be used for the Ugly art of War. Jirou also fines love in the movie with a young girl name Naoko. All the characters in the movie who supported Jirou, from his little bratty sister, to his firm but fair boss, to his best friend and rival at work. They all help to make you feel like Jirou had a real posh life. I also loved how the story gives us a perspective of Japan pre-World War 2 through the life of Jirou. All of this could have been done in live action, but the craftsmanship of fame director Hayao Miyazaki makes you think otherwise. The animation takes a very surrealistic approach to telling this drama without making it seem cartoonish like Mickey Mouse. The scene portraying the great Kanto earthquake of 1923 made the ground feel like it was coming to life as a giant wave just took out an entire city. The Dream sequences worked very elegantly, just naturally seeming through. And the planes! the animation team did a great job of making the entire layout of the airplanes look fantastic. I've seen dramatic anime where the animation does nothing to push the story along but Mr. Miyaazaki did fine work to make sure that was not the case. It's been forever since I've seen a 2D moving illustration on the big screen, it felt a little weird, but this was definitely the movie to bring us all back to that. Someone told me that Hayao Miyazaki may retire after this one as he feels he can't top this. I will not disagree, because this one is excellent."
8,The Wind Rises,10,15 August 2013,"Another ""Visualized Masterpiece"" from Miyazaki","First of all, let me start by telling ""Woah, What a great movie"". Hayao Miyazaki's latest movie The Wind Rises is one of his best movies till date though the story line and plot is completely different from all his other movies which had a magical and fantasy feeling to it. It's nowhere near Spirited Away his best work till date but it ranks 3rd in my ghibli list after Spirited Away and Princess Mononoke. The story, partly non-fiction, evolves around a young mechanical designer whose dream was to build beautiful airplanes. He ultimately succeeds in building fully up-to-date planes, but which went to war, and none came back.His personal life is set in Japan when people were facing great uncertainty after the Great Kanto Earthquake of 1923, the Great Depression, and preparation for the war with China, then America, and Britain, and Netherlands, and the Soviets ... He and his colleagues do what they do best and what they are supposed to do under those circumstances: make planes. Just do it. His life enters into a new stage when he meets again accidentally with the girl whose life he saved during the earthquake. Their beautiful romance and eventual marriage is however overshadowed by her disease (tuberculosis, which was incurable at that time), and war.The ending completely pays off and blew me away in every term. The Movie is what we wanted from Miyazaki though intended for Mature Audiences only, I suggest everyone to watch this movie and I am sure that you will receive 1 ounce more pleasure than I did. 10/10 For this Masterpiece."
9,The Wind Rises,9,6 March 2014,Deeply beautiful,"Miyazaki's swan song, most likely. It's an animated biopic of Jiro Horikoshi, a Japanese aircraft engineer who developed the Zero, the plane which would eventually bomb Pearl Harbor and do kamikaze attacks in WWII. The man himself was a pacifist (at least according to this film). Most of the film just deals with the man's love for flight, which obviously makes the story very dear to Miyazaki. In fact, a good portion of the film takes place in Horikoshi's dreams, where he can invent any crazy contraption. First and foremost, the film is gorgeous. Though it mostly deals with the real world, it finds the beauty in it. As good as the film is, it isn't one of Miyazaki's best. It's a little long-winded and slow (definitely don't take your kids to it, even if they're big Ghibli fans). Miyazaki kind of neuters the militaristic history of Japan at that time. You can feel some terrible stuff going on in the background, but, outside of the Germans, whom our hero visits at one point, all the characters whom we meet are perfectly nice people. I would have liked a more detailed picture of history at the time. Also, the romance that is depicted in the film, which is entirely invented, is a tad too maudlin (though it is quite nice up front). And, though I won't hold it against the film itself, the English language dub is awful. This may be due to the film's specific, Japanese setting, but I really felt the voice actors were just dull as Hell. I hate to say it, but Joseph Gordon-Levitt in the lead role is the worst. The least offensive performances come from Martin Short and Mae Whitman (the latter is a professional voice actress who is great on Avatar: The Last Airbender, though she is best known for her role as Michael Cera's dull girlfriend Ann on Arrested Development). I wish I had just seen the subtitled version instead (it was playing here, but at an inconvenient theater). I might like the film better seeing it subtitled. All those criticisms don't amount to too much, though. It's a wonderful film."
