,title,stars,date,r_title,text
0,Time Masters,10,17 April 2001,"Best animated sci-fi film ever made (OK, don't count anime)","I remember I was very young when I saw this movie first. It was famous in Hungary as it was a co-production of French and Hungarian filmmakers (e.g. the animation director was Hungarian). I did enjoy it then, although I could not understand everything. Sometimes I felt it was quite scary. But still, it deserved the best Children's Film award in 1982.Now I have seen it with friends who remembered how cool we felt then. And it was cool again. Okay, maybe the two songs during the movie were not as incredibly cool as everything else in the movie (okay, so they should have forgotten making people sing in a sci-fi) but well...that's the only tiny problem. Everything else is really cool. Sorry, I don't wanna give away anything from the story but it's truly amazing. Did you go to see Titan A.E.? That was quite good, but very American and quite senseless. This movie is different. Much smarter. Classic sci-fi.If you don't think only American-type happy ending can be the end of a movie, but something like the ending of 12 monkeys or other almost-perfect movies, go and watch this one. You'll enjoy.9,5 stars of 10!!!!"
1,Time Masters,9,27 March 2011,Spectacular,"As much as I did love Fantastic Planet, I think Time Masters is the better film. It is a spectacular sci-fi film and as an animated film too. While the incidental music is great and fits with each scene very well, the songs for me are nothing special and one or two don't do much to enhance the story.That said, the story is wonderfully creative, imaginative and clever with a promising intense atmosphere and a convincing twist, and the characters are all likable with great personalities. The dialogue is simple without being too simplistic and mature without being too convoluted. The best asset about Time Masters asides from the story is the animation. The character designs are good enough, but considering when it was made the backgrounds and colours are quite stunning.Overall, a spectacular film. 9/10 Bethany Cox"
2,Time Masters,8,13 August 2005,Highly imaginative,"Designed by the great graphic novelist Jean Giraud - AKA Moebius  Time Masters is a fascinating piece of animated sci-fi from France, that is well recommended for lovers of the genre and of the artist. Though the animation looks somewhat primitive by today's standards  though not for 1982, it looks quite better than any American cartoon of the time save Disney's, and don't forget that it wasn't a corporate effort like G.I. Joe or Transformers but an independent film with limited budget  but quickly enough you can learn the look past the rather bulky movements and simplistic faces of the characters and find yourself amazed at Moebius' amazing, seemingly endless imagination and creativity. The film is directed mainly at younger viewers  so it's not as liberated and wild as his more independent comics work or his contributions to Heavy Metal magazine  but his incredibly original vision is all there, in the out-of-this-world designs for the landscapes, the structures and the alien characters. Every minute of the film is a complete innovation in terms of design.Plot-wise, there's not that much to be said for it; it's an intelligent but simplistic sci-fi story with a nice twist ending, which will, I think, appeal mainly to younger viewers. The characters are mostly simplistic and cartoonish, and largely unconvincing. These are the only reasons why I couldn't give Time Masters full marks; but these flaws take very little away from the pleasure of this film. As long as it focuses on the child character Piel, who is largely unaware of what goes on in the larger picture and is therefore touching and interesting, and not on the flat characters of Jaffar (good and brave for the sake of goodness and bravery), Matton (bad and greedy for the sake of badness and greediness) and the other adults; then it manages to be beautiful and gripping. And when any of the alien races are on screen, be they cute and cuddly or bizarre and frightening, you won't be able to look away. Time Masters is essential viewing for any lover of Moebius' work, and is well recommended for fans of science-fiction and of classic animation, and will surely become a treasured favorite for any of these."
3,Time Masters,7,30 July 2005,"Creative, Literate Sci-Fi","I do not know the first thing about animation, and in fact the only animation I have experience with is a few Disney movies and Saturday morning cartoons. Watching this quirky piece of animated science-fiction, I came to the realization that animation opens up an entirely new universe of possibilities for the genre. I have read many science fiction short stories and novels, wondering how they could possibly be translated into film, but using animation, the portrayal of complicated conceptual ideas from sci-fi novels seems much more possible than in traditional live-action. In fact, I'm tempted to say that science fiction and animation naturally complement one another.This movie is like a funhouse of outrageous otherworldly ideas, one after the next. For a mere 80 minute running time, the filmmakers have packed an amazing amount of material here. If anything, the movie is actually too short, and it seems to gloss over a great deal of important plot points. It is almost like watching a drawing board conceptualization of a longer, more ambitious film, rather than the film itself. As such, character development is at a minimum here, as in the work of George Lucas. But also like Lucas' films, much of that is made up by the wealth of creativity. What is here is fantastic - a story filled with warmth and humor that can resonate with both children and reasoning adults. The startling elliptical ending is intriguing but abrupt. I recommend this for more adventurous filmgoers who want to try something unique."
4,Time Masters,9,2 June 1999,A forgotten treasure,"""Les maîtres du temps"" is as good as french animation movies are rare. Designed by Moebius (Fifth Element...), inspired from a novel of Stephan Wul (french science fiction writer) ""L'orphelin de Perdide"", it remains one of the most powerful animation movie I have ever seen.Evidently, It is pretty old and the animation cannot be compared to today's movies, but the rest is very impressive. Characters are mature and have interesting personnalities, the design of ETs and plants is original and the scenario is full of surprises. This movie is different from all others and it is a real victory to be better than the book it has been taken of."
5,Time Masters,8,27 December 2007,A Nutshell Review: (DVD) Time Masters (1982),"Despite having the English title as Time Masters, there isn't any time component in its core story, though it gets shoved quite haphazardly into the revelation, which seemed to have come from the blind side, and took me by surprise for a bit. Didn't see it coming, but on hindsight, it came woefully too late though, leaving things wrapped up fairly quickly in the last act, that made it a little unsatisfactory, and treading very close to a cop out of sorts.A 1980s animated movie, it does present a time travel of sorts for the viewer. After having being so used to 3D or computer graphics being the tool of choice to churn out feature length animated movies, this did seem like a blast from the past, but still standing the test of time after 25 years. I guess with the science fiction genre, it does provide it an additional age in terms of longevity (like Tron). Here, the movie opens with a chase sequence over an eclectic synthesized soundtrack, where the boy Piel and his father is on a flight from some hornet creatures. Before his dad met his demise, he gives Piel an egg like communicator, and had radioed his good friend Jaffar for assistance to rescue his son.Here on the movie takes on two parts. First, PIel and his surviving amongst various encounters and creatures from within a strange forested area within the desert planet of Perdide, while waiting for Jaffar to arrive. And on the other track, Jaffar and his crew of token love interest Belle, technical wizard Silbad, two psychic stowaway gnomes in Jad and Yula, and fugitive Prince Matton. engage in a series of adventures, dealing with internal bickering, as well as external threats such as on the Gamma 10 planet with its faceless winged creatures.While the animation is rudimentary simple in today's terms, the story does take on an interesting, mature dimension, especially with characterization. I particularly liked the gnomes as they provide clue-ins of sorts as they prepare you for what's possibly coming up, as well as to add some comedic elements into the storyline like a Laurel and Hardy. Piel too as the child shines through with real child-like qualities, which I thought was something different as he doesn't suddenly becomes a hero, which is so common in a typical story in today's setting, and what I thought was quite refreshing - let the kid stay a kid! And the designs by Moebius is just plain wicked, making the movie truly a sight to behold. Is there any more that you can ask for in a science fiction space adventure?"
6,Time Masters,9,3 April 2005,Imaginative sci-fi,"Animation is the perfect medium for sci-fi. Unfortunately, few animated sci-fi films have lived up to their potential. French animation master René Laloux is definitely one who let his imagination run amok in his medium. He is best known for his 1973 film Fantastic Planet. He must have had a difficult time getting funded for other projects, because he only ever made two more features. He died just a year ago. Time Masters is his second feature (he made another in 1988, called Light Years). The animation is very primitive, and not in the inventive primitiveness of Fantastic Planet. But, what it lacks in animation, it more than makes up for with its imagination. It's simply wonderful to behold. I especially love those two little telepathic creatures, referred to as ""gnomes"". The story is good, if not great. The ending is quite clever. I was wishing that it had gone on for at least a half an hour longer, but I won't complain, given the limited amount of material Laloux was able to produce in his lifetime."
7,Time Masters,9,22 December 2004,a very young child is stranded on a dangerous and sinister planet after his parents are killed.,"I saw this film when I was about 15 when it was shown on British television. I was already a big fan of Alien and Bladerunner but didn't realise then that Jean Giraud (moebius), the concept artist behind some of the costumes on those films was the artist behind this film. The film made a big impression on me and I spent years trying to find out what it was. Finally I described it to an anime-fan friend of mine and he knew it. Although animation has moved on I still think the look of the film is really good, and the story is quite unsettling especially when you're on the planet with the boy, there is a real sense of menace. There's a body count! okay so it's a little bit dated, there are two pretty cheesy songs in it and a cute moppet kid but that's part of it's charm. Don't forget it was made in the early eighties (in fact it looks more seventies). I'll give it an 9/10, i'm afraid it loses one because of the songs."
8,Time Masters,10,24 December 2004,nice sci-fi cartoon.,"Because of budget and time reasons, this cartoon, is not as good as he could have been. Yet this cartoon amazed me when I was a kid. it is very atmospheric, it's a good short sci-fi cartoon...René Laloux is well-known as well for ""la planète Sauvage"" and ""Gandahar"" aka ""lightyears"" in the US ; Moebius (alias Jean Giraud) is a well-known comic strip drawer, he made for instance ""l'incal"" (check it out if you like Sci-Fi comic strips) and he collaborated on several well-known sci-fi movie (recently the 5th element).you should check it out, despite its flaws it is nice sci-fi moment.Be prepared for a quite surprising ending ..."
9,Time Masters,5,1 February 2014,Lacks the visual imagination of Laloux's other films,"Looking through the reviews of this movie I see rave after rave, and the descriptions they have of this, as ""mature"" and ""intelligent,"" had me wondering if I was watching the same film they'd seen. My best guess is that most of these reviewers first saw this movie as children, because I just find it hard to imagine adults could be so impressed if they didn't have fond early memories of it.This appears to be Laloux's attempt to make something closer to a kid's movie. It features a child, and it lacks the nudity of his other two features. The episodic story follows some space travelers as they work their way through a series of adventures in an attempt to rescue a young boy.Laloux's character design was always weak - his humanoids generally look like those of a cheap Saturday Morning cartoon from the 1970s, but he was good at creating stunning alien landscapes full of strange creatures. This movie has some pretty landscapes, but little of the strangeness of his other films (outside of the winged people featured in the film's poster). There are some interesting ideas here and there, such as the weird telepathic creatures who experience unpleasant thoughts as bad smells, but overall this is disappointingly mediocre."
10,Time Masters,5,29 August 2014,A Skippable Curioristy,"What can I say? I am a fan of sci-fi, as well as animation. Any film that tries to do both seriously perks my interest. Sadly, Time Masters is very average. I'm surprised anyone can take anything away from the movie.The characters are the weakest link. They're not terrible, but they're very forgettable. They lack depth, emotion, and development. Time Masters is just a space adventure, with little sense of fun or grandeur. There's a plot twist, but I didn't really care about it.There are some interesting concepts. Its not Fantastic Planet or Gandahar bizarre, but I never felt bored. For that, Time Masters does succeed as a spectacle of sorts. Sci-fi/animation fans should be satisfied if they come in with calmed expectations. Its a movie you watch to pass the time between better movies."
11,Time Masters,6,14 February 2011,"Beautiful, original but  pretentious and badly dubbed in French","A Franco-Hungarian sci-fi animation film by director Rene Laloux, based in the Stefan Wul's book The Orphan of Perdide.Time Masters is the story of a space voyage to rescue child Piel, stranded in Planet Perdide after the death of his parents, led by Jaffar -a friend of Piel's father-, Jaffar's friend Silbad, deposed mean Prince Matton and his sensitive daughter Bella.The visuals of the movie are great and they have aged well. They mix the oniric-like colorful landscapes typical of Laloux with the visual style of comic master Moebius. In fact, the atmosphere and the desert landscapes, with orange-ish colors, and the design of the spaceships and space landscapes are very Moebius, but the paradise-lost-like colorful creative planets, its vegetation, fauna and creatures, are very Laloux.The general storyline was good and with many good ideas and elements, but they are not harmonically or coherently put together. The script is too simplistic sometimes, confusing and twisted some others. The story of the stranded kid is simple but beautiful and allows us to explore planet Perdide with him, and also to see the planets that Jaffar pass/stop by during his voyage to Perdide. This part is more ethnographic, so to speak, and beautiful to watch, but the story told is very simple. Some philosophical digressions -a Laloux's film signature- are superimposed to that simple story. Firstly, we have the charming and playful conversations between the two human-like plant-derived ""gnomes"" Jad and Yula, which focus on the corruption of human thoughts, which, literally, stink to them most of the time, and the prevalence of economical value over beauty, which they don't understand and consider ridiculous - very New Age. Secondly, we have the pompous ceremonious robot-like winged faceless beings of planet Gamma 10, a bunch of mentally abducted people turned into a uniform mass of sameness that hates individuality and destroys any individual landing in the planet by turning him/her into one of them.None of these elements seem to glue together, as they have different narrative and visual styles, messages and stories, without internal logic to make them believable.I found the original French dubbing completely dull for most characters, except for the voices of Silbad, and the adorable Yula and Jad. Most importantly, despite the movie being a sci-fi one, and being filmed in the 1980s, when special effects were well developed, the ambient sound and editing are dreadful, so much so that, if we close our eyes, we don't feel that we are watching a sci-fi movie at all. It doesn't help either that some silly childish songs are put in the middle of the movie for no reason.The end is fantastic, and one wonders why the tempo wasn't built to display it better.It is an interesting movie to watch, for its individual elements (drawing of the planets, vegetation, fauna and creatures associated to them, and the philosophical bits), but pretentious sometimes, and poorly edited.By the way, the design of the patrol cruiser of the Interplanetary Reform Federation characters and some of the ""pirate"" characters reminded me of Star Wars."
12,Time Masters,10,27 November 2013,Fascinating,"I have seen this movie 2 or 3 years ago. I don't really remember the characters or the story. But I vividly remember the mood, the landscapes and the overall feel. And even if the character design was not as artistic as somebody would wished for a movie like this ... the whole thing was just fascinating. A hypnotic mix of sadness, new layers of existence and a mind-blowing conclusion at the end. It reminded me a lot of the french comic ""La Survivante"" from Paul Gillon, which I also don't recall in detail, but know that some aspects of it, will never leave my memory. Ever. If you like the works of Jodorowsky and the movie Phantastic Planet,make sure to check this one out!"
13,Time Masters,9,11 March 2012,A super-imaginative entertainment,"Even when ""Time Masters"" doesn't have the same level of complexity of René Laloux's masterpiece ""Fantastic Planet"" it is certainly a entertaining film with a high level of quality, mostly because of the great imagination displayed on it, an element shared by all the works form Laloux, and that In this movie are bring to life thanks to the excellent art done by Jean 'Moebius' Giraud.""Time Masters"" is an exciting adventure film, filled with many strange situations and unpredictable twists, that never failed to entertain me. The characters are likable and interesting, and the fascinating settings where the story takes place makes the whole film a highly enjoyable experience.This is one of the most underrated films that I've watched, deserving more appreciation and recognition than the one that it receives."
14,Time Masters,8,12 August 2014,European sci-fi with decent animation,"I accidentally found this film, on YouTube to top it all, and was amazed how nice it was. The animation is in the French style of animation from the early 80's, so not fantastic, but the imagination and weirdness of it all more than compensate.I think what I loved most about the film was the European feel of the plot. Characters are weird, each with their own quirks, not just bad or good, while the events are really imaginative. The planets, the creatures, the kind of interactions, all wonderful.Bottom line: a gem that I had no idea existed, it will probably make me watch other Laloux movies, even if originally I just wanted to see the drawings of Moebius. At just 80 minutes, it would be a shame to not have seen it once."
15,Time Masters,8,24 December 2010,"Great real mature outstanding movie, otherwise Soviet Union simply wouldn't import it, as SU never did import any of the cartoon rubbish jewing-gum.","Wouldn't be repeating what have previous reviewers already have said about this cartoon, as I agree with them. Soviet Union has imported this movie in 1982 and it was displayed widely in all cinemas. I was 14-15. We watched it 3 times. These days, that is 20 years later, I bumped across it, and decided to verify whether it was that good. Yes it is. First about minuses. Too schematic animation of Jafar, Belle, Matton, while other characters are much better animated. Why ? Their faces look scary, even to me, an adult. Interesting that I had not that problem as a child.The twist of the story when a 60 year old Silbad is trying to save a 5 year old boy Piel from the dangers loaded planet who in fact is himself but 60 years before, looks to me a most fascinating use of sci-fi to make the spectator think of eternal. BTW I got this twist that Silbad is a grown up Piel only re-watching this movie now, 20 years later. The line with Gamma Ten planet inhabited with some angel-like beings forming a terrible sect is a thinking challenge to a young spectator - religious sects nowadays use same methods as these ""angels"", first they promise you happiness and finally they destroy your personality, making you one of the personality-less slaves. So you know what ""angel"" inspires all of them.The line of prince Matton,shows that even a bad and greedy person may hide something good in the depth of the soul. Although Matton first tries to kill Piel, on Gamma Ten he commits an act of sacrifice and saves Jafar. Great message for the children. Jafar - Matton dialog on Gamma Ten is one the best in the movie.What else ? Noticed only now that the space captain who saves Piel from giant hornets bears Russian name Igor. It is written on his chair. Although they call him Hardy, it is plainly in black and white stands ""Igor"". It's an old Russian name. That is also probably why Silbad's song is about ""Lowry's guzzlers"". Great cartoon, great animation (for soviet scholl kids it was a look into a different world), and some great ideas that provoked kid's thinking, otherwise Soviet Union simply wouldn't import it, as SU never did import any of the rubbish production. Transformers ? No. Spiderman ? No way. Himen ? Don't you even think. Tom and Jerry ? Nooooooo."
