,title,stars,date,r_title,text
0,Trolls,,20 February 2017,My son loved it...its a kid's movie!,"After seeing so many negative ""trolls"" on here about what people don't like about this film, I thought I would just throw one glaring fact out there...it's a movie for kids! And my 2.5 year old loved it! As far as he is concerned, it currently has infinite replay value. He really seems to like movies that have a great sound track...which this one does. The songs are enjoyable covers of easily recognizable pop songs from several decades, with some modified lyrics. The point is, if a film entertains your kid many times over, then the writers did something right. The plot was simple and was about what I expected. If you really hated this movie, stop being such a Bergen and lighten up!"
1,Trolls,9,6 January 2017,"Love the positive vibes and creative, colorful animation! Instant good mood!","I'm a 30 year old man, so probably not what the producers envisioned as their primary market, but I still love this movie!Being a raver at heart, it's fun to watch these troll live in the ultimate psychedelic fantasy. With non-stop music, dancing, hugs, and trippy hairdos, these Trolls know how to keep it PLUR! I'm not usually a big fan of musicals, but this movie has a nice variety of songs and keeps them short, fun, and too the point. Never a moment to get bored. Most of the songs are very cliché, generic, pop songs, but they are catchy and upbeat, so it's hard to complain.Anna Kendrick and Justin Timberlake have great chemistry and put a lot of personality into the characters. I think they nailed it.I feel like the team that made this movie did a great job collaborating between the writing, acting, and animation to create lots of really great moments for characters that a truly hilarious. Unlike most comedies, this one seems to get funnier each time I watch it. I can't get enough of the fun characters and find myself smiling throughout the day thinking of the great moments in this film.Creative musical numbers like ""Sounds of Darkness"" perfectly complement hilarious comedy scenes like the encounter with M. Cloud, and lead me to believe that the guys who directed this movie have a lot of talent. I'm surprised this film doesn't have a higher rating. I really can't think of what is not to like, but I'm guessing it's just one of those things where you either love it or hate it. I can see it becoming somewhat of a cult classic. I really hope it made enough money that we will get to see a sequel!"
2,Trolls,7,18 February 2017,I have to confess I really enjoyed it!,I expected this to be another identikit kids animated movie like we've seen so many times before over the years. You know....typical cash in on a franchise or trend doing the rounds at that time.However I will admit I really did enjoy this movie. It has some great music in it. Some unexpected (and great!) 80s covers included throughout and overall it did have some great dialogue and funny little moments mixed in there.Yeah so the story is pretty predictable but the voice talent and the animation carries it off so well you don't mind so much.Its not gonna win any awards but there are worse ways to spend an afternoon with your kids.
3,Trolls,10,6 March 2017,Family fun,"Keep in mind, this is a movie intended for kids!!! If you find singing in movies annoying, this isn't for you, but kids love it for the most part. I know mine did and I even liked it. Perfect for family night, if you are old school like I am. It is a refreshing tale of semi unique features that teaches courage, kindness and that its okay to be you. Very family friendly, cute and sparkly!"
4,Trolls,7,16 October 2016,"Kids will eat it up, Grownups have seen it one too many times","I took my 5 1/2 year old daughter to watch Trolls, and for her it was a sight for sore eyes. The main character, Poppy (voiced by Anna Kendrick) is a fluffy, instantly lovable princess troll, who has been raised in a careless, yet slightly obnoxious, world - where everyone hugs each other on an hourly basis, poops cupcakes and bursts into sappy pop tunes in the blink of the eye. Her male counterpart, on the other hand, is all doom and gloom. This troll party pooper, named Branch and colored gray to differentiate him from the endlessly colorful group of merry trolls, keeps warning his friends that their loud lifestyle will put their lives in jeopardy, once the evil Bergens, who are only happy when they eat the tiny little Trolls, will take notice of them. Sure enough, this does happen pretty soon into the movie, and when several Trolls are taken - Poppy and Branch (who refuses to sing throughout the film, even though he is ironically voiced by Justin Timberlake) need to join forces in order to save them.All in all, Trolls is a very cute film. It stands out of the pack with its familiar setting (the Troll toys have been very popular ever since the early 90's), its rich palette of colors and imaginative drawings, and the catchy tunes which are cleverly adapted into the film. Also, its short run-time will make sure your kids are glues to the chair. On the flip side, I felt the plot didn't really offer anything new, the proceedings were predictable from miles away, and that it lacked a stronger emotional pull that could have left a longer impression. There was some stuff in the movie that seemed like it was trying a bit too hard to be tongue-in- cheek, without really taking itself seriously, and while it gave way to a few laughs, it left me wanting something more than just another cute animated feature."
5,Trolls,10,15 October 2016,"A cute, colorful, funny and heartwarming adventure you will definitely enjoy!","At first I had pretty low expectations for this film because of its first teaser, but then the first full length trailer made me look forward to it, and now that I've seen it, I have to say, you will enjoy this once you see it. It's very vibrant and filled with colour, which makes for a bright and exciting time, the trolls themselves are all really cute and colorful, and they are usually really funny in a situation and they are always positive and full of hope. It has a very well thought storyline, even if it does sound a bit generic at first, but it feels new and so fresh and original when you see it. And there is a lot of signing and dancing, and a lot of musical cues, and the songs really do get to you, as they are very catchy. And at times this film is very heartwarming, and a bit emotional at places, but that's sort of what you'd expect from a film like this. So overall, definitely see this one, as it is a cute, colorful, funny and heartwarming adventure that the whole family will enjoy!"
6,Trolls,7,25 February 2017,fun silly movie,"yes, this is a movie for young viewers, but it is fun. silliness and a simple story. but frankly we don't have enough of them in this movie era. the colors are great, the animation is fun and frankly as an adult, i did enjoy it. this movie is pure escape. it is fun to hear the voices of such esteemed actors playing such fun characters. Sometimes i think so many reviewers feel they must pan movies as they don't relay various critical standards.. However, this one isn't one. i like many types of movies and this is one of them. a purely fun and colorful take on things. enjoy it for what it is and don't over think it! not all movies need that. it is great for kids and adults if you look at it as being simply fun! i am well over 21 and liked it very much!"
7,Trolls,10,7 March 2017,Great Beyond Any Expectations!!,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends. When i watched the first trailer for 'Trolls' i didn't know what to expect but i'm happy to announce that the 6.5 rating here in IMDb is a big joke because this film was insane and all the songs were pretty amazing especially 'Can't Stop the Feeling' was the best of them all. Plus the voice casting was pretty spot on Anna Kendrick as Poppy was excellent, Justin Timberlake plays a troll called Branch that doesn't like singing and Zooey Deschanel as Bridget was easily my favorite part of the entire thing plus the ending of the movie was pretty great and with some pretty good messages for both kids and adults about what true happiness feels like. So overall let's bring on Trolls 2 now!!!"
8,Trolls,10,3 January 2017,This movie made me happy,"No really, it did. I couldn't believe how nice this movie made me feel as I was watching it. The story is a pretty standard hero's journey, but with the evil trolls or grendels or whatever eating happy trolls to get happy themselves. It seemed a little dark at first, but everything works out in the end of course, as this is a kids movie. It shows good and bad in equal measure, which I believe is how we should educate kids, not keep them in a bubble. The lessons it teaches are actually nice, don't give up, persevere, happiness is within. The boy troll (Timberlake) is so funny, especially in the beginning. Anna Kendrick is hilarious with snappy dialogue. The songs are a bit old fashioned, the fact that the writer is nostalgic really stands out. But they fit the story, rather than being just music breaks, so it's good."
9,Trolls,8,12 March 2017,It's a great movie for everyone,"I've read some reviews and to be honest some take this movie WAY TOO FAR and it's not a fair review for what is a really good movie for your family and/or children to really enjoy. As far as some characters that people can ""relate to"" in a kids movie and making a review comparing them to themselves and their life and how a certain character sends a wrong message is absurd and a little too much. THIS IS A KIDS MOVIE!! It doesn't send any bad messages whatsoever. My 5 year old loves it and I do too really. It's very funny, has good music, characters are unique and colorful. Only thing negative is the darkness in some of the Bergens and that they remind me of the movie Boxtrolls which I couldn't stand. But, they don't ruin the movie at all and I can live with most of them. Anna Kendrick can really sing and I had no idea she had that in her and of course Timberlake was great. I highly recommend this movie! In no way does it deserve anything under a 7/10!"
