,title,stars,date,r_title,text
0,Waltz with Bashir,10,12 January 2009,An extraordinary achievement that redefines the documentary genre,"Let's get one thing straight from the beginning: Waltz With Bashir is an animated documentary. It may sound like a paradox, but hey, when the film played at the Cannes Film Festival (which it left with rave reviews but zero awards) it was inevitably compared to Persepolis, which is an animated autobiography. The comparison was also caused by both movies having open anti-war messages, but they couldn't be more different in concept and execution. They do have one important thing in common, though: they are animated not because it looked good, but because it was the best artistic choice the directors could make.In the case of Ari Folman, the choice was dictated by the unique angle from which he chose to tell the story: subjectivity. Folman, like many young Israeli men in the '80s, joined the army to fight in Lebanon when he was merely 18 (this was in 1982), thinking he could serve his country in the best way possible. Once the war was over, Folman's new career began, and he is now a successful actor, director and writer (among other things, he worked on the TV show that inspired HBO's In Treatment). However, he still wasn't able to completely get over the war experience, and so he decided to make Waltz With Bashir in order to exorcise his demons, so to speak. In doing so, he delivered one of the strongest, boldest documents about the true nature of conflict.Folman's introspective journey begins with the lack of memory: apparently, he and many of his fellow soldiers have trouble remembering the exact details of what happened in Lebanon. All they have left is dreams, like the haunting nightmare that opens the movie (26 murderous dogs surrounding the apartment of a former soldier, who believes it to be a subconscious punishment for his killing 26 dogs during a mission) or Folman's eerie flashback of himself and his friends emerging from the water after a massacre he can't (or perhaps doesn't want to) remember. Engaging in a pursuit of the truth, the director locates several people with first-hand recollections of those events, and all these people (minus two) supply their own voices for their animated counterparts.The stream of personal anecdotes and, as said earlier, dreams, made it impossible for Folman to show real footage of what he was trying to say. After all, how do you show a live-action dream sequence in a documentary without making it look corny? Hence the winning choice of rendering the whole story through animation, with just one exception (the final scene, the one that justifies the film's existence, consists of real filmed material). This gives the picture a feel that is both evocative and down-to-earth, a bizarre but powerful combination that has earned Waltz With Bashir comparisons with the similarly merciless Apocalypse Now. Like few other films about war (Folman has openly stated he despises Hollywood's treatment of the Vietnam conflict, not counting Coppola's masterpiece), this strange, captivating opus depicts it without making it look cool: it's ugly, it's reprehensible, it's the stuff nightmares are made of - not for nothing does it still haunt Folman and his friends.Journey of self-discovery, cinema as psychoanalysis, a document about the past, a warning for the future: Waltz With Bashir is all those things and much, much more. It's a unique piece of cinema, unmatched in its seamless mixture of raw power and peculiar visual beauty."
1,Waltz with Bashir,,7 December 2008,Political animation of a very high order,"Animation is not just for children - the French ""Persepolis"" (about a girl in Iran) made that clear and the Israeli ""Waltz With Bashir"" (about the invasion of Lebanon) dramatically underlines the point. The Israeli work was written , produced and directed by Ari Folman and is based on his experiences as a soldier and his video of his exploration of the traumatic events some 20 years later. Like any really powerful film, the opening and closing sequences are stunning - but the intervening one and half hours contain so many moving and disturbing images - some simply surreal - that the animation plays in the mind long after the credits have rolled.The title is a reference to Bashir Gemayel, the newly appointed President of Lebanon, who was assassinated on 14 September 1982 following the Israeli invasion of Lebanon on 6 June 1982. The assassination led the Israeli command to authorise the entrance of a force of approximately 150 Phalangist fighters into the Sabra and Shatila refugee camps, resulting in a massacre of at least 800 civilians. It is this horrific incident that is the emotional heart of the movie and the cause of Folman's mental repression."
2,Waltz with Bashir,10,27 July 2008,A great blend of the real and the unreal.,"Waltz With Bashir is amongst the finest animation films I've seen. It is a very disturbing comment on war and its consequences both on countries and on people of both sides. No doubt this approach has been taken by numerous other film makers; however what sets Waltz With Bashir apart is that it takes a documentary approach and compares Israel's activities in Lebanon with atrocities in the past wars.Other than documenting events, the film also consists of surreal dream sequences and real life incidents. Thus the film emerges as a unique combination of the real and the unreal. The hand drawn animation also makes it a delight to watch. The colour gave it the right atmosphere of claustrophobia in open spaces and the background score is fabulous.It is certainly not, as the Director of NZ Film Festival announced before the screening, a 'feel-good film'. It should appeal to people who have an interest in animation, documentaries, war and current affairs. 10 out of 10."
3,Waltz with Bashir,10,8 September 2008,"An animated Apocalypse Now; in other words, confronting and powerful","Israeli director Ari Folman's Waltz with Bashir is easily the standout film of 2008, with its surreal animation style and abrupt way of portraying such a horrific event. The event being the Sabra and Shatila massacre, in which Palestinian men, women and children were massacred by Christian Phalangists as revenge for the assassination of their leader Bashir Gemayel. The Israelis did not perpetrate the killings but did nothing to stop them, even sending flares into the night sky to assist the Phalangists.The story follows Ari Folman, who meets a friend in a bar who tells him of the nightmares connected to his experiences from the 1982 Lebanon War. Folman is surprised to find out that he does not remember a thing from the same period. Later that night he has a vision from the night of the Sabra and Shatila massacre and does not know if it was real or not. In his memory he and his soldier friends are bathing at night at the seaside of Beirut to the light of flares descending over the city. Folman rushes off to meet another friend from his army service, who advises him to discuss it with other people who were in Beirut at the same time. The film follows Folman in his conversations with a psychologist and reporter Ron Ben-Yishai who was in Beirut at the same time.There are a few people who need to be congratulated here for their fine efforts in bringing this amazing film to life. David Polonsky, Art Director and Illustrator, along with Director of Animation Yoni Goodman have used a unique style of animation to tell a documentary/war film which shows the futility of war boldly. Although animated, the film features graphic violence and some of the most disturbing images I have ever seen. In particular, a scene showing horses dying in the streets is unflinchingly tragic and another scene showing families being shot is beyond depressing. This movie would probably not have had the same impact if it were not animated.The music, which features rock, Bach, Chopin, Schubert and an original score by Max Richter adds an incredible amount of depth and emotional impact to the already challenging imagery. The scene from which the title is named after, in which one of Folman's fellow comrades waltzes in the middle of gunfight, firing a heavy machine gun while surrounded by posters of Bashir, is magical as well as mystical.Waltz with Bashir is truly a must-see film; however, it is so confronting and sad. This is necessary, though, to show the pointlessness of war and the effect it has on people. This is evident in the last seconds of the film, when real footage of the aftermath of the massacre presents dark and graphic views of corpses. You will not leave the cinema happy, but you will leave feeling the power of a piece of art you will not forget anytime soon.5/5"
4,Waltz with Bashir,9,12 January 2009,"Great, personal film about the horrors of war","I saw this film at the AFI Film Festival a couple of months ago and it stayed with me since then. This is not your typical war movie, nor is it your typical animated film. I'd say its kind of a cross between Waking Life and Grave of the Fireflies.The film takes place in the present. The film's director, Ari Folman, comes to the realization that he cannot remember anything from the time he served in the Israeli army during the 1982 Lebanon War. The bulk of the movie are his interviews with his old army friends where he asks them what they remember from that time. Folman tries to see in their memories something in himself that has been missing, deadened, or dulled. Like Waking Life, there is no ""plot."" The filmmaker prefers a more interview-based film. This is an ""idea film,"" a poetic film, and traditional narrative style takes a back seat.Like Grave of the Fireflies, the animation in Waltz With Bashir shows the horror of war and its effect on individuals in ways that a live action recreation could never replicate. The film's themes of human memory and its elasticity are served well by this technique. Rather than a soldier escaping death by hiding in the sea, we get the larger-than-life memory of a soldier escaping death that would look too ""real"" in a live action reenactment."
5,Waltz with Bashir,9,21 September 2008,a daring but natural choice,"Ari Folman first movie was a great promise, but more than a decade passed since then and with only one feature film, and several TV series on the record his career seems to be stagnating at best. Here he comes now with a film that is so sharp, surprising and different - one of the best Israeli films ever in any genre.Choosing to do an animated feature about the beginning of the first Lebanon war in 1982 and the collective trauma and amnesia caused by this war to its heroes - young soldier torn down from their first world life to be thrown in the violent absurdity of war - and the whole Israeli society is both a daring and natural thing to do. Daring because this film is after all a documentary about the search to the lost memory of the director about his own presence in war, and the journey to recover it by means of interviews with his fellows in arms. The real life persons are recorded while giving the interviews while extremely accurate drawn images play the visual role (one of the persons interviewed is a famous journalist showing up often on TV). As realist as these scenes are, it is hard to imagine how difficult it would have been to bring on screen the fighting scenes, or to play the trauma of the young boys shown into a terrifying and nightmarish reality. So animation was the right and natural choice. Without using special or expensive effects, the dreams and nightmare scenes are both catching and terrifying, reflecting the traumatized souls of the dreamers (one won't forget easily the opening scene).Yet, the message of the film is far beyond the personal message. When dreams (or better said nightmares) dissipate the deep-buried reality gets back - the massacres in the Palestinian camps become real on screen, and this is the only place where Folman uses fragments of filmed material rather than animation. The nightmare became reality and its a grim one. Without ever leaving the personal and emotional plans, the political statement about a war with no winners is made loud and clear without the need of being explicit."
6,Waltz with Bashir,10,12 June 2008,Very good movie,"I just came back from watching the movie. I found it interesting and unique. The animation in the film is magnificent and enables the director to really ""go wild"" with his ideas, without having to be ""chained"" to what reality filming can give him. The main Character, is on a journey, trying to collect as many memories as he can of the time when he was a young soldier, at war. This journey is so well done, touching, interesting. The man, Ari, slowly revels his past, and we follow him, to an amazing trip down memory lane. Memories that were hidden for too long. An amazing movie that makes you think about life, people, and the complexity of war."
7,Waltz with Bashir,9,4 October 2008,A kick in the guts for the price of a movie ticket,"If you're expecting the standard action anime think again. Starting with the pack of snarling rampaging dogs that opens the action, this is one of the most powerful films I've seen, quite shocking, and the technical switch to real news footage at the end brought me as close as I've ever been to throwing up in a movie theatre. You'll see what I mean. The surrealistic power of animation is fully exploited in the dream sequences and flashbacks of this story which at one level is a psychological exploration of traumatic memory. But the film goes far beyond the personal and delves into a particularly nasty few days of the Israeli occupation of Beirut in 1982 involving an unholy collusion with, as I said, gut-wrenching results for humanity.Will this win further enemies for Israel as one of the reviewers said? I hope not, and the courage of the film's official Israeli backers is appreciated. What the film shows is that we all, Nazi and Jew, Muslim and Christian, smart and stupid, are capable of some pretty inhuman behaviour if we allow ourselves."
8,Waltz with Bashir,9,1 January 2009,Hard-Hitting Film,"This film exists on several levels. It is partly a film about combat trauma, memory and repression, partly about the specifics of Israel's role in the Lebanese civil war, and partly about war in general as experienced by soldiers. It was cleverly constructed, moving back and forth from the middle-aged protagonist and his search for his lost memories via contacting old comrades, and the depiction of the actual events during the time of his and their youth. The film is mostly done in animation and uses animation in a very effective way.I do not believe it is at all relevant what someone's political opinions are in terms of appreciating this film. The film reveals truth through taking the viewer on a journey to the past through the memories of people who witnessed the worst days of the conflict."
9,Waltz with Bashir,9,9 June 2008,Powerful,"Waltz with Bashir may not deliver everything you expect after seeing the trailers, but it is powerful. Director Ari Folman presents a personal view of historic events in which he took part as a young soldier, but which he cannot remember due to repression. A full-length documentary, filmed with animation over the recorded speech of actual participants in the 1982 Lebannon War, Waltz with Bashir is beautifully done and get its message across clearly.It's a shame that some of the stronger artistic points in the movie were left undeveloped, such as the imaginary ghost of the soldier's ex-girlfriend following him around (as seen in the trailer). The way comedy and tragedy are interspersed in the latter parts of the film may also seem inappropriate to some viewers. The film presents a highly personal point of view for a documentary, justified partly by staying true to the factual material, and partly by its author having been there on the scene.Overall, despite its shortcomings, this film makes a strong statement and is definitely worth seeing for its visuals and score."
10,Waltz with Bashir,10,18 June 2008,Irritating?  What are you on?,"I think working on this movie for 4 years is long enough. You obviously missed the whole point. The point of the movie is not to point the blame at anyone, it is about showing the reality of war and what the affect it has on Soldiers.It's not about who won, who was right, or who did what wrong. Its about how people react to it and how it affects the people who are involved in it. Yes it showed only the Israeli side of things, but hey, its because it's on the Soldiers point of view, how they saw it, not how everyone saw it, not how the other soldiers. It shows his point view, and the interviewers points of views. Thats why its like this.And that is why it makes it so real. It is very well done."
11,Waltz with Bashir,10,26 January 2009,Perhaps the best film of 08.,"Waltz with bashir is something that is hard to forget, while the images grab you first it is the wonderful story and direction here that keeps things at a high level.While the flashback scenes are much better then the real time stuff, there is really no flaw to this film for 90 minutes and that is really saying something in today's film world where perfection is low.I wouldn't say this movie is the best of the year by far, but it could be argued and the movie has some of the most wonderful scenes I have seen in any film including a waltz with gunfire that is oh so memorable.Or the iconic image of men in the ocean looking to the sky, the soundtrack is wonderful with music from Bach and you really feel like there was good writers, directors and producers on this whole thing that made it moving, original and something to really spend some time watching."
12,Waltz with Bashir,8,26 November 2008,"Compelling, thought-provoking viewing.","http://www.imdb.com/title/tt1185616/ Released in the UK now. Limited US release on the 25th of Dec.It's rare that I usually leave the cinema speechless, before engaging in hours (literally) of discussion with those around me, but 'Waltz With Bashir' is no ordinary film for no ordinary audience. Emotionally enthralling, yet uneasily shocking, 'Bashir' follows director Ari Goldman as he visits various friends and foes trying to rekindle the memories he has forgotten of the Israeli-Lebanon War in 1982. Shot in memorizing animated visuals, it is a thought-provoking ride through the rediscovery of one man's forgotten nightmares.From the opening surrealist shot of twenty-six dogs rabidly racing down the Tel Aviv streets towards the 'dreamers' (Ari's friend) home, to the ending where the animation is sacrificed for a few short minutes to show the real, unaltered horrors of the Sabra and Shatila massacre from news reels and archive footage. Surrealism is constantly mixed with the truth, making you wonder, what did Ari really want to find out and to what end? Is this all he and those remembered, or what there memories would allow them to keep encapsulated.A frighteningly stark look at a young soldiers life, and how war can effect everybody involved, not just those remembered as a statistic on a board of casualties. As we delve further into his regained memories, we are made to wonder, is this journey exercising his demons, or simply just reigniting them? With the stunning visuals keeping you emotionally at arms length, detracting you from the events, before quickly dragging you back in with a horrifically haunting ending.'Waltz With Bashir' is compelling, thought-provoking viewing."
13,Waltz with Bashir,10,13 November 2015,Proud Of My Country,"Yes, I'm a Jew (an atheist Jew) from Israel. When this movie was released in theaters, I was about 11 years old, and I didn't want to see this film (I can't remember why). Ever since, I've heard many news and reviews and stories about the success this film got worldwide, especially in Israel, and yet- I never watched it. This week I decided to give this film a try- I finally wanted to know the reason for it's success. I just finished watching it, and now I understand exactly what I missed- the best Israeli film ever. The animation is unique and excellent, the story is interesting and was told spectacularly, the dialog is absolutely great, fast and well- paced movie, the opening scene is just brilliant, a great history lesson about one of Israel's famous wars, there was a lot of comedy and humor (to my surprise) which was handled and presented fantastically, the drama is also intense and well handled, can be a little harsh at times but there aren't many harsh and hard-to-watch scenes. Overall, great film, definitely the best movie ever came out from Israel, and like I said before- fantastically-told story and a great history lesson if you're learning about Israel's war with Lebanon."
