,title,stars,date,r_title,text
0,Wild Tales,10,24 May 2017,The Darkest Most Funny Movie I Have Ever Seen,"I don't even know how to begin with describing this masterpiece. This movie is without a doubt one of the best movies I have ever seen, I am more than serious. I don't think words can describe the love I have for this amazingly funny masterpiece, I can't remember the last time I saw a movie that both made me laugh and cry so much.The way this movie portrays humans and their behavior, and how this world is is just incredible. The whole way this movie is put together is just brilliant and I have personally never seen anything like it. The darkness the humor and the love in this movie is just huge, and you keep wondering if you should be laughing or crying.There are 6 different stories, and they just keep getting better. They are all very different but very emotionally connected. I am not going to tell you what they are about, only because i think going in ignorant to what is about to happen make the movie so much better. All I can say is some of the stories are sweet, some of the stories are very dark, and some of the stories are both, and all the stories are amazing breath-taking hilarious, and the are all amazingly beautiful. The directing is beautifully done, and really shows the stories the best way possible. Not knowing any of the actors I was more than pleasantly surprised by how amazing many of them were. I just wanna finish by saying I hope you will watch this movie after reading this, and I really hope you are going to love it just as much as I did. 10/10"
1,Wild Tales,9,25 August 2014,Too much fun and human darkness for one day.,"Watched last night at the theater with my girlfriend.It's a compilations of 6 tales, but they don't have the same type of lenght, humor or darkness. Each one is unique.1) Airplane tale: fantastic, hilarating and surrealistic story to open the series.2) Coffee shop tale: shorter, but dark and makes you wonder what's ""freedom"" for some people.3) Road tale: excellent. A really LOT of violence and a little bit of humor makes this one of the best tales in the movie.4) Human limit tale: a man that's having a couple of really bad days explode when he runs out of patiente. Great acting.5) Accident tale: 90% darkness. And the fact that could be a very possible story makes it even darker. Shocking finale.6) Wedding tale: almost impossible to qualify. Hilarious for the most part, but at the end, it will make you wonder to whom you are spending your whole life with.Seeing this compilation in a theater for the price of one, its a damn good deal if you ask me.Go watch it."
2,Wild Tales,8,25 August 2014,"Clever, dark and funny","The movie is actually 6 short films, all related by brutal violence motivated by different situations. Family. Society. Government. It works very well like that, lasting over 120 minutes that go by quickly. It feels very fluid. Szifrón's eye is very precise. You can tell everything was very well thought. I wouldn't say this is a philosophical film, but it is clever entertainment, that makes you think if this wild tales are actually that wild... Even though this stories are taken to the extreme, everything feels somehow possible when you look back. Darkly humorous. Watch it."
3,Wild Tales,10,30 January 2015,What a wonderful idea!,"I went to see this movie hoping to get a brake from Hollywood production. And I did. It was amazing, one of the best movies I've seen on big screen in 2 or 3 years.Plot consists of different stories which all have one thing in common: they are about revenge. Every single story starts rather boring. At the very beginning I was thinking ""What's so wild about it? It is just lame"" and by the end of the intro I was like ""Holy God! No, they did not just twist it like that! OMG!""And it gets better. A true masterpiece. I am from Russia so for me it was rather interesting and surprising that Latin America is so similar to Russia. The views, the behaviour of the people, the insanity - all like at home.You won't regret seeing this movie. Don't take your kid or your grandmother though."
4,Wild Tales,8,17 March 2015,Wildly thrilling. Wildly fun. Wildly original.,"This Argentine film that found itself nominated for the 2014 Best Foreign Language Film Academy Award comes to us from director Damián Szifrón who has crafted a feature film comprised of a series of 6 vignettes/small stories about human beings from all walks of (Argentine) life who are all tested and taken to their limits ... until they finally lose control. While mostly disastrous the film is also WILDly thrilling and wholly original in its daring cheekiness ... as the film is a bitter dark comedy (with tinges of brutal drama).It is a film about a myriad group of people on a plane; a young waitress who still finds herself grieving over a family tragedy of the past; an encounter between two men from different social classes on a desolate highway; a man growing tired of the rat race of life in which we are all destined to lose; the aftermath of a horrible automobile accident; and a wedding reception like none you've ever seen before. All feature one or two characters taken to the edge ...It is how each of them handles their various situations that give us our WILD stories. Fascinatingly grim at times, the film almost always miraculously produces laughter and grins. Much of the laughter might be heavily muffled as one chuckles under his/her breath as others around them fail to see the director's (WILDly) wicked sense of humor come into play in some of the film's intense situations; but the dark tone pervades the entire film.While the film is most definitely tragic in many instances, Wild Tales is a comedy of errors about human nature and who we are. Some can watch this and most-likely not pick up even a hint of humor; but it is there ... and it is fantastically facetious.Wildly thrilling. Wildly fun. Wildly original. It is courageously wild."
5,Wild Tales,10,27 August 2014,Just Brilliant !,"6 Stories - 6 masterpieces! They perfectly combine thriller, drama, humor and the common topic is the violence.Each tale is independent from the other, but all of them have something special that makes you really enjoy.The situations introduced in each story are actually based on real life, of course the are intentionally exaggerated with a sense of satire and irony that really makes you laugh.The picture is the best I have seen in an Argentina movie and the music ""made ​​in"" Santaolalla is sublime.The actors/actresses are amazing (specially the bride - Erica Rivas) In my opinion it is one of the best non-English Language movies ever."
6,Wild Tales,10,12 October 2014,Time does not heal all wounds.,"Time does not heal all wounds. One thing leads to another in six outrageous, hilarious and extreme stories of revenge. A jilted and emotionally volatile bride wreaks havoc at her wedding with an equally unstable new husband, a towing company hauls away one too many times the vehicle belonging an explosive expert, and two macho drivers  one in an Audi and the other in a pile of junk  go head to head with explosive road rage, among other delicious and fiery adventures. The utmost fantasies fulfilled, the extremes of emotions, and the riot of laughter that engulfed me from all sides, I cannot remember having such a good time watching a film. The director, who answered questions at the 2014 Toronto International Film Festival, said the film is about the pleasure of losing control and giving in to unrestrained passions. Is it ever!"
7,Wild Tales,9,25 August 2014,6 hilarious black comedy live action shorts,"This Argentinian movie was released in my country (Chile) on last Thursday, and since i heard very good comments about the movie i decided to go to a Cinema at Parque Arauco in Chile and this is what i wrote about it:The film is split into six unconnected stories, watching each story is around 20-30 minutes long and you feel like you're watching a live action short film. What do they have in common? All of them are a mix between drama and comedy. The script is hilarious, even if the lines are sad, it's so full of black comedy, that there were people rolling on the floor laughing at the Cinema. I'd write much more about this film, but i think i might be spoiling it, so i prefer to tell you that i can't wait to watch it again. So please do NOT miss it."
8,Wild Tales,10,29 September 2014,"Very dark, very funny, extremely realistic","Wild Tales (Relatos Salvajes) is perhaps the darkest and funniest movie I saw in years; but is it really a comedy ?. No it is not. Six tales about human that are obviously related to the Argentinian reality (abusive government, corruption, people indifference) but certainly can be applied to many other countries in the world; USA included.Telling about each tale will cut the impact and somewhat surprise of each one. Let's just say that the outcome of each tale is sometimes predictable; but driven by logic not clichés.As always happens; some histories are better than others; but even that will be different for different viewers.In brief; an excellent movie that deserves to be seen by people with a brain and a will to think."
9,Wild Tales,10,23 August 2014,"""All may lose control""","It's hard to review an unconventional movie, because this one is sort of six movies all in one. Relatos Salvajes (Wild Tales) is about six different and independent stories with one thing in common: the limit of our patience, or like it's tagline says...""All may lose control"". Ordinary people that find themselves in awkward situations they didn't look for, and that's the beauty of this movie. It's almost impossible not to feel identified with one of the characters, with one of their situations, despite the awkward moments they struggle that in some passages make us feel uncomfortable. And the merit of director Damián Szifrón is to tell those stories with an exquisite combination of intrigue, suspense and a remarkable and effective dark humor. The acting, editing, photography and the music of Gustavo Santaolalla are all ingredients that give extra points. You'll get out of the cinema talking to each other which tale you enjoyed the most and reviewing some of their hilarious scenes."
